SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
103,MEN,Mountain Energy Nepal Limited,48.42,727.00,739.00,717.00,739.00,730.58,"4,055.00",741.70,"2,962,509.50",39,-2.7,22.0,-0.36,3.07,1.14,793.87,863.55,"1,319.00",695.00,2022-12-07
103,MEN,Mountain Energy Nepal Limited,48.42,727.00,739.00,717.00,739.00,730.58,"4,055.00",741.70,"2,962,509.50",39,-2.7,22.0,-0.36,3.07,1.14,793.87,863.55,"1,319.00",695.00,2022-12-09
106,MEN,Mountain Energy Nepal Limited,49.83,724.30,730.00,712.00,720.00,720.84,"1,300.00",739.00,"937,094.50",33,-19.0,18.0,-2.57,2.53,-0.12,-,-,"1,319.00",695.00,2022-12-11
104,MEN,Mountain Energy Nepal Limited,28.73,708.60,734.30,708.60,733.00,713.33,"2,170.00",720.00,"1,547,928.00",23,13.0,25.7,1.81,3.63,2.68,791.91,859.57,"1,319.00",695.00,2022-12-12
103,MEN,Mountain Energy Nepal Limited,42.42,747.60,747.60,723.30,725.00,726.01,470.00,733.00,"341,225.00",16,-8.0,24.3,-1.09,3.36,-0.14,791.10,857.67,"1,319.00",695.00,2022-12-13
104,MEN,Mountain Energy Nepal Limited,26.39,724.00,738.00,709.60,709.60,716.70,545.00,725.00,"390,600.20",24,-15.4,28.4,-2.12,4.0,-1.0,790.47,855.45,"1,319.00",695.00,2022-12-14
108,MEN,Mountain Energy Nepal Limited,24.17,700.00,779.10,698.40,763.60,713.24,759.00,709.60,"541,350.00",41,54.0,80.7,7.61,11.55,6.59,790.17,853.58,"1,319.00",695.00,2022-12-15
105,MEN,Mountain Energy Nepal Limited,40.88,748.40,748.40,707.00,731.00,718.59,310.00,763.60,"222,763.80",20,-32.6,41.4,-4.27,5.86,1.7,789.79,851.53,"1,319.00",695.00,2022-12-18
106,MEN,Mountain Energy Nepal Limited,35.62,745.60,745.60,705.00,716.00,713.98,"1,420.00",731.00,"1,013,847.00",20,-15.0,40.6,-2.05,5.76,0.28,789.38,849.39,"1,319.00",695.00,2022-12-19
108,MEN,Mountain Energy Nepal Limited,35.62,730.30,730.30,710.00,718.00,718.30,"1,797.00",716.00,"1,290,785.00",21,2.0,20.3,0.28,2.86,-0.04,788.98,847.44,"1,319.00",695.00,2022-12-20
106,MEN,Mountain Energy Nepal Limited,47.93,710.10,718.00,710.10,710.50,716.10,300.00,718.00,"214,830.00",11,-7.5,7.9,-1.04,1.11,-0.79,788.10,845.40,"1,319.00",695.00,2022-12-21
104,MEN,Mountain Energy Nepal Limited,23.37,711.10,711.60,700.10,703.50,707.80,783.00,710.50,"554,204.20",20,-7.0,11.5,-0.99,1.64,-0.61,787.48,843.25,"1,319.00",695.00,2022-12-22
104,MEN,Mountain Energy Nepal Limited,25.56,692.00,738.50,692.00,726.00,729.06,"1,177.00",703.50,"858,106.70",29,22.5,46.5,3.2,6.72,-0.42,787.18,841.22,"1,319.00",692.00,2022-12-26
109,MEN,Mountain Energy Nepal Limited,46.11,737.00,763.90,730.00,762.00,742.08,"16,106.00",726.00,"11,951,954.30",114,36.0,33.90,4.96,4.64,2.61,786.86,839.41,"1,319.00",692.00,2022-12-27
107,MEN,Mountain Energy Nepal Limited,50.92,746.80,755.00,735.00,738.10,744.52,"3,045.00",762.00,"2,267,075.00",24,-23.9,20.0,-3.14,2.72,-0.87,786.06,837.54,"1,319.00",692.00,2022-12-28
109,MEN,Mountain Energy Nepal Limited,50.92,724.10,767.00,724.10,766.00,755.32,"8,365.00",738.10,"6,318,245.10",65,27.9,42.9,3.78,5.92,1.39,785.52,835.94,"1,319.00",692.00,2022-12-29
111,MEN,Mountain Energy Nepal Limited,51.74,760.00,771.00,742.00,742.00,755.63,"4,442.00",766.00,"3,356,486.50",59,-24.0,29.00,-3.13,3.91,-1.84,784.68,834.35,"1,319.00",692.00,2023-01-01
104,MEN,Mountain Energy Nepal Limited,51.74,749.50,770.00,743.00,760.00,762.06,"2,370.00",742.00,"1,806,088.50",38,18.0,27.0,2.43,3.63,-0.27,784.16,832.77,"1,319.00",692.00,2023-01-02
106,MEN,Mountain Energy Nepal Limited,38.24,770.00,785.00,750.00,750.20,762.69,"13,049.00",760.00,"9,952,331.00",85,-9.8,35.0,-1.29,4.67,-1.66,783.70,831.12,"1,319.00",692.00,2023-01-03
107,MEN,Mountain Energy Nepal Limited,61.53,750.00,795.00,750.00,783.00,775.62,"6,950.00",750.20,"5,390,524.50",98,32.8,45.0,4.37,6.0,0.94,783.52,829.75,"1,319.00",692.00,2023-01-04
106,MEN,Mountain Energy Nepal Limited,63.0,798.00,807.00,769.00,798.00,785.53,"9,976.00",783.00,"7,836,403.00",90,15.0,38.0,1.92,4.94,1.56,783.34,828.44,"1,319.00",692.00,2023-01-05
109,MEN,Mountain Energy Nepal Limited,64.2,790.00,861.00,786.00,835.00,824.31,"15,484.00",798.00,"12,763,583.50",161,37.00,75.00,4.64,9.54,1.28,-,-,"1,319.00",692.00,2023-01-08
107,MEN,Mountain Energy Nepal Limited,62.44,825.00,870.00,825.00,865.00,858.78,"10,715.00",835.00,"9,201,822.30",101,30.0,45.0,3.59,5.45,0.72,784.64,826.44,"1,319.00",692.00,2023-01-09
105,MEN,Mountain Energy Nepal Limited,61.32,879.00,885.00,825.50,867.90,863.65,"16,865.00",865.00,"14,565,435.80",129,2.9,59.5,0.34,7.21,0.49,785.46,825.71,"1,319.00",692.00,2023-01-10
106,MEN,Mountain Energy Nepal Limited,61.35,852.00,865.00,813.40,813.40,844.86,"10,604.00",867.90,"8,958,923.50",109,-54.5,51.6,-6.28,6.34,-3.87,785.78,824.71,"1,319.00",692.00,2023-01-12
102,MEN,Mountain Energy Nepal Limited,50.63,798.00,850.00,798.00,838.00,826.86,"4,671.00",813.40,"3,862,267.00",86,24.6,52.0,3.02,6.52,1.33,786.22,823.84,"1,319.00",692.00,2023-01-17
103,MEN,Mountain Energy Nepal Limited,46.52,854.00,879.90,830.00,830.00,855.90,"9,806.00",838.00,"8,392,957.00",115,-8.0,49.9,-0.95,6.01,-3.12,786.47,822.89,"1,305.00",692.00,2023-01-18
101,MEN,Mountain Energy Nepal Limited,44.72,846.60,860.00,828.20,830.00,837.30,"3,827.00",830.00,"3,204,355.00",87,0.0,31.8,0.0,3.84,-0.88,786.80,821.70,"1,279.00",692.00,2023-01-19
105,MEN,Mountain Energy Nepal Limited,39.06,830.00,841.00,798.00,815.00,815.26,"7,925.00",830.00,"6,460,905.00",116,-15.0,43.0,-1.81,5.39,-0.03,786.91,820.31,"1,279.00",692.00,2023-01-23
105,MEN,Mountain Energy Nepal Limited,44.9,800.10,846.90,800.00,813.00,807.46,"8,248.00",815.00,"6,659,928.00",112,-2.0,46.9,-0.25,5.86,0.68,786.82,819.10,"1,279.00",692.00,2023-01-24
104,MEN,Mountain Energy Nepal Limited,41.55,813.00,845.70,813.00,816.00,821.98,"2,195.00",813.00,"1,804,245.00",61,3.0,32.7,0.37,4.02,-0.73,786.91,818.09,"1,279.00",692.00,2023-01-25
102,MEN,Mountain Energy Nepal Limited,39.77,805.00,848.90,805.00,820.00,832.78,"4,597.00",816.00,"3,828,273.00",72,4.0,43.9,0.49,5.45,-1.56,787.15,816.93,"1,279.00",692.00,2023-01-26
106,MEN,Mountain Energy Nepal Limited,41.38,803.60,825.00,787.60,812.00,815.20,"1,393.00",820.00,"1,135,570.90",55,-8.0,37.4,-0.98,4.75,-0.39,787.34,816.10,"1,279.00",692.00,2023-01-29
105,MEN,Mountain Energy Nepal Limited,38.28,805.00,824.10,791.00,793.00,797.73,"3,355.00",812.00,"2,676,381.00",70,-19.0,33.1,-2.34,4.18,-0.6,787.15,815.31,"1,279.00",692.00,2023-01-30
106,MEN,Mountain Energy Nepal Limited,35.6,777.20,816.00,770.00,815.00,804.12,"1,950.00",793.00,"1,568,038.20",75,22.0,46.0,2.77,5.97,1.33,786.97,814.84,"1,279.00",692.00,2023-01-31
102,MEN,Mountain Energy Nepal Limited,36.72,815.00,815.00,800.00,801.00,804.36,872.00,815.00,"701,400.00",34,-14.0,15.0,-1.72,1.88,-0.42,786.46,813.85,"1,279.00",692.00,2023-02-01
104,MEN,Mountain Energy Nepal Limited,32.63,800.00,810.00,790.00,796.20,802.54,"1,075.00",801.00,"862,728.00",35,-4.8,20.0,-0.6,2.53,-0.8,785.74,812.69,"1,279.00",692.00,2023-02-02
