SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
105,MFIL,Manjushree Finance Limited,25.76,429.00,429.00,417.00,419.00,419.72,"13,813.00",426.00,"5,797,590.70",104,-7.0,12.0,-1.64,2.88,-0.17,425.99,451.34,"1,090.30",362.00,2022-12-07
105,MFIL,Manjushree Finance Limited,25.76,429.00,429.00,417.00,419.00,419.72,"13,813.00",426.00,"5,797,590.70",104,-7.0,12.0,-1.64,2.88,-0.17,425.99,451.34,"1,090.30",362.00,2022-12-09
108,MFIL,Manjushree Finance Limited,27.17,421.00,424.00,411.00,411.10,414.57,"12,357.00",419.00,"5,122,800.20",110,-7.9,13.0,-1.89,3.16,-0.84,-,-,"1,090.30",362.00,2022-12-11
106,MFIL,Manjushree Finance Limited,30.91,411.10,420.00,411.00,418.50,415.34,"9,287.00",411.10,"3,857,282.10",90,7.4,9.0,1.8,2.19,0.75,425.88,448.72,"1,090.30",362.00,2022-12-12
105,MFIL,Manjushree Finance Limited,29.84,422.00,422.00,415.00,416.10,417.44,"7,201.00",418.50,"3,005,989.00",72,-2.4,7.0,-0.57,1.69,-0.32,425.98,447.52,"1,090.30",362.00,2022-12-13
106,MFIL,Manjushree Finance Limited,29.01,416.10,423.00,415.00,420.00,418.15,"5,067.00",416.10,"2,118,779.10",49,3.9,8.0,0.94,1.93,0.44,426.23,446.27,"1,090.30",362.00,2022-12-14
110,MFIL,Manjushree Finance Limited,31.0,412.00,424.50,407.00,407.00,415.99,"19,683.00",420.00,"8,187,907.10",121,-13.0,17.5,-3.1,4.3,-2.21,426.29,444.94,"1,090.30",362.00,2022-12-15
107,MFIL,Manjushree Finance Limited,39.48,398.90,398.90,375.00,378.00,380.65,"51,202.00",407.00,"19,490,070.70",495,-29.0,23.9,-7.13,6.37,-0.7,426.13,443.48,"1,039.00",362.00,2022-12-18
108,MFIL,Manjushree Finance Limited,26.69,372.00,380.00,370.60,379.00,373.86,"17,311.00",378.00,"6,471,930.60",145,1.0,9.4,0.26,2.54,1.36,426.14,442.09,"1,039.00",362.00,2022-12-19
110,MFIL,Manjushree Finance Limited,26.69,375.00,382.00,372.20,375.00,377.56,"21,005.00",379.00,"7,930,658.30",117,-4.0,9.8,-1.06,2.63,-0.68,426.09,440.84,"1,039.00",362.00,2022-12-20
108,MFIL,Manjushree Finance Limited,28.2,380.00,380.00,368.00,370.00,372.53,"6,683.00",375.00,"2,489,590.60",117,-5.0,12.0,-1.33,3.26,-0.68,425.75,439.66,"1,039.00",362.00,2022-12-21
106,MFIL,Manjushree Finance Limited,23.46,368.00,375.00,367.10,370.00,370.02,"12,867.00",370.00,"4,761,108.30",103,0.0,7.9,0.0,2.15,-0.01,425.46,438.58,"1,039.00",362.00,2022-12-22
106,MFIL,Manjushree Finance Limited,33.67,377.40,395.00,375.00,393.00,388.24,"23,841.00",370.00,"9,256,103.00",228,23.0,20.0,6.22,5.33,1.21,425.44,437.54,"1,019.00",362.00,2022-12-26
111,MFIL,Manjushree Finance Limited,45.34,400.00,427.00,400.00,415.00,415.90,"40,448.00",393.00,"16,822,182.40",349,22.0,27.00,5.6,6.75,-0.22,425.49,436.70,"1,003.00",362.00,2022-12-27
109,MFIL,Manjushree Finance Limited,48.86,416.00,436.00,400.10,412.00,415.66,"27,379.00",415.00,"11,380,377.90",254,-3.0,35.9,-0.72,8.97,-0.89,425.32,435.93,970.00,362.00,2022-12-28
111,MFIL,Manjushree Finance Limited,48.86,415.00,435.50,410.00,432.00,427.09,"31,094.00",412.00,"13,279,920.90",247,20.0,25.5,4.85,6.22,1.14,425.25,435.26,961.90,362.00,2022-12-29
113,MFIL,Manjushree Finance Limited,54.94,440.60,449.90,430.30,434.00,440.08,"40,778.00",432.00,"17,945,566.20",329,2.0,19.60,0.46,4.55,-1.4,425.07,434.71,830.00,362.00,2023-01-01
106,MFIL,Manjushree Finance Limited,54.94,434.00,441.00,425.40,437.00,436.46,"19,506.00",434.00,"8,513,666.40",170,3.0,15.6,0.69,3.67,0.12,424.96,434.25,830.00,362.00,2023-01-02
108,MFIL,Manjushree Finance Limited,53.33,432.00,440.00,431.20,434.90,435.53,"25,883.00",437.00,"11,272,694.70",201,-2.1,8.8,-0.48,2.04,-0.14,424.96,433.72,830.00,362.00,2023-01-03
109,MFIL,Manjushree Finance Limited,57.86,443.00,450.00,434.00,449.50,444.91,"28,403.00",434.90,"12,636,905.80",230,14.6,16.0,3.36,3.69,1.02,425.00,433.34,830.00,362.00,2023-01-04
108,MFIL,Manjushree Finance Limited,63.8,458.00,483.00,450.00,478.00,470.56,"76,768.00",449.50,"36,123,971.30",564,28.5,33.0,6.34,7.33,1.56,425.33,433.21,830.00,362.00,2023-01-05
111,MFIL,Manjushree Finance Limited,65.0,480.00,498.00,460.80,482.00,479.85,"60,109.00",478.00,"28,843,504.20",368,4.00,37.20,0.84,8.07,0.45,-,-,830.00,362.00,2023-01-08
