SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
112,MFLD85,9.5%  Manjushree Finance Ltd. Debenture 2085,29.76,820.00,820.00,820.00,820.00,820.00,100.00,805.10,"82,000.00",2,14.9,0.00,1.85,0.0,0.0,922.20,955.17,"1,014.90",805.10,2022-12-27
114,MFLD85,9.5%  Manjushree Finance Ltd. Debenture 2085,44.23,836.40,836.40,836.40,836.40,836.40,10.00,820.00,"8,364.00",1,16.4,0.00,2.0,0.0,0.0,920.80,954.19,"1,014.90",805.10,2023-01-01
109,MFLD85,9.5%  Manjushree Finance Ltd. Debenture 2085,46.14,825.00,825.00,821.00,821.00,822.60,25.00,836.40,"20,565.00",2,-15.4,4.0,-1.84,0.49,-0.19,919.22,953.13,"1,014.90",805.10,2023-01-03
110,MFLD85,9.5%  Manjushree Finance Ltd. Debenture 2085,51.41,837.40,837.40,837.40,837.40,837.40,10.00,821.00,"8,374.00",1,16.4,0.0,2.0,0.0,0.0,917.79,952.15,"1,014.90",805.10,2023-01-04
110,MFLD85,9.5%  Manjushree Finance Ltd. Debenture 2085,53.48,854.10,854.10,854.10,854.10,854.10,10.00,837.40,"8,541.00",1,16.7,0.0,1.99,0.0,0.0,916.49,951.25,"1,014.90",805.10,2023-01-09
108,MFLD85,9.5%  Manjushree Finance Ltd. Debenture 2085,50.56,838.00,838.00,838.00,838.00,838.00,50.00,854.10,"41,900.00",1,-16.1,0.0,-1.89,0.0,0.0,915.05,950.24,949.00,805.10,2023-01-23
105,MFLD85,9.5%  Manjushree Finance Ltd. Debenture 2085,53.56,839.00,839.00,839.00,839.00,839.00,110.00,838.00,"92,290.00",2,1.0,0.0,0.12,0.0,0.0,913.59,949.26,940.00,805.10,2023-02-01
107,MFLD85,9.5%  Manjushree Finance Ltd. Debenture 2085,57.31,825.00,825.00,823.00,823.00,824.67,60.00,839.00,"49,480.00",3,-16.0,2.0,-1.91,0.24,-0.2,912.06,948.20,940.00,805.10,2023-02-02
112,MFLD85,9.5%  Manjushree Finance Ltd. Debenture 2085,35.27,824.00,824.00,824.00,824.00,824.00,50.00,823.00,"41,200.00",2,1.0,0.0,0.12,0.0,0.0,910.54,947.11,940.00,805.10,2023-02-07
108,MFLD85,9.5%  Manjushree Finance Ltd. Debenture 2085,34.37,824.00,824.00,824.00,824.00,824.00,100.00,824.00,"82,400.00",3,0.0,0.0,0.0,0.0,0.0,909.03,945.97,940.00,805.10,2023-02-20
110,MFLD85,9.5%  Manjushree Finance Ltd. Debenture 2085,31.19,808.00,808.00,808.00,808.00,808.00,75.00,824.00,"60,600.00",2,-16.0,0.0,-1.94,0.0,0.0,907.31,944.74,940.00,805.10,2023-02-23
110,MFLD85,9.5%  Manjushree Finance Ltd. Debenture 2085,34.57,811.00,815.00,810.00,811.10,812.05,155.00,808.00,"125,868.00",6,3.1,5.0,0.38,0.62,-0.12,905.61,943.64,940.00,805.10,2023-02-28
108,MFLD85,9.5%  Manjushree Finance Ltd. Debenture 2085,35.49,822.00,822.00,822.00,822.00,822.00,25.00,811.10,"20,550.00",1,10.9,0.0,1.34,0.0,0.0,904.08,942.56,940.00,805.10,2023-03-07
107,MFLD85,9.5%  Manjushree Finance Ltd. Debenture 2085,36.4,821.00,821.00,821.00,821.00,821.00,20.00,822.00,"16,420.00",1,-1.0,0.0,-0.12,0.0,0.0,902.55,941.50,940.00,805.10,2023-03-14
