SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
110,MHCL,Molung Hydropower Company Limited,38.57,141.00,155.10,141.00,155.10,145.92,460.00,141.00,"67,122.50",69,14.1,14.10,10.0,10.0,5.92,0.00,0.00,155.10,141.00,2023-04-13
110,MHCL,Molung Hydropower Company Limited,38.57,158.20,170.60,158.20,170.60,169.65,490.00,155.10,"83,129.00",51,15.5,12.4,9.99,7.84,0.56,0.00,0.00,170.60,141.00,2023-04-16
109,MHCL,Molung Hydropower Company Limited,48.92,186.00,206.30,186.00,206.30,206.21,"10,126.00",187.60,"2,088,122.10",117,18.7,20.3,9.97,10.91,0.04,0.00,0.00,206.30,141.00,2023-04-18
109,MHCL,Molung Hydropower Company Limited,50.21,210.40,226.90,210.40,226.90,226.59,"1,483.00",206.30,"336,037.60",146,20.6,16.5,9.99,7.84,0.14,0.00,0.00,226.90,141.00,2023-04-19
111,MHCL,Molung Hydropower Company Limited,50.21,231.40,249.50,231.40,249.50,249.08,"1,839.00",226.90,"458,050.20",177,22.6,18.10,9.96,7.82,0.17,0.00,0.00,249.50,141.00,2023-04-20
107,MHCL,Molung Hydropower Company Limited,47.59,254.40,274.40,239.80,254.00,258.85,"120,512.00",249.50,"31,195,003.20","5,810",4.5,34.6,1.8,14.43,-1.91,0.00,0.00,274.40,141.00,2023-04-23
111,MHCL,Molung Hydropower Company Limited,42.2,259.00,259.00,235.50,239.00,240.83,"52,538.00",254.00,"12,652,746.90","3,291",-15.0,23.5,-5.91,9.98,-0.77,0.00,0.00,274.40,141.00,2023-04-24
104,MHCL,Molung Hydropower Company Limited,36.33,235.00,251.70,235.00,246.00,240.39,"20,790.00",239.00,"4,997,754.50","1,820",7.0,16.7,2.93,7.11,2.28,0.00,0.00,274.40,141.00,2023-04-25
106,MHCL,Molung Hydropower Company Limited,33.24,241.30,251.50,237.00,250.00,246.44,"17,748.00",246.00,"4,373,886.40","1,241",4.0,14.5,1.63,6.12,1.42,0.00,0.00,274.40,141.00,2023-04-26
109,MHCL,Molung Hydropower Company Limited,29.32,246.00,246.50,241.50,242.80,243.52,"14,715.00",250.00,"3,583,453.90",671,-7.20,5.0,-2.88,2.07,-0.3,0.00,0.00,274.40,141.00,2023-04-27
111,MHCL,Molung Hydropower Company Limited,30.23,238.30,241.00,230.00,232.00,234.72,"23,631.00",242.80,"5,546,600.20",893,-10.8,11.0,-4.45,4.78,-1.17,0.00,0.00,274.40,141.00,2023-04-30
