SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
107,MHNL,Mountain Hydro Nepal Limited,33.09,255.00,255.00,248.20,252.90,250.85,"12,643.00",253.00,"3,171,468.90",46,-0.1,6.8,-0.04,2.74,0.81,264.02,293.31,551.30,212.00,2022-12-07
107,MHNL,Mountain Hydro Nepal Limited,33.09,255.00,255.00,248.20,252.90,250.85,"12,643.00",253.00,"3,171,468.90",46,-0.1,6.8,-0.04,2.74,0.81,264.02,293.31,551.30,212.00,2022-12-09
110,MHNL,Mountain Hydro Nepal Limited,34.5,248.10,251.00,243.00,247.00,245.84,"8,790.00",252.90,"2,160,975.90",60,-5.9,8.0,-2.33,3.29,0.47,-,-,551.30,212.00,2022-12-11
108,MHNL,Mountain Hydro Nepal Limited,28.49,250.00,255.00,245.00,248.90,247.93,"13,395.00",247.00,"3,321,017.90",46,1.9,10.0,0.77,4.08,0.39,263.52,291.43,551.30,212.00,2022-12-12
107,MHNL,Mountain Hydro Nepal Limited,32.18,248.00,252.00,247.10,251.00,249.21,"2,860.00",248.90,"712,743.00",20,2.1,4.9,0.84,1.98,0.71,263.50,290.51,551.30,212.00,2022-12-13
108,MHNL,Mountain Hydro Nepal Limited,32.31,249.00,254.00,246.20,248.00,249.89,"5,230.00",251.00,"1,306,901.40",35,-3.0,7.8,-1.2,3.17,-0.76,263.64,289.41,551.30,212.00,2022-12-14
112,MHNL,Mountain Hydro Nepal Limited,28.28,250.00,250.00,243.00,246.80,244.53,"6,367.00",248.00,"1,556,940.20",47,-1.2,7.0,-0.48,2.88,0.92,263.68,288.34,551.30,212.00,2022-12-15
109,MHNL,Mountain Hydro Nepal Limited,32.69,241.90,243.00,235.00,235.50,238.12,"16,124.00",246.80,"3,839,471.60",83,-11.3,8.0,-4.58,3.4,-1.11,263.64,287.24,551.30,212.00,2022-12-18
110,MHNL,Mountain Hydro Nepal Limited,21.52,231.60,243.00,231.60,236.10,236.85,"6,601.00",235.50,"1,563,452.60",29,0.6,11.4,0.25,4.92,-0.32,263.70,286.24,551.30,212.00,2022-12-19
112,MHNL,Mountain Hydro Nepal Limited,21.52,236.00,244.00,236.00,241.00,238.76,"5,678.00",236.10,"1,355,689.50",37,4.9,8.0,2.08,3.39,0.93,263.73,285.36,551.30,212.00,2022-12-20
110,MHNL,Mountain Hydro Nepal Limited,24.28,240.00,240.00,236.40,239.00,237.42,"3,675.00",241.00,"872,503.00",21,-2.0,3.6,-0.83,1.52,0.66,263.58,284.49,551.30,212.00,2022-12-21
108,MHNL,Mountain Hydro Nepal Limited,23.28,235.00,239.60,231.50,233.00,233.37,"6,889.00",239.00,"1,607,660.50",44,-6.0,8.1,-2.51,3.5,-0.16,263.44,283.62,551.30,212.00,2022-12-22
108,MHNL,Mountain Hydro Nepal Limited,31.69,237.60,253.00,236.60,249.00,245.59,"21,444.00",233.00,"5,266,449.70",96,16.0,16.4,6.87,6.93,1.37,263.52,282.71,551.30,212.00,2022-12-26
114,MHNL,Mountain Hydro Nepal Limited,43.43,253.90,265.00,253.90,260.00,259.79,"48,668.00",249.00,"12,643,570.20",198,11.0,11.10,4.42,4.37,0.08,263.60,281.91,551.30,212.00,2022-12-27
111,MHNL,Mountain Hydro Nepal Limited,55.3,255.00,265.20,254.00,256.70,258.79,"36,003.00",260.00,"9,317,310.40",129,-3.3,11.2,-1.27,4.41,-0.82,263.55,281.12,551.30,212.00,2022-12-28
113,MHNL,Mountain Hydro Nepal Limited,55.3,256.00,271.00,252.10,270.00,264.91,"38,228.00",256.70,"10,127,001.50",166,13.3,18.9,5.18,7.5,1.88,263.51,280.43,551.30,212.00,2022-12-29
116,MHNL,Mountain Hydro Nepal Limited,56.35,270.00,280.00,263.00,267.50,272.35,"66,163.00",270.00,"18,019,481.80",269,-2.5,17.00,-0.93,6.46,-1.81,263.32,279.75,551.30,212.00,2023-01-01
108,MHNL,Mountain Hydro Nepal Limited,56.35,267.50,278.00,262.30,273.90,271.31,"38,636.00",267.50,"10,482,304.40",149,6.4,15.7,2.39,5.99,0.95,263.10,279.18,551.30,212.00,2023-01-02
111,MHNL,Mountain Hydro Nepal Limited,54.64,271.00,287.60,269.00,277.00,278.48,"39,081.00",273.90,"10,883,218.20",191,3.1,18.6,1.13,6.91,-0.53,263.04,278.61,551.30,212.00,2023-01-03
112,MHNL,Mountain Hydro Nepal Limited,58.17,280.00,300.90,277.00,299.00,290.97,"62,499.00",277.00,"18,185,080.60",262,22.0,23.9,7.94,8.63,2.69,263.22,278.19,551.30,212.00,2023-01-04
