SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
111,MKHC,Maya Khola Hydropower Company Limited,35.86,265.50,292.00,265.50,292.00,286.99,680.00,265.50,"195,156.40",78,26.5,26.5,9.98,9.98,1.71,0.00,0.00,292.00,265.50,2023-03-22
109,MKHC,Maya Khola Hydropower Company Limited,35.86,297.80,321.20,297.80,321.20,321.10,"6,317.00",292.00,"2,028,370.00",199,29.2,23.4,10.0,7.86,0.03,-,-,321.20,265.50,2023-03-23
111,MKHC,Maya Khola Hydropower Company Limited,48.69,340.00,347.00,331.10,342.00,338.77,"34,239.00",340.00,"11,599,111.00","2,638",2.0,15.9,0.59,4.8,0.94,0.00,0.00,367.50,265.50,2023-03-28
108,MKHC,Maya Khola Hydropower Company Limited,37.23,347.00,347.00,330.30,337.00,332.88,"24,389.00",342.00,"8,118,576.20","1,512",-5.0,16.7,-1.46,5.06,1.22,0.00,0.00,367.50,265.50,2023-03-29
107,MKHC,Maya Khola Hydropower Company Limited,27.68,343.70,343.70,324.00,332.00,328.10,"31,298.00",337.00,"10,269,025.80","1,647",-5.0,19.7,-1.48,6.08,1.17,0.00,0.00,367.50,265.50,2023-03-30
108,MKHC,Maya Khola Hydropower Company Limited,27.02,336.00,336.00,307.80,312.00,317.44,"35,279.00",332.00,"11,198,850.00","1,318",-20.0,28.2,-6.02,9.16,-1.74,0.00,0.00,367.50,265.50,2023-04-02
109,MKHC,Maya Khola Hydropower Company Limited,27.99,307.00,307.10,293.10,297.00,297.74,"34,267.00",312.00,"10,202,746.70",912,-15.0,14.0,-4.81,4.78,-0.25,0.00,0.00,367.50,265.50,2023-04-03
113,MKHC,Maya Khola Hydropower Company Limited,25.82,293.00,300.00,289.20,298.90,296.73,"16,077.00",297.00,"4,770,557.50",540,1.9,10.8,0.64,3.73,0.73,0.00,0.00,367.50,265.50,2023-04-04
109,MKHC,Maya Khola Hydropower Company Limited,24.22,293.00,305.10,290.00,298.00,297.90,"8,585.00",298.90,"2,557,499.00",496,-0.9,15.1,-0.3,5.21,0.03,0.00,0.00,367.50,265.50,2023-04-05
111,MKHC,Maya Khola Hydropower Company Limited,22.63,298.00,300.00,292.20,293.90,294.88,"10,773.00",298.00,"3,176,748.60",403,-4.1,7.8,-1.38,2.67,-0.33,0.00,0.00,367.50,265.50,2023-04-06
