SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
109,MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,34.97,836.00,849.00,834.20,834.20,839.44,156.00,850.00,"130,952.00",11,-15.8,14.8,-1.86,1.77,-0.63,927.06,973.68,"1,737.10",790.00,2022-12-07
109,MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,34.97,836.00,849.00,834.20,834.20,839.44,156.00,850.00,"130,952.00",11,-15.8,14.8,-1.86,1.77,-0.63,927.06,973.68,"1,737.10",790.00,2022-12-09
112,MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,36.38,830.00,850.00,820.00,850.00,839.85,517.00,834.20,"434,203.80",24,15.8,30.0,1.89,3.66,1.19,-,-,"1,679.70",790.00,2022-12-11
110,MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,48.9,833.00,840.00,825.10,840.00,833.81,191.00,850.00,"159,258.10",12,-10.0,14.9,-1.18,1.81,0.74,926.33,968.63,"1,679.70",790.00,2022-12-12
109,MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,42.1,835.00,840.00,823.20,826.00,827.17,118.00,840.00,"97,605.60",7,-14.0,16.8,-1.67,2.04,-0.14,926.03,966.15,"1,679.70",790.00,2022-12-13
110,MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,27.61,820.00,858.00,815.00,858.00,822.29,240.00,826.00,"197,350.00",18,32.0,43.0,3.87,5.28,4.16,926.09,963.81,"1,679.70",790.00,2022-12-14
114,MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,39.61,855.00,855.00,833.00,833.00,835.93,258.00,858.00,"215,669.00",14,-25.0,22.0,-2.91,2.64,-0.35,925.81,961.35,"1,679.70",790.00,2022-12-15
111,MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,28.47,817.00,849.00,801.00,849.00,814.34,472.00,833.00,"384,368.50",29,16.0,48.0,1.92,5.99,4.08,925.87,959.05,"1,661.00",790.00,2022-12-18
112,MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,32.75,832.10,832.10,814.10,815.00,816.34,450.00,849.00,"367,352.80",18,-34.0,18.0,-4.0,2.21,-0.16,925.78,956.47,"1,661.00",790.00,2022-12-19
114,MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,32.75,800.00,831.30,800.00,831.30,806.51,191.00,815.00,"154,043.00",13,16.3,31.3,2.0,3.91,2.98,925.41,954.17,"1,661.00",790.00,2022-12-20
112,MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,28.96,815.00,815.10,815.00,815.10,815.07,30.00,831.30,"24,452.00",3,-16.2,0.1,-1.95,0.01,0.0,924.38,951.87,"1,661.00",790.00,2022-12-21
110,MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,24.3,803.00,831.40,803.00,831.40,826.25,180.00,815.10,"148,725.00",8,16.3,28.4,2.0,3.54,0.62,923.72,949.79,"1,661.00",790.00,2022-12-22
110,MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,26.21,831.00,878.80,825.00,877.00,842.22,772.00,831.40,"650,193.20",25,45.6,53.8,5.48,6.52,3.97,923.58,947.70,"1,661.00",790.00,2022-12-26
116,MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,49.92,891.00,894.00,860.00,889.00,878.77,559.00,877.00,"491,234.00",31,12.0,34.00,1.37,3.95,1.15,923.39,945.84,"1,661.00",790.00,2022-12-27
113,MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,47.34,889.00,900.00,865.10,895.00,876.18,145.00,889.00,"127,046.50",11,6.0,34.9,0.67,4.03,2.1,922.68,944.19,"1,661.00",790.00,2022-12-28
115,MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,47.34,912.90,930.00,858.00,905.00,890.64,381.00,895.00,"339,333.00",19,10.0,72.0,1.12,8.39,1.59,922.17,942.67,"1,661.00",790.00,2022-12-29
118,MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,47.01,915.00,959.00,915.00,925.00,931.40,347.00,905.00,"323,195.00",19,20.0,44.00,2.21,4.81,-0.69,921.65,941.42,"1,661.00",790.00,2023-01-01
