SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
110,MLBBL,Mithila Laghubitta Bittiya Sanstha Limited,37.61,"1,010.00","1,010.00","1,010.00","1,010.00","1,010.00",69.00,"1,010.00","69,690.00",1,0.0,0.0,0.0,0.0,0.0,"1,170.83","1,250.60","1,963.50",986.10,2022-12-07
110,MLBBL,Mithila Laghubitta Bittiya Sanstha Limited,37.61,"1,010.00","1,010.00","1,010.00","1,010.00","1,010.00",69.00,"1,010.00","69,690.00",1,0.0,0.0,0.0,0.0,0.0,"1,170.83","1,250.60","1,963.50",986.10,2022-12-09
113,MLBBL,Mithila Laghubitta Bittiya Sanstha Limited,39.03,"1,010.00","1,015.00",972.00,980.00,990.19,554.00,"1,010.00","548,567.00",20,-30.0,43.0,-2.97,4.42,-1.04,-,-,"1,963.50",972.00,2022-12-11
111,MLBBL,Mithila Laghubitta Bittiya Sanstha Limited,36.21,999.00,"1,018.90",999.00,"1,018.90","1,008.58",197.00,980.00,"198,691.00",3,38.9,19.9,3.97,1.99,1.01,"1,168.31","1,243.99","1,963.50",972.00,2022-12-12
110,MLBBL,Mithila Laghubitta Bittiya Sanstha Limited,37.22,"1,004.00","1,034.00",980.00,"1,034.00",989.17,645.00,"1,018.90","638,015.00",12,15.1,54.0,1.48,5.51,4.34,"1,167.18","1,241.01","1,963.50",972.00,2022-12-13
111,MLBBL,Mithila Laghubitta Bittiya Sanstha Limited,47.0,"1,020.00","1,020.00","1,015.00","1,015.00","1,017.50",20.00,"1,034.00","20,350.00",2,-19.0,5.0,-1.84,0.49,-0.25,"1,165.86","1,237.87","1,963.50",972.00,2022-12-14
115,MLBBL,Mithila Laghubitta Bittiya Sanstha Limited,28.95,995.00,"1,005.00",995.00,"1,000.00","1,000.56",170.00,"1,015.00","170,096.00",6,-15.0,10.0,-1.48,1.01,-0.06,"1,164.61","1,234.68","1,963.50",972.00,2022-12-15
112,MLBBL,Mithila Laghubitta Bittiya Sanstha Limited,38.38,990.00,990.00,963.00,963.00,978.98,102.00,"1,000.00","99,856.00",5,-37.0,27.0,-3.7,2.8,-1.66,"1,162.56","1,231.19","1,963.50",963.00,2022-12-18
113,MLBBL,Mithila Laghubitta Bittiya Sanstha Limited,19.61,982.20,993.00,982.20,993.00,987.60,20.00,963.00,"19,752.00",2,30.0,10.8,3.12,1.1,0.54,"1,160.76","1,227.94","1,963.50",963.00,2022-12-19
115,MLBBL,Mithila Laghubitta Bittiya Sanstha Limited,19.61,"1,012.00","1,012.00","1,000.00","1,000.00","1,001.23",114.00,993.00,"114,140.00",6,7.0,12.0,0.7,1.2,-0.12,"1,159.26","1,224.66","1,963.50",963.00,2022-12-20
