SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
111,MLBL,Mahalaxmi Bikas Bank Limited,28.25,345.00,345.40,340.10,341.00,343.20,"18,189.00",342.50,"6,242,534.30",107,-1.5,5.3,-0.44,1.56,-0.65,368.39,381.95,634.60,305.20,2022-12-07
111,MLBL,Mahalaxmi Bikas Bank Limited,28.25,345.00,345.40,340.10,341.00,343.20,"18,189.00",342.50,"6,242,534.30",107,-1.5,5.3,-0.44,1.56,-0.65,368.39,381.95,634.60,305.20,2022-12-09
114,MLBL,Mahalaxmi Bikas Bank Limited,29.66,336.20,341.00,335.00,335.00,337.63,"19,364.00",341.00,"6,537,808.50",148,-6.0,6.0,-1.76,1.79,-0.78,-,-,599.00,305.20,2022-12-11
112,MLBL,Mahalaxmi Bikas Bank Limited,30.1,332.10,347.70,332.00,343.30,340.17,"20,424.00",335.00,"6,947,724.00",121,8.3,15.7,2.48,4.73,0.91,368.14,380.51,599.00,305.20,2022-12-12
111,MLBL,Mahalaxmi Bikas Bank Limited,30.92,350.10,350.10,338.10,344.00,342.80,"8,079.00",343.30,"2,769,447.30",68,0.7,12.0,0.2,3.55,0.35,368.17,379.89,599.00,305.20,2022-12-13
112,MLBL,Mahalaxmi Bikas Bank Limited,43.91,345.00,347.00,339.00,343.00,342.88,"10,748.00",344.00,"3,685,318.00",65,-1.0,8.0,-0.29,2.36,0.03,368.32,379.17,599.00,305.20,2022-12-14
116,MLBL,Mahalaxmi Bikas Bank Limited,42.27,336.60,343.00,336.40,336.50,337.92,"16,921.00",343.00,"5,717,910.00",106,-6.5,6.6,-1.9,1.96,-0.42,368.34,378.38,599.00,305.20,2022-12-15
113,MLBL,Mahalaxmi Bikas Bank Limited,41.81,329.80,329.80,309.70,311.90,315.69,"68,320.00",336.50,"21,568,138.90",484,-24.6,20.1,-7.31,6.49,-1.22,368.20,377.51,589.00,305.20,2022-12-18
114,MLBL,Mahalaxmi Bikas Bank Limited,24.26,310.00,314.00,307.20,309.00,311.20,"18,955.00",311.90,"5,898,842.70",112,-2.9,6.8,-0.93,2.21,-0.71,368.14,376.66,589.00,305.20,2022-12-19
116,MLBL,Mahalaxmi Bikas Bank Limited,24.26,311.00,311.00,297.00,302.00,303.66,"58,553.00",309.00,"17,780,182.80",290,-7.0,14.0,-2.27,4.71,-0.55,367.96,375.84,589.00,297.00,2022-12-20
