SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
114,MMF1,Mega Mutual Fund - 1,28.32,7.26,7.26,7.07,7.07,7.12,"3,200.00",7.27,"22,768.00",12,-0.2,0.19,-2.75,2.69,-0.64,7.61,7.88,9.86,7.02,2022-12-07
114,MMF1,Mega Mutual Fund - 1,28.32,7.26,7.26,7.07,7.07,7.12,"3,200.00",7.27,"22,768.00",12,-0.2,0.19,-2.75,2.69,-0.64,7.61,7.88,9.86,7.02,2022-12-09
117,MMF1,Mega Mutual Fund - 1,29.73,7.00,7.17,7.00,7.17,7.16,"120,800.00",7.07,"864,851.00",34,0.1,0.17,1.41,2.43,0.15,-,-,9.86,7.00,2022-12-11
115,MMF1,Mega Mutual Fund - 1,45.25,7.05,7.29,6.91,7.18,7.08,"10,400.00",7.17,"73,582.00",17,0.01,0.38,0.14,5.5,1.46,7.60,7.86,9.86,6.91,2022-12-12
114,MMF1,Mega Mutual Fund - 1,30.43,7.32,7.46,7.10,7.16,7.31,"3,150.00",7.18,"23,040.00",18,-0.02,0.36,-0.28,5.07,-2.15,7.59,7.85,9.86,6.91,2022-12-13
115,MMF1,Mega Mutual Fund - 1,32.82,7.16,7.30,7.12,7.12,7.19,"5,600.00",7.16,"40,280.00",8,-0.04,0.18,-0.56,2.53,-1.02,7.59,7.84,9.86,6.91,2022-12-14
119,MMF1,Mega Mutual Fund - 1,43.65,7.10,7.24,7.00,7.00,7.02,"21,800.00",7.12,"153,065.00",24,-0.12,0.24,-1.69,3.43,-0.3,7.58,7.83,9.86,6.91,2022-12-15
116,MMF1,Mega Mutual Fund - 1,33.61,6.90,7.11,6.90,7.10,7.00,"36,500.00",7.00,"255,372.00",29,0.1,0.21,1.43,3.04,1.46,7.58,7.82,9.86,6.90,2022-12-18
117,MMF1,Mega Mutual Fund - 1,35.74,6.96,7.01,6.96,7.00,7.00,"46,365.00",7.10,"324,470.60",17,-0.1,0.05,-1.41,0.72,0.03,7.57,7.81,9.86,6.90,2022-12-19
119,MMF1,Mega Mutual Fund - 1,35.74,6.86,7.06,6.86,7.06,7.00,"15,751.00",7.00,"110,230.88",25,0.06,0.2,0.86,2.92,0.87,7.57,7.80,9.86,6.86,2022-12-20
