SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
115,MMFDB,Mirmire Laghubitta Bittiya Sanstha Limited,33.52,900.00,905.00,893.00,894.00,896.20,208.00,893.00,"186,410.00",8,1.0,12.0,0.11,1.34,-0.25,"1,010.85","1,067.53","1,569.00",867.30,2022-12-07
115,MMFDB,Mirmire Laghubitta Bittiya Sanstha Limited,33.52,900.00,905.00,893.00,894.00,896.20,208.00,893.00,"186,410.00",8,1.0,12.0,0.11,1.34,-0.25,"1,010.85","1,067.53","1,569.00",867.30,2022-12-09
118,MMFDB,Mirmire Laghubitta Bittiya Sanstha Limited,34.93,888.00,890.00,877.00,878.30,883.25,954.00,894.00,"842,618.00",25,-15.7,13.0,-1.76,1.48,-0.56,-,-,"1,569.00",867.30,2022-12-11
116,MMFDB,Mirmire Laghubitta Bittiya Sanstha Limited,35.74,866.00,910.50,866.00,890.00,884.92,"2,326.00",878.30,"2,058,320.40",27,11.7,44.5,1.33,5.14,0.57,"1,007.41","1,063.10","1,569.00",866.00,2022-12-12
115,MMFDB,Mirmire Laghubitta Bittiya Sanstha Limited,45.34,890.00,890.00,856.10,872.00,865.96,"2,028.00",890.00,"1,756,167.90",33,-18.0,33.9,-2.02,3.96,0.69,"1,005.95","1,060.78","1,569.00",856.10,2022-12-13
116,MMFDB,Mirmire Laghubitta Bittiya Sanstha Limited,33.49,861.00,875.00,855.00,865.10,866.84,"1,053.00",872.00,"912,787.00",32,-6.9,20.0,-0.79,2.34,-0.2,"1,004.75","1,058.48","1,569.00",855.00,2022-12-14
120,MMFDB,Mirmire Laghubitta Bittiya Sanstha Limited,26.65,870.00,880.00,863.00,863.10,874.74,411.00,865.10,"359,517.00",12,-2.0,17.0,-0.23,1.97,-1.35,"1,003.31","1,056.13","1,569.00",855.00,2022-12-15
117,MMFDB,Mirmire Laghubitta Bittiya Sanstha Limited,25.5,853.30,871.00,852.00,860.00,857.78,"1,311.00",863.10,"1,124,551.60",19,-3.1,19.0,-0.36,2.23,0.26,"1,002.02","1,053.69","1,569.00",852.00,2022-12-18
118,MMFDB,Mirmire Laghubitta Bittiya Sanstha Limited,35.37,861.00,870.00,857.00,870.00,861.29,617.00,860.00,"531,414.00",19,10.0,13.0,1.16,1.52,1.0,"1,000.97","1,051.13","1,569.00",852.00,2022-12-19
120,MMFDB,Mirmire Laghubitta Bittiya Sanstha Limited,35.37,879.00,885.00,870.00,875.00,881.42,"1,325.00",870.00,"1,167,877.90",21,5.0,15.0,0.57,1.72,-0.73,999.81,"1,048.68","1,569.00",852.00,2022-12-20
118,MMFDB,Mirmire Laghubitta Bittiya Sanstha Limited,47.56,865.00,889.00,861.20,889.00,875.97,458.00,875.00,"401,195.40",14,14.0,27.8,1.6,3.23,1.47,998.46,"1,046.38","1,569.00",852.00,2022-12-21
116,MMFDB,Mirmire Laghubitta Bittiya Sanstha Limited,40.99,906.00,960.80,900.10,919.70,922.16,"8,990.00",889.00,"8,290,194.70",124,30.7,60.7,3.45,6.74,-0.27,997.71,"1,044.51","1,569.00",852.00,2022-12-22
116,MMFDB,Mirmire Laghubitta Bittiya Sanstha Limited,49.98,925.00,960.00,920.00,954.00,940.66,"10,713.00",919.70,"10,077,262.20",128,34.3,40.0,3.73,4.35,1.4,997.26,"1,042.71","1,565.00",852.00,2022-12-26
122,MMFDB,Mirmire Laghubitta Bittiya Sanstha Limited,51.91,973.00,973.00,922.40,932.80,939.38,"16,965.00",954.00,"15,936,569.90",212,-21.2,50.60,-2.22,5.49,-0.71,996.44,"1,040.89","1,565.00",852.00,2022-12-27
119,MMFDB,Mirmire Laghubitta Bittiya Sanstha Limited,48.92,933.00,933.00,910.00,920.00,918.51,"2,814.00",932.80,"2,584,697.20",52,-12.8,23.0,-1.37,2.53,0.16,995.09,"1,039.11","1,565.00",852.00,2022-12-28
121,MMFDB,Mirmire Laghubitta Bittiya Sanstha Limited,48.92,927.00,945.50,910.00,921.00,921.92,"7,166.00",920.00,"6,606,486.70",98,1.0,35.5,0.11,3.9,-0.1,994.06,"1,037.32","1,565.00",852.00,2022-12-29
124,MMFDB,Mirmire Laghubitta Bittiya Sanstha Limited,36.66,938.00,938.00,915.00,917.00,925.26,"8,906.00",921.00,"8,240,327.20",115,-4.0,23.00,-0.43,2.51,-0.9,992.45,"1,035.80","1,565.00",852.00,2023-01-01
116,MMFDB,Mirmire Laghubitta Bittiya Sanstha Limited,36.66,915.00,948.60,908.20,948.60,929.13,"5,243.00",917.00,"4,871,428.10",63,31.6,40.4,3.45,4.45,2.05,991.40,"1,034.47","1,565.00",852.00,2023-01-02
119,MMFDB,Mirmire Laghubitta Bittiya Sanstha Limited,46.55,967.50,"1,026.00",966.00,"1,010.30","1,004.74","24,080.00",948.60,"24,194,208.10",332,61.7,60.0,6.5,6.21,0.55,991.03,"1,033.36","1,558.00",852.00,2023-01-03
120,MMFDB,Mirmire Laghubitta Bittiya Sanstha Limited,61.53,837.80,903.50,837.80,903.50,865.25,"8,426.00",821.38,"7,290,583.60",152,82.12,65.7,10.0,7.84,4.23,989.77,"1,031.65","1,558.00",837.80,2023-01-04
118,MMFDB,Mirmire Laghubitta Bittiya Sanstha Limited,42.45,920.00,921.50,889.00,908.90,905.77,"7,068.00",903.50,"6,402,004.00",90,5.4,32.5,0.6,3.66,0.34,988.55,"1,030.15","1,558.00",837.80,2023-01-05
121,MMFDB,Mirmire Laghubitta Bittiya Sanstha Limited,43.65,910.00,910.00,876.10,884.00,891.63,"3,979.00",908.90,"3,547,778.50",81,-24.90,33.90,-2.74,3.87,-0.86,-,-,"1,558.00",837.80,2023-01-08
120,MMFDB,Mirmire Laghubitta Bittiya Sanstha Limited,42.53,873.00,887.00,870.00,872.00,874.00,"3,473.00",884.00,"3,035,415.90",64,-12.0,17.0,-1.36,1.95,-0.23,986.47,"1,026.68","1,558.00",837.80,2023-01-09
