SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
116,MNBBL,Muktinath Bikas Bank Limited,26.37,431.00,431.00,421.00,422.50,423.10,"6,294.00",425.00,"2,662,968.40",82,-2.5,10.0,-0.59,2.38,-0.14,431.34,443.79,603.00,368.00,2022-12-07
116,MNBBL,Muktinath Bikas Bank Limited,26.37,431.00,431.00,421.00,422.50,423.10,"6,294.00",425.00,"2,662,968.40",82,-2.5,10.0,-0.59,2.38,-0.14,431.34,443.79,603.00,368.00,2022-12-09
119,MNBBL,Muktinath Bikas Bank Limited,27.79,417.00,420.00,413.00,416.00,416.12,"12,794.00",422.50,"5,323,821.10",162,-6.5,7.0,-1.54,1.69,-0.03,-,-,603.00,368.00,2022-12-11
117,MNBBL,Muktinath Bikas Bank Limited,30.79,415.00,421.50,415.00,421.00,417.46,"16,965.00",416.00,"7,082,164.80",144,5.0,6.5,1.2,1.57,0.84,431.28,442.73,603.00,368.00,2022-12-12
117,MNBBL,Muktinath Bikas Bank Limited,33.0,420.00,423.50,418.20,420.00,419.54,"8,023.00",421.00,"3,365,975.00",76,-1.0,5.3,-0.24,1.27,0.11,431.42,442.26,603.00,368.00,2022-12-13
117,MNBBL,Muktinath Bikas Bank Limited,28.83,420.00,427.00,415.20,417.00,419.22,"5,392.00",420.00,"2,260,431.20",74,-3.0,11.8,-0.71,2.84,-0.53,431.64,441.71,603.00,368.00,2022-12-14
121,MNBBL,Muktinath Bikas Bank Limited,24.7,415.00,418.00,414.10,417.80,416.62,"12,443.00",417.00,"5,184,059.50",92,0.8,3.9,0.19,0.94,0.28,431.79,441.15,603.00,368.00,2022-12-15
118,MNBBL,Muktinath Bikas Bank Limited,44.68,425.00,426.20,413.00,414.90,415.17,"18,716.00",417.80,"7,770,413.70",244,-2.9,13.2,-0.69,3.2,-0.07,431.95,440.59,603.00,368.00,2022-12-18
120,MNBBL,Muktinath Bikas Bank Limited,28.06,423.00,423.10,413.00,415.60,415.75,"10,880.00",414.90,"4,523,363.80",135,0.7,10.1,0.17,2.45,-0.04,432.23,440.07,603.00,368.00,2022-12-19
121,MNBBL,Muktinath Bikas Bank Limited,28.06,415.00,418.00,413.00,414.00,414.58,"12,643.00",415.60,"5,241,583.30",146,-1.6,5.0,-0.38,1.21,-0.14,432.39,439.61,603.00,368.00,2022-12-20
119,MNBBL,Muktinath Bikas Bank Limited,38.01,415.00,417.00,411.60,415.00,413.53,"8,437.00",414.00,"3,488,993.50",110,1.0,5.4,0.24,1.31,0.35,432.29,439.20,603.00,368.00,2022-12-21
117,MNBBL,Muktinath Bikas Bank Limited,27.54,414.90,414.90,407.00,409.90,409.14,"19,091.00",415.00,"7,810,960.60",159,-5.1,7.9,-1.23,1.94,0.18,432.27,438.78,603.00,368.00,2022-12-22
117,MNBBL,Muktinath Bikas Bank Limited,34.7,415.00,422.00,415.00,422.00,418.52,"23,634.00",409.90,"9,891,317.20",231,12.1,7.0,2.95,1.69,0.82,432.41,438.40,603.00,368.00,2022-12-26
123,MNBBL,Muktinath Bikas Bank Limited,49.64,430.00,443.00,425.00,438.00,436.70,"49,306.00",422.00,"21,532,000.70",400,16.0,18.00,3.79,4.24,0.3,432.57,438.11,603.00,368.00,2022-12-27
