SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
117,MPFL,Multipurpose Finance Company Limited,34.2,302.20,303.00,294.10,298.00,298.17,"6,001.00",306.00,"1,789,340.10",49,-8.0,8.9,-2.61,3.03,-0.06,301.38,307.37,506.00,206.10,2022-12-07
117,MPFL,Multipurpose Finance Company Limited,34.2,302.20,303.00,294.10,298.00,298.17,"6,001.00",306.00,"1,789,340.10",49,-8.0,8.9,-2.61,3.03,-0.06,301.38,307.37,506.00,206.10,2022-12-09
120,MPFL,Multipurpose Finance Company Limited,35.62,293.00,301.00,293.00,300.00,297.43,"4,377.00",298.00,"1,301,857.80",40,2.0,8.0,0.67,2.73,0.86,-,-,506.00,206.10,2022-12-11
118,MPFL,Multipurpose Finance Company Limited,35.54,295.30,301.00,295.20,301.00,298.13,"1,773.00",300.00,"528,587.30",22,1.0,5.8,0.33,1.96,0.95,302.53,306.27,506.00,206.10,2022-12-12
118,MPFL,Multipurpose Finance Company Limited,31.37,303.00,303.00,297.20,302.00,302.68,"1,523.00",301.00,"460,983.60",4,1.0,5.8,0.33,1.95,-0.23,303.14,305.72,506.00,206.10,2022-12-13
118,MPFL,Multipurpose Finance Company Limited,25.02,302.00,306.00,296.00,303.80,301.10,"6,946.00",302.00,"2,091,406.80",33,1.8,10.0,0.6,3.38,0.89,303.84,305.16,506.00,206.10,2022-12-14
122,MPFL,Multipurpose Finance Company Limited,45.48,304.50,305.00,293.40,293.40,299.48,"4,100.00",303.80,"1,227,864.70",36,-10.4,11.6,-3.42,3.95,-2.07,304.36,304.52,506.00,206.10,2022-12-15
119,MPFL,Multipurpose Finance Company Limited,31.57,299.20,304.00,285.10,297.90,288.64,"2,980.00",293.40,"860,147.20",26,4.5,18.9,1.53,6.63,3.11,304.98,303.93,506.00,206.10,2022-12-18
121,MPFL,Multipurpose Finance Company Limited,25.62,303.00,303.00,290.00,295.00,292.19,"2,949.00",297.90,"861,655.00",30,-2.9,13.0,-0.97,4.48,0.95,305.62,303.34,506.00,206.10,2022-12-19
122,MPFL,Multipurpose Finance Company Limited,25.62,296.00,298.00,291.00,298.00,293.93,"1,381.00",295.00,"405,916.30",15,3.0,7.0,1.02,2.41,1.37,306.25,302.90,506.00,206.10,2022-12-20
120,MPFL,Multipurpose Finance Company Limited,29.77,292.10,303.00,289.00,290.00,293.13,"2,033.00",298.00,"595,934.80",30,-8.0,14.0,-2.68,4.84,-1.08,306.73,302.48,506.00,206.10,2022-12-21
124,MPFL,Multipurpose Finance Company Limited,35.4,295.80,319.00,295.80,319.00,317.90,"39,238.00",290.00,"12,473,900.30",183,29.0,23.20,10.0,7.84,0.34,307.49,302.25,506.00,206.10,2022-12-27
122,MPFL,Multipurpose Finance Company Limited,55.3,322.00,328.30,315.00,321.00,321.89,"26,506.00",319.00,"8,532,055.70",162,2.0,13.3,0.63,4.22,-0.28,308.25,301.93,506.00,206.10,2022-12-28
123,MPFL,Multipurpose Finance Company Limited,55.3,321.00,336.00,318.10,334.00,330.21,"25,765.00",321.00,"8,507,903.40",132,13.0,17.9,4.05,5.63,1.13,309.07,301.76,506.00,206.10,2022-12-29
126,MPFL,Multipurpose Finance Company Limited,55.56,338.00,341.00,320.00,326.00,328.81,"34,877.00",334.00,"11,467,909.50",173,-8.0,21.00,-2.4,6.56,-0.86,309.68,301.54,506.00,206.10,2023-01-01
119,MPFL,Multipurpose Finance Company Limited,55.56,330.00,337.90,323.60,334.90,332.67,"20,237.00",326.00,"6,732,156.50",103,8.9,14.3,2.73,4.42,0.67,310.41,301.40,506.00,206.10,2023-01-02
122,MPFL,Multipurpose Finance Company Limited,51.65,336.00,341.00,322.00,328.90,329.88,"14,379.00",334.90,"4,743,281.00",101,-6.0,19.0,-1.79,5.9,-0.3,310.97,301.24,506.00,206.10,2023-01-03
122,MPFL,Multipurpose Finance Company Limited,51.5,334.70,340.00,329.00,339.00,336.35,"14,129.00",328.90,"4,752,317.60",86,10.1,11.0,3.07,3.34,0.78,311.59,301.15,506.00,206.10,2023-01-04
120,MPFL,Multipurpose Finance Company Limited,60.26,345.70,359.50,340.00,349.00,346.66,"36,487.00",339.00,"12,648,526.50",194,10.0,19.5,2.95,5.74,0.67,312.41,301.11,506.00,206.10,2023-01-05
123,MPFL,Multipurpose Finance Company Limited,61.46,349.00,370.00,342.10,360.00,361.53,"41,341.00",349.00,"14,945,946.30",194,11.00,27.90,3.15,8.16,-0.42,-,-,506.00,206.10,2023-01-08
122,MPFL,Multipurpose Finance Company Limited,61.19,355.10,376.00,355.00,372.00,368.27,"32,005.00",360.00,"11,786,486.50",153,12.0,21.0,3.33,5.92,1.0,314.26,301.18,506.00,206.10,2023-01-09
119,MPFL,Multipurpose Finance Company Limited,54.95,379.40,386.90,350.00,355.00,369.84,"42,970.00",372.00,"15,891,878.00",229,-17.0,36.9,-4.57,10.54,-4.18,315.14,301.14,506.00,206.10,2023-01-10
119,MPFL,Multipurpose Finance Company Limited,54.98,362.10,376.00,341.00,345.00,353.61,"26,988.00",355.00,"9,543,278.30",185,-10.0,35.0,-2.82,10.26,-2.5,316.12,301.07,506.00,206.10,2023-01-12
115,MPFL,Multipurpose Finance Company Limited,46.26,345.00,362.10,335.10,357.00,353.22,"14,135.00",345.00,"4,992,714.70",103,12.0,27.0,3.48,8.06,1.06,317.20,301.09,496.70,206.10,2023-01-17
117,MPFL,Multipurpose Finance Company Limited,45.71,364.00,368.90,346.00,352.90,358.84,"15,636.00",357.00,"5,610,769.50",93,-4.1,22.9,-1.15,6.62,-1.68,318.13,301.09,478.00,206.10,2023-01-18
115,MPFL,Multipurpose Finance Company Limited,42.07,355.00,356.00,339.20,348.00,347.11,"16,030.00",352.90,"5,564,241.00",111,-4.9,16.8,-1.39,4.95,0.25,318.99,301.15,470.00,206.10,2023-01-19
121,MPFL,Multipurpose Finance Company Limited,41.39,354.90,356.00,341.10,341.10,346.65,"14,812.00",348.00,"5,134,613.70",89,-6.9,14.9,-1.98,4.37,-1.63,319.83,301.17,469.20,206.10,2023-01-23
119,MPFL,Multipurpose Finance Company Limited,41.25,344.00,365.00,334.60,363.00,342.52,"18,907.00",341.10,"6,475,946.40",117,21.9,30.4,6.42,9.09,5.64,320.84,301.19,467.00,206.10,2023-01-24
118,MPFL,Multipurpose Finance Company Limited,45.59,370.00,370.00,359.00,360.00,365.18,"37,588.00",363.00,"13,726,270.70",195,-3.0,11.0,-0.83,3.06,-1.44,321.80,301.20,467.00,206.10,2023-01-25
116,MPFL,Multipurpose Finance Company Limited,49.87,366.00,373.00,356.80,356.80,362.80,"12,781.00",360.00,"4,636,899.40",78,-3.2,16.2,-0.89,4.54,-1.68,322.72,301.29,467.00,206.10,2023-01-26
120,MPFL,Multipurpose Finance Company Limited,44.41,350.00,354.90,345.10,347.00,348.36,"12,865.00",356.80,"4,481,602.10",76,-9.8,9.8,-2.75,2.84,-0.39,323.45,301.28,467.00,206.10,2023-01-29
119,MPFL,Multipurpose Finance Company Limited,43.38,342.00,348.00,333.00,333.00,339.95,"35,745.00",347.00,"12,151,678.50",111,-14.0,15.0,-4.03,4.5,-2.09,324.08,301.22,467.00,206.10,2023-01-30
120,MPFL,Multipurpose Finance Company Limited,45.74,339.00,346.80,335.10,335.10,339.69,"16,529.00",333.00,"5,614,735.00",95,2.1,11.7,0.63,3.49,-1.37,324.78,301.27,461.00,206.10,2023-01-31
117,MPFL,Multipurpose Finance Company Limited,35.88,341.00,344.00,334.10,335.00,336.97,"4,305.00",335.10,"1,450,635.60",33,-0.1,9.9,-0.03,2.96,-0.59,325.27,301.38,460.00,206.10,2023-02-01
119,MPFL,Multipurpose Finance Company Limited,34.1,332.00,351.00,331.20,344.90,335.11,"50,651.00",335.00,"16,973,687.20",106,9.9,19.8,2.96,5.98,2.84,325.62,301.64,460.00,206.10,2023-02-02
122,MPFL,Multipurpose Finance Company Limited,48.21,338.20,353.90,338.20,344.90,348.41,"5,593.00",344.90,"1,948,661.80",41,0.0,15.7,0.0,4.64,-1.02,325.73,301.91,454.60,206.10,2023-02-05
124,MPFL,Multipurpose Finance Company Limited,45.2,352.00,363.00,345.00,359.30,356.90,"34,388.00",347.90,"12,272,996.80",184,11.4,18.0,3.28,5.22,0.67,325.71,302.55,454.60,206.10,2023-02-07
122,MPFL,Multipurpose Finance Company Limited,53.50,360.00,362.00,350.00,362.00,355.65,"9,740.00",355.00,"3,463,989.50",49,7.0,12.0,1.97,3.43,1.76,325.89,303.13,439.90,206.10,2023-02-09
117,MPFL,Multipurpose Finance Company Limited,40.81,354.80,355.00,342.00,343.00,347.20,"11,510.00",362.00,"3,996,289.30",86,-19.0,13.0,-5.25,3.8,-1.22,325.94,303.48,428.00,206.10,2023-02-12
121,MPFL,Multipurpose Finance Company Limited,28.51,348.00,348.00,337.20,340.00,340.62,"5,260.00",343.00,"1,791,679.00",32,-3.00,10.8,-0.87,3.2,-0.18,325.95,303.79,428.00,206.10,2023-02-14
120,MPFL,Multipurpose Finance Company Limited,33.46,333.10,343.00,333.00,336.00,335.19,"10,430.00",336.40,"3,496,017.00",59,-0.40,10.00,-0.12,3.0,0.24,326.02,304.39,428.00,206.10,2023-02-16
120,MPFL,Multipurpose Finance Company Limited,30.63,339.00,340.00,330.00,334.00,334.28,"5,247.00",336.00,"1,753,942.50",38,-2.0,10.0,-0.6,3.03,-0.08,326.07,304.73,428.00,206.10,2023-02-20
126,MPFL,Multipurpose Finance Company Limited,36.0,340.60,347.40,338.50,339.00,341.81,"2,799.00",334.00,"956,712.80",26,5.0,8.9,1.5,2.63,-0.83,326.14,305.07,428.00,206.10,2023-02-22
122,MPFL,Multipurpose Finance Company Limited,29.39,332.30,342.00,322.00,328.40,328.62,"9,113.00",339.00,"2,994,737.00",68,-10.6,20.0,-3.13,6.21,-0.07,326.17,305.35,428.00,206.10,2023-02-23
120,MPFL,Multipurpose Finance Company Limited,39.7,327.00,335.00,317.00,334.00,327.13,"8,386.00",328.40,"2,743,317.60",54,5.6,18.0,1.71,5.68,2.06,326.38,305.68,418.00,206.10,2023-02-26
123,MPFL,Multipurpose Finance Company Limited,29.34,336.00,336.00,326.00,326.10,328.42,"4,164.00",330.00,"1,367,555.50",34,-3.9,10.0,-1.18,3.07,-0.71,326.82,306.34,418.00,206.10,2023-02-28
120,MPFL,Multipurpose Finance Company Limited,35.62,326.20,330.00,320.10,325.00,324.34,"4,721.00",326.10,"1,531,224.60",36,-1.10,9.90,-0.34,3.09,0.2,327.17,306.78,418.00,206.10,2023-03-01
121,MPFL,Multipurpose Finance Company Limited,21.57,321.00,321.00,318.00,320.20,318.74,"2,890.00",325.00,"921,150.00",17,-4.8,3.0,-1.48,0.94,0.46,327.26,307.17,418.00,206.10,2023-03-02
121,MPFL,Multipurpose Finance Company Limited,25.98,320.00,323.00,316.80,317.40,317.56,"4,888.00",320.20,"1,552,241.90",42,-2.8,6.2,-0.87,1.96,-0.05,327.28,307.55,418.00,206.10,2023-03-05
120,MPFL,Multipurpose Finance Company Limited,36.31,320.00,326.00,316.00,326.00,320.71,"2,985.00",317.40,"957,328.30",20,8.6,10.0,2.71,3.16,1.62,327.30,307.98,418.00,206.10,2023-03-07
119,MPFL,Multipurpose Finance Company Limited,46.58,332.00,341.00,326.00,341.00,331.73,"10,791.00",326.00,"3,579,740.60",78,15.0,15.0,4.6,4.6,2.72,327.23,308.52,418.00,206.10,2023-03-09
120,MPFL,Multipurpose Finance Company Limited,44.0,342.00,344.00,321.80,335.00,332.27,"8,067.00",341.00,"2,680,452.90",68,-6.0,22.2,-1.76,6.9,0.81,327.11,309.05,418.00,206.10,2023-03-12
119,MPFL,Multipurpose Finance Company Limited,40.35,326.50,336.50,323.20,333.00,332.62,"2,866.00",327.60,"953,275.50",26,5.4,13.3,1.65,4.12,0.12,326.68,309.94,418.00,206.10,2023-03-14
117,MPFL,Multipurpose Finance Company Limited,31.1,327.20,330.00,322.10,330.00,326.30,"5,162.00",333.00,"1,684,336.00",28,-3.00,7.9,-0.9,2.45,1.12,326.51,310.42,418.00,206.10,2023-03-15
117,MPFL,Multipurpose Finance Company Limited,36.74,323.40,328.00,321.60,327.80,325.50,"3,445.00",330.00,"1,121,357.00",24,-2.2,6.4,-0.67,1.99,0.7,326.44,310.89,418.00,206.10,2023-03-16
