SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
120,NABIL,Nabil Bank Limited,29.7,884.00,890.00,879.00,881.00,882.10,"51,341.00",888.00,"45,287,666.80",513,-7.0,11.0,-0.79,1.25,-0.12,815.25,855.66,"1,570.80",726.00,2022-12-07
120,NABIL,Nabil Bank Limited,29.7,884.00,890.00,879.00,881.00,882.10,"51,341.00",888.00,"45,287,666.80",513,-7.0,11.0,-0.79,1.25,-0.12,815.25,855.66,"1,570.80",726.00,2022-12-09
123,NABIL,Nabil Bank Limited,31.11,880.00,880.00,842.80,846.00,863.87,"87,795.00",881.00,"75,843,349.60","1,020",-35.0,37.2,-3.97,4.41,-2.11,-,-,"1,570.80",726.00,2022-12-11
121,NABIL,Nabil Bank Limited,33.37,846.00,846.00,801.70,815.00,815.40,"261,519.00",846.00,"213,241,682.50","3,015",-31.0,44.3,-3.66,5.53,-0.05,815.41,852.98,"1,570.80",726.00,2022-12-12
121,NABIL,Nabil Bank Limited,37.14,816.00,816.90,804.70,807.10,809.07,"88,690.00",815.00,"71,756,635.70","1,172",-7.9,12.2,-0.97,1.52,-0.24,815.34,851.57,"1,570.80",726.00,2022-12-13
121,NABIL,Nabil Bank Limited,32.83,807.00,818.00,807.00,808.00,812.88,"52,009.00",807.10,"42,277,228.30",720,0.9,11.0,0.11,1.36,-0.6,815.45,850.22,"1,570.80",726.00,2022-12-14
125,NABIL,Nabil Bank Limited,28.09,815.00,815.00,803.50,804.00,807.21,"58,542.00",808.00,"47,255,902.50",765,-4.0,11.5,-0.5,1.43,-0.4,815.55,848.85,"1,570.80",726.00,2022-12-15
122,NABIL,Nabil Bank Limited,27.9,810.00,810.00,793.00,794.00,798.28,"67,787.00",804.00,"54,113,336.70","1,019",-10.0,17.0,-1.24,2.14,-0.54,815.65,847.44,"1,570.80",726.00,2022-12-18
124,NABIL,Nabil Bank Limited,30.81,795.00,800.00,794.00,797.00,797.21,"40,026.00",794.00,"31,909,230.10",488,3.0,6.0,0.38,0.76,-0.03,816.05,846.09,"1,570.80",726.00,2022-12-19
125,NABIL,Nabil Bank Limited,30.81,800.00,807.00,797.00,800.00,800.69,"42,079.00",797.00,"33,692,251.60",586,3.0,10.0,0.38,1.25,-0.09,816.55,844.87,"1,570.80",726.00,2022-12-20
123,NABIL,Nabil Bank Limited,34.47,816.00,816.00,800.00,807.00,808.33,"48,877.00",800.00,"39,508,915.70",654,7.0,16.0,0.88,2.0,-0.17,816.81,843.71,"1,570.80",726.00,2022-12-21
120,NABIL,Nabil Bank Limited,41.08,809.00,811.00,800.10,810.00,804.92,"66,052.00",807.00,"53,166,698.00",724,3.0,10.9,0.37,1.36,0.63,817.06,842.60,"1,570.80",726.00,2022-12-22
