SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
121,NADEP,NADEP Laghubitta Bittiya Sanstha Limited,20.86,883.10,883.10,779.30,779.30,830.86,"1,984.00",865.83,"1,648,424.50",62,-86.53,103.8,-9.99,13.32,-6.62,742.69,716.65,883.10,779.30,2022-12-07
121,NADEP,NADEP Laghubitta Bittiya Sanstha Limited,20.86,883.10,883.10,779.30,779.30,830.86,"1,984.00",865.83,"1,648,424.50",62,-86.53,103.8,-9.99,13.32,-6.62,742.69,716.65,883.10,779.30,2022-12-09
124,NADEP,NADEP Laghubitta Bittiya Sanstha Limited,22.27,785.00,785.00,701.40,701.40,702.61,"6,092.00",779.30,"4,280,324.70",91,-77.9,83.6,-10.0,11.92,-0.17,-,-,883.10,701.40,2022-12-11
122,NADEP,NADEP Laghubitta Bittiya Sanstha Limited,24.88,687.40,694.00,650.00,692.80,680.34,"24,561.00",701.40,"16,709,898.70",250,-8.6,44.0,-1.23,6.77,1.8,744.45,718.35,883.10,650.00,2022-12-12
122,NADEP,NADEP Laghubitta Bittiya Sanstha Limited,29.91,693.00,702.00,678.50,678.80,685.29,"1,987.00",692.80,"1,361,668.00",60,-14.0,23.5,-2.02,3.46,-0.96,745.05,718.85,883.10,650.00,2022-12-13
122,NADEP,NADEP Laghubitta Bittiya Sanstha Limited,21.53,674.00,683.00,667.10,677.00,672.64,"4,152.00",678.80,"2,792,785.90",83,-1.8,15.9,-0.27,2.38,0.64,745.19,719.19,883.10,650.00,2022-12-14
126,NADEP,NADEP Laghubitta Bittiya Sanstha Limited,25.47,665.30,690.00,662.10,673.00,668.51,"4,949.00",677.00,"3,308,476.90",91,-4.0,27.9,-0.59,4.21,0.67,745.08,719.49,883.10,650.00,2022-12-15
123,NADEP,NADEP Laghubitta Bittiya Sanstha Limited,31.29,660.00,670.00,650.10,656.00,657.27,"4,371.00",673.00,"2,872,923.40",91,-17.0,19.9,-2.53,3.06,-0.19,744.83,719.75,883.10,650.00,2022-12-18
125,NADEP,NADEP Laghubitta Bittiya Sanstha Limited,35.33,649.00,658.00,643.00,651.00,648.37,"6,705.00",656.00,"4,347,306.90",79,-5.0,15.0,-0.76,2.33,0.4,744.63,719.82,883.10,643.00,2022-12-19
126,NADEP,NADEP Laghubitta Bittiya Sanstha Limited,35.33,664.00,664.00,650.00,654.00,652.53,"2,052.00",651.00,"1,338,990.30",61,3.0,14.0,0.46,2.15,0.22,744.15,719.87,883.10,643.00,2022-12-20
124,NADEP,NADEP Laghubitta Bittiya Sanstha Limited,30.99,660.00,660.00,644.00,644.00,645.97,"2,704.00",654.00,"1,746,709.70",60,-10.0,16.0,-1.53,2.48,-0.31,744.02,719.87,883.10,643.00,2022-12-21
121,NADEP,NADEP Laghubitta Bittiya Sanstha Limited,30.47,650.00,650.00,638.00,640.10,641.07,"4,828.00",644.00,"3,095,101.80",67,-3.9,12.0,-0.61,1.88,-0.15,743.85,719.97,883.10,638.00,2022-12-22
