SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
130,NBLD85,8% Nabil Debenture 2085,33.51,765.00,765.00,749.70,755.00,756.57,75.00,751.10,"56,742.50",3,3.9,15.3,0.52,2.04,-0.21,-,-,980.00,745.00,2022-12-15
130,NBLD85,8% Nabil Debenture 2085,45.71,760.00,760.00,760.00,760.00,760.00,25.00,755.00,"19,000.00",1,5.0,0.0,0.66,0.0,0.0,-,-,920.00,745.00,2023-01-03
130,NBLD85,8% Nabil Debenture 2085,51.43,754.10,754.10,754.10,754.10,754.10,25.00,760.00,"18,852.50",1,-5.9,0.0,-0.78,0.0,0.0,-,-,920.00,745.00,2023-01-04
128,NBLD85,8% Nabil Debenture 2085,60.29,760.00,760.00,759.90,759.90,759.92,110.00,754.10,"83,591.50",3,5.8,0.1,0.77,0.01,0.0,-,-,920.00,745.00,2023-01-05
122,NBLD85,8% Nabil Debenture 2085,60.69,750.00,750.00,750.00,750.00,750.00,25.00,759.90,"18,750.00",1,-9.9,0.0,-1.3,0.0,0.0,0.00,0.00,913.00,745.00,2023-01-17
123,NBLD85,8% Nabil Debenture 2085,48.07,735.00,735.00,735.00,735.00,735.00,30.00,750.00,"22,050.00",2,-15.0,0.0,-2.0,0.0,0.0,0.00,0.00,913.00,735.00,2023-01-19
124,NBLD85,8% Nabil Debenture 2085,42.56,740.00,740.00,740.00,740.00,740.00,25.00,735.00,"18,500.00",2,5.0,0.0,0.68,0.0,0.0,0.00,0.00,880.00,735.00,2023-01-26
129,NBLD85,8% Nabil Debenture 2085,40.72,730.10,730.10,730.00,730.00,730.03,75.00,740.00,"54,752.50",2,-10.0,0.1,-1.35,0.01,0.0,0.00,0.00,880.00,730.00,2023-01-31
125,NBLD85,8% Nabil Debenture 2085,40.78,732.20,732.20,732.20,732.20,732.20,25.00,730.00,"18,305.00",1,2.2,0.0,0.3,0.0,0.0,0.00,0.00,880.00,730.00,2023-02-01
128,NBLD85,8% Nabil Debenture 2085,42.99,731.00,731.00,731.00,731.00,731.00,25.00,732.20,"18,275.00",1,-1.2,0.0,-0.16,0.0,0.0,0.00,0.00,880.00,730.00,2023-02-02
125,NBLD85,8% Nabil Debenture 2085,52.33,730.10,744.00,730.10,744.00,741.22,125.00,740.00,"92,652.50",2,4.0,13.9,0.54,1.9,0.37,829.25,0.00,875.00,730.00,2023-02-12
128,NBLD85,8% Nabil Debenture 2085,48.19,741.00,741.00,740.00,741.00,740.33,75.00,744.00,"55,525.00",3,-3.0,1.0,-0.4,0.14,0.09,827.26,0.00,874.00,730.00,2023-02-20
134,NBLD85,8% Nabil Debenture 2085,43.11,740.10,740.10,735.00,735.00,738.06,25.00,741.00,"18,451.50",2,-6.0,5.1,-0.81,0.69,-0.42,825.59,0.00,854.00,730.00,2023-02-22
131,NBLD85,8% Nabil Debenture 2085,39.11,740.00,740.00,740.00,740.00,740.00,25.00,735.00,"18,500.00",1,5.0,0.0,0.68,0.0,0.0,824.09,0.00,854.00,730.00,2023-02-28
128,NBLD85,8% Nabil Debenture 2085,36.99,741.00,741.00,741.00,741.00,741.00,25.00,740.00,"18,525.00",1,1.0,0.0,0.14,0.0,0.0,822.59,0.00,854.00,730.00,2023-03-07
127,NBLD85,8% Nabil Debenture 2085,50.46,750.00,750.00,750.00,750.00,750.00,200.00,741.00,"150,000.00",1,9.0,0.0,1.21,0.0,0.0,821.22,0.00,854.00,730.00,2023-03-09
128,NBLD85,8% Nabil Debenture 2085,46.37,765.00,780.30,765.00,780.30,767.61,90.00,750.00,"69,084.50",3,30.3,15.3,4.04,2.0,1.63,820.10,0.00,854.00,730.00,2023-03-12
126,NBLD85,8% Nabil Debenture 2085,43.31,775.00,775.00,775.00,775.00,775.00,25.00,770.00,"19,375.00",1,5.0,0.0,0.65,0.0,0.0,817.87,0.00,854.00,730.00,2023-03-20
129,NBLD85,8% Nabil Debenture 2085,27.88,750.30,750.30,750.30,750.30,750.30,25.00,765.10,"18,757.50",1,-14.8,0.0,-1.93,0.0,0.0,815.34,0.00,852.70,730.00,2023-03-28
127,NBLD85,8% Nabil Debenture 2085,30.01,740.60,740.60,740.50,740.50,740.55,100.00,750.30,"74,055.30",3,-9.8,0.1,-1.31,0.01,-0.01,814.00,0.00,852.70,730.00,2023-03-29
130,NBLD85,8% Nabil Debenture 2085,22.85,742.00,742.00,742.00,742.00,742.00,25.00,740.50,"18,550.00",1,1.5,0.0,0.2,0.0,0.0,812.52,0.00,852.70,730.00,2023-04-06
134,NBLD85,8% Nabil Debenture 2085,26.25,756.80,756.80,756.80,756.80,756.80,65.00,742.00,"49,192.00",1,14.8,0.0,1.99,0.0,0.0,811.31,0.00,852.70,730.00,2023-04-09
126,NBLD85,8% Nabil Debenture 2085,36.77,771.90,771.90,771.90,771.90,771.90,25.00,756.80,"19,297.50",1,15.1,0.0,2.0,0.0,0.0,810.24,0.00,852.70,730.00,2023-04-10
129,NBLD85,8% Nabil Debenture 2085,50.3,787.30,787.30,772.60,772.60,779.95,50.00,771.90,"38,997.50",2,0.70,14.70,0.09,1.9,-0.95,809.18,0.00,852.70,730.00,2023-04-12
131,NBLD85,8% Nabil Debenture 2085,46.48,772.00,772.00,772.00,772.00,772.00,25.00,772.60,"19,300.00",1,-0.6,0.0,-0.08,0.0,0.0,808.12,0.00,852.70,730.00,2023-04-16
128,NBLD85,8% Nabil Debenture 2085,33.98,772.10,772.10,772.10,772.10,772.10,50.00,772.10,"38,605.00",2,0.0,0.0,0.0,0.0,0.0,805.92,0.00,852.70,730.00,2023-04-23
131,NBLD85,8% Nabil Debenture 2085,26.97,772.00,772.00,772.00,772.00,772.00,25.00,772.10,"19,300.00",1,-0.1,0.0,-0.01,0.0,0.0,805.02,0.00,852.70,730.00,2023-04-30
