SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
126,NCCB,Nepal Credit & Commerce Bank Limited,40.09,181.10,183.40,181.00,181.80,181.92,"42,276.00",182.80,"7,690,997.50",101,-1.0,2.4,-0.55,1.33,-0.07,208.83,223.44,305.00,181.00,2022-12-07
126,NCCB,Nepal Credit & Commerce Bank Limited,40.09,181.10,183.40,181.00,181.80,181.92,"42,276.00",182.80,"7,690,997.50",101,-1.0,2.4,-0.55,1.33,-0.07,208.83,223.44,305.00,181.00,2022-12-09
129,NCCB,Nepal Credit & Commerce Bank Limited,41.5,184.40,185.10,177.90,180.00,179.41,"43,497.00",181.80,"7,803,777.50",192,-1.8,7.2,-0.99,4.05,0.33,-,-,305.00,177.90,2022-12-11
126,NCCB,Nepal Credit & Commerce Bank Limited,36.98,177.00,182.10,177.00,181.80,178.70,"109,996.00",180.00,"19,656,203.70",162,1.8,5.1,1.0,2.88,1.71,207.99,222.37,305.00,177.00,2022-12-12
126,NCCB,Nepal Credit & Commerce Bank Limited,42.62,180.00,185.30,180.00,183.50,182.39,"43,930.00",181.80,"8,012,501.00",122,1.7,5.3,0.94,2.94,0.6,207.63,221.87,305.00,177.00,2022-12-13
126,NCCB,Nepal Credit & Commerce Bank Limited,43.63,183.50,183.50,181.20,181.80,182.44,"13,780.00",183.50,"2,514,003.10",66,-1.7,2.3,-0.93,1.27,-0.35,207.26,221.37,305.00,177.00,2022-12-14
131,NCCB,Nepal Credit & Commerce Bank Limited,36.55,181.00,181.80,179.10,179.70,179.85,"27,980.00",181.80,"5,032,106.30",89,-2.1,2.7,-1.16,1.51,-0.08,206.90,220.81,305.00,177.00,2022-12-15
127,NCCB,Nepal Credit & Commerce Bank Limited,37.29,179.70,180.00,177.00,179.00,178.09,"35,335.00",179.70,"6,292,895.50",121,-0.7,3.0,-0.39,1.69,0.51,206.53,220.27,305.00,177.00,2022-12-18
129,NCCB,Nepal Credit & Commerce Bank Limited,33.27,179.00,181.50,176.10,179.90,177.61,"19,078.00",179.00,"3,388,399.00",101,0.9,5.4,0.5,3.07,1.27,206.15,219.73,305.00,176.10,2022-12-19
130,NCCB,Nepal Credit & Commerce Bank Limited,33.27,179.00,181.00,177.30,179.00,179.58,"16,289.00",179.90,"2,925,126.30",71,-0.9,3.7,-0.5,2.09,-0.32,205.75,219.21,305.00,176.10,2022-12-20
128,NCCB,Nepal Credit & Commerce Bank Limited,34.29,179.00,181.00,177.70,178.50,179.21,"22,534.00",179.00,"4,038,393.30",75,-0.5,3.3,-0.28,1.86,-0.4,205.30,218.68,305.00,176.10,2022-12-21
125,NCCB,Nepal Credit & Commerce Bank Limited,35.84,180.00,181.00,175.70,176.70,176.83,"62,181.00",178.50,"10,995,561.30",188,-1.8,5.3,-1.01,3.02,-0.07,204.85,218.14,305.00,175.70,2022-12-22
126,NCCB,Nepal Credit & Commerce Bank Limited,36.39,179.20,184.50,178.10,184.50,181.40,"69,465.00",176.70,"12,601,205.80",256,7.8,6.4,4.41,3.59,1.68,204.52,217.65,305.00,175.70,2022-12-26
132,NCCB,Nepal Credit & Commerce Bank Limited,47.8,187.10,192.00,183.00,190.00,188.15,"155,822.00",184.50,"29,318,188.00",492,5.5,9.00,2.98,4.92,0.97,204.24,217.20,305.00,175.70,2022-12-27
130,NCCB,Nepal Credit & Commerce Bank Limited,52.88,192.00,192.50,185.00,187.30,187.08,"89,490.00",190.00,"16,742,160.00",213,-2.7,7.5,-1.42,4.05,0.12,203.94,216.72,305.00,175.70,2022-12-28
132,NCCB,Nepal Credit & Commerce Bank Limited,52.88,185.00,190.00,184.00,189.00,187.38,"91,550.00",187.30,"17,154,526.80",332,1.7,6.0,0.91,3.26,0.86,203.67,216.31,305.00,175.70,2022-12-29
