SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
127,NCCD86,9.5%  NCC Rinpatra 2086,43.93,900.00,900.00,900.00,900.00,900.00,50.00,904.90,"45,000.00",1,-4.9,0.0,-0.54,0.0,0.0,-,-,"1,005.00",860.00,2022-12-07
127,NCCD86,9.5%  NCC Rinpatra 2086,43.93,900.00,900.00,900.00,900.00,900.00,50.00,904.90,"45,000.00",1,-4.9,0.0,-0.54,0.0,0.0,-,-,"1,005.00",860.00,2022-12-09
127,NCCD86,9.5%  NCC Rinpatra 2086,45.51,900.00,900.00,900.00,900.00,900.00,30.00,900.00,"27,000.00",1,0.0,0.0,0.0,0.0,0.0,-,-,"1,005.00",860.00,2022-12-13
131,NCCD86,9.5%  NCC Rinpatra 2086,53.54,882.00,882.00,882.00,882.00,882.00,100.00,900.00,"88,200.00",1,-18.0,0.0,-2.0,0.0,0.0,0.00,0.00,965.00,860.00,2023-02-09
136,NCCD86,9.5%  NCC Rinpatra 2086,33.31,864.40,864.40,864.40,864.40,864.40,25.00,882.00,"21,610.00",1,-17.6,0.0,-2.0,0.0,0.0,0.00,0.00,965.00,860.00,2023-02-22
129,NCCD86,9.5%  NCC Rinpatra 2086,31.04,864.00,865.00,864.00,865.00,864.69,290.00,864.40,"250,760.00",2,0.6,1.0,0.07,0.12,0.04,0.00,0.00,965.00,860.00,2023-03-22
129,NCCD86,9.5%  NCC Rinpatra 2086,31.04,860.00,860.00,860.00,860.00,860.00,200.00,865.00,"172,000.00",1,-5.0,0.0,-0.58,0.0,0.0,-,-,965.00,860.00,2023-03-23
126,NCCD86,9.5%  NCC Rinpatra 2086,21.47,835.00,835.00,835.00,835.00,835.00,25.00,842.80,"20,875.00",1,-7.8,0.0,-0.93,0.0,0.0,0.00,0.00,965.00,835.00,2023-03-30
128,NCCD86,9.5%  NCC Rinpatra 2086,23.53,850.00,850.00,850.00,850.00,850.00,10.00,835.00,"8,500.00",1,15.0,0.0,1.8,0.0,0.0,0.00,0.00,965.00,835.00,2023-04-02
132,NCCD86,9.5%  NCC Rinpatra 2086,26.47,840.00,840.00,840.00,840.00,840.00,25.00,850.00,"21,000.00",1,-10.0,0.0,-1.18,0.0,0.0,0.00,0.00,965.00,835.00,2023-04-06
130,NCCD86,9.5%  NCC Rinpatra 2086,33.07,823.20,823.20,823.20,823.20,823.20,25.00,840.00,"20,580.00",2,-16.80,0.00,-2.0,0.0,0.0,0.00,0.00,965.00,823.20,2023-04-11
131,NCCD86,9.5%  NCC Rinpatra 2086,48.4,839.60,872.00,839.60,872.00,855.12,135.00,823.20,"115,441.00",5,48.80,32.40,5.93,3.86,1.94,0.00,0.00,965.00,823.20,2023-04-12
131,NCCD86,9.5%  NCC Rinpatra 2086,47.63,889.40,943.60,889.40,943.60,919.42,50.00,872.00,"45,971.00",5,71.6,54.2,8.21,6.09,2.56,0.00,0.00,965.00,823.20,2023-04-19
134,NCCD86,9.5%  NCC Rinpatra 2086,36.27,961.50,961.50,961.50,961.50,961.50,10.00,943.60,"9,615.00",1,17.9,0.0,1.9,0.0,0.0,0.00,0.00,961.50,823.20,2023-05-02
128,NCCD86,9.5%  NCC Rinpatra 2086,35.4,942.30,942.30,942.30,942.30,942.30,25.00,961.50,"23,557.50",1,-19.2,0.0,-2.0,0.0,0.0,0.00,0.00,961.50,823.20,2023-05-03
135,NCCD86,9.5%  NCC Rinpatra 2086,35.31,959.50,959.50,959.50,959.50,959.50,10.00,942.30,"9,595.00",1,17.2,0.0,1.83,0.0,0.0,0.00,0.00,961.50,823.20,2023-05-04
129,NCCD86,9.5%  NCC Rinpatra 2086,23.62,940.40,940.40,886.00,890.00,901.93,120.00,959.50,"108,232.00",6,-69.5,54.4,-7.24,6.14,-1.34,0.00,0.00,961.50,823.20,2023-05-10
128,NCCD86,9.5%  NCC Rinpatra 2086,18.4,907.00,907.00,907.00,907.00,907.00,10.00,890.00,"9,070.00",1,17.0,0.0,1.91,0.0,0.0,0.00,0.00,961.50,823.20,2023-05-11
129,NCCD86,9.5%  NCC Rinpatra 2086,18.28,890.00,890.00,890.00,890.00,890.00,25.00,907.00,"22,250.00",1,-17.0,0.0,-1.87,0.0,0.0,0.00,0.00,961.50,823.20,2023-05-14
138,NCCD86,9.5%  NCC Rinpatra 2086,25.77,873.10,890.40,873.00,890.40,876.92,45.00,890.00,"39,461.50",3,0.40,17.40,0.04,1.99,1.51,0.00,0.00,961.50,823.20,2023-05-21
135,NCCD86,9.5%  NCC Rinpatra 2086,48.32,895.10,895.10,895.10,895.10,895.10,25.00,890.40,"22,377.50",1,4.70,0.00,0.53,0.0,0.0,0.00,0.00,961.50,823.20,2023-05-24
