SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
129,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,26.52,"3,400.00","3,403.00","3,326.00","3,390.00","3,361.10","4,045.00","3,335.00","13,595,657.40",138,55.0,77.0,1.65,2.32,0.85,"2,854.37",-,"3,759.00",747.70,2022-12-07
129,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,26.52,"3,400.00","3,403.00","3,326.00","3,390.00","3,361.10","4,045.00","3,335.00","13,595,657.40",138,55.0,77.0,1.65,2.32,0.85,"2,854.37",-,"3,759.00",747.70,2022-12-09
131,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,27.93,"3,330.00","3,366.00","3,330.00","3,358.00","3,349.51","4,179.00","3,390.00","13,997,607.00",112,-32.0,36.0,-0.94,1.08,0.25,-,-,"3,759.00",747.70,2022-12-11
128,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,28.13,"3,291.00","3,359.00","3,291.00","3,329.00","3,316.81","3,472.00","3,358.00","11,515,973.70",140,-29.0,68.0,-0.86,2.07,0.37,"2,874.68",-,"3,759.00",747.70,2022-12-12
129,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,28.38,"3,300.00","3,350.00","3,300.00","3,311.00","3,320.74","2,081.00","3,329.00","6,910,453.50",84,-18.0,50.0,-0.54,1.52,-0.29,"2,884.86",-,"3,759.00",747.70,2022-12-13
128,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,25.93,"3,300.00","3,324.90","3,280.00","3,285.00","3,287.00","2,616.00","3,311.00","8,598,783.00",122,-26.0,44.9,-0.79,1.37,-0.06,"2,895.08",-,"3,759.00",747.70,2022-12-14
134,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,24.19,"3,251.00","3,295.00","3,210.00","3,210.00","3,258.34","4,511.00","3,285.00","14,698,392.00",144,-75.0,85.0,-2.28,2.65,-1.51,"2,904.78",-,"3,759.00",747.70,2022-12-15
129,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,26.83,"3,155.00","3,270.00","3,152.00","3,217.00","3,231.45","3,202.00","3,210.00","10,347,105.50",119,7.0,118.0,0.22,3.74,-0.45,"2,914.80",-,"3,759.00",747.70,2022-12-18
131,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,25.19,"3,230.00","3,280.00","3,224.00","3,232.00","3,242.89","2,716.00","3,217.00","8,807,696.00",111,15.0,56.0,0.47,1.74,-0.34,"2,925.42",-,"3,759.00",747.70,2022-12-19
132,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,25.19,"3,279.00","3,309.90","3,240.00","3,262.00","3,268.73","2,581.00","3,232.00","8,436,582.50",113,30.0,69.9,0.93,2.16,-0.21,"2,936.24","2,686.02","3,759.00",747.70,2022-12-20
130,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,25.77,"3,262.00","3,320.00","3,246.00","3,265.00","3,277.87","3,695.00","3,262.00","12,111,744.50",111,3.0,74.0,0.09,2.28,-0.39,"2,946.21","2,699.75","3,759.00",747.70,2022-12-21
127,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,42.93,"3,300.00","3,300.00","3,239.00","3,250.00","3,252.10","1,576.00","3,265.00","5,125,316.00",83,-15.0,61.0,-0.46,1.88,-0.06,"2,956.55","2,712.96","3,759.00",747.70,2022-12-22
128,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,38.7,"3,315.00","3,315.00","3,250.00","3,282.00","3,284.62","5,405.00","3,250.00","17,753,389.50",170,32.0,65.0,0.98,2.0,-0.08,"2,967.32","2,725.86","3,759.00",747.70,2022-12-26
134,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,46.11,"3,320.00","3,345.00","3,281.00","3,320.00","3,312.49","7,893.00","3,282.00","26,145,490.10",210,38.0,64.00,1.16,1.95,0.23,"2,977.90","2,738.44","3,759.00",747.70,2022-12-27
132,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,43.87,"3,350.00","3,350.00","3,264.00","3,270.00","3,290.35","4,125.00","3,320.00","13,572,713.00",127,-50.0,86.0,-1.51,2.63,-0.62,"2,987.28","2,750.15","3,759.00",747.70,2022-12-28
134,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,43.87,"3,320.00","3,320.00","3,236.00","3,236.00","3,275.42","7,450.00","3,270.00","24,401,851.50",186,-34.0,84.0,-1.04,2.6,-1.22,"2,996.39","2,761.04","3,759.00",747.70,2022-12-29
137,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,41.33,"3,226.00","3,278.90","3,195.00","3,237.00","3,233.46","3,181.00","3,236.00","10,285,634.30",172,1.0,83.90,0.03,2.63,0.11,"3,003.72","2,771.21","3,759.00",747.70,2023-01-01
129,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,41.33,"3,237.00","3,299.00","3,190.00","3,213.00","3,205.67","8,671.00","3,237.00","27,796,373.60",194,-24.0,109.0,-0.74,3.42,0.23,"3,010.71","2,780.48","3,759.00",747.70,2023-01-02
133,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,46.21,"3,277.00","3,277.00","3,170.00","3,210.00","3,189.01","8,485.00","3,213.00","27,058,717.50",248,-3.0,107.0,-0.09,3.38,0.65,"3,017.84","2,788.87","3,759.00",747.70,2023-01-03
133,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,48.67,"3,249.00","3,297.70","3,185.00","3,280.00","3,235.62","5,549.00","3,210.00","17,954,467.50",214,70.0,112.7,2.18,3.54,1.35,"3,025.00","2,796.70","3,759.00",747.70,2023-01-04
131,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,63.8,"3,340.00","3,540.00","3,300.00","3,350.00","3,344.57","14,743.00","3,280.00","49,309,024.40",355,70.0,240.0,2.13,7.27,0.16,"3,033.42","2,803.88","3,759.00",747.70,2023-01-05
133,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,65.0,"3,390.00","3,417.00","3,310.00","3,310.00","3,353.06","8,999.00","3,350.00","30,174,204.50",222,-40.00,107.00,-1.19,3.23,-1.3,-,-,"3,759.00",747.70,2023-01-08
132,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,60.95,"3,375.00","3,439.00","3,302.00","3,311.00","3,324.89","5,997.00","3,310.00","19,939,377.40",221,1.0,137.0,0.03,4.15,-0.42,"3,051.60","2,814.27","3,759.00",747.70,2023-01-09
128,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,51.93,"3,369.00","3,370.00","3,250.00","3,255.00","3,298.85","8,958.00","3,311.00","29,551,141.40",281,-56.0,120.0,-1.69,3.69,-1.35,"3,060.78","2,817.14","3,759.00",747.70,2023-01-10
128,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,51.96,"3,320.00","3,522.00","3,234.10","3,255.00","3,266.79","9,085.00","3,255.00","29,678,789.00",234,0.0,287.9,0.0,8.9,-0.36,"3,069.20","2,818.50","3,759.00",747.70,2023-01-12
125,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,44.48,"3,320.00","3,386.00","3,256.00","3,278.00","3,284.96","8,231.00","3,255.00","27,038,507.00",254,23.0,130.0,0.71,3.99,-0.21,"3,077.44","2,821.65","3,759.00",747.70,2023-01-17
127,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,44.55,"3,343.00","3,400.00","3,270.00","3,300.00","3,303.37","11,191.00","3,278.00","36,968,006.50",265,22.0,130.0,0.67,3.98,-0.1,"3,085.94","2,824.43","3,759.00",747.70,2023-01-18
125,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,48.0,"3,350.00","3,350.00","3,280.00","3,293.00","3,292.42","2,968.00","3,300.00","9,771,904.50",135,-7.0,70.0,-0.21,2.13,0.02,"3,094.21","2,827.61","3,759.00",747.70,2023-01-19
131,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,50.66,"3,293.00","3,400.00","3,253.00","3,280.00","3,287.32","4,102.00","3,293.00","13,484,594.50",192,-13.0,147.0,-0.39,4.52,-0.22,"3,102.04","2,831.10","3,759.00",747.70,2023-01-23
128,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,50.89,"3,335.00","3,335.00","3,255.00","3,280.00","3,276.43","4,482.00","3,280.00","14,684,951.80",166,0.0,80.0,0.0,2.46,0.11,"3,109.23","2,834.49","3,759.00",747.70,2023-01-24
128,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,44.64,"3,330.00","3,345.00","3,282.00","3,317.00","3,321.78","10,865.00","3,280.00","36,091,129.00",270,37.0,63.0,1.13,1.92,-0.14,"3,116.91","2,838.10","3,759.00",747.70,2023-01-25
127,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,54.1,"3,383.00","3,500.00","3,310.00","3,331.00","3,336.91","6,352.00","3,317.00","21,196,070.00",207,14.0,190.0,0.42,5.74,-0.18,"3,124.75","2,841.86","3,759.00",747.70,2023-01-26
130,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,52.32,"3,264.40","3,420.00","3,264.40","3,380.00","3,371.83","12,481.00","3,331.00","42,083,844.00",372,49.0,155.6,1.47,4.77,0.24,"3,133.34","2,846.41","3,759.00",747.70,2023-01-29
129,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,60.14,"3,390.00","3,445.00","3,301.70","3,320.00","3,338.82","4,198.00","3,380.00","14,016,386.00",183,-60.0,143.3,-1.78,4.34,-0.57,"3,140.82","2,850.87","3,759.00",747.70,2023-01-30
132,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,45.12,"3,315.00","3,350.00","3,273.60","3,295.00","3,300.37","2,522.00","3,320.00","8,323,539.00",146,-25.0,76.4,-0.75,2.33,-0.16,"3,146.78","2,855.39","3,759.00",747.70,2023-01-31
128,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,34.12,"3,310.00","3,349.00","3,260.60","3,284.00","3,285.64","2,450.00","3,295.00","8,049,815.80",137,-11.0,88.4,-0.33,2.71,-0.05,"3,152.59","2,859.59","3,759.00",747.70,2023-02-01
131,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,35.48,"3,345.00","3,345.00","3,240.00","3,256.00","3,272.52","4,930.00","3,284.00","16,133,534.50",198,-28.0,105.0,-0.85,3.24,-0.51,"3,156.03","2,863.62","3,759.00",747.70,2023-02-02
132,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,34.18,"3,320.00","3,320.00","3,200.00","3,250.00","3,257.28","4,367.00","3,256.00","14,224,532.00",175,-6.0,120.0,-0.18,3.75,-0.22,"3,159.19","2,867.02","3,759.00",747.70,2023-02-05
134,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,30.76,"3,250.00","3,350.00","3,250.00","3,317.80","3,315.02","6,483.00","3,250.00","21,491,296.50",177,67.8,100.0,2.09,3.08,0.08,"3,164.70","2,874.70","3,759.00",747.70,2023-02-07
133,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,57.47,"3,375.00","3,375.00","3,275.00","3,344.00","3,326.45","2,921.00","3,326.00","9,716,560.50",139,18.0,100.0,0.54,3.05,0.52,"3,169.78","2,884.22","3,759.00",747.70,2023-02-09
