SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
133,NHPC,National Hydro Power Company Limited,27.25,203.00,204.00,198.00,198.10,199.79,"30,937.00",202.00,"6,181,038.90",157,-3.9,6.0,-1.93,3.03,-0.86,226.07,241.86,448.50,176.40,2022-12-07
133,NHPC,National Hydro Power Company Limited,27.25,203.00,204.00,198.00,198.10,199.79,"30,937.00",202.00,"6,181,038.90",157,-3.9,6.0,-1.93,3.03,-0.86,226.07,241.86,448.50,176.40,2022-12-09
135,NHPC,National Hydro Power Company Limited,28.67,200.90,203.80,196.10,197.00,198.87,"35,359.00",198.10,"7,031,704.60",217,-1.1,7.7,-0.56,3.93,-0.95,-,-,448.50,176.40,2022-12-11
132,NHPC,National Hydro Power Company Limited,29.69,200.00,206.00,198.10,202.00,200.85,"45,031.00",197.00,"9,044,416.10",213,5.0,7.9,2.54,3.99,0.57,225.35,240.54,448.50,176.40,2022-12-12
133,NHPC,National Hydro Power Company Limited,31.25,200.10,204.00,199.30,201.00,201.35,"19,323.00",202.00,"3,890,697.70",106,-1.0,4.7,-0.5,2.36,-0.17,225.13,239.89,448.50,176.40,2022-12-13
132,NHPC,National Hydro Power Company Limited,30.01,200.00,203.00,199.00,199.00,200.24,"14,655.00",201.00,"2,934,446.70",75,-2.0,4.0,-1.0,2.01,-0.62,224.95,239.17,448.50,176.40,2022-12-14
138,NHPC,National Hydro Power Company Limited,29.42,197.00,201.50,196.00,196.60,197.38,"31,714.00",199.00,"6,259,677.50",169,-2.4,5.5,-1.21,2.81,-0.4,224.70,238.45,448.50,176.40,2022-12-15
133,NHPC,National Hydro Power Company Limited,27.92,195.00,196.00,190.00,190.00,192.84,"50,515.00",196.60,"9,741,208.10",235,-6.6,6.0,-3.36,3.16,-1.49,224.48,237.71,448.50,176.40,2022-12-18
135,NHPC,National Hydro Power Company Limited,23.81,193.80,201.50,187.00,192.10,193.02,"11,093.00",190.00,"2,141,126.30",108,2.1,14.5,1.11,7.75,-0.48,224.39,237.03,448.50,176.40,2022-12-19
136,NHPC,National Hydro Power Company Limited,23.81,190.00,198.00,190.00,195.00,195.67,"28,666.00",192.10,"5,608,965.00",143,2.9,8.0,1.51,4.21,-0.34,224.34,236.43,448.50,176.40,2022-12-20
134,NHPC,National Hydro Power Company Limited,33.23,194.10,197.00,192.00,192.00,193.89,"13,086.00",195.00,"2,537,233.80",101,-3.0,5.0,-1.54,2.6,-0.98,224.10,235.85,448.50,176.40,2022-12-21
