SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
137,NIBD2082,10.5% Nepal Investment Bank Debenture 2082,37.63,949.00,965.90,949.00,965.90,962.53,455.00,947.00,"437,950.00",6,18.9,16.9,2.0,1.78,0.35,-,-,"1,087.70",905.10,2022-12-11
140,NIBD2082,10.5% Nepal Investment Bank Debenture 2082,40.88,946.60,946.60,946.60,946.60,946.60,60.00,965.90,"56,796.00",2,-19.3,0.00,-2.0,0.0,0.0,"1,024.49",-,"1,087.70",905.10,2022-12-27
138,NIBD2082,10.5% Nepal Investment Bank Debenture 2082,39.18,950.00,950.00,950.00,950.00,950.00,390.00,946.60,"370,500.00",2,3.4,0.0,0.36,0.0,0.0,"1,023.47",-,"1,087.70",905.10,2022-12-28
135,NIBD2082,10.5% Nepal Investment Bank Debenture 2082,40.23,934.00,934.00,912.40,912.40,921.10,130.00,950.00,"119,743.40",5,-37.6,21.6,-3.96,2.37,-0.95,"1,022.16",-,"1,087.70",905.10,2023-01-02
139,NIBD2082,10.5% Nepal Investment Bank Debenture 2082,40.28,930.60,930.60,930.60,930.60,930.60,10.00,912.40,"9,306.00",1,18.20,0.00,1.99,0.0,0.0,-,-,"1,087.70",905.10,2023-01-08
133,NIBD2082,10.5% Nepal Investment Bank Debenture 2082,34.23,940.00,940.00,940.00,940.00,940.00,25.00,930.60,"23,500.00",1,9.4,0.0,1.01,0.0,0.0,"1,019.87",-,"1,087.70",905.10,2023-01-12
130,NIBD2082,10.5% Nepal Investment Bank Debenture 2082,34.08,935.10,935.10,935.10,935.10,935.10,200.00,940.00,"187,020.00",2,-4.9,0.0,-0.52,0.0,0.0,"1,018.79",0.00,"1,066.00",905.10,2023-01-17
136,NIBD2082,10.5% Nepal Investment Bank Debenture 2082,38.53,935.00,935.00,920.10,920.10,933.65,550.00,935.10,"513,505.00",2,-15.0,14.9,-1.6,1.62,-1.47,"1,017.68",0.00,"1,066.00",905.10,2023-01-23
133,NIBD2082,10.5% Nepal Investment Bank Debenture 2082,56.61,906.90,906.90,906.90,906.90,906.90,25.00,920.10,"22,672.50",1,-13.2,0.0,-1.43,0.0,0.0,"1,016.44",0.00,"1,066.00",905.10,2023-01-25
132,NIBD2082,10.5% Nepal Investment Bank Debenture 2082,33.69,900.50,900.50,900.50,900.50,900.50,27.00,906.90,"24,313.50",1,-6.4,0.0,-0.71,0.0,0.0,"1,014.98",0.00,"1,060.60",900.50,2023-01-26
135,NIBD2082,10.5% Nepal Investment Bank Debenture 2082,32.75,906.00,906.00,905.20,905.20,905.80,40.00,900.50,"36,232.00",2,4.7,0.8,0.52,0.09,-0.07,"1,013.57",0.00,"1,060.60",900.50,2023-01-29
133,NIBD2082,10.5% Nepal Investment Bank Debenture 2082,30.3,905.00,905.00,905.00,905.00,905.00,10.00,905.20,"9,050.00",1,-0.2,0.0,-0.02,0.0,0.0,"1,011.98",0.00,"1,060.60",900.50,2023-02-01
143,NIBD2082,10.5% Nepal Investment Bank Debenture 2082,32.34,905.00,905.00,892.00,892.00,897.36,80.00,905.00,"71,789.00",3,-13.0,13.0,-1.44,1.46,-0.6,"1,010.38",0.00,"1,060.60",892.00,2023-02-22
137,NIBD2082,10.5% Nepal Investment Bank Debenture 2082,32.16,890.50,890.50,890.10,890.10,890.27,105.00,892.00,"93,478.80",4,-1.9,0.4,-0.21,0.04,-0.02,"1,008.76",0.00,"1,060.60",890.10,2023-02-23
