SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
136,NIBPO,Nepal Investment Bank Limited Promoter Share,32.63,222.80,226.00,214.10,226.00,219.50,142.00,227.30,"31,168.40",9,-1.3,11.9,-0.57,5.56,2.88,384.27,383.95,395.00,214.10,2022-12-07
136,NIBPO,Nepal Investment Bank Limited Promoter Share,32.63,222.80,226.00,214.10,226.00,219.50,142.00,227.30,"31,168.40",9,-1.3,11.9,-0.57,5.56,2.88,384.27,383.95,395.00,214.10,2022-12-09
139,NIBPO,Nepal Investment Bank Limited Promoter Share,34.04,221.60,221.60,221.60,221.60,221.60,20.00,226.00,"4,432.00",1,-4.4,0.0,-1.95,0.0,0.0,-,-,395.00,214.10,2022-12-11
135,NIBPO,Nepal Investment Bank Limited Promoter Share,33.44,225.00,225.00,220.50,220.50,222.00,300.00,221.60,"66,600.00",2,-1.1,4.5,-0.5,2.04,-0.68,380.55,382.35,395.00,214.10,2022-12-12
135,NIBPO,Nepal Investment Bank Limited Promoter Share,32.84,216.10,216.10,211.80,211.80,212.16,120.00,220.50,"25,459.00",3,-8.7,4.3,-3.95,2.03,-0.17,378.57,381.49,395.00,211.80,2022-12-13
136,NIBPO,Nepal Investment Bank Limited Promoter Share,30.87,207.60,211.00,207.00,208.00,209.72,"6,329.00",211.80,"1,327,295.40",13,-3.8,4.0,-1.79,1.93,-0.83,376.47,380.66,395.00,207.00,2022-12-14
141,NIBPO,Nepal Investment Bank Limited Promoter Share,34.06,211.00,211.00,207.00,207.00,208.37,"2,825.00",208.00,"588,635.00",7,-1.0,4.0,-0.48,1.93,-0.66,374.45,379.82,395.00,207.00,2022-12-15
136,NIBPO,Nepal Investment Bank Limited Promoter Share,32.97,207.00,207.00,202.90,202.90,203.43,"1,316.00",207.00,"267,712.00",4,-4.1,4.1,-1.98,2.02,-0.26,372.43,378.94,395.00,202.90,2022-12-18
138,NIBPO,Nepal Investment Bank Limited Promoter Share,37.97,206.90,210.00,201.20,207.00,204.80,"8,783.00",202.90,"1,798,747.20",15,4.1,8.8,2.02,4.37,1.06,370.49,378.09,395.00,201.20,2022-12-19
139,NIBPO,Nepal Investment Bank Limited Promoter Share,37.97,206.00,206.00,200.00,204.00,201.12,"5,392.00",207.00,"1,084,436.70",8,-3.0,6.0,-1.45,3.0,1.41,368.57,377.21,395.00,200.00,2022-12-20
138,NIBPO,Nepal Investment Bank Limited Promoter Share,36.92,205.00,208.00,205.00,206.00,206.02,"6,337.00",204.00,"1,305,572.00",9,2.0,3.0,0.98,1.46,-0.01,366.59,376.32,395.00,200.00,2022-12-21
134,NIBPO,Nepal Investment Bank Limited Promoter Share,38.44,201.90,204.00,200.00,204.00,202.25,"4,741.00",206.00,"958,845.00",11,-2.0,4.0,-0.97,2.0,0.86,364.57,375.45,395.00,200.00,2022-12-22
135,NIBPO,Nepal Investment Bank Limited Promoter Share,37.1,206.00,214.90,206.00,214.90,209.74,"5,795.00",204.00,"1,215,418.80",13,10.9,8.9,5.34,4.32,2.4,362.64,374.65,395.00,200.00,2022-12-26
143,NIBPO,Nepal Investment Bank Limited Promoter Share,43.12,216.00,227.80,216.00,224.00,220.43,"20,731.00",214.90,"4,569,665.50",23,9.1,11.80,4.23,5.46,1.6,360.63,373.90,395.00,200.00,2022-12-27
140,NIBPO,Nepal Investment Bank Limited Promoter Share,41.81,220.00,224.00,220.00,224.00,220.62,71.00,224.00,"15,664.00",2,0.0,4.0,0.0,1.82,1.51,358.62,373.12,395.00,200.00,2022-12-28
141,NIBPO,Nepal Investment Bank Limited Promoter Share,41.81,223.00,237.50,223.00,237.50,227.79,"4,500.00",224.00,"1,025,071.60",10,13.5,14.5,6.03,6.5,4.09,356.70,372.44,395.00,200.00,2022-12-29
145,NIBPO,Nepal Investment Bank Limited Promoter Share,47.6,232.80,232.80,220.00,223.00,221.50,"5,984.00",237.50,"1,325,435.60",19,-14.5,12.80,-6.11,5.82,0.67,354.99,371.68,395.00,200.00,2023-01-01
137,NIBPO,Nepal Investment Bank Limited Promoter Share,47.6,219.00,222.00,209.10,209.10,219.14,"11,385.00",223.00,"2,494,928.90",16,-13.9,12.9,-6.23,6.17,-4.8,353.24,370.84,395.00,200.00,2023-01-02
140,NIBPO,Nepal Investment Bank Limited Promoter Share,40.71,212.00,218.00,211.00,212.00,215.36,"11,378.00",209.10,"2,450,387.00",30,2.9,7.0,1.39,3.32,-1.59,351.38,370.01,395.00,200.00,2023-01-03
140,NIBPO,Nepal Investment Bank Limited Promoter Share,44.84,215.00,220.00,214.00,216.00,216.62,"3,955.00",212.00,"856,732.00",10,4.0,6.0,1.89,2.8,-0.29,349.60,369.22,395.00,200.00,2023-01-04
138,NIBPO,Nepal Investment Bank Limited Promoter Share,50.44,219.00,221.00,212.30,221.00,218.38,"8,175.00",216.00,"1,785,226.80",24,5.0,8.7,2.31,4.1,1.19,347.84,368.46,395.00,200.00,2023-01-05
141,NIBPO,Nepal Investment Bank Limited Promoter Share,51.64,217.00,225.00,214.70,214.80,218.52,"9,504.00",221.00,"2,076,823.60",26,-6.20,10.30,-2.81,4.8,-1.73,-,-,395.00,200.00,2023-01-08
140,NIBPO,Nepal Investment Bank Limited Promoter Share,65.48,211.00,223.90,211.00,220.00,217.70,"33,352.00",214.80,"7,260,807.40",36,5.2,12.9,2.42,6.11,1.04,344.30,366.85,395.00,200.00,2023-01-09
135,NIBPO,Nepal Investment Bank Limited Promoter Share,62.17,220.00,242.00,219.60,230.00,227.61,"15,078.00",220.00,"3,431,965.20",39,10.0,22.4,4.55,10.2,1.04,342.62,366.11,395.00,200.00,2023-01-10
