SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
137,NIBSF2,NIBL Samriddhi Fund - 2,36.27,7.08,7.10,7.08,7.10,7.09,620.00,7.20,"4,398.00",6,-0.1,0.02,-1.39,0.28,0.09,7.65,8.00,10.19,6.89,2022-12-07
137,NIBSF2,NIBL Samriddhi Fund - 2,36.27,7.08,7.10,7.08,7.10,7.09,620.00,7.20,"4,398.00",6,-0.1,0.02,-1.39,0.28,0.09,7.65,8.00,10.19,6.89,2022-12-09
140,NIBSF2,NIBL Samriddhi Fund - 2,37.68,7.05,7.20,6.95,7.00,7.09,"15,820.00",7.10,"112,113.50",15,-0.1,0.25,-1.41,3.6,-1.24,-,-,10.19,6.89,2022-12-11
136,NIBSF2,NIBL Samriddhi Fund - 2,42.12,6.86,7.05,6.74,7.05,6.96,"1,425.00",7.00,"9,921.50",8,0.05,0.31,0.71,4.6,1.24,7.63,7.98,10.19,6.74,2022-12-12
136,NIBSF2,NIBL Samriddhi Fund - 2,29.91,6.92,7.10,6.92,7.10,6.99,"1,200.00",7.05,"8,388.00",9,0.05,0.18,0.71,2.6,1.55,7.63,7.97,10.19,6.74,2022-12-13
137,NIBSF2,NIBL Samriddhi Fund - 2,37.14,6.97,7.14,6.97,7.00,7.13,"8,020.00",7.10,"57,203.80",6,-0.1,0.17,-1.41,2.44,-1.89,7.62,7.95,10.19,6.74,2022-12-14
142,NIBSF2,NIBL Samriddhi Fund - 2,32.94,7.05,7.05,6.96,7.03,7.04,"4,500.00",7.00,"31,687.00",11,0.03,0.09,0.43,1.29,-0.16,7.62,7.94,10.19,6.74,2022-12-15
137,NIBSF2,NIBL Samriddhi Fund - 2,45.35,6.89,7.17,6.89,7.17,7.03,"20,575.00",7.03,"144,671.75",22,0.14,0.28,1.99,4.06,1.93,7.61,7.93,10.19,6.74,2022-12-18
139,NIBSF2,NIBL Samriddhi Fund - 2,31.93,7.03,7.03,6.79,6.79,6.89,"8,575.00",7.17,"59,094.25",11,-0.38,0.24,-5.3,3.53,-1.49,7.60,7.92,10.19,6.74,2022-12-19
140,NIBSF2,NIBL Samriddhi Fund - 2,31.93,6.80,6.93,6.80,6.93,6.85,"17,240.00",6.79,"118,059.00",7,0.14,0.13,2.06,1.91,1.18,7.59,7.91,10.19,6.74,2022-12-20
139,NIBSF2,NIBL Samriddhi Fund - 2,42.47,6.90,6.99,6.85,6.99,6.92,600.00,6.93,"4,154.00",5,0.06,0.14,0.87,2.04,0.95,7.58,7.89,10.19,6.74,2022-12-21
135,NIBSF2,NIBL Samriddhi Fund - 2,36.42,6.86,7.00,6.86,7.00,6.92,900.00,6.99,"6,224.00",7,0.01,0.14,0.14,2.04,1.21,7.57,7.88,10.19,6.74,2022-12-22
136,NIBSF2,NIBL Samriddhi Fund - 2,30.51,7.00,7.14,6.99,7.14,7.04,"17,610.00",7.00,"123,889.40",17,0.14,0.15,2.0,2.15,1.47,7.57,7.87,10.19,6.74,2022-12-26
144,NIBSF2,NIBL Samriddhi Fund - 2,51.73,7.28,7.32,6.95,7.32,7.13,"44,395.00",7.14,"316,562.75",37,0.18,0.37,2.52,5.32,2.59,7.56,7.86,10.19,6.74,2022-12-27
141,NIBSF2,NIBL Samriddhi Fund - 2,53.85,7.45,7.45,6.92,7.10,7.08,"20,902.00",7.32,"148,049.40",23,-0.22,0.53,-3.01,7.66,0.24,7.55,7.85,10.19,6.74,2022-12-28
142,NIBSF2,NIBL Samriddhi Fund - 2,53.85,6.96,7.51,6.91,6.91,7.18,"40,480.00",7.10,"290,553.40",31,-0.19,0.6,-2.68,8.68,-3.87,7.54,7.84,10.19,6.74,2022-12-29
146,NIBSF2,NIBL Samriddhi Fund - 2,53.46,7.04,7.44,7.04,7.44,7.30,"30,075.00",6.91,"219,414.50",18,0.53,0.40,7.67,5.68,1.94,7.54,7.83,10.19,6.74,2023-01-01
138,NIBSF2,NIBL Samriddhi Fund - 2,53.46,7.30,7.63,7.14,7.62,7.31,"27,560.00",7.44,"201,434.00",24,0.18,0.49,2.42,6.86,4.08,7.53,7.82,10.19,6.74,2023-01-02
141,NIBSF2,NIBL Samriddhi Fund - 2,51.84,7.47,7.65,7.47,7.50,7.51,"25,610.00",7.62,"192,323.55",18,-0.12,0.18,-1.57,2.41,-0.13,7.53,7.82,10.19,6.74,2023-01-03
141,NIBSF2,NIBL Samriddhi Fund - 2,58.11,7.50,7.65,7.50,7.52,7.56,"29,515.00",7.50,"223,175.75",16,0.02,0.15,0.27,2.0,-0.55,7.52,7.81,10.19,6.74,2023-01-04
139,NIBSF2,NIBL Samriddhi Fund - 2,55.01,7.52,7.80,7.52,7.60,7.71,"28,450.00",7.52,"219,471.00",17,0.08,0.28,1.06,3.72,-1.5,7.52,7.80,10.19,6.74,2023-01-05
142,NIBSF2,NIBL Samriddhi Fund - 2,56.21,7.56,7.76,7.56,7.75,7.66,"23,775.00",7.60,"182,232.75",24,0.15,0.20,1.97,2.65,1.1,-,-,10.19,6.74,2023-01-08
141,NIBSF2,NIBL Samriddhi Fund - 2,57.27,7.60,8.18,7.60,8.02,7.87,"24,563.00",7.75,"193,392.54",23,0.27,0.58,3.48,7.63,1.83,7.52,7.79,10.19,6.74,2023-01-09
136,NIBSF2,NIBL Samriddhi Fund - 2,52.92,7.86,8.10,7.74,7.96,7.96,"12,300.00",8.02,"97,849.00",20,-0.06,0.36,-0.75,4.65,0.06,7.52,7.78,10.19,6.74,2023-01-10
135,NIBSF2,NIBL Samriddhi Fund - 2,52.95,7.85,8.70,7.77,8.70,8.04,"30,529.00",7.96,"245,530.99",31,0.74,0.93,9.3,11.97,7.56,7.53,7.79,10.19,6.74,2023-01-12
133,NIBSF2,NIBL Samriddhi Fund - 2,59.51,8.53,8.53,8.00,8.16,8.20,"1,900.00",8.70,"15,577.00",9,-0.54,0.53,-6.21,6.63,-0.47,7.53,7.78,10.19,6.74,2023-01-17
133,NIBSF2,NIBL Samriddhi Fund - 2,46.72,8.00,8.21,7.84,8.21,7.98,"10,900.00",8.16,"87,007.00",21,0.05,0.37,0.61,4.72,2.77,7.52,7.78,10.19,6.74,2023-01-18
131,NIBSF2,NIBL Samriddhi Fund - 2,45.96,8.06,8.60,8.05,8.60,8.16,"18,730.00",8.21,"152,901.55",25,0.39,0.55,4.75,6.83,5.08,7.52,7.78,10.19,6.74,2023-01-19
