SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
141,NICGF,NIC Asia Growth Fund,40.19,9.01,9.01,9.00,9.01,9.01,"6,380.00",9.17,"57,480.00",3,-0.16,0.01,-1.74,0.11,0.01,10.54,10.87,12.80,8.82,2022-12-07
141,NICGF,NIC Asia Growth Fund,40.19,9.01,9.01,9.00,9.01,9.01,"6,380.00",9.17,"57,480.00",3,-0.16,0.01,-1.74,0.11,0.01,10.54,10.87,12.80,8.82,2022-12-09
144,NICGF,NIC Asia Growth Fund,41.6,8.83,9.01,8.83,8.93,8.94,"7,675.00",9.01,"68,633.75",7,-0.08,0.18,-0.89,2.04,-0.14,-,-,12.80,8.82,2022-12-11
141,NICGF,NIC Asia Growth Fund,40.1,8.90,9.00,8.82,9.00,8.84,"12,200.00",8.93,"107,792.00",6,0.07,0.18,0.78,2.04,1.83,10.51,10.85,12.80,8.82,2022-12-12
140,NICGF,NIC Asia Growth Fund,44.32,9.10,9.10,9.10,9.10,9.10,"1,355.00",9.00,"12,330.50",2,0.1,0.0,1.11,0.0,0.0,10.50,10.83,12.80,8.82,2022-12-13
141,NICGF,NIC Asia Growth Fund,32.58,9.00,9.00,9.00,9.00,9.00,"3,250.00",9.10,"29,250.00",2,-0.1,0.0,-1.1,0.0,0.0,10.49,10.81,12.80,8.82,2022-12-14
146,NICGF,NIC Asia Growth Fund,35.29,8.90,8.92,8.84,8.92,8.87,"30,100.00",9.00,"266,970.00",5,-0.08,0.08,-0.89,0.9,0.57,10.47,10.80,12.80,8.82,2022-12-15
141,NICGF,NIC Asia Growth Fund,42.32,8.75,8.92,8.75,8.82,8.91,"3,656.00",8.92,"32,584.52",3,-0.1,0.17,-1.12,1.94,-1.05,10.46,10.78,12.80,8.75,2022-12-18
145,NICGF,NIC Asia Growth Fund,26.8,8.85,8.90,8.77,8.79,8.83,"36,600.00",8.82,"323,021.00",11,-0.03,0.13,-0.34,1.48,-0.41,10.45,10.77,12.80,8.75,2022-12-20
143,NICGF,NIC Asia Growth Fund,33.81,8.75,8.84,8.67,8.84,8.75,"24,350.00",8.79,"213,021.00",8,0.05,0.17,0.57,1.96,1.04,10.43,10.75,12.80,8.67,2022-12-21
140,NICGF,NIC Asia Growth Fund,33.55,9.01,9.01,8.80,8.90,8.83,"21,900.00",8.84,"193,431.00",4,0.06,0.21,0.68,2.39,0.76,10.42,10.74,12.80,8.67,2022-12-26
148,NICGF,NIC Asia Growth Fund,43.48,8.90,9.06,8.90,9.06,9.03,"20,544.00",8.90,"185,512.60",5,0.16,0.16,1.8,1.8,0.33,10.41,10.72,12.80,8.67,2022-12-27
145,NICGF,NIC Asia Growth Fund,55.3,8.92,9.14,8.75,8.91,8.88,"56,350.00",9.06,"500,441.50",11,-0.15,0.39,-1.66,4.46,0.33,10.40,10.70,12.80,8.67,2022-12-28
146,NICGF,NIC Asia Growth Fund,55.3,8.75,9.03,8.75,9.00,8.89,"30,550.00",8.91,"271,736.50",8,0.09,0.28,1.01,3.2,1.17,10.39,10.69,12.80,8.67,2022-12-29
150,NICGF,NIC Asia Growth Fund,56.35,9.17,9.29,9.11,9.13,9.20,"194,850.00",9.00,"1,792,015.50",10,0.13,0.18,1.44,1.98,-0.73,10.37,10.67,12.80,8.67,2023-01-01
142,NICGF,NIC Asia Growth Fund,56.35,9.22,9.30,9.14,9.14,9.25,"43,871.00",9.13,"405,688.82",13,0.01,0.16,0.11,1.75,-1.17,10.36,10.66,12.80,8.67,2023-01-02
146,NICGF,NIC Asia Growth Fund,52.01,9.30,9.31,9.10,9.10,9.12,"36,400.00",9.14,"331,886.00",9,-0.04,0.21,-0.44,2.31,-0.2,10.35,10.64,12.80,8.67,2023-01-03
146,NICGF,NIC Asia Growth Fund,55.98,9.28,9.46,9.28,9.45,9.37,"7,175.00",9.10,"67,221.50",9,0.35,0.18,3.85,1.94,0.86,10.33,10.63,12.80,8.67,2023-01-04
144,NICGF,NIC Asia Growth Fund,58.61,9.60,9.60,9.40,9.41,9.46,"53,400.00",9.45,"504,938.00",10,-0.04,0.2,-0.42,2.13,-0.49,10.32,10.61,12.80,8.67,2023-01-05
147,NICGF,NIC Asia Growth Fund,59.81,9.23,9.78,9.12,9.60,9.57,"12,500.00",9.41,"119,676.00",13,0.19,0.66,2.02,7.24,0.27,-,-,12.80,8.67,2023-01-08
145,NICGF,NIC Asia Growth Fund,63.51,9.60,10.10,9.60,9.80,9.80,"76,200.00",9.60,"746,796.00",9,0.2,0.5,2.08,5.21,0.0,10.29,10.59,12.80,8.67,2023-01-09
141,NICGF,NIC Asia Growth Fund,57.66,9.70,10.08,9.70,9.81,9.89,"69,600.00",9.80,"688,305.00",13,0.01,0.38,0.1,3.92,-0.81,10.28,10.58,12.80,8.67,2023-01-10
139,NICGF,NIC Asia Growth Fund,57.69,9.89,10.07,9.83,9.83,9.89,"44,925.00",9.81,"444,525.00",13,0.02,0.24,0.2,2.44,-0.66,10.27,10.57,12.80,8.67,2023-01-12
140,NICGF,NIC Asia Growth Fund,54.88,9.66,9.97,9.66,9.83,9.81,"7,600.00",9.83,"74,522.00",7,0.0,0.31,0.0,3.21,0.25,10.26,10.56,12.80,8.67,2023-01-17
137,NICGF,NIC Asia Growth Fund,47.21,9.83,9.83,9.83,9.83,9.83,"1,000.00",9.83,"9,830.00",1,0.0,0.0,0.0,0.0,0.0,10.25,10.55,12.80,8.67,2023-01-18
135,NICGF,NIC Asia Growth Fund,42.15,10.00,10.00,9.81,9.81,9.90,"10,525.00",9.83,"104,180.00",6,-0.02,0.19,-0.2,1.94,-0.9,10.25,10.55,12.80,8.67,2023-01-19
143,NICGF,NIC Asia Growth Fund,39.54,9.82,9.82,9.68,9.68,9.76,"1,000.00",9.81,"9,762.00",3,-0.13,0.14,-1.33,1.45,-0.85,10.24,10.54,12.62,8.67,2023-01-23
139,NICGF,NIC Asia Growth Fund,32.33,9.70,9.70,9.68,9.70,9.70,"4,225.00",9.68,"40,980.50",4,0.02,0.02,0.21,0.21,0.0,10.23,10.53,12.59,8.67,2023-01-24
141,NICGF,NIC Asia Growth Fund,36.88,9.56,9.94,9.56,9.92,9.86,"4,600.00",9.70,"45,353.00",6,0.22,0.38,2.27,3.97,0.61,10.22,10.52,12.59,8.67,2023-01-25
140,NICGF,NIC Asia Growth Fund,42.82,9.90,10.00,9.71,9.73,9.87,"27,201.00",9.92,"268,570.00",7,-0.19,0.29,-1.92,2.99,-1.48,10.21,10.51,12.59,8.67,2023-01-26
144,NICGF,NIC Asia Growth Fund,42.41,9.73,9.76,9.73,9.73,9.75,"43,200.00",9.73,"421,226.00",9,0.0,0.03,0.0,0.31,-0.21,10.19,10.50,12.59,8.67,2023-01-29
141,NICGF,NIC Asia Growth Fund,45.39,9.54,9.54,9.54,9.54,9.54,700.00,9.73,"6,678.00",1,-0.19,0.0,-1.95,0.0,0.0,10.18,10.49,12.59,8.67,2023-01-30
143,NICGF,NIC Asia Growth Fund,30.82,9.41,9.73,9.41,9.61,9.63,"2,767.00",9.54,"26,652.91",5,0.07,0.32,0.73,3.4,-0.23,10.17,10.48,12.59,8.67,2023-01-31
