SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
142,NICL,Nepal Insurance Company Limited,28.26,424.00,425.00,416.50,416.50,419.69,"1,503.00",424.00,"630,792.40",28,-7.5,8.5,-1.77,2.04,-0.77,444.92,524.63,937.30,385.10,2022-12-07
142,NICL,Nepal Insurance Company Limited,28.26,424.00,425.00,416.50,416.50,419.69,"1,503.00",424.00,"630,792.40",28,-7.5,8.5,-1.77,2.04,-0.77,444.92,524.63,937.30,385.10,2022-12-09
145,NICL,Nepal Insurance Company Limited,29.67,415.00,419.00,412.00,416.00,413.57,"6,634.00",416.50,"2,743,626.70",34,-0.5,7.0,-0.12,1.7,0.58,-,-,937.30,385.10,2022-12-11
142,NICL,Nepal Insurance Company Limited,33.19,416.00,422.00,413.00,422.00,416.50,"1,248.00",416.00,"519,797.00",25,6.0,9.0,1.44,2.18,1.3,444.19,519.98,937.30,385.10,2022-12-12
141,NICL,Nepal Insurance Company Limited,28.33,420.00,427.90,415.00,422.00,418.07,"3,982.00",422.00,"1,664,752.70",23,0.0,12.9,0.0,3.11,0.93,443.95,517.74,937.30,385.10,2022-12-13
142,NICL,Nepal Insurance Company Limited,33.17,430.00,430.00,416.90,422.00,421.86,"1,224.00",422.00,"516,362.60",9,0.0,13.1,0.0,3.14,0.03,443.84,515.39,937.30,385.10,2022-12-14
147,NICL,Nepal Insurance Company Limited,33.44,422.00,422.00,408.10,414.00,412.18,"3,201.00",422.00,"1,319,385.00",46,-8.0,13.9,-1.9,3.41,0.44,443.59,513.02,937.30,385.10,2022-12-15
142,NICL,Nepal Insurance Company Limited,26.8,408.00,415.00,406.00,409.00,410.26,"8,237.00",414.00,"3,379,330.60",54,-5.0,9.0,-1.21,2.22,-0.31,443.38,510.61,937.30,385.10,2022-12-18
143,NICL,Nepal Insurance Company Limited,30.91,408.20,413.90,406.30,413.90,409.66,"6,152.00",409.00,"2,520,202.10",21,4.9,7.6,1.2,1.87,1.03,443.29,508.01,937.30,385.10,2022-12-19
146,NICL,Nepal Insurance Company Limited,30.91,410.10,420.70,410.10,420.70,417.79,"3,876.00",413.90,"1,619,339.10",25,6.8,10.6,1.64,2.58,0.69,443.07,505.54,937.30,385.10,2022-12-20
144,NICL,Nepal Insurance Company Limited,29.0,416.00,423.00,416.00,420.70,419.86,"5,075.00",420.70,"2,130,806.90",37,0.0,7.0,0.0,1.68,0.2,442.68,503.19,937.30,385.10,2022-12-21
139,NICL,Nepal Insurance Company Limited,45.64,416.00,425.40,416.00,419.00,421.88,"12,397.00",420.70,"5,230,001.20",109,-1.7,9.4,-0.4,2.26,-0.69,442.40,500.83,937.30,385.10,2022-12-22
141,NICL,Nepal Insurance Company Limited,49.31,395.70,411.60,395.70,405.00,403.16,"14,959.00",387.96,"6,030,883.40",64,17.04,15.9,4.39,4.02,0.45,442.18,498.36,937.30,385.10,2022-12-26
149,NICL,Nepal Insurance Company Limited,35.02,413.00,431.00,413.00,429.20,422.96,"13,560.00",405.00,"5,735,393.70",104,24.2,18.00,5.98,4.36,1.45,442.04,496.09,937.30,385.10,2022-12-27
146,NICL,Nepal Insurance Company Limited,51.43,430.00,453.00,423.00,430.00,435.18,"8,803.00",429.20,"3,830,868.50",95,0.8,30.0,0.19,7.09,-1.2,441.67,493.86,937.30,385.10,2022-12-28
147,NICL,Nepal Insurance Company Limited,51.43,430.00,464.50,430.00,464.50,452.98,"9,826.00",430.00,"4,450,938.50",118,34.5,34.5,8.02,8.02,2.48,441.63,491.90,937.30,385.10,2022-12-29
151,NICL,Nepal Insurance Company Limited,56.35,471.00,483.70,456.30,460.00,470.81,"25,984.00",464.50,"12,233,418.60",204,-4.5,27.40,-0.97,6.0,-2.35,441.43,490.03,937.30,385.10,2023-01-01
143,NICL,Nepal Insurance Company Limited,56.35,452.00,498.00,450.80,491.00,476.10,"28,800.00",460.00,"13,711,790.30",205,31.0,47.2,6.74,10.47,3.03,441.60,488.36,937.30,385.10,2023-01-02
147,NICL,Nepal Insurance Company Limited,58.26,497.00,497.00,474.00,482.00,485.87,"46,052.00",491.00,"22,375,400.20",217,-9.0,23.0,-1.83,4.85,-0.8,441.78,486.56,937.30,385.10,2023-01-03
147,NICL,Nepal Insurance Company Limited,61.53,485.00,500.00,477.10,500.00,485.47,"34,265.00",482.00,"16,634,675.80",163,18.0,22.9,3.73,4.8,2.91,442.13,484.97,937.30,385.10,2023-01-04
145,NICL,Nepal Insurance Company Limited,54.89,510.00,525.00,497.90,499.00,504.46,"22,328.00",500.00,"11,263,562.90",157,-1.0,27.1,-0.2,5.44,-1.09,442.48,483.52,937.30,385.10,2023-01-05
148,NICL,Nepal Insurance Company Limited,56.09,500.00,535.00,489.10,521.20,515.45,"40,217.00",499.00,"20,729,996.60",278,22.20,45.90,4.45,9.38,1.1,-,-,937.30,385.10,2023-01-08
146,NICL,Nepal Insurance Company Limited,55.06,523.00,540.00,520.00,532.00,532.83,"25,582.00",521.20,"13,630,840.10",137,10.8,20.0,2.07,3.85,-0.16,443.98,480.97,937.30,385.10,2023-01-09
142,NICL,Nepal Insurance Company Limited,52.88,542.60,550.00,505.00,512.60,533.49,"43,116.00",532.00,"23,002,041.50",277,-19.4,45.0,-3.65,8.91,-4.08,444.67,479.79,937.30,385.10,2023-01-10
140,NICL,Nepal Insurance Company Limited,52.91,522.80,535.50,490.00,498.00,504.59,"44,641.00",512.60,"22,525,394.50",295,-14.6,45.5,-2.85,9.29,-1.32,445.17,478.46,937.30,385.10,2023-01-12
141,NICL,Nepal Insurance Company Limited,50.23,498.00,518.00,490.00,514.00,507.00,"26,948.00",498.00,"13,662,770.00",133,16.0,28.0,3.21,5.71,1.36,445.88,477.41,937.30,385.10,2023-01-17
138,NICL,Nepal Insurance Company Limited,47.06,520.20,525.00,500.00,502.00,514.77,"23,213.00",514.00,"11,949,253.50",173,-12.0,25.0,-2.33,5.0,-2.54,446.35,476.26,937.30,385.10,2023-01-18
136,NICL,Nepal Insurance Company Limited,43.49,500.00,510.00,497.00,500.00,504.39,"15,326.00",502.00,"7,730,270.80",110,-2.0,13.0,-0.4,2.62,-0.88,446.86,474.95,937.30,385.10,2023-01-19
144,NICL,Nepal Insurance Company Limited,42.1,509.00,509.00,485.00,485.00,493.38,"10,401.00",500.00,"5,131,694.00",133,-15.0,24.0,-3.0,4.95,-1.73,447.22,473.61,937.30,385.10,2023-01-23
140,NICL,Nepal Insurance Company Limited,38.9,482.00,494.00,476.50,491.00,484.74,"11,069.00",485.00,"5,365,581.30",78,6.0,17.5,1.24,3.67,1.28,447.59,472.36,937.30,385.10,2023-01-24
142,NICL,Nepal Insurance Company Limited,37.24,499.80,514.00,499.80,505.00,506.22,"11,607.00",491.00,"5,875,667.40",101,14.0,14.2,2.85,2.84,-0.24,447.93,471.15,937.30,385.10,2023-01-25
141,NICL,Nepal Insurance Company Limited,43.52,508.00,513.00,499.00,499.00,506.01,"17,448.00",505.00,"8,828,873.50",128,-6.0,14.0,-1.19,2.81,-1.4,448.26,470.00,937.30,385.10,2023-01-26
