SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
149,NIMB,Nepal Investment Mega Bank Limited,37.1,232.20,232.20,213.20,216.00,216.90,"276,758.00",236.85,"60,028,868.90","1,298",-20.85,19.0,-8.8,8.91,-0.42,0.00,0.00,232.20,213.20,2023-02-23
148,NIMB,Nepal Investment Mega Bank Limited,24.25,212.00,212.00,204.00,207.50,206.45,"129,624.00",216.00,"26,760,453.20",712,-8.5,8.0,-3.94,3.92,0.51,0.00,0.00,232.20,204.00,2023-02-26
152,NIMB,Nepal Investment Mega Bank Limited,21.78,206.00,207.00,203.20,203.70,203.84,"62,491.00",206.00,"12,738,254.90",378,-2.3,3.8,-1.12,1.87,-0.07,0.00,0.00,232.20,203.10,2023-02-28
146,NIMB,Nepal Investment Mega Bank Limited,22.33,205.00,205.90,203.70,204.00,204.20,"41,099.00",203.70,"8,392,332.10",287,0.30,2.20,0.15,1.08,-0.1,0.00,0.00,232.20,203.10,2023-03-01
147,NIMB,Nepal Investment Mega Bank Limited,24.69,207.80,207.80,200.00,200.50,202.02,"57,048.00",204.00,"11,525,044.80",396,-3.5,7.8,-1.72,3.9,-0.76,0.00,0.00,232.20,200.00,2023-03-02
148,NIMB,Nepal Investment Mega Bank Limited,32.14,202.00,202.00,197.10,197.50,199.19,"78,195.00",200.50,"15,576,014.80",450,-3.0,4.9,-1.5,2.49,-0.86,0.00,0.00,232.20,197.10,2023-03-05
149,NIMB,Nepal Investment Mega Bank Limited,31.06,196.10,199.80,196.10,197.00,197.86,"40,001.00",197.50,"7,914,615.10",324,-0.5,3.7,-0.25,1.89,-0.44,0.00,0.00,232.20,196.10,2023-03-07
146,NIMB,Nepal Investment Mega Bank Limited,37.92,199.50,202.90,199.20,201.20,200.86,"67,668.00",197.00,"13,592,062.70",389,4.2,3.7,2.13,1.86,0.17,0.00,0.00,232.20,196.10,2023-03-09
148,NIMB,Nepal Investment Mega Bank Limited,35.14,204.00,204.00,196.00,198.20,198.41,"58,923.00",201.20,"11,691,012.50",398,-3.0,8.0,-1.49,4.08,-0.11,0.00,0.00,232.20,196.00,2023-03-12
146,NIMB,Nepal Investment Mega Bank Limited,37.25,200.90,200.90,195.00,195.00,195.76,"57,432.00",197.00,"11,243,144.40",358,-2.0,5.9,-1.02,3.03,-0.39,0.00,0.00,232.20,195.00,2023-03-14
144,NIMB,Nepal Investment Mega Bank Limited,32.2,197.00,197.00,192.60,193.20,193.57,"58,388.00",195.00,"11,302,234.20",328,-1.80,4.4,-0.92,2.28,-0.19,0.00,0.00,232.20,192.60,2023-03-15
144,NIMB,Nepal Investment Mega Bank Limited,37.0,192.00,193.00,190.60,192.00,191.88,"55,926.00",193.20,"10,731,353.60",322,-1.2,2.4,-0.62,1.26,0.06,0.00,0.00,232.20,190.60,2023-03-16
