SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
160,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,37.61,903.00,905.00,886.00,895.00,897.07,"3,509.00",896.90,"3,147,825.40",70,-1.9,19.0,-0.21,2.14,-0.23,977.09,"1,008.03","1,597.00",866.00,2022-12-07
160,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,37.61,903.00,905.00,886.00,895.00,897.07,"3,509.00",896.90,"3,147,825.40",70,-1.9,19.0,-0.21,2.14,-0.23,977.09,"1,008.03","1,597.00",866.00,2022-12-09
163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,39.02,881.00,895.00,880.00,887.50,883.38,"2,409.00",895.00,"2,128,065.30",58,-7.5,15.0,-0.84,1.7,0.46,-,-,"1,597.00",866.00,2022-12-11
160,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,36.59,888.00,900.00,876.10,892.10,885.79,"4,170.00",887.50,"3,693,737.10",60,4.6,23.9,0.52,2.73,0.71,975.82,"1,005.14","1,597.00",866.00,2022-12-12
159,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,41.98,888.00,898.00,882.50,883.00,886.27,"1,616.00",892.10,"1,432,214.20",42,-9.1,15.5,-1.02,1.76,-0.37,975.29,"1,003.68","1,597.00",866.00,2022-12-13
160,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,34.5,875.70,891.00,875.60,888.00,888.38,"1,707.00",883.00,"1,516,465.70",40,5.0,15.4,0.57,1.76,-0.04,975.03,"1,002.20","1,597.00",866.00,2022-12-14
166,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,23.87,880.00,886.00,875.70,880.00,878.49,"3,898.00",888.00,"3,424,361.20",74,-8.0,10.3,-0.9,1.18,0.17,974.57,"1,000.67","1,597.00",866.00,2022-12-15
160,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,28.56,870.00,884.00,865.00,870.00,868.48,"3,471.00",880.00,"3,014,493.70",81,-10.0,19.0,-1.14,2.2,0.17,974.11,999.14,"1,597.00",865.00,2022-12-18
161,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,25.39,880.00,884.00,865.00,870.00,870.37,"1,655.00",870.00,"1,440,458.40",47,0.0,19.0,0.0,2.2,-0.04,973.90,997.63,"1,597.00",865.00,2022-12-19
164,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,25.39,870.00,879.90,866.00,874.00,871.33,"3,385.00",870.00,"2,949,466.60",58,4.0,13.9,0.46,1.61,0.31,973.68,996.26,"1,597.00",865.00,2022-12-20
161,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,29.93,880.00,883.00,868.00,870.00,871.75,"3,142.00",874.00,"2,739,046.70",49,-4.0,15.0,-0.46,1.73,-0.2,972.85,994.90,"1,597.00",865.00,2022-12-21
157,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,31.15,879.10,879.10,865.00,873.00,870.19,"2,682.00",870.00,"2,333,839.50",51,3.0,14.1,0.34,1.63,0.32,972.13,993.55,"1,597.00",865.00,2022-12-22
158,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,43.0,890.00,908.00,880.00,903.00,895.19,"7,938.00",873.00,"7,105,996.30",120,30.0,28.0,3.44,3.18,0.87,971.68,992.34,"1,597.00",865.00,2022-12-26
167,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,49.02,920.00,926.00,900.00,915.00,911.61,"11,151.00",903.00,"10,165,308.10",158,12.0,26.00,1.33,2.89,0.37,971.27,991.24,"1,597.00",865.00,2022-12-27
164,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,51.38,902.00,912.90,890.00,899.00,900.00,"5,264.00",915.00,"4,737,623.60",89,-16.0,22.9,-1.75,2.57,-0.11,970.30,990.12,"1,345.00",865.00,2022-12-28
165,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,51.38,908.00,913.00,899.00,905.00,905.85,"6,153.00",899.00,"5,573,707.00",96,6.0,14.0,0.67,1.56,-0.09,969.29,989.04,"1,345.00",865.00,2022-12-29
169,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,54.02,915.00,934.00,903.00,914.00,915.27,"8,418.00",905.00,"7,704,707.20",153,9.0,31.00,0.99,3.43,-0.14,967.91,988.04,"1,345.00",865.00,2023-01-01
161,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,54.02,914.00,940.00,914.00,940.00,930.01,"8,369.00",914.00,"7,783,250.80",128,26.0,26.0,2.84,2.84,1.06,966.82,987.35,"1,345.00",865.00,2023-01-02
164,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,55.47,940.00,"1,014.90",940.00,996.00,982.65,"19,962.00",940.00,"19,615,654.00",254,56.0,74.9,5.96,7.97,1.34,966.44,986.88,"1,345.00",865.00,2023-01-03
165,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,61.53,996.00,"1,095.00",995.00,"1,094.30","1,032.12","43,011.00",996.00,"44,392,376.60",631,98.3,100.0,9.87,10.05,5.68,966.77,986.95,"1,345.00",865.00,2023-01-04
165,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,62.59,"1,116.00","1,132.00","1,075.00","1,082.00","1,093.09","27,499.00","1,094.30","30,058,900.40",478,-12.3,57.0,-1.12,5.3,-1.03,967.12,986.98,"1,345.00",865.00,2023-01-05
166,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,63.79,"1,090.00","1,090.00","1,041.00","1,067.00","1,073.54","27,817.00","1,082.00","29,862,758.50",294,-15.00,49.00,-1.39,4.71,-0.61,-,-,"1,345.00",865.00,2023-01-08
164,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,52.6,"1,070.00","1,084.00","1,055.00","1,066.00","1,070.40","9,828.00","1,067.00","10,519,875.90",173,-1.0,29.0,-0.09,2.75,-0.41,968.10,986.64,"1,345.00",865.00,2023-01-09
160,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,44.91,"1,066.00","1,095.00","1,044.80","1,052.00","1,070.80","22,652.00","1,066.00","24,255,712.30",282,-14.0,50.2,-1.31,4.8,-1.79,968.81,986.56,"1,345.00",865.00,2023-01-10
158,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,44.93,"1,073.00","1,075.00","1,017.30","1,018.10","1,041.65","9,565.00","1,052.00","9,963,365.90",201,-33.9,57.7,-3.22,5.67,-2.31,968.98,986.24,"1,345.00",865.00,2023-01-12
159,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,41.93,"1,012.20","1,033.00","1,012.20","1,025.00","1,025.83","7,059.00","1,018.10","7,241,353.00",122,6.9,20.8,0.68,2.05,-0.08,968.79,986.01,"1,330.00",865.00,2023-01-17
156,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,41.67,"1,025.10","1,057.00","1,012.00","1,040.00","1,039.54","14,681.00","1,025.00","15,261,538.90",194,15.0,45.0,1.46,4.45,0.04,968.30,985.80,"1,310.00",865.00,2023-01-18
155,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,45.55,"1,025.00","1,045.00","1,025.00","1,033.00","1,037.38","4,642.00","1,040.00","4,815,502.90",77,-7.0,20.0,-0.67,1.95,-0.42,968.12,985.32,"1,310.00",865.00,2023-01-19
162,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,39.48,"1,050.00","1,050.00","1,005.10","1,009.00","1,018.97","5,646.00","1,033.00","5,753,124.80",123,-24.0,44.9,-2.32,4.47,-0.99,967.86,984.81,"1,310.00",865.00,2023-01-23
157,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,39.66,"1,010.00","1,010.00",990.00,"1,000.00",996.85,"7,438.00","1,009.00","7,414,538.60",115,-9.0,20.0,-0.89,2.02,0.32,967.47,984.24,"1,310.00",865.00,2023-01-24
161,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,39.53,"1,020.00","1,020.00",990.00,"1,000.00",999.33,"7,251.00","1,000.00","7,246,107.20",116,0.0,30.0,0.0,3.03,0.07,966.98,983.73,"1,310.00",865.00,2023-01-25
159,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,39.46,"1,000.00","1,010.00","1,000.00","1,005.00","1,001.44","3,344.00","1,000.00","3,348,815.20",74,5.0,10.0,0.5,1.0,0.35,966.68,983.29,"1,310.00",865.00,2023-01-26
165,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,36.78,"1,000.00","1,010.00",990.00,998.00,"1,000.14","4,210.00","1,005.00","4,210,594.20",76,-7.0,20.0,-0.7,2.02,-0.21,966.40,982.89,"1,310.00",865.00,2023-01-29
160,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,38.65,981.00,"1,000.00",981.00,985.00,989.04,"6,313.00",998.00,"6,243,822.60",98,-13.0,19.0,-1.3,1.94,-0.41,965.82,982.54,"1,310.00",865.00,2023-01-30
162,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,37.68,980.00,980.00,965.00,965.00,970.55,"6,580.00",985.00,"6,386,204.30",122,-20.0,15.0,-2.03,1.55,-0.57,964.54,982.20,"1,310.00",865.00,2023-01-31
161,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,35.76,967.00,975.00,965.00,970.00,970.21,"1,484.00",965.00,"1,439,789.50",44,5.0,10.0,0.52,1.04,-0.02,963.55,981.81,"1,310.00",865.00,2023-02-01
162,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,32.63,988.00,999.90,970.10,974.00,980.66,"7,440.00",970.00,"7,296,108.10",127,4.0,29.8,0.41,3.07,-0.68,962.42,981.38,"1,310.00",865.00,2023-02-02
162,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,31.97,975.00,990.00,970.00,975.00,979.84,"4,531.00",974.00,"4,439,655.30",102,1.0,20.0,0.1,2.06,-0.5,961.20,980.85,"1,285.00",865.00,2023-02-05
163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,47.4,989.00,"1,009.00",970.00,"1,007.00",998.67,"9,652.00",975.00,"9,639,116.90",134,32.0,39.0,3.28,4.02,0.83,958.89,979.50,"1,285.00",865.00,2023-02-07
162,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,54.99,987.00,"1,005.00",980.00,"1,002.00",995.90,"8,116.00","1,007.00","8,082,699.60",149,-5.0,25.0,-0.5,2.55,0.61,957.03,978.64,"1,250.50",865.00,2023-02-09
157,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,54.53,983.10,"1,006.00",977.10,993.00,990.74,"18,725.00","1,002.00","18,551,601.20",252,-9.0,28.9,-0.9,2.96,0.23,956.02,978.18,"1,250.50",865.00,2023-02-12
160,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,36.5,851.10,851.10,810.00,814.00,817.97,"13,458.00",834.45,"11,008,216.20",247,-20.45,41.1,-2.45,5.07,-0.49,953.65,976.76,"1,244.00",810.00,2023-02-14
160,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,34.41,800.00,800.00,781.00,782.00,788.97,"4,994.00",799.00,"3,940,123.30",99,-17.00,19.00,-2.13,2.43,-0.89,949.07,974.10,"1,244.00",781.00,2023-02-16
162,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,31.28,790.00,790.00,760.00,761.00,765.63,"6,746.00",782.00,"5,164,934.50",154,-21.0,30.0,-2.69,3.95,-0.61,946.66,972.56,"1,220.00",760.00,2023-02-20
170,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,39.44,765.00,770.00,751.00,758.00,759.64,"6,040.00",761.00,"4,588,230.80",120,-3.0,19.0,-0.39,2.53,-0.22,944.44,971.03,"1,214.00",751.00,2023-02-22
163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,39.37,742.90,742.90,682.20,684.00,694.77,"42,572.00",758.00,"29,577,607.70",690,-74.0,60.7,-9.76,8.9,-1.57,941.69,969.09,"1,205.00",682.20,2023-02-23
162,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,42.92,671.00,711.00,634.00,705.00,668.50,"30,484.00",684.00,"20,378,579.90",450,21.0,77.0,3.07,12.15,5.18,939.22,967.32,"1,180.00",634.00,2023-02-26
166,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,35.57,710.00,710.00,680.00,681.00,688.26,"7,883.00",701.00,"5,425,523.80",108,-20.0,30.0,-2.85,4.41,-1.07,934.16,963.76,"1,179.00",634.00,2023-02-28
160,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,40.24,678.00,680.00,658.00,658.00,664.94,"8,686.00",681.00,"5,775,688.30",163,-23.00,22.00,-3.38,3.34,-1.06,931.31,961.84,"1,179.00",634.00,2023-03-01
161,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,36.17,660.00,660.00,632.20,638.20,641.35,"11,590.00",658.00,"7,433,220.40",186,-19.8,27.8,-3.01,4.4,-0.49,928.29,959.83,"1,179.00",632.20,2023-03-02
162,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,37.39,625.50,637.90,615.00,621.00,624.57,"14,648.00",638.20,"9,148,665.20",195,-17.2,22.9,-2.7,3.72,-0.57,925.05,957.73,"1,179.00",615.00,2023-03-05
163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,36.87,633.00,640.00,618.10,620.00,625.62,"11,079.00",621.00,"6,931,286.20",111,-1.0,21.9,-0.16,3.54,-0.91,921.72,955.70,"1,179.00",615.00,2023-03-07
161,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,40.18,630.00,648.00,625.00,648.00,640.77,"8,966.00",620.00,"5,745,111.30",108,28.0,23.0,4.52,3.68,1.12,918.72,953.70,"1,179.00",615.00,2023-03-09
162,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,36.48,660.00,660.00,640.00,640.00,647.32,"5,858.00",648.00,"3,791,975.60",85,-8.0,20.0,-1.23,3.13,-1.14,915.70,951.66,"1,179.00",615.00,2023-03-12
160,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,39.12,631.00,637.90,625.30,630.00,630.90,"7,230.00",635.00,"4,561,386.00",88,-5.0,12.6,-0.79,2.02,-0.14,909.41,947.59,"1,179.00",615.00,2023-03-14
158,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,37.46,630.00,630.00,606.00,615.00,615.68,"9,322.00",630.00,"5,739,349.40",122,-15.00,24.0,-2.38,3.96,-0.11,906.13,945.56,"1,179.00",606.00,2023-03-15
158,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,37.87,616.00,616.00,605.00,613.00,610.19,"5,043.00",615.00,"3,077,175.20",60,-2.0,11.0,-0.33,1.82,0.46,903.00,943.64,"1,179.00",605.00,2023-03-16
160,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,38.76,610.90,611.00,588.00,596.80,595.72,"11,899.00",613.00,"7,088,434.20",177,-16.2,23.0,-2.64,3.91,0.18,899.66,941.58,"1,179.00",588.00,2023-03-19
161,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,39.07,600.00,600.00,590.00,594.00,594.06,"13,725.00",596.80,"8,153,457.50",171,-2.8,10.0,-0.47,1.69,-0.01,896.34,939.52,"1,179.00",588.00,2023-03-20
165,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,37.46,595.00,600.00,590.00,600.00,594.59,"9,662.00",594.00,"5,744,880.60",108,6.0,10.0,1.01,1.69,0.9,893.24,937.60,"1,179.00",588.00,2023-03-22
163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,37.46,591.80,598.00,591.00,595.00,592.81,"5,464.00",600.00,"3,239,103.40",79,-5.0,7.0,-0.83,1.18,0.37,-,-,"1,179.00",588.00,2023-03-23
162,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,42.43,591.00,610.00,585.00,599.00,602.19,"9,541.00",590.00,"5,745,470.50",134,9.0,25.0,1.53,4.27,-0.53,880.05,930.39,"1,154.00",570.00,2023-03-28
