SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
162,OHL,Oriental Hotel Limited,43.48,482.00,490.00,481.10,490.00,487.07,760.00,490.00,"370,170.20",8,0.0,8.9,0.0,1.85,0.6,470.32,477.57,566.00,413.80,2022-12-07
162,OHL,Oriental Hotel Limited,43.48,482.00,490.00,481.10,490.00,487.07,760.00,490.00,"370,170.20",8,0.0,8.9,0.0,1.85,0.6,470.32,477.57,566.00,413.80,2022-12-09
165,OHL,Oriental Hotel Limited,44.9,485.00,489.90,481.00,482.00,483.76,"1,076.00",490.00,"520,531.00",13,-8.0,8.9,-1.63,1.85,-0.37,-,-,566.00,413.80,2022-12-11
162,OHL,Oriental Hotel Limited,28.94,491.00,510.00,473.10,479.00,480.00,"2,053.00",482.00,"985,438.90",20,-3.0,36.9,-0.62,7.8,-0.21,471.03,477.27,566.00,413.80,2022-12-12
161,OHL,Oriental Hotel Limited,30.5,485.00,491.00,472.00,489.00,479.77,"3,068.00",479.00,"1,471,929.60",18,10.0,19.0,2.09,4.03,1.89,471.56,477.20,566.00,413.80,2022-12-13
162,OHL,Oriental Hotel Limited,34.83,498.00,498.00,477.00,480.00,486.79,"2,528.00",489.00,"1,230,609.50",23,-9.0,21.0,-1.84,4.4,-1.41,471.97,477.05,566.00,413.80,2022-12-14
168,OHL,Oriental Hotel Limited,28.89,480.00,488.00,480.00,482.00,485.64,"2,430.00",480.00,"1,180,108.90",8,2.0,8.0,0.42,1.67,-0.76,472.40,476.95,566.00,413.80,2022-12-15
162,OHL,Oriental Hotel Limited,40.43,490.00,490.00,467.30,480.00,474.85,573.00,482.00,"272,088.30",10,-2.0,22.7,-0.41,4.86,1.07,472.75,476.86,566.00,413.80,2022-12-18
163,OHL,Oriental Hotel Limited,28.42,481.00,481.00,481.00,481.00,481.00,10.00,480.00,"4,810.00",1,1.0,0.0,0.21,0.0,0.0,473.23,476.83,566.00,413.80,2022-12-19
166,OHL,Oriental Hotel Limited,28.42,482.00,489.00,480.00,485.00,483.54,"1,112.00",481.00,"537,700.00",10,4.0,9.0,0.83,1.88,0.3,473.69,476.81,566.00,413.80,2022-12-20
163,OHL,Oriental Hotel Limited,43.65,490.00,490.00,476.30,476.30,480.00,340.00,485.00,"163,200.00",6,-8.7,13.7,-1.79,2.88,-0.78,473.83,476.75,566.00,413.80,2022-12-21
159,OHL,Oriental Hotel Limited,26.45,480.00,480.00,477.00,478.00,477.72,664.00,476.30,"317,208.00",4,1.7,3.0,0.36,0.63,0.06,474.08,476.68,566.00,413.80,2022-12-22
160,OHL,Oriental Hotel Limited,34.69,487.00,495.00,470.10,495.00,482.92,"5,128.00",478.00,"2,476,418.80",29,17.0,24.9,3.56,5.3,2.44,474.46,476.60,566.00,413.80,2022-12-26
169,OHL,Oriental Hotel Limited,38.98,500.00,522.00,490.00,522.00,507.23,"12,861.00",495.00,"6,523,505.70",75,27.0,32.00,5.45,6.53,2.83,474.99,476.77,566.00,413.80,2022-12-27
166,OHL,Oriental Hotel Limited,55.16,512.00,512.00,496.20,503.00,504.94,"7,948.00",522.00,"4,013,254.60",39,-19.0,15.8,-3.64,3.18,-0.39,475.19,476.84,566.00,413.80,2022-12-28
167,OHL,Oriental Hotel Limited,55.16,508.00,517.00,497.90,511.00,510.75,"16,372.00",503.00,"8,361,981.50",62,8.0,19.1,1.59,3.84,0.05,475.54,476.96,566.00,413.80,2022-12-29
171,OHL,Oriental Hotel Limited,55.26,509.00,520.00,500.30,508.90,510.34,"14,928.00",511.00,"7,618,311.80",47,-2.1,19.70,-0.41,3.94,-0.28,475.78,477.05,566.00,413.80,2023-01-01
163,OHL,Oriental Hotel Limited,55.26,500.00,521.00,500.00,520.00,512.68,"36,781.00",508.90,"18,856,977.00",133,11.1,21.0,2.18,4.2,1.41,476.07,477.15,566.00,413.80,2023-01-02
166,OHL,Oriental Hotel Limited,44.82,521.00,548.00,520.00,523.10,530.00,"43,716.00",520.00,"23,169,585.10",278,3.1,28.0,0.6,5.38,-1.32,476.49,477.20,566.00,413.80,2023-01-03
167,OHL,Oriental Hotel Limited,61.53,533.50,535.00,520.00,530.00,526.80,"22,583.00",523.10,"11,896,654.80",87,6.9,15.0,1.32,2.88,0.6,476.94,477.37,566.00,413.80,2023-01-04
