SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
163,PBD85,8.75% Prime Debenture 2085,24.81,767.20,767.20,767.20,767.20,767.20,50.00,765.00,"38,360.00",2,2.2,0.0,0.29,0.0,0.0,-,-,960.00,765.00,2022-12-18
164,PBD85,8.75% Prime Debenture 2085,34.82,765.00,765.00,765.00,765.00,765.00,25.00,767.20,"19,125.00",1,-2.2,0.0,-0.29,0.0,0.0,-,-,960.00,765.00,2022-12-19
161,PBD85,8.75% Prime Debenture 2085,33.42,780.30,780.30,780.30,780.30,780.30,30.00,765.00,"23,409.00",1,15.3,0.0,2.0,0.0,0.0,-,-,960.00,765.00,2022-12-26
170,PBD85,8.75% Prime Debenture 2085,44.11,790.00,790.00,790.00,790.00,790.00,100.00,780.30,"79,000.00",2,9.7,0.00,1.24,0.0,0.0,-,-,960.00,765.00,2022-12-27
172,PBD85,8.75% Prime Debenture 2085,50.44,790.00,790.00,780.20,780.20,785.10,50.00,790.00,"39,255.00",2,-9.8,9.80,-1.24,1.26,-0.63,-,-,960.00,765.00,2023-01-01
164,PBD85,8.75% Prime Debenture 2085,50.44,792.40,792.40,792.40,792.40,792.40,75.00,780.20,"59,430.00",1,12.2,0.0,1.56,0.0,0.0,-,-,960.00,765.00,2023-01-02
167,PBD85,8.75% Prime Debenture 2085,54.79,805.00,805.00,805.00,805.00,805.00,200.00,792.40,"161,000.00",2,12.6,0.0,1.59,0.0,0.0,-,-,960.00,765.00,2023-01-03
163,PBD85,8.75% Prime Debenture 2085,56.46,793.00,793.00,789.10,789.10,790.83,100.00,805.00,"79,082.60",4,-15.9,3.9,-1.98,0.49,-0.22,-,-,960.00,765.00,2023-01-10
162,PBD85,8.75% Prime Debenture 2085,56.13,774.00,774.00,774.00,774.00,774.00,25.00,789.10,"19,350.00",1,-15.1,0.0,-1.91,0.0,0.0,0.00,0.00,925.00,765.00,2023-01-17
159,PBD85,8.75% Prime Debenture 2085,49.05,759.00,759.00,759.00,759.00,759.00,795.00,774.00,"603,405.00",3,-15.0,0.0,-1.94,0.0,0.0,0.00,0.00,918.00,759.00,2023-01-18
158,PBD85,8.75% Prime Debenture 2085,50.36,770.00,770.00,770.00,770.00,770.00,68.00,759.00,"52,360.00",1,11.0,0.0,1.45,0.0,0.0,0.00,0.00,918.00,759.00,2023-01-19
165,PBD85,8.75% Prime Debenture 2085,40.77,760.00,760.00,760.00,760.00,760.00,25.00,770.00,"19,000.00",1,-10.0,0.0,-1.3,0.0,0.0,0.00,0.00,918.00,759.00,2023-01-23
164,PBD85,8.75% Prime Debenture 2085,41.01,765.00,765.00,765.00,765.00,765.00,100.00,760.00,"76,500.00",1,5.0,0.0,0.66,0.0,0.0,0.00,0.00,918.00,759.00,2023-01-25
168,PBD85,8.75% Prime Debenture 2085,48.53,770.00,770.00,770.00,770.00,770.00,25.00,765.00,"19,250.00",1,5.0,0.0,0.65,0.0,0.0,870.64,0.00,918.00,759.00,2023-01-29
165,PBD85,8.75% Prime Debenture 2085,53.76,785.00,785.00,785.00,785.00,785.00,50.00,770.00,"39,250.00",2,15.0,0.0,1.95,0.0,0.0,868.85,0.00,918.00,759.00,2023-01-31
160,PBD85,8.75% Prime Debenture 2085,45.55,780.00,780.00,780.00,780.00,780.00,25.00,780.00,"19,500.00",1,0.0,0.0,0.0,0.0,0.0,865.79,0.00,900.00,759.00,2023-02-12
163,PBD85,8.75% Prime Debenture 2085,50.44,780.00,790.00,780.00,790.00,781.38,145.00,780.00,"113,300.00",3,10.00,10.0,1.28,1.28,1.09,864.36,0.00,900.00,759.00,2023-02-14
163,PBD85,8.75% Prime Debenture 2085,32.04,775.40,775.40,775.40,775.40,775.40,50.00,790.00,"38,770.00",1,-14.60,0.00,-1.85,0.0,0.0,862.84,0.00,894.70,759.00,2023-02-16
173,PBD85,8.75% Prime Debenture 2085,34.17,761.00,762.00,759.90,759.90,760.86,250.00,775.40,"190,216.00",4,-15.5,2.1,-2.0,0.28,-0.13,861.18,0.00,894.70,759.00,2023-02-22
164,PBD85,8.75% Prime Debenture 2085,22.72,759.00,759.00,759.00,759.00,759.00,25.00,759.90,"18,975.00",1,-0.9,0.0,-0.12,0.0,0.0,859.47,0.00,894.70,759.00,2023-03-02
165,PBD85,8.75% Prime Debenture 2085,29.27,774.10,774.10,774.10,774.10,774.10,122.00,759.00,"94,440.20",1,15.1,0.0,1.99,0.0,0.0,857.92,0.00,894.70,759.00,2023-03-05
166,PBD85,8.75% Prime Debenture 2085,42.88,785.00,789.50,785.00,789.50,788.27,65.00,774.10,"51,237.50",3,15.4,4.5,1.99,0.57,0.16,856.55,0.00,894.70,759.00,2023-03-07
164,PBD85,8.75% Prime Debenture 2085,41.71,773.80,773.80,773.80,773.80,773.80,25.00,789.50,"19,345.00",1,-15.7,0.0,-1.99,0.0,0.0,855.06,0.00,876.90,759.00,2023-03-09
166,PBD85,8.75% Prime Debenture 2085,39.36,766.20,766.20,766.20,766.20,766.20,25.00,773.80,"19,155.00",1,-7.6,0.0,-0.98,0.0,0.0,-,-,872.10,759.00,2023-03-23
164,PBD85,8.75% Prime Debenture 2085,28.7,780.00,780.00,780.00,780.00,780.00,25.00,780.00,"19,500.00",1,0.0,0.0,0.0,0.0,0.0,850.51,0.00,872.10,759.00,2023-03-29
164,PBD85,8.75% Prime Debenture 2085,37.15,775.00,775.00,775.00,775.00,775.00,25.00,780.00,"19,375.00",1,-5.0,0.0,-0.64,0.0,0.0,849.05,0.00,872.10,759.00,2023-04-05
164,PBD85,8.75% Prime Debenture 2085,41.28,790.50,790.50,790.50,790.50,790.50,25.00,775.00,"19,762.50",1,15.5,0.0,2.0,0.0,0.0,847.58,0.00,870.00,759.00,2023-04-25
166,PBD85,8.75% Prime Debenture 2085,39.1,806.30,806.40,806.30,806.30,806.34,35.00,790.50,"28,222.00",3,15.8,0.1,2.0,0.01,-0.01,846.23,0.00,870.00,759.00,2023-04-26
173,PBD85,8.75% Prime Debenture 2085,42.17,810.00,810.00,810.00,810.00,810.00,25.00,806.30,"20,250.00",1,3.7,0.0,0.46,0.0,0.0,845.05,0.00,870.00,759.00,2023-05-02
167,PBD85,8.75% Prime Debenture 2085,36.81,810.00,810.00,810.00,810.00,810.00,15.00,810.00,"12,150.00",1,0.0,0.0,0.0,0.0,0.0,843.85,0.00,870.00,759.00,2023-05-03
170,PBD85,8.75% Prime Debenture 2085,39.43,810.00,810.00,810.00,810.00,810.00,100.00,810.00,"81,000.00",1,0.0,0.0,0.0,0.0,0.0,842.64,0.00,870.00,759.00,2023-05-09
174,PBD85,8.75% Prime Debenture 2085,29.85,810.00,810.00,810.00,810.00,810.00,25.00,810.00,"20,250.00",1,0.0,0.0,0.0,0.0,0.0,841.46,0.00,870.00,759.00,2023-05-16
175,PBD85,8.75% Prime Debenture 2085,39.16,810.00,810.00,810.00,810.00,810.00,50.00,810.00,"40,500.00",2,0.00,0.00,0.0,0.0,0.0,840.14,0.00,870.00,759.00,2023-05-24
