SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
167,PBLD87,8.5% Prabhu Bank Debenture 2087,24.04,980.00,980.00,904.00,904.00,941.60,50.00,"1,000.00","47,080.00",5,-96.0,76.0,-9.6,8.41,-4.16,0.00,0.00,"1,000.00",904.00,2023-04-02
166,PBLD87,8.5% Prabhu Bank Debenture 2087,25.9,886.00,886.00,813.60,813.60,845.05,60.00,904.00,"50,703.00",6,-90.4,72.4,-10.0,8.9,-3.87,0.00,0.00,"1,000.00",813.60,2023-04-03
169,PBLD87,8.5% Prabhu Bank Debenture 2087,26.95,797.40,797.40,732.30,738.00,732.70,"5,235.00",813.60,"3,835,679.00",23,-75.6,65.1,-9.29,8.89,0.72,0.00,0.00,"1,000.00",732.30,2023-04-04
166,PBLD87,8.5% Prabhu Bank Debenture 2087,19.39,734.00,740.00,734.00,740.00,737.15,165.00,738.00,"121,630.50",5,2.0,6.0,0.27,0.82,0.38,0.00,0.00,"1,000.00",732.30,2023-04-05
171,PBLD87,8.5% Prabhu Bank Debenture 2087,18.8,740.00,740.00,731.10,731.10,737.38,85.00,740.00,"62,677.50",3,-8.9,8.9,-1.2,1.22,-0.86,0.00,0.00,"1,000.00",731.10,2023-04-06
173,PBLD87,8.5% Prabhu Bank Debenture 2087,24.66,731.00,740.00,731.00,740.00,737.95,110.00,731.10,"81,175.00",3,8.9,9.0,1.22,1.23,0.28,0.00,0.00,"1,000.00",731.00,2023-04-09
166,PBLD87,8.5% Prabhu Bank Debenture 2087,32.75,740.00,742.00,732.20,742.00,739.04,125.00,740.00,"92,380.00",5,2.0,9.8,0.27,1.34,0.4,0.00,0.00,"1,000.00",731.00,2023-04-10
171,PBLD87,8.5% Prabhu Bank Debenture 2087,39.69,748.30,748.30,748.30,748.30,748.30,50.00,742.00,"37,415.00",2,6.30,0.00,0.85,0.0,0.0,0.00,0.00,"1,000.00",731.00,2023-04-12
172,PBLD87,8.5% Prabhu Bank Debenture 2087,42.31,745.20,745.20,730.00,737.00,735.67,725.00,748.30,"533,360.00",5,-11.3,15.20,-1.51,2.08,0.18,0.00,0.00,"1,000.00",730.00,2023-04-13
168,PBLD87,8.5% Prabhu Bank Debenture 2087,42.31,751.00,751.00,751.00,751.00,751.00,200.00,737.00,"150,200.00",1,14.0,0.0,1.9,0.0,0.0,0.00,0.00,"1,000.00",730.00,2023-04-16
166,PBLD87,8.5% Prabhu Bank Debenture 2087,37.95,773.00,775.00,773.00,775.00,774.41,85.00,760.00,"65,825.00",3,15.0,2.0,1.97,0.26,0.08,0.00,0.00,"1,000.00",730.00,2023-04-18
171,PBLD87,8.5% Prabhu Bank Debenture 2087,44.24,759.50,770.00,759.50,770.00,764.75,50.00,775.00,"38,237.50",2,-5.0,10.5,-0.65,1.38,0.68,0.00,0.00,"1,000.00",730.00,2023-04-19
168,PBLD87,8.5% Prabhu Bank Debenture 2087,44.24,770.00,770.00,770.00,770.00,770.00,50.00,770.00,"38,500.00",2,0.0,0.00,0.0,0.0,0.0,0.00,0.00,"1,000.00",730.00,2023-04-20
168,PBLD87,8.5% Prabhu Bank Debenture 2087,35.12,770.00,770.00,770.00,770.00,770.00,25.00,770.00,"19,250.00",1,0.0,0.0,0.0,0.0,0.0,0.00,0.00,"1,000.00",730.00,2023-04-23
171,PBLD87,8.5% Prabhu Bank Debenture 2087,36.53,783.00,785.00,783.00,785.00,784.00,50.00,770.00,"39,200.00",2,15.0,2.0,1.95,0.26,0.13,0.00,0.00,"1,000.00",730.00,2023-04-24
174,PBLD87,8.5% Prabhu Bank Debenture 2087,41.55,792.00,810.00,792.00,810.00,799.32,225.00,785.00,"179,847.50",6,25.0,18.0,3.18,2.27,1.32,0.00,0.00,"1,000.00",730.00,2023-04-30
172,PBLD87,8.5% Prabhu Bank Debenture 2087,33.15,795.00,795.00,795.00,795.00,795.00,10.00,810.00,"7,950.00",1,-15.0,0.0,-1.85,0.0,0.0,0.00,0.00,"1,000.00",730.00,2023-05-09
171,PBLD87,8.5% Prabhu Bank Debenture 2087,39.11,795.00,795.00,795.00,795.00,795.00,122.00,795.00,"96,990.00",4,0.0,0.0,0.0,0.0,0.0,0.00,0.00,"1,000.00",730.00,2023-05-10
166,PBLD87,8.5% Prabhu Bank Debenture 2087,32.41,790.00,790.00,790.00,790.00,790.00,25.00,795.00,"19,750.00",1,-5.0,0.0,-0.63,0.0,0.0,0.00,0.00,"1,000.00",730.00,2023-05-11
169,PBLD87,8.5% Prabhu Bank Debenture 2087,25.22,780.20,780.20,780.20,780.20,780.20,25.00,790.00,"19,505.00",1,-9.8,0.0,-1.24,0.0,0.0,0.00,0.00,"1,000.00",730.00,2023-05-14
170,PBLD87,8.5% Prabhu Bank Debenture 2087,23.57,781.40,781.40,781.40,781.40,781.40,25.00,766.10,"19,535.00",1,15.3,0.0,2.0,0.0,0.0,0.00,0.00,"1,000.00",730.00,2023-05-18
