SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
164,PCBL,Prime Commercial Bank Limited,38.74,223.40,227.90,223.40,226.90,226.40,"22,302.00",227.90,"5,049,112.80",148,-1.0,4.5,-0.44,2.01,0.22,239.45,257.28,458.00,209.50,2022-12-07
164,PCBL,Prime Commercial Bank Limited,38.74,223.40,227.90,223.40,226.90,226.40,"22,302.00",227.90,"5,049,112.80",148,-1.0,4.5,-0.44,2.01,0.22,239.45,257.28,458.00,209.50,2022-12-09
167,PCBL,Prime Commercial Bank Limited,40.16,226.50,230.00,223.00,225.80,223.87,"30,410.00",226.90,"6,807,911.40",201,-1.1,7.0,-0.48,3.14,0.85,-,-,392.00,209.50,2022-12-11
165,PCBL,Prime Commercial Bank Limited,37.78,225.00,228.00,222.00,225.00,224.00,"34,871.00",225.80,"7,811,252.00",213,-0.8,6.0,-0.35,2.7,0.44,238.85,256.13,392.00,209.50,2022-12-12
163,PCBL,Prime Commercial Bank Limited,33.93,226.00,226.90,222.50,224.80,224.15,"9,302.00",225.00,"2,085,015.90",108,-0.2,4.4,-0.09,1.98,0.29,238.62,255.58,392.00,209.50,2022-12-13
163,PCBL,Prime Commercial Bank Limited,26.59,229.20,229.20,222.00,226.00,224.35,"17,005.00",224.80,"3,815,054.70",131,1.2,7.2,0.53,3.24,0.73,238.42,255.04,392.00,209.50,2022-12-14
170,PCBL,Prime Commercial Bank Limited,30.17,222.60,225.90,222.60,224.50,223.55,"15,037.00",226.00,"3,361,480.10",120,-1.5,3.3,-0.66,1.48,0.42,238.17,254.47,392.00,209.50,2022-12-15
165,PCBL,Prime Commercial Bank Limited,30.83,224.00,224.00,211.70,213.80,212.72,"97,623.00",224.50,"20,766,317.20",459,-10.7,12.3,-4.77,5.81,0.51,237.87,253.86,392.00,209.50,2022-12-18
165,PCBL,Prime Commercial Bank Limited,34.71,210.20,214.00,209.60,213.40,213.63,"324,602.00",213.80,"69,343,103.50",186,-0.4,4.4,-0.19,2.1,-0.11,237.58,253.27,392.00,209.50,2022-12-19
168,PCBL,Prime Commercial Bank Limited,34.71,211.20,214.00,210.00,213.90,212.28,"43,886.00",213.40,"9,316,034.10",206,0.5,4.0,0.23,1.9,0.76,237.28,252.71,392.00,209.50,2022-12-20
166,PCBL,Prime Commercial Bank Limited,30.65,212.00,215.00,211.00,213.10,212.20,"24,235.00",213.90,"5,142,647.90",175,-0.8,4.0,-0.37,1.9,0.42,236.94,252.16,392.00,209.50,2022-12-21
162,PCBL,Prime Commercial Bank Limited,28.14,210.10,213.00,210.10,213.00,211.88,"24,193.00",213.10,"5,126,066.50",167,-0.1,2.9,-0.05,1.38,0.52,236.60,251.62,392.00,209.50,2022-12-22
163,PCBL,Prime Commercial Bank Limited,37.94,217.20,221.50,213.00,218.00,217.58,"63,390.00",213.00,"13,792,139.20",258,5.0,8.5,2.35,3.99,0.19,236.31,251.09,392.00,209.50,2022-12-26
173,PCBL,Prime Commercial Bank Limited,47.25,222.30,228.50,220.00,226.90,225.19,"67,018.00",218.00,"15,091,770.60",368,8.9,8.50,4.08,3.86,0.75,236.10,250.62,392.00,209.50,2022-12-27
169,PCBL,Prime Commercial Bank Limited,54.67,231.40,231.40,224.00,228.90,228.10,"261,707.00",226.90,"59,694,595.00",485,2.0,7.4,0.88,3.3,0.35,235.87,250.18,392.00,209.50,2022-12-28
170,PCBL,Prime Commercial Bank Limited,54.67,220.00,223.90,216.00,223.10,220.08,"55,284.00",220.10,"12,167,103.40",290,3.0,7.9,1.36,3.66,1.35,235.61,249.71,392.00,209.50,2022-12-29
174,PCBL,Prime Commercial Bank Limited,51.33,224.00,227.00,218.70,223.40,222.94,"60,584.00",223.10,"13,506,522.30",321,0.3,8.30,0.13,3.8,0.21,235.34,249.26,392.00,209.50,2023-01-01
166,PCBL,Prime Commercial Bank Limited,51.33,220.00,225.00,220.00,222.80,221.57,"28,433.00",223.40,"6,299,801.30",196,-0.6,5.0,-0.27,2.27,0.55,235.08,248.85,392.00,209.50,2023-01-02
170,PCBL,Prime Commercial Bank Limited,34.86,227.20,232.00,218.00,221.00,220.47,"39,925.00",222.80,"8,802,167.40",257,-1.8,14.0,-0.81,6.42,0.24,234.81,248.40,392.00,209.50,2023-01-03
170,PCBL,Prime Commercial Bank Limited,38.48,224.00,224.00,218.00,222.00,220.22,"68,085.00",221.00,"14,993,929.80",285,1.0,6.0,0.45,2.75,0.8,234.53,247.97,392.00,209.50,2023-01-04
169,PCBL,Prime Commercial Bank Limited,47.28,226.40,226.40,218.10,219.00,219.43,"80,660.00",222.00,"17,699,024.20",421,-3.0,8.3,-1.35,3.81,-0.2,234.26,247.55,392.00,209.50,2023-01-05
171,PCBL,Prime Commercial Bank Limited,48.48,223.30,223.30,215.10,219.00,219.69,"113,131.00",219.00,"24,854,059.20",427,0.00,8.20,0.0,3.81,-0.32,-,-,392.00,209.50,2023-01-08
168,PCBL,Prime Commercial Bank Limited,63.7,223.30,229.00,218.30,229.00,223.53,"150,542.00",219.00,"33,651,348.80",558,10.0,10.7,4.57,4.9,2.39,233.87,246.70,392.00,209.50,2023-01-09
166,PCBL,Prime Commercial Bank Limited,64.17,233.50,247.00,229.40,233.00,237.73,"193,698.00",229.00,"46,048,157.90",795,4.0,17.6,1.75,7.67,-2.03,233.81,246.36,392.00,209.50,2023-01-10
162,PCBL,Prime Commercial Bank Limited,64.19,237.00,246.00,227.00,230.00,235.00,"88,043.00",233.00,"20,690,470.70",500,-3.0,19.0,-1.29,8.37,-2.18,233.72,246.01,392.00,209.50,2023-01-12
164,PCBL,Prime Commercial Bank Limited,59.44,234.60,234.60,226.20,227.00,228.77,"70,219.00",230.00,"16,063,775.60",331,-3.0,8.4,-1.3,3.71,-0.78,233.54,245.65,392.00,209.50,2023-01-17
161,PCBL,Prime Commercial Bank Limited,58.91,231.00,231.00,222.70,225.00,225.89,"93,346.00",227.00,"21,085,668.90",427,-2.0,8.3,-0.88,3.73,-0.39,233.21,245.28,392.00,209.50,2023-01-18
160,PCBL,Prime Commercial Bank Limited,42.65,229.50,229.50,220.50,225.90,224.77,"56,414.00",225.00,"12,679,936.90",297,0.9,9.0,0.4,4.08,0.5,232.90,244.87,392.00,209.50,2023-01-19
167,PCBL,Prime Commercial Bank Limited,38.18,230.40,231.00,223.10,225.80,227.23,"73,897.00",225.90,"16,791,815.70",362,-0.1,7.9,-0.04,3.54,-0.63,232.61,244.46,385.00,209.50,2023-01-23
160,PCBL,Prime Commercial Bank Limited,38.65,223.00,227.00,223.00,226.80,224.22,"52,537.00",225.80,"11,780,039.00",228,1.0,4.0,0.44,1.79,1.14,232.31,244.07,374.00,209.50,2023-01-24
167,PCBL,Prime Commercial Bank Limited,42.22,231.30,231.30,222.20,222.20,224.38,"53,263.00",226.80,"11,951,309.60",234,-4.6,9.1,-2.03,4.1,-0.98,231.98,243.65,372.00,209.50,2023-01-25
162,PCBL,Prime Commercial Bank Limited,39.79,226.60,226.60,221.90,223.80,222.84,"44,181.00",222.20,"9,845,136.60",211,1.6,4.7,0.72,2.12,0.43,231.64,243.25,372.00,209.50,2023-01-26
171,PCBL,Prime Commercial Bank Limited,39.03,228.20,228.20,218.90,222.90,222.08,"53,496.00",223.80,"11,880,154.70",216,-0.9,9.3,-0.4,4.25,0.37,231.34,242.89,372.00,209.50,2023-01-29
164,PCBL,Prime Commercial Bank Limited,38.55,227.30,227.30,218.10,219.90,219.16,"49,490.00",222.90,"10,846,153.10",278,-3.0,9.2,-1.35,4.22,0.34,230.99,242.52,372.00,209.50,2023-01-30
167,PCBL,Prime Commercial Bank Limited,36.88,224.20,224.20,215.80,219.90,216.92,"66,386.00",219.90,"14,400,407.60",325,0.0,8.4,0.0,3.89,1.36,230.62,242.17,372.00,209.50,2023-01-31
166,PCBL,Prime Commercial Bank Limited,45.2,224.20,224.20,215.30,218.90,216.29,"32,821.00",219.90,"7,098,804.30",201,-1.0,8.9,-0.45,4.13,1.19,230.30,241.81,369.00,209.50,2023-02-01
166,PCBL,Prime Commercial Bank Limited,36.19,217.00,220.00,213.00,215.70,215.55,"65,939.00",218.90,"14,213,361.70",321,-3.2,7.0,-1.46,3.29,0.07,229.96,241.42,369.00,209.50,2023-02-02
167,PCBL,Prime Commercial Bank Limited,35.29,220.00,220.00,212.00,214.70,214.24,"45,965.00",215.70,"9,847,345.00",266,-1.0,8.0,-0.46,3.77,0.22,229.63,241.00,369.00,209.50,2023-02-05
167,PCBL,Prime Commercial Bank Limited,31.63,214.00,219.70,214.00,219.70,217.72,"41,084.00",214.00,"8,944,815.30",252,5.7,5.7,2.66,2.66,0.9,228.94,240.17,369.00,209.50,2023-02-07
166,PCBL,Prime Commercial Bank Limited,58.28,217.00,221.00,213.00,215.90,214.44,"87,284.00",217.00,"18,717,567.80",308,-1.1,8.0,-0.51,3.76,0.67,228.19,239.42,353.00,209.50,2023-02-09
162,PCBL,Prime Commercial Bank Limited,45.94,220.20,220.20,210.00,213.00,212.29,"81,252.00",215.90,"17,249,138.00",373,-2.9,10.2,-1.34,4.86,0.33,227.84,239.03,345.00,209.50,2023-02-12
165,PCBL,Prime Commercial Bank Limited,38.95,217.20,217.20,210.00,212.80,212.04,"55,566.00",213.00,"11,781,995.30",247,-0.20,7.2,-0.09,3.43,0.36,227.55,238.64,343.00,209.50,2023-02-14
164,PCBL,Prime Commercial Bank Limited,39.78,208.00,219.00,208.00,209.90,209.92,"41,811.00",211.40,"8,776,894.90",258,-1.50,11.00,-0.71,5.29,-0.01,226.97,237.86,343.00,208.00,2023-02-16
166,PCBL,Prime Commercial Bank Limited,39.65,214.00,214.00,206.00,207.90,206.90,"81,289.00",209.90,"16,818,580.00",459,-2.0,8.0,-0.95,3.88,0.48,226.65,237.44,343.00,206.00,2023-02-20
176,PCBL,Prime Commercial Bank Limited,42.13,212.00,212.10,206.50,212.00,209.81,"48,682.00",207.90,"10,213,748.80",215,4.1,5.6,1.97,2.71,1.04,226.42,237.03,343.00,206.00,2023-02-22
168,PCBL,Prime Commercial Bank Limited,41.05,216.20,216.20,205.00,207.20,207.61,"118,893.00",212.00,"24,683,411.00",319,-4.8,11.2,-2.26,5.46,-0.2,226.15,236.59,339.40,205.00,2023-02-23
167,PCBL,Prime Commercial Bank Limited,38.14,207.00,208.90,203.60,206.50,205.07,"42,195.00",207.20,"8,652,808.20",241,-0.7,5.3,-0.34,2.6,0.69,225.87,236.16,339.40,203.60,2023-02-26
169,PCBL,Prime Commercial Bank Limited,31.57,207.50,208.00,204.00,205.90,205.07,"22,353.00",207.50,"4,583,882.80",167,-1.6,4.0,-0.77,1.96,0.4,225.33,235.41,339.40,203.60,2023-02-28
165,PCBL,Prime Commercial Bank Limited,40.38,208.00,208.00,203.80,203.90,204.20,"70,896.00",205.90,"14,476,729.00",237,-2.00,4.20,-0.97,2.06,-0.15,225.05,235.03,339.40,203.60,2023-03-01
