SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
166,PIC,Premier Insurance Company (Nepal) Limited,26.11,526.10,530.00,520.00,520.00,525.22,"1,769.00",535.00,"929,116.80",47,-15.0,10.0,-2.8,1.92,-1.0,781.98,853.07,"1,225.00",512.00,2022-12-07
166,PIC,Premier Insurance Company (Nepal) Limited,26.11,526.10,530.00,520.00,520.00,525.22,"1,769.00",535.00,"929,116.80",47,-15.0,10.0,-2.8,1.92,-1.0,781.98,853.07,"1,225.00",512.00,2022-12-09
169,PIC,Premier Insurance Company (Nepal) Limited,27.53,519.00,525.00,508.10,509.00,512.29,"4,055.00",520.00,"2,077,339.90",71,-11.0,16.9,-2.12,3.33,-0.65,-,-,"1,225.00",508.10,2022-12-11
167,PIC,Premier Insurance Company (Nepal) Limited,30.62,500.10,535.00,500.10,535.00,512.27,"2,909.00",509.00,"1,490,182.70",53,26.0,34.9,5.11,6.98,4.25,772.95,848.10,"1,225.00",500.10,2022-12-12
165,PIC,Premier Insurance Company (Nepal) Limited,29.42,535.00,535.00,510.00,529.50,516.48,"3,083.00",535.00,"1,592,299.20",61,-5.5,25.0,-1.03,4.9,2.46,768.68,845.51,"1,225.00",500.10,2022-12-13
166,PIC,Premier Insurance Company (Nepal) Limited,37.95,534.50,534.50,519.00,519.00,520.87,782.00,529.50,"407,317.80",44,-10.5,15.5,-1.98,2.99,-0.36,764.68,842.72,"1,225.00",500.10,2022-12-14
173,PIC,Premier Insurance Company (Nepal) Limited,34.62,509.00,519.00,509.00,519.00,510.69,"2,981.00",519.00,"1,522,353.60",57,0.0,10.0,0.0,1.96,1.6,760.75,839.85,"1,225.00",500.10,2022-12-15
168,PIC,Premier Insurance Company (Nepal) Limited,42.24,508.80,518.90,507.00,512.00,508.92,"1,624.00",519.00,"826,483.00",41,-7.0,11.9,-1.35,2.35,0.6,756.85,836.83,"1,225.00",500.10,2022-12-18
168,PIC,Premier Insurance Company (Nepal) Limited,31.88,507.00,513.90,504.20,512.80,506.47,"1,029.00",512.00,"521,154.70",34,0.8,9.7,0.16,1.92,1.23,752.96,833.90,"1,225.00",500.10,2022-12-19
172,PIC,Premier Insurance Company (Nepal) Limited,31.88,511.00,523.00,505.00,518.00,515.79,"1,967.00",512.80,"1,014,564.50",42,5.2,18.0,1.01,3.56,0.43,748.86,830.78,"1,225.00",500.10,2022-12-20
