SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
167,PICL,Prudential Insurance Company Limited,27.82,352.00,352.00,345.00,345.00,345.88,"1,201.00",348.00,"415,402.70",20,-3.0,7.0,-0.86,2.03,-0.26,364.97,420.40,812.00,328.30,2022-12-07
167,PICL,Prudential Insurance Company Limited,27.82,352.00,352.00,345.00,345.00,345.88,"1,201.00",348.00,"415,402.70",20,-3.0,7.0,-0.86,2.03,-0.26,364.97,420.40,812.00,328.30,2022-12-09
170,PICL,Prudential Insurance Company Limited,29.23,340.00,340.00,336.60,336.60,338.29,"4,795.00",345.00,"1,622,092.70",33,-8.4,3.4,-2.43,1.01,-0.5,-,-,812.00,328.30,2022-12-11
168,PICL,Prudential Insurance Company Limited,34.75,340.00,343.30,339.00,343.30,339.91,"4,641.00",336.60,"1,577,503.00",23,6.7,4.3,1.99,1.27,0.99,364.54,416.33,812.00,328.30,2022-12-12
166,PICL,Prudential Insurance Company Limited,34.35,340.00,346.80,340.00,341.60,341.75,159.00,343.30,"54,337.60",4,-1.7,6.8,-0.5,2.0,-0.04,364.47,414.36,812.00,328.30,2022-12-13
167,PICL,Prudential Insurance Company Limited,26.83,340.20,347.00,340.20,347.00,343.72,133.00,341.60,"45,715.20",5,5.4,6.8,1.58,2.0,0.94,364.49,412.45,812.00,328.30,2022-12-14
174,PICL,Prudential Insurance Company Limited,39.01,341.00,341.00,340.10,340.20,340.61,"1,721.00",347.00,"586,190.30",12,-6.8,0.9,-1.96,0.26,-0.12,364.37,410.53,812.00,328.30,2022-12-15
169,PICL,Prudential Insurance Company Limited,42.63,344.00,344.00,335.00,342.00,337.88,"1,732.00",340.20,"585,216.70",15,1.8,9.0,0.53,2.69,1.2,364.34,408.62,812.00,328.30,2022-12-18
169,PICL,Prudential Insurance Company Limited,43.88,336.00,353.90,336.00,352.00,349.65,"1,282.00",342.00,"448,247.80",16,10.0,17.9,2.92,5.33,0.67,364.45,406.71,812.00,328.30,2022-12-19
173,PICL,Prudential Insurance Company Limited,43.88,348.00,348.00,345.00,345.00,345.78,"3,295.00",352.00,"1,139,350.00",21,-7.0,3.0,-1.99,0.87,-0.23,364.40,404.76,812.00,328.30,2022-12-20
170,PICL,Prudential Insurance Company Limited,40.75,340.10,342.00,340.00,340.00,340.19,540.00,345.00,"183,700.00",6,-5.0,2.0,-1.45,0.59,-0.05,364.18,402.96,812.00,328.30,2022-12-21
166,PICL,Prudential Insurance Company Limited,35.33,336.10,342.00,336.10,342.00,339.70,"1,201.00",340.00,"407,979.70",18,2.0,5.9,0.59,1.76,0.67,364.16,401.17,812.00,328.30,2022-12-22
167,PICL,Prudential Insurance Company Limited,36.8,347.60,359.10,347.00,353.00,351.14,"14,361.00",342.00,"5,042,677.40",70,11.0,12.1,3.22,3.49,0.53,364.24,399.35,812.00,328.30,2022-12-26
177,PICL,Prudential Insurance Company Limited,40.81,360.00,384.00,360.00,374.00,371.18,"22,878.00",353.00,"8,491,891.10",140,21.0,24.00,5.95,6.67,0.75,364.38,397.66,812.00,328.30,2022-12-27
173,PICL,Prudential Insurance Company Limited,53.7,367.00,394.00,367.00,381.50,379.00,"12,476.00",374.00,"4,728,355.80",97,7.5,27.0,2.01,7.36,0.66,364.43,396.11,812.00,328.30,2022-12-28
174,PICL,Prudential Insurance Company Limited,53.7,379.00,406.00,373.90,404.50,396.00,"17,432.00",381.50,"6,903,013.40",129,23.0,32.1,6.03,8.59,2.1,364.73,394.75,812.00,328.30,2022-12-29
178,PICL,Prudential Insurance Company Limited,56.35,409.00,421.20,401.00,406.90,410.62,"30,730.00",404.50,"12,618,343.40",165,2.4,20.20,0.59,5.04,-0.91,365.10,393.47,812.00,328.30,2023-01-01
170,PICL,Prudential Insurance Company Limited,56.35,398.80,433.00,394.50,431.00,422.28,"30,039.00",406.90,"12,685,003.10",190,24.1,38.5,5.92,9.76,2.02,365.57,392.28,812.00,328.30,2023-01-02
175,PICL,Prudential Insurance Company Limited,57.28,439.60,463.00,433.00,440.00,442.74,"45,829.00",431.00,"20,290,418.30",255,9.0,30.0,2.09,6.93,-0.62,366.16,391.36,812.00,328.30,2023-01-03
174,PICL,Prudential Insurance Company Limited,60.53,443.90,474.00,433.00,469.00,446.70,"34,588.00",440.00,"15,450,329.70",207,29.0,41.0,6.59,9.47,4.76,366.98,390.64,812.00,328.30,2023-01-04
173,PICL,Prudential Insurance Company Limited,55.34,478.30,478.30,451.00,473.00,463.92,"29,731.00",469.00,"13,792,816.30",144,4.0,27.3,0.85,6.05,1.92,367.89,390.01,812.00,328.30,2023-01-05
175,PICL,Prudential Insurance Company Limited,56.54,479.00,499.00,456.10,489.00,479.81,"117,018.00",473.00,"56,146,514.10",363,16.00,42.90,3.38,9.41,1.88,-,-,812.00,328.30,2023-01-08
172,PICL,Prudential Insurance Company Limited,56.58,495.00,510.00,486.00,507.00,502.35,"75,428.00",489.00,"37,891,479.00",317,18.0,24.0,3.68,4.94,0.92,370.35,388.96,812.00,328.30,2023-01-09
170,PICL,Prudential Insurance Company Limited,49.01,510.00,520.00,481.00,482.00,498.97,"45,366.00",507.00,"22,636,372.50",281,-25.0,39.0,-4.93,8.11,-3.52,371.46,388.50,812.00,328.30,2023-01-10
167,PICL,Prudential Insurance Company Limited,49.03,491.60,496.90,470.00,475.00,482.73,"91,108.00",482.00,"43,980,379.20",303,-7.0,26.9,-1.45,5.72,-1.63,372.43,388.10,812.00,328.30,2023-01-12
168,PICL,Prudential Insurance Company Limited,50.6,474.00,492.00,466.00,488.90,480.68,"35,913.00",475.00,"17,262,719.80",161,13.9,26.0,2.93,5.58,1.68,373.66,387.88,812.00,328.30,2023-01-17
165,PICL,Prudential Insurance Company Limited,46.69,488.00,498.00,473.10,481.00,482.06,"39,805.00",488.90,"19,188,353.30",155,-7.9,24.9,-1.62,5.26,-0.22,374.77,387.61,804.00,328.30,2023-01-18
164,PICL,Prudential Insurance Company Limited,45.5,477.00,486.50,474.60,478.00,480.70,"16,396.00",481.00,"7,881,636.90",77,-3.0,11.9,-0.62,2.51,-0.57,375.88,387.10,797.00,328.30,2023-01-19
171,PICL,Prudential Insurance Company Limited,43.02,474.10,487.40,469.00,469.00,478.28,"15,041.00",478.00,"7,193,770.60",81,-9.0,18.4,-1.88,3.92,-1.98,376.85,386.58,797.00,328.30,2023-01-23
164,PICL,Prudential Insurance Company Limited,41.22,470.00,474.00,445.00,469.90,457.98,"30,158.00",469.00,"13,811,771.10",138,0.9,29.0,0.19,6.52,2.54,377.80,386.14,789.00,328.30,2023-01-24
171,PICL,Prudential Insurance Company Limited,42.35,478.00,484.90,467.30,479.90,476.73,"15,521.00",469.90,"7,399,316.50",103,10.0,17.6,2.13,3.77,0.66,378.85,385.80,789.00,328.30,2023-01-25
166,PICL,Prudential Insurance Company Limited,42.37,484.90,489.00,475.60,479.00,481.75,"19,750.00",479.90,"9,514,638.50",87,-0.9,13.4,-0.19,2.82,-0.57,379.89,385.47,789.00,328.30,2023-01-26
175,PICL,Prudential Insurance Company Limited,42.75,480.00,485.00,472.00,480.00,479.04,"33,920.00",479.00,"16,249,141.30",156,1.0,13.0,0.21,2.75,0.2,380.99,385.14,789.00,328.30,2023-01-29
168,PICL,Prudential Insurance Company Limited,46.47,484.80,485.00,455.00,456.00,462.51,"23,117.00",480.00,"10,691,790.00",121,-24.0,30.0,-5.0,6.59,-1.43,381.76,384.74,789.00,328.30,2023-01-30
171,PICL,Prudential Insurance Company Limited,38.89,465.00,465.00,450.00,450.00,455.12,"17,399.00",456.00,"7,918,683.00",99,-6.0,15.0,-1.32,3.33,-1.14,382.35,384.38,789.00,328.30,2023-01-31
170,PICL,Prudential Insurance Company Limited,34.33,450.00,459.00,449.00,449.00,453.97,"11,439.00",450.00,"5,192,939.00",70,-1.0,10.0,-0.22,2.23,-1.11,382.98,384.01,789.00,328.30,2023-02-01
170,PICL,Prudential Insurance Company Limited,39.07,457.00,457.00,439.30,447.50,444.55,"15,894.00",449.00,"7,065,676.00",88,-1.5,17.7,-0.33,4.03,0.66,383.49,383.63,789.00,328.30,2023-02-02
171,PICL,Prudential Insurance Company Limited,37.3,456.40,456.40,438.40,447.00,446.18,"17,811.00",447.50,"7,946,910.50",73,-0.5,18.0,-0.11,4.11,0.18,383.94,383.24,789.00,328.30,2023-02-05
171,PICL,Prudential Insurance Company Limited,29.68,441.30,483.00,441.30,483.00,464.98,"24,975.00",445.00,"11,612,889.60",159,38.0,41.7,8.54,9.45,3.73,384.85,382.55,789.00,328.30,2023-02-07
170,PICL,Prudential Insurance Company Limited,52.91,465.00,479.00,461.10,472.90,466.28,"22,756.00",472.00,"10,610,600.80",80,0.9,17.9,0.19,3.88,1.4,385.56,382.61,789.00,328.30,2023-02-09
166,PICL,Prudential Insurance Company Limited,49.09,463.50,466.00,449.00,455.00,455.78,"23,913.00",472.90,"10,899,011.50",141,-17.9,17.0,-3.79,3.79,-0.17,385.75,382.66,744.00,328.30,2023-02-12
169,PICL,Prudential Insurance Company Limited,29.25,446.00,458.00,442.00,449.00,447.91,"7,995.00",455.00,"3,581,006.30",51,-6.00,16.0,-1.32,3.62,0.24,386.03,382.74,744.00,328.30,2023-02-14
168,PICL,Prudential Insurance Company Limited,33.66,432.00,445.00,418.00,428.00,424.35,"16,434.00",440.00,"6,973,837.70",122,-12.00,27.00,-2.73,6.46,0.85,386.48,382.86,743.00,328.30,2023-02-16
170,PICL,Prudential Insurance Company Limited,30.06,421.70,427.70,416.00,419.00,418.52,"10,320.00",428.00,"4,319,160.80",53,-9.0,11.7,-2.1,2.81,0.11,386.57,382.84,740.00,328.30,2023-02-20
180,PICL,Prudential Insurance Company Limited,32.35,425.10,438.00,418.00,438.00,428.64,"10,035.00",419.00,"4,301,384.20",61,19.0,20.0,4.53,4.78,2.14,386.94,382.91,740.00,328.30,2023-02-22
172,PICL,Prudential Insurance Company Limited,35.79,431.00,431.00,418.00,426.90,421.09,"17,536.00",438.00,"7,384,321.00",79,-11.1,13.0,-2.53,3.11,1.36,387.21,382.95,732.00,328.30,2023-02-23
171,PICL,Prudential Insurance Company Limited,44.83,418.40,434.50,407.00,430.00,414.70,"21,121.00",426.90,"8,758,942.40",82,3.1,27.5,0.73,6.76,3.56,387.46,383.08,732.00,328.30,2023-02-26
173,PICL,Prudential Insurance Company Limited,33.6,421.40,424.00,414.10,423.00,419.47,"9,417.00",430.00,"3,950,147.50",69,-7.0,9.9,-1.63,2.39,0.83,387.95,383.40,732.00,328.30,2023-02-28
168,PICL,Prudential Insurance Company Limited,34.27,414.60,422.80,411.00,411.00,412.91,"6,101.00",423.00,"2,519,193.00",41,-12.00,11.80,-2.84,2.87,-0.47,388.10,383.48,732.00,328.30,2023-03-01
168,PICL,Prudential Insurance Company Limited,27.37,410.00,410.00,403.10,406.00,405.98,"6,516.00",411.00,"2,645,366.70",44,-5.0,6.9,-1.22,1.71,0.0,388.19,383.57,732.00,328.30,2023-03-02
