SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
174,PLI,Prabhu Life Insurance Limited,50.85,357.00,392.70,357.00,392.70,391.36,"7,656.00",357.00,"2,996,275.00",155,35.7,35.7,10.0,10.0,0.34,503.19,529.93,676.00,321.80,2022-12-28
175,PLI,Prabhu Life Insurance Limited,50.85,400.50,431.90,400.00,431.90,423.70,"22,983.00",392.70,"9,737,935.50",461,39.2,31.9,9.98,7.98,1.9,501.57,529.11,676.00,321.80,2022-12-29
179,PLI,Prabhu Life Insurance Limited,56.25,440.00,475.00,440.00,475.00,472.16,"19,017.00",431.90,"8,979,024.00",284,43.1,35.00,9.98,7.95,0.6,500.22,528.56,676.00,321.80,2023-01-01
171,PLI,Prabhu Life Insurance Limited,56.25,484.00,499.80,457.00,485.00,482.60,"30,134.00",475.00,"14,542,518.80",489,10.0,42.8,2.11,9.37,0.5,498.89,528.11,676.00,321.80,2023-01-02
176,PLI,Prabhu Life Insurance Limited,58.26,477.20,484.00,468.00,474.00,473.09,"21,070.00",485.00,"9,967,964.30",366,-11.0,16.0,-2.27,3.42,0.19,497.62,527.47,676.00,321.80,2023-01-03
175,PLI,Prabhu Life Insurance Limited,58.99,474.00,480.00,465.10,478.90,473.14,"18,317.00",474.00,"8,666,466.50",272,4.9,14.9,1.03,3.2,1.2,496.42,526.74,676.00,321.80,2023-01-04
174,PLI,Prabhu Life Insurance Limited,53.15,487.50,501.00,471.00,495.00,486.22,"36,771.00",478.90,"17,878,937.80",447,16.1,30.0,3.36,6.37,1.77,495.42,526.00,676.00,321.80,2023-01-05
176,PLI,Prabhu Life Insurance Limited,54.35,495.00,544.50,486.60,537.00,532.97,"37,059.00",495.00,"19,751,403.20",593,42.00,57.90,8.48,11.9,0.75,-,-,676.00,321.80,2023-01-08
173,PLI,Prabhu Life Insurance Limited,53.33,532.00,550.00,532.00,539.00,541.79,"13,271.00",537.00,"7,190,076.40",310,2.0,18.0,0.37,3.38,-0.52,493.85,524.98,676.00,321.80,2023-01-09
171,PLI,Prabhu Life Insurance Limited,52.94,539.00,540.00,510.10,518.00,529.32,"24,909.00",539.00,"13,184,929.50",392,-21.0,29.9,-3.9,5.86,-2.19,492.85,524.22,676.00,321.80,2023-01-10
