SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
168,PMHPL,Panchakanya Mai Hydropower Limited,21.22,201.00,201.00,195.00,197.00,195.92,"2,406.00",198.50,"471,376.00",22,-1.5,6.0,-0.76,3.08,0.55,214.77,233.45,405.70,168.00,2022-12-07
168,PMHPL,Panchakanya Mai Hydropower Limited,21.22,201.00,201.00,195.00,197.00,195.92,"2,406.00",198.50,"471,376.00",22,-1.5,6.0,-0.76,3.08,0.55,214.77,233.45,405.70,168.00,2022-12-09
171,PMHPL,Panchakanya Mai Hydropower Limited,22.63,193.10,196.00,189.30,191.00,191.86,"5,023.00",197.00,"963,694.00",33,-6.0,6.7,-3.05,3.54,-0.45,-,-,405.70,168.00,2022-12-11
169,PMHPL,Panchakanya Mai Hydropower Limited,25.67,192.00,194.80,183.30,194.80,187.96,"8,290.00",191.00,"1,558,201.50",60,3.8,11.5,1.99,6.27,3.51,214.38,231.83,405.70,168.00,2022-12-12
167,PMHPL,Panchakanya Mai Hydropower Limited,37.11,198.60,198.60,187.00,193.00,191.77,"2,060.00",194.80,"395,041.00",19,-1.8,11.6,-0.92,6.2,0.64,214.25,231.03,405.70,168.00,2022-12-13
168,PMHPL,Panchakanya Mai Hydropower Limited,30.78,190.00,193.00,190.00,193.00,191.13,"1,458.00",193.00,"278,664.00",11,0.0,3.0,0.0,1.58,0.97,214.20,230.19,405.70,168.00,2022-12-14
175,PMHPL,Panchakanya Mai Hydropower Limited,27.8,189.20,195.90,178.20,191.00,182.99,"17,017.00",193.00,"3,113,871.00",72,-2.0,17.7,-1.04,9.93,4.2,214.10,229.34,405.70,168.00,2022-12-15
170,PMHPL,Panchakanya Mai Hydropower Limited,38.84,194.80,206.50,184.00,187.00,185.79,"1,170.00",191.00,"217,369.00",16,-4.0,22.5,-2.09,12.23,0.65,214.04,228.52,405.70,168.00,2022-12-18
170,PMHPL,Panchakanya Mai Hydropower Limited,27.24,190.70,190.70,179.10,185.00,181.93,"10,502.00",187.00,"1,910,647.00",48,-2.0,11.6,-1.07,6.48,1.66,214.02,227.75,405.70,168.00,2022-12-19
174,PMHPL,Panchakanya Mai Hydropower Limited,27.24,188.70,188.70,177.70,188.00,182.81,"11,587.00",185.00,"2,118,264.40",66,3.0,11.0,1.62,6.19,2.76,213.99,227.06,405.70,168.00,2022-12-20
171,PMHPL,Panchakanya Mai Hydropower Limited,35.73,191.70,203.00,176.20,176.20,186.05,570.00,188.00,"106,047.50",21,-11.8,26.8,-6.28,15.21,-5.59,213.72,226.33,405.70,168.00,2022-12-21
167,PMHPL,Panchakanya Mai Hydropower Limited,21.17,178.70,187.00,178.70,180.00,181.92,"9,947.00",176.20,"1,809,513.30",67,3.8,8.3,2.16,4.64,-1.06,213.55,225.62,405.70,168.00,2022-12-22
168,PMHPL,Panchakanya Mai Hydropower Limited,32.71,183.60,196.00,183.60,194.50,190.99,"14,841.00",180.00,"2,834,497.80",106,14.5,12.4,8.06,6.75,1.8,213.55,224.96,405.70,168.00,2022-12-26
178,PMHPL,Panchakanya Mai Hydropower Limited,46.94,198.00,206.00,197.20,199.10,201.10,"31,259.00",194.50,"6,286,157.10",174,4.6,8.80,2.37,4.46,-1.0,213.50,224.37,405.70,168.00,2022-12-27
175,PMHPL,Panchakanya Mai Hydropower Limited,54.51,196.00,204.50,188.30,197.20,200.08,"21,097.00",199.10,"4,221,001.00",123,-1.9,16.2,-0.95,8.6,-1.46,213.27,223.81,405.70,168.00,2022-12-28
176,PMHPL,Panchakanya Mai Hydropower Limited,54.51,199.00,210.00,197.20,209.00,204.21,"37,385.00",197.20,"7,634,458.70",168,11.8,12.8,5.98,6.49,2.29,213.19,223.29,405.70,168.00,2022-12-29
180,PMHPL,Panchakanya Mai Hydropower Limited,54.63,210.00,217.90,206.00,210.10,213.45,"32,686.00",209.00,"6,976,822.40",226,1.1,11.90,0.53,5.78,-1.59,212.98,222.81,405.70,168.00,2023-01-01
172,PMHPL,Panchakanya Mai Hydropower Limited,54.63,206.00,218.00,206.00,216.90,213.70,"24,285.00",210.10,"5,189,677.30",135,6.8,12.0,3.24,5.83,1.48,212.92,222.41,405.70,168.00,2023-01-02
177,PMHPL,Panchakanya Mai Hydropower Limited,54.53,214.00,222.00,212.10,218.50,217.86,"37,836.00",216.90,"8,243,123.90",150,1.6,9.9,0.74,4.67,0.29,212.89,221.97,405.70,168.00,2023-01-03
176,PMHPL,Panchakanya Mai Hydropower Limited,60.05,215.10,232.00,215.10,231.00,220.89,"43,168.00",218.50,"9,535,427.60",167,12.5,16.9,5.72,7.86,4.38,212.91,221.66,405.70,168.00,2023-01-04
175,PMHPL,Panchakanya Mai Hydropower Limited,59.02,233.90,235.60,223.30,235.00,230.95,"32,613.00",231.00,"7,531,937.50",157,4.0,12.3,1.73,5.51,1.72,212.98,221.41,405.70,168.00,2023-01-05
177,PMHPL,Panchakanya Mai Hydropower Limited,60.22,235.00,243.00,223.00,239.00,236.38,"46,683.00",235.00,"11,034,994.90",216,4.00,20.00,1.7,8.97,1.1,-,-,405.70,168.00,2023-01-08
