SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
169,PPCL,Panchthar Power Company Limited,22.82,295.00,300.00,294.00,294.00,295.65,"7,755.00",298.10,"2,292,750.00",36,-4.1,6.0,-1.38,2.04,-0.56,301.91,318.95,580.00,230.00,2022-12-07
169,PPCL,Panchthar Power Company Limited,22.82,295.00,300.00,294.00,294.00,295.65,"7,755.00",298.10,"2,292,750.00",36,-4.1,6.0,-1.38,2.04,-0.56,301.91,318.95,580.00,230.00,2022-12-09
172,PPCL,Panchthar Power Company Limited,24.23,288.20,288.20,271.50,273.50,276.48,"25,307.00",294.00,"6,996,857.10",134,-20.5,16.7,-6.97,6.15,-1.09,-,-,580.00,230.00,2022-12-11
170,PPCL,Panchthar Power Company Limited,28.75,271.00,287.00,269.20,284.00,277.16,"11,224.00",273.50,"3,110,824.20",55,10.5,17.8,3.84,6.61,2.41,301.91,317.18,580.00,230.00,2022-12-12
168,PPCL,Panchthar Power Company Limited,34.34,286.90,288.80,282.00,284.00,285.33,"2,973.00",284.00,"848,295.00",23,0.0,6.8,0.0,2.41,-0.47,302.11,316.39,580.00,230.00,2022-12-13
169,PPCL,Panchthar Power Company Limited,30.34,284.00,289.00,282.00,282.50,284.59,"6,476.00",284.00,"1,843,032.00",33,-1.5,7.0,-0.53,2.48,-0.74,302.40,315.53,580.00,230.00,2022-12-14
176,PPCL,Panchthar Power Company Limited,29.55,285.00,285.00,277.50,277.50,279.63,"5,050.00",282.50,"1,412,142.00",28,-5.0,7.5,-1.77,2.7,-0.77,302.53,314.65,580.00,230.00,2022-12-15
171,PPCL,Panchthar Power Company Limited,36.67,279.00,279.00,274.00,278.90,275.35,"2,640.00",277.50,"726,911.10",24,1.4,5.0,0.5,1.82,1.27,302.76,313.84,580.00,230.00,2022-12-18
171,PPCL,Panchthar Power Company Limited,26.64,283.00,283.00,275.60,280.80,278.07,"8,613.00",278.90,"2,395,051.10",43,1.9,7.4,0.68,2.69,0.97,303.10,313.12,580.00,230.00,2022-12-19
175,PPCL,Panchthar Power Company Limited,26.64,280.00,285.60,278.00,282.00,282.47,"18,063.00",280.80,"5,102,194.80",58,1.2,7.6,0.43,2.73,-0.17,303.38,312.46,580.00,230.00,2022-12-20
172,PPCL,Panchthar Power Company Limited,38.65,278.00,283.00,278.00,279.00,280.07,"8,482.00",282.00,"2,375,566.30",46,-3.0,5.0,-1.06,1.8,-0.38,303.44,311.83,580.00,230.00,2022-12-21
168,PPCL,Panchthar Power Company Limited,38.11,275.00,276.00,272.00,276.00,274.17,"7,197.00",279.00,"1,973,186.50",38,-3.0,4.0,-1.08,1.47,0.66,303.57,311.20,580.00,230.00,2022-12-22
169,PPCL,Panchthar Power Company Limited,31.04,281.00,288.80,280.20,288.80,285.40,"14,023.00",276.00,"4,002,098.80",79,12.8,8.6,4.64,3.07,1.18,303.85,310.55,580.00,230.00,2022-12-26
179,PPCL,Panchthar Power Company Limited,47.52,290.00,302.00,290.00,295.00,295.92,"22,902.00",288.80,"6,777,101.00",133,6.2,12.00,2.15,4.14,-0.31,304.10,310.00,580.00,230.00,2022-12-27
176,PPCL,Panchthar Power Company Limited,54.14,299.90,300.90,289.00,289.10,292.91,"25,814.00",295.00,"7,561,111.30",75,-5.9,11.9,-2.0,4.12,-1.32,304.10,309.48,580.00,230.00,2022-12-28
177,PPCL,Panchthar Power Company Limited,54.14,292.00,302.90,292.00,300.10,298.81,"20,546.00",289.10,"6,139,273.10",104,11.0,10.9,3.8,3.73,0.43,304.21,309.00,580.00,230.00,2022-12-29
181,PPCL,Panchthar Power Company Limited,56.35,305.00,313.00,300.00,301.10,306.09,"56,138.00",300.10,"17,183,115.00",187,1.0,13.00,0.33,4.33,-1.66,304.15,308.57,580.00,230.00,2023-01-01
173,PPCL,Panchthar Power Company Limited,56.35,304.00,313.10,301.10,312.00,307.51,"40,954.00",301.10,"12,593,839.40",130,10.9,12.0,3.62,3.99,1.44,304.19,308.17,580.00,230.00,2023-01-02
178,PPCL,Panchthar Power Company Limited,56.77,313.00,323.00,311.00,316.00,315.90,"34,685.00",312.00,"10,957,134.70",136,4.0,12.0,1.28,3.86,0.03,304.36,307.76,580.00,230.00,2023-01-03
177,PPCL,Panchthar Power Company Limited,58.6,315.00,334.00,315.00,333.00,325.85,"32,789.00",316.00,"10,684,132.40",183,17.0,19.0,5.38,6.03,2.15,304.66,307.48,580.00,230.00,2023-01-04
176,PPCL,Panchthar Power Company Limited,61.41,337.90,347.00,324.00,337.00,333.97,"44,792.00",333.00,"14,959,297.50",168,4.0,23.0,1.2,7.1,0.9,305.01,307.27,580.00,230.00,2023-01-05
178,PPCL,Panchthar Power Company Limited,62.61,338.00,355.00,323.70,342.00,340.99,"60,860.00",337.00,"20,752,416.40",210,5.00,31.30,1.48,9.67,0.3,-,-,580.00,230.00,2023-01-08
175,PPCL,Panchthar Power Company Limited,60.7,342.50,365.00,342.30,365.00,353.51,"76,753.00",342.00,"27,133,119.50",209,23.0,22.7,6.73,6.63,3.15,306.28,307.05,580.00,230.00,2023-01-09
173,PPCL,Panchthar Power Company Limited,55.69,372.30,387.00,344.00,350.00,358.78,"104,775.00",365.00,"37,591,516.50",333,-15.0,43.0,-4.11,12.5,-2.51,306.95,307.03,580.00,230.00,2023-01-10
170,PPCL,Panchthar Power Company Limited,55.71,343.50,360.00,338.10,341.00,350.23,"59,093.00",350.00,"20,696,100.90",237,-9.0,21.9,-2.57,6.48,-2.71,307.37,306.94,580.00,230.00,2023-01-12
171,PPCL,Panchthar Power Company Limited,49.09,342.00,358.00,339.00,357.00,351.51,"31,107.00",341.00,"10,934,566.00",151,16.0,19.0,4.69,5.6,1.54,307.94,307.01,580.00,230.00,2023-01-17
168,PPCL,Panchthar Power Company Limited,49.34,360.00,375.00,355.00,356.00,363.73,"43,129.00",357.00,"15,687,260.70",173,-1.0,20.0,-0.28,5.63,-2.17,308.50,307.13,580.00,230.00,2023-01-18
167,PPCL,Panchthar Power Company Limited,46.07,360.00,369.00,354.10,366.00,362.06,"32,900.00",356.00,"11,911,717.90",142,10.0,14.9,2.81,4.21,1.08,309.17,307.17,570.00,230.00,2023-01-19
174,PPCL,Panchthar Power Company Limited,47.53,359.40,378.00,359.40,362.60,371.11,"80,218.00",366.00,"29,769,532.60",256,-3.4,18.6,-0.93,5.18,-2.35,309.76,307.23,570.00,230.00,2023-01-23
167,PPCL,Panchthar Power Company Limited,51.88,360.00,373.80,356.00,373.00,366.14,"39,219.00",362.60,"14,359,775.40",145,10.4,17.8,2.87,5.0,1.84,310.40,307.40,570.00,230.00,2023-01-24
175,PPCL,Panchthar Power Company Limited,46.83,372.00,385.80,371.00,380.90,379.87,"63,916.00",373.00,"24,279,736.30",207,7.9,14.8,2.12,3.99,0.27,311.04,307.57,570.00,230.00,2023-01-25
