SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
170,PPL,People's Power Limited,28.72,200.80,205.00,200.80,201.50,202.40,"6,620.00",204.50,"1,339,905.20",211,-3.0,4.2,-1.47,2.09,-0.45,-,-,305.80,199.80,2022-12-07
170,PPL,People's Power Limited,28.72,200.80,205.00,200.80,201.50,202.40,"6,620.00",204.50,"1,339,905.20",211,-3.0,4.2,-1.47,2.09,-0.45,-,-,305.80,199.80,2022-12-09
173,PPL,People's Power Limited,30.14,201.60,201.60,198.00,198.00,199.21,"6,901.00",201.50,"1,374,769.00",290,-3.5,3.6,-1.74,1.82,-0.61,-,-,305.80,198.00,2022-12-11
171,PPL,People's Power Limited,30.91,201.90,203.50,195.00,202.00,200.02,"3,095.00",198.00,"619,057.00",178,4.0,8.5,2.02,4.36,0.98,-,-,305.80,195.00,2022-12-12
169,PPL,People's Power Limited,33.95,198.20,206.00,198.20,204.90,202.17,"3,333.00",202.00,"673,837.00",177,2.9,7.8,1.44,3.94,1.33,-,-,305.80,195.00,2022-12-13
170,PPL,People's Power Limited,35.49,208.90,208.90,199.90,204.00,201.84,"4,530.00",204.90,"914,333.00",270,-0.9,9.0,-0.44,4.5,1.06,-,-,305.80,195.00,2022-12-14
177,PPL,People's Power Limited,43.29,204.00,207.00,196.20,200.00,199.50,"6,335.00",204.00,"1,263,801.80",379,-4.0,10.8,-1.96,5.5,0.25,-,-,305.80,195.00,2022-12-15
172,PPL,People's Power Limited,44.9,198.00,204.00,195.00,198.00,197.80,"6,260.00",200.00,"1,238,213.60",351,-2.0,9.0,-1.0,4.62,0.1,-,-,305.80,195.00,2022-12-18
172,PPL,People's Power Limited,31.55,194.20,203.70,194.20,194.80,195.68,"13,969.00",198.00,"2,733,486.50",393,-3.2,9.5,-1.62,4.89,-0.45,-,-,305.80,194.20,2022-12-19
176,PPL,People's Power Limited,31.55,198.60,200.00,191.30,199.00,195.27,"8,085.00",194.80,"1,578,761.50",313,4.2,8.7,2.16,4.55,1.87,-,-,305.80,191.30,2022-12-20
173,PPL,People's Power Limited,31.04,195.10,200.00,191.20,192.50,194.35,"4,160.00",199.00,"808,503.00",238,-6.5,8.8,-3.27,4.6,-0.96,-,-,305.80,191.20,2022-12-21
169,PPL,People's Power Limited,28.19,190.00,196.00,190.00,196.00,191.42,"3,556.00",192.50,"680,676.10",229,3.5,6.0,1.82,3.16,2.34,-,-,305.80,190.00,2022-12-22
170,PPL,People's Power Limited,35.73,192.10,202.80,190.00,202.80,199.22,"14,025.00",196.00,"2,794,071.00",331,6.8,12.8,3.47,6.74,1.76,-,-,305.80,190.00,2022-12-26
180,PPL,People's Power Limited,50.34,206.80,211.00,202.00,208.00,206.91,"27,582.00",202.80,"5,706,989.00",436,5.2,9.00,2.56,4.46,0.52,-,-,305.80,190.00,2022-12-27
177,PPL,People's Power Limited,55.3,207.00,216.10,200.00,207.70,209.79,"22,102.00",208.00,"4,636,795.40",365,-0.3,16.1,-0.14,8.05,-1.01,-,-,305.80,190.00,2022-12-28
178,PPL,People's Power Limited,55.3,211.00,220.30,204.70,218.50,214.60,"37,682.00",207.70,"8,086,387.60",530,10.8,15.6,5.2,7.62,1.79,-,-,305.80,190.00,2022-12-29
182,PPL,People's Power Limited,56.35,220.00,238.60,217.00,228.00,227.95,"47,259.00",218.50,"10,772,533.20",623,9.5,21.60,4.35,9.95,0.02,-,-,305.80,190.00,2023-01-01
174,PPL,People's Power Limited,56.35,224.00,242.30,219.30,235.00,232.51,"21,228.00",228.00,"4,935,750.50",527,7.0,23.0,3.07,10.49,1.06,-,-,305.80,190.00,2023-01-02
179,PPL,People's Power Limited,53.71,235.00,235.00,223.80,227.00,230.60,"20,579.00",235.00,"4,745,440.10",512,-8.0,11.2,-3.4,5.0,-1.58,-,-,305.80,190.00,2023-01-03
178,PPL,People's Power Limited,57.03,222.80,249.70,222.80,249.70,238.31,"35,940.00",227.00,"8,564,883.00",644,22.7,26.9,10.0,12.07,4.56,-,-,305.80,190.00,2023-01-04
177,PPL,People's Power Limited,58.04,254.60,270.00,241.00,262.00,254.61,"36,189.00",249.70,"9,214,053.70",674,12.3,29.0,4.93,12.03,2.82,-,-,305.80,190.00,2023-01-05
179,PPL,People's Power Limited,59.24,261.80,280.90,251.70,276.00,264.07,"45,378.00",262.00,"11,983,162.90",611,14.00,29.20,5.34,11.6,4.32,-,-,305.80,190.00,2023-01-08
