SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
173,PRVU,Prabhu Bank Limited,38.49,204.00,204.80,201.50,202.90,202.88,"43,142.00",203.20,"8,752,816.70",215,-0.3,3.3,-0.15,1.64,0.01,211.08,229.57,377.00,193.20,2022-12-07
173,PRVU,Prabhu Bank Limited,38.49,204.00,204.80,201.50,202.90,202.88,"43,142.00",203.20,"8,752,816.70",215,-0.3,3.3,-0.15,1.64,0.01,211.08,229.57,377.00,193.20,2022-12-09
176,PRVU,Prabhu Bank Limited,39.9,200.20,204.00,198.60,199.50,199.68,"41,104.00",202.90,"8,207,483.40",278,-3.4,5.4,-1.68,2.72,-0.09,-,-,377.00,193.20,2022-12-11
174,PRVU,Prabhu Bank Limited,38.0,199.90,202.00,198.10,201.90,200.08,"106,330.00",199.50,"21,274,983.70",198,2.4,3.9,1.2,1.97,0.9,210.66,228.41,377.00,193.20,2022-12-12
172,PRVU,Prabhu Bank Limited,45.39,203.00,203.00,198.00,198.30,198.92,"53,934.00",201.90,"10,728,706.30",297,-3.6,5.0,-1.78,2.53,-0.31,210.47,227.84,377.00,193.20,2022-12-13
173,PRVU,Prabhu Bank Limited,39.2,198.30,201.00,198.30,201.00,200.04,"17,513.00",198.30,"3,503,387.20",140,2.7,2.7,1.36,1.36,0.48,210.36,227.27,377.00,193.20,2022-12-14
180,PRVU,Prabhu Bank Limited,35.84,202.00,203.80,199.20,201.90,201.02,"89,170.00",201.00,"17,924,877.90",417,0.9,4.6,0.45,2.31,0.44,210.24,226.69,377.00,193.20,2022-12-15
175,PRVU,Prabhu Bank Limited,50.16,189.30,190.00,185.80,186.10,187.33,"42,418.00",189.58,"7,946,353.90",317,-3.48,4.2,-1.84,2.26,-0.66,209.98,226.06,377.00,185.80,2022-12-18
175,PRVU,Prabhu Bank Limited,32.22,187.60,187.70,186.00,186.70,186.66,"23,791.00",186.10,"4,440,842.70",208,0.6,1.7,0.32,0.91,0.02,209.74,225.43,377.00,185.80,2022-12-19
179,PRVU,Prabhu Bank Limited,32.22,188.00,191.00,185.30,188.30,188.42,"36,571.00",186.70,"6,890,848.40",189,1.6,5.7,0.86,3.08,-0.07,209.53,224.82,377.00,185.30,2022-12-20
176,PRVU,Prabhu Bank Limited,34.46,187.00,190.90,185.00,186.00,186.93,"29,260.00",188.30,"5,469,590.90",179,-2.3,5.9,-1.22,3.19,-0.5,209.25,224.23,377.00,185.00,2022-12-21
172,PRVU,Prabhu Bank Limited,29.7,186.00,187.50,185.00,185.20,185.92,"31,628.00",186.00,"5,880,275.60",179,-0.8,2.5,-0.43,1.35,-0.39,208.99,223.64,377.00,185.00,2022-12-22
173,PRVU,Prabhu Bank Limited,38.42,187.90,192.50,187.70,191.00,189.84,"45,092.00",185.20,"8,560,136.50",242,5.8,4.8,3.13,2.56,0.61,208.81,223.07,377.00,185.00,2022-12-26
183,PRVU,Prabhu Bank Limited,46.92,193.80,200.00,192.00,199.00,197.04,"71,029.00",191.00,"13,995,767.50",456,8.0,8.00,4.19,4.17,0.98,208.67,222.56,377.00,185.00,2022-12-27
180,PRVU,Prabhu Bank Limited,50.56,201.90,202.00,193.00,195.60,195.57,"51,306.00",199.00,"10,033,839.80",310,-3.4,9.0,-1.71,4.66,0.02,208.45,222.05,377.00,185.00,2022-12-28
181,PRVU,Prabhu Bank Limited,50.56,198.00,198.20,192.00,197.90,195.69,"78,438.00",195.60,"15,349,490.70",337,2.3,6.2,1.18,3.23,1.12,208.29,221.57,377.00,185.00,2022-12-29
185,PRVU,Prabhu Bank Limited,52.33,200.00,201.80,195.10,196.10,198.13,"60,647.00",197.90,"12,016,009.00",393,-1.8,6.70,-0.91,3.43,-1.04,208.10,221.09,377.00,185.00,2023-01-01
177,PRVU,Prabhu Bank Limited,52.33,198.00,198.00,194.00,197.40,196.24,"39,098.00",196.10,"7,672,751.60",249,1.3,4.0,0.66,2.06,0.59,207.92,220.65,377.00,185.00,2023-01-02
182,PRVU,Prabhu Bank Limited,45.49,198.00,199.90,195.00,195.90,196.46,"53,549.00",197.40,"10,519,982.10",304,-1.5,4.9,-0.76,2.51,-0.28,207.78,220.18,377.00,185.00,2023-01-03
181,PRVU,Prabhu Bank Limited,52.93,197.00,200.00,194.30,199.50,196.80,"71,643.00",195.90,"14,099,136.70",361,3.6,5.7,1.84,2.93,1.35,207.65,219.75,377.00,185.00,2023-01-04
180,PRVU,Prabhu Bank Limited,62.5,199.50,204.00,198.00,198.90,200.65,"114,292.00",199.50,"22,933,012.10",480,-0.6,6.0,-0.3,3.03,-0.88,207.53,219.32,377.00,185.00,2023-01-05
182,PRVU,Prabhu Bank Limited,63.7,196.00,202.00,196.00,198.00,199.15,"108,234.00",198.90,"21,554,544.00",452,-0.90,6.00,-0.45,3.06,-0.58,-,-,377.00,185.00,2023-01-08
179,PRVU,Prabhu Bank Limited,65.48,198.00,209.00,196.20,208.00,202.27,"181,511.00",198.00,"36,714,578.00",555,10.0,12.8,5.05,6.52,2.75,207.43,218.48,377.00,185.00,2023-01-09
177,PRVU,Prabhu Bank Limited,64.53,211.10,228.00,211.10,214.80,219.84,"259,254.00",208.00,"56,993,877.20","1,084",6.8,16.9,3.27,8.01,-2.35,207.54,218.15,377.00,185.00,2023-01-10
174,PRVU,Prabhu Bank Limited,64.55,218.00,227.00,209.60,211.00,216.74,"116,158.00",214.80,"25,176,273.40",616,-3.8,17.4,-1.77,8.3,-2.72,207.57,217.79,377.00,185.00,2023-01-12
175,PRVU,Prabhu Bank Limited,60.01,211.00,214.00,206.00,209.00,209.20,"67,350.00",211.00,"14,089,507.60",402,-2.0,8.0,-0.95,3.88,-0.09,207.59,217.47,377.00,185.00,2023-01-17
172,PRVU,Prabhu Bank Limited,59.02,213.00,213.00,207.10,208.50,209.84,"83,222.00",209.00,"17,462,947.50",364,-0.5,5.9,-0.24,2.85,-0.64,207.60,217.15,377.00,185.00,2023-01-18
171,PRVU,Prabhu Bank Limited,48.21,208.00,213.00,207.50,211.00,209.87,"84,758.00",208.50,"17,788,205.20",338,2.5,5.5,1.2,2.65,0.54,207.55,216.80,377.00,185.00,2023-01-19
178,PRVU,Prabhu Bank Limited,43.37,207.00,210.00,206.00,206.20,207.55,"108,264.00",211.00,"22,470,319.20",474,-4.8,4.0,-2.27,1.94,-0.66,207.45,216.45,367.00,185.00,2023-01-23
171,PRVU,Prabhu Bank Limited,42.11,206.90,207.00,202.50,204.90,203.97,"55,439.00",206.20,"11,307,866.90",246,-1.3,4.5,-0.63,2.22,0.45,207.33,216.11,350.00,185.00,2023-01-24
