SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
174,PSF,Prabhu Select Fund,43.4,7.71,7.75,7.71,7.71,7.74,"2,600.00",7.68,"20,129.00",7,0.03,0.04,0.39,0.52,-0.41,8.07,8.31,10.05,7.31,2022-12-07
174,PSF,Prabhu Select Fund,43.4,7.71,7.75,7.71,7.71,7.74,"2,600.00",7.68,"20,129.00",7,0.03,0.04,0.39,0.52,-0.41,8.07,8.31,10.05,7.31,2022-12-09
177,PSF,Prabhu Select Fund,44.81,7.71,7.79,7.60,7.67,7.68,"10,000.00",7.71,"76,796.00",24,-0.04,0.19,-0.52,2.5,-0.13,-,-,9.61,7.31,2022-12-11
175,PSF,Prabhu Select Fund,33.48,7.54,7.69,7.54,7.69,7.65,"11,600.00",7.67,"88,765.00",9,0.02,0.15,0.26,1.99,0.49,8.06,8.30,9.61,7.31,2022-12-12
173,PSF,Prabhu Select Fund,49.16,7.69,7.69,7.61,7.64,7.65,"11,350.00",7.69,"86,811.50",9,-0.05,0.08,-0.65,1.05,-0.11,8.06,8.29,9.61,7.31,2022-12-13
174,PSF,Prabhu Select Fund,42.4,7.64,7.77,7.62,7.77,7.63,"1,300.00",7.64,"9,925.00",4,0.13,0.15,1.7,1.97,1.74,8.05,8.28,9.61,7.31,2022-12-14
181,PSF,Prabhu Select Fund,41.27,7.63,7.76,7.63,7.76,7.67,"15,000.00",7.77,"115,042.50",14,-0.01,0.13,-0.13,1.7,1.17,8.05,8.27,9.61,7.31,2022-12-15
176,PSF,Prabhu Select Fund,50.23,7.62,7.62,7.61,7.61,7.61,"1,600.00",7.76,"12,180.00",5,-0.15,0.01,-1.93,0.13,-0.03,8.05,8.27,9.61,7.31,2022-12-18
176,PSF,Prabhu Select Fund,32.25,7.61,7.76,7.61,7.62,7.65,"1,600.00",7.61,"12,236.00",8,0.01,0.15,0.13,1.97,-0.36,8.05,8.26,9.61,7.31,2022-12-19
180,PSF,Prabhu Select Fund,32.25,7.61,7.70,7.61,7.65,7.69,"16,210.00",7.62,"124,583.80",12,0.03,0.09,0.39,1.18,-0.47,8.04,8.25,9.61,7.31,2022-12-20
177,PSF,Prabhu Select Fund,38.91,7.63,7.68,7.63,7.68,7.64,"5,470.00",7.65,"41,796.80",11,0.03,0.05,0.39,0.66,0.51,8.04,8.24,9.61,7.31,2022-12-21
173,PSF,Prabhu Select Fund,27.24,7.62,7.68,7.56,7.56,7.66,"46,175.00",7.68,"353,773.00",22,-0.12,0.12,-1.56,1.59,-1.34,8.04,8.24,9.61,7.31,2022-12-22
174,PSF,Prabhu Select Fund,36.39,7.50,7.75,7.50,7.75,7.66,"4,400.00",7.56,"33,709.00",14,0.19,0.25,2.51,3.33,1.15,8.03,8.23,9.61,7.31,2022-12-26
184,PSF,Prabhu Select Fund,45.23,7.90,8.13,7.66,8.00,7.97,"11,050.00",7.75,"88,028.00",12,0.25,0.47,3.23,6.14,0.42,8.03,8.22,9.61,7.31,2022-12-27
181,PSF,Prabhu Select Fund,49.16,7.84,8.14,7.73,7.91,7.91,"5,741.00",8.00,"45,432.91",17,-0.09,0.41,-1.13,5.3,-0.05,8.03,8.22,9.61,7.31,2022-12-28
182,PSF,Prabhu Select Fund,49.16,7.80,8.06,7.80,8.06,7.97,"18,200.00",7.91,"145,078.30",18,0.15,0.26,1.9,3.33,1.1,8.02,8.21,9.61,7.31,2022-12-29
186,PSF,Prabhu Select Fund,54.58,8.00,8.15,7.96,7.96,8.02,"46,289.00",8.06,"371,329.99",15,-0.1,0.19,-1.24,2.39,-0.78,8.02,8.21,9.61,7.31,2023-01-01
178,PSF,Prabhu Select Fund,54.58,7.84,8.05,7.84,8.00,7.90,"9,040.00",7.96,"71,399.00",15,0.04,0.21,0.5,2.68,1.27,8.02,8.20,9.61,7.31,2023-01-02
183,PSF,Prabhu Select Fund,39.97,7.90,8.10,7.90,7.95,7.96,"34,010.00",8.00,"270,746.00",23,-0.05,0.2,-0.62,2.53,-0.14,8.01,8.20,9.61,7.31,2023-01-03
182,PSF,Prabhu Select Fund,61.53,7.87,8.10,7.87,8.00,8.02,"19,600.00",7.95,"157,124.00",22,0.05,0.23,0.63,2.92,-0.21,8.01,8.19,9.61,7.31,2023-01-04
181,PSF,Prabhu Select Fund,57.37,8.16,8.21,7.96,8.13,8.10,"113,660.00",8.00,"920,833.80",34,0.13,0.25,1.63,3.14,0.35,8.01,8.19,9.61,7.31,2023-01-05
183,PSF,Prabhu Select Fund,58.57,8.02,8.59,8.02,8.50,8.35,"38,231.00",8.13,"319,067.25",24,0.37,0.57,4.55,7.11,1.81,-,-,9.61,7.31,2023-01-08
180,PSF,Prabhu Select Fund,65.48,8.67,8.97,8.50,8.97,8.77,"94,850.00",8.50,"831,831.40",33,0.47,0.47,5.53,5.53,2.23,8.02,8.18,9.61,7.31,2023-01-09
178,PSF,Prabhu Select Fund,61.6,9.14,9.29,8.50,9.28,8.61,"64,450.00",8.97,"554,844.20",48,0.31,0.79,3.46,9.29,7.23,8.02,8.19,9.61,7.31,2023-01-10
175,PSF,Prabhu Select Fund,61.63,9.46,9.82,8.92,9.82,9.32,"267,330.00",9.28,"2,491,955.25",52,0.54,0.9,5.82,10.09,5.07,8.04,8.19,9.82,7.31,2023-01-12
176,PSF,Prabhu Select Fund,63.84,9.83,9.83,8.87,8.99,9.66,"282,781.00",9.82,"2,732,340.64",29,-0.83,0.96,-8.45,10.82,-7.48,8.04,8.19,9.83,7.31,2023-01-17
173,PSF,Prabhu Select Fund,58.42,8.90,9.34,8.71,8.85,8.86,"30,220.00",8.99,"267,751.44",36,-0.14,0.63,-1.56,7.23,-0.11,8.03,8.19,9.83,7.31,2023-01-18
172,PSF,Prabhu Select Fund,43.26,8.68,8.85,8.53,8.60,8.60,"27,050.00",8.85,"232,551.50",22,-0.25,0.32,-2.82,3.75,0.03,8.03,8.19,9.83,7.31,2023-01-19
179,PSF,Prabhu Select Fund,38.67,8.45,8.51,8.35,8.51,8.46,"12,000.00",8.60,"101,533.00",20,-0.09,0.16,-1.05,1.92,0.57,8.03,8.18,9.83,7.31,2023-01-23
172,PSF,Prabhu Select Fund,37.65,8.37,8.60,8.37,8.40,8.51,"19,200.00",8.51,"163,380.00",15,-0.11,0.23,-1.29,2.75,-1.3,8.02,8.18,9.83,7.31,2023-01-24
180,PSF,Prabhu Select Fund,38.22,8.40,8.55,8.40,8.45,8.50,"18,740.00",8.40,"159,258.80",23,0.05,0.15,0.6,1.79,-0.57,8.02,8.18,9.83,7.31,2023-01-25
174,PSF,Prabhu Select Fund,37.83,8.32,8.51,8.32,8.40,8.41,"10,150.00",8.45,"85,344.50",25,-0.05,0.19,-0.59,2.28,-0.1,8.02,8.18,9.83,7.31,2023-01-26
183,PSF,Prabhu Select Fund,35.43,8.30,8.51,8.30,8.36,8.41,"14,300.00",8.40,"120,302.70",20,-0.04,0.21,-0.48,2.53,-0.63,8.02,8.17,9.83,7.31,2023-01-29
176,PSF,Prabhu Select Fund,36.82,8.20,8.36,8.11,8.32,8.21,"4,000.00",8.36,"32,854.00",13,-0.04,0.25,-0.48,3.08,1.28,8.01,8.17,9.83,7.31,2023-01-30
180,PSF,Prabhu Select Fund,31.31,8.17,8.36,8.17,8.36,8.25,"6,740.00",8.32,"55,590.40",23,0.04,0.19,0.48,2.33,1.34,8.01,8.17,9.83,7.31,2023-01-31
179,PSF,Prabhu Select Fund,32.25,8.26,8.44,8.26,8.44,8.34,"23,980.00",8.36,"200,081.80",24,0.08,0.18,0.96,2.18,1.14,8.01,8.17,9.83,7.31,2023-02-01
179,PSF,Prabhu Select Fund,44.1,8.28,8.44,8.28,8.30,8.29,"3,400.00",8.44,"28,171.00",11,-0.14,0.16,-1.66,1.93,0.17,8.01,8.16,9.83,7.31,2023-02-02
180,PSF,Prabhu Select Fund,40.69,8.15,8.48,8.15,8.48,8.38,"9,300.00",8.30,"77,913.00",16,0.18,0.33,2.17,4.05,1.21,8.01,8.16,9.83,7.31,2023-02-05
181,PSF,Prabhu Select Fund,28.67,8.20,8.69,8.12,8.69,8.37,"12,900.00",8.20,"108,026.00",29,0.49,0.57,5.98,7.02,3.64,8.01,8.16,9.83,7.31,2023-02-07
179,PSF,Prabhu Select Fund,52.12,8.40,8.44,8.26,8.44,8.42,"12,040.00",8.57,"101,329.80",11,-0.13,0.18,-1.52,2.18,0.28,8.01,8.15,9.83,7.31,2023-02-09
175,PSF,Prabhu Select Fund,40.56,8.38,8.38,8.12,8.16,8.16,"9,950.00",8.44,"81,168.50",24,-0.28,0.26,-3.32,3.2,0.03,8.01,8.15,9.83,7.31,2023-02-12
178,PSF,Prabhu Select Fund,30.03,8.03,8.16,8.03,8.11,8.11,"5,300.00",8.16,"42,982.00",11,-0.05,0.13,-0.61,1.62,0.0,8.00,8.15,9.83,7.31,2023-02-14
177,PSF,Prabhu Select Fund,38.67,8.02,8.30,8.02,8.30,8.19,"5,850.00",8.13,"47,893.00",11,0.17,0.28,2.09,3.49,1.36,8.00,8.14,9.83,7.31,2023-02-16
179,PSF,Prabhu Select Fund,42.91,8.14,8.14,8.05,8.10,8.08,"15,700.00",8.30,"126,913.00",27,-0.2,0.09,-2.41,1.12,0.2,8.00,8.14,9.83,7.31,2023-02-20
189,PSF,Prabhu Select Fund,46.14,8.00,8.26,8.00,8.12,8.07,"14,500.00",8.10,"117,046.00",24,0.02,0.26,0.25,3.25,0.59,7.99,8.13,9.83,7.31,2023-02-22
181,PSF,Prabhu Select Fund,32.25,7.96,8.00,7.87,7.87,7.94,"7,750.00",8.12,"61,522.00",12,-0.25,0.13,-3.08,1.65,-0.87,7.99,8.13,9.83,7.31,2023-02-23
180,PSF,Prabhu Select Fund,35.98,7.87,7.99,7.80,7.99,7.89,"65,200.00",7.87,"514,186.50",33,0.12,0.19,1.52,2.44,1.3,7.99,8.12,9.83,7.31,2023-02-26
182,PSF,Prabhu Select Fund,34.05,7.71,8.01,7.71,7.90,7.90,"10,728.00",7.85,"84,736.70",18,0.05,0.3,0.64,3.89,0.02,7.98,8.12,9.83,7.31,2023-02-28
177,PSF,Prabhu Select Fund,40.25,7.79,8.00,7.79,7.85,7.83,"4,110.00",7.90,"32,163.00",13,-0.05,0.21,-0.63,2.7,0.31,7.98,8.11,9.83,7.31,2023-03-01
177,PSF,Prabhu Select Fund,38.43,7.82,8.00,7.82,8.00,7.94,"3,500.00",7.85,"27,798.00",11,0.15,0.18,1.91,2.3,0.72,7.98,8.11,9.83,7.31,2023-03-02
178,PSF,Prabhu Select Fund,38.7,7.86,7.99,7.86,7.99,7.93,"1,925.00",8.00,"15,271.75",9,-0.01,0.13,-0.12,1.65,0.71,7.98,8.11,9.83,7.31,2023-03-05
180,PSF,Prabhu Select Fund,41.66,7.90,8.00,7.90,7.91,7.95,"11,392.00",7.99,"90,620.76",18,-0.08,0.1,-1.0,1.27,-0.57,7.98,8.11,9.83,7.31,2023-03-07
