SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
178,RFPL,River Falls Power Limited,34.2,225.10,238.00,225.10,229.00,229.15,"6,820.00",229.40,"1,562,792.00",168,-0.4,12.9,-0.17,5.73,-0.06,242.21,-,325.00,200.00,2022-12-07
178,RFPL,River Falls Power Limited,34.2,225.10,238.00,225.10,229.00,229.15,"6,820.00",229.40,"1,562,792.00",168,-0.4,12.9,-0.17,5.73,-0.06,242.21,-,325.00,200.00,2022-12-09
181,RFPL,River Falls Power Limited,35.61,230.00,230.00,220.80,221.50,223.55,"4,220.00",229.00,"943,366.00",173,-7.5,9.2,-3.28,4.17,-0.92,-,-,325.00,200.00,2022-12-11
179,RFPL,River Falls Power Limited,26.21,217.20,227.00,217.20,226.00,223.59,"1,980.00",221.50,"442,709.00",119,4.5,9.8,2.03,4.51,1.07,241.25,-,325.00,200.00,2022-12-12
177,RFPL,River Falls Power Limited,24.26,221.80,230.00,221.80,227.90,225.70,"2,399.00",226.00,"541,452.00",130,1.9,8.2,0.84,3.7,0.97,241.09,-,325.00,200.00,2022-12-13
178,RFPL,River Falls Power Limited,33.58,225.00,232.00,218.70,221.10,223.49,"5,120.00",227.90,"1,144,263.00",123,-6.8,13.3,-2.98,6.08,-1.08,241.07,-,325.00,200.00,2022-12-14
185,RFPL,River Falls Power Limited,31.7,221.00,234.60,218.20,224.00,220.79,"3,480.00",221.10,"768,354.00",166,2.9,16.4,1.31,7.52,1.43,240.90,-,325.00,200.00,2022-12-15
180,RFPL,River Falls Power Limited,37.75,220.00,220.10,215.60,215.80,216.98,"3,199.00",224.00,"694,132.80",150,-8.2,4.5,-3.66,2.09,-0.55,240.75,-,325.00,200.00,2022-12-18
180,RFPL,River Falls Power Limited,25.49,212.10,220.10,212.10,217.10,216.97,"3,045.00",215.80,"660,664.00",150,1.3,8.0,0.6,3.77,0.06,240.76,-,325.00,200.00,2022-12-19
184,RFPL,River Falls Power Limited,25.49,217.00,222.00,212.90,217.50,218.26,"6,452.00",217.10,"1,408,212.30",140,0.4,9.1,0.18,4.27,-0.35,240.80,-,325.00,200.00,2022-12-20
181,RFPL,River Falls Power Limited,34.69,213.40,219.00,213.40,216.90,215.93,"2,305.00",217.50,"497,712.00",132,-0.6,5.6,-0.28,2.62,0.45,240.72,-,325.00,200.00,2022-12-21
177,RFPL,River Falls Power Limited,23.76,212.60,216.90,212.60,214.00,214.83,"2,470.00",216.90,"530,618.00",121,-2.9,4.3,-1.34,2.02,-0.39,240.63,-,325.00,200.00,2022-12-22
178,RFPL,River Falls Power Limited,26.9,218.00,230.00,215.30,228.90,223.33,"5,664.00",214.00,"1,264,934.80",196,14.9,14.7,6.96,6.83,2.43,240.73,-,325.00,200.00,2022-12-26
188,RFPL,River Falls Power Limited,46.25,233.30,239.00,224.50,233.00,232.23,"18,034.00",228.90,"4,188,005.00",236,4.1,14.50,1.79,6.46,0.33,240.79,-,325.00,200.00,2022-12-27
185,RFPL,River Falls Power Limited,54.34,233.00,248.10,225.50,242.00,233.78,"23,305.00",233.00,"5,448,352.30",227,9.0,22.6,3.86,10.02,3.39,240.90,-,325.00,200.00,2022-12-28
186,RFPL,River Falls Power Limited,54.34,237.20,254.00,233.20,252.20,245.81,"20,754.00",242.00,"5,101,603.10",299,10.2,20.8,4.21,8.92,2.53,241.12,-,325.00,200.00,2022-12-29
190,RFPL,River Falls Power Limited,54.11,253.00,256.90,236.20,243.00,243.93,"21,245.00",252.20,"5,182,273.00",298,-9.2,20.70,-3.65,8.76,-0.38,241.13,-,325.00,200.00,2023-01-01
182,RFPL,River Falls Power Limited,54.11,246.90,251.70,234.00,242.20,246.51,"19,040.00",243.00,"4,693,573.40",262,-0.8,17.7,-0.33,7.56,-1.78,241.22,-,325.00,200.00,2023-01-02
187,RFPL,River Falls Power Limited,54.01,245.00,253.00,235.30,238.20,243.83,"22,289.00",242.20,"5,434,827.10",328,-4.0,17.7,-1.65,7.52,-2.37,241.35,-,325.00,200.00,2023-01-03
186,RFPL,River Falls Power Limited,42.33,235.10,257.00,235.10,257.00,250.61,"22,557.00",238.20,"5,653,010.30",412,18.8,21.9,7.89,9.32,2.49,241.61,-,325.00,200.00,2023-01-04
185,RFPL,River Falls Power Limited,59.5,262.00,275.00,250.00,268.00,264.77,"25,198.00",257.00,"6,671,791.50",345,11.0,25.0,4.28,10.0,1.2,241.98,-,325.00,200.00,2023-01-05
187,RFPL,River Falls Power Limited,60.7,263.50,285.00,262.70,271.00,273.35,"17,703.00",268.00,"4,839,040.60",349,3.00,22.30,1.12,8.49,-0.87,-,-,325.00,200.00,2023-01-08
184,RFPL,River Falls Power Limited,61.04,266.00,297.80,266.00,293.00,282.82,"17,037.00",271.00,"4,818,370.00",338,22.0,31.8,8.12,11.95,3.48,243.20,-,325.00,200.00,2023-01-09
182,RFPL,River Falls Power Limited,57.01,295.00,306.00,272.00,273.00,291.58,"49,870.00",293.00,"14,540,949.30",567,-20.0,34.0,-6.83,12.5,-6.8,243.77,-,325.00,200.00,2023-01-10
179,RFPL,River Falls Power Limited,57.04,278.40,299.50,266.00,268.00,275.48,"31,277.00",273.00,"8,616,215.90",440,-5.0,33.5,-1.83,12.59,-2.79,244.18,-,325.00,200.00,2023-01-12
180,RFPL,River Falls Power Limited,49.52,273.00,291.00,264.00,290.50,285.08,"23,790.00",268.00,"6,782,064.10",524,22.5,27.0,8.4,10.23,1.87,244.66,0.00,325.00,200.00,2023-01-17
177,RFPL,River Falls Power Limited,52.52,296.30,308.00,283.00,284.60,293.21,"25,388.00",290.50,"7,443,977.80",454,-5.9,25.0,-2.03,8.83,-3.02,245.18,0.00,325.00,200.00,2023-01-18
176,RFPL,River Falls Power Limited,46.74,279.60,298.00,279.60,286.00,286.93,"17,869.00",284.60,"5,127,125.50",470,1.4,18.4,0.49,6.58,-0.32,245.72,0.00,325.00,200.00,2023-01-19
183,RFPL,River Falls Power Limited,51.67,291.70,297.50,278.00,278.00,286.64,"28,428.00",286.00,"8,148,740.10",467,-8.0,19.5,-2.8,7.01,-3.11,246.15,0.00,325.00,200.00,2023-01-23
176,RFPL,River Falls Power Limited,52.89,272.50,286.60,270.70,282.00,279.16,"14,022.00",278.00,"3,914,313.50",438,4.0,15.9,1.44,5.87,1.01,246.64,0.00,325.00,200.00,2023-01-24
184,RFPL,River Falls Power Limited,45.76,278.00,297.00,278.00,289.00,290.19,"24,976.00",282.00,"7,247,899.90",470,7.0,19.0,2.48,6.83,-0.41,247.20,0.00,325.00,200.00,2023-01-25
178,RFPL,River Falls Power Limited,52.17,291.00,310.00,290.10,308.00,302.73,"45,182.00",289.00,"13,677,838.60",726,19.0,19.9,6.57,6.86,1.71,247.95,0.00,325.00,200.00,2023-01-26
187,RFPL,River Falls Power Limited,51.59,302.00,325.00,295.10,320.00,312.54,"54,004.00",308.00,"16,878,581.10",700,12.0,29.9,3.9,10.13,2.33,248.85,0.00,325.00,200.00,2023-01-29
180,RFPL,River Falls Power Limited,55.72,313.60,324.00,300.00,304.90,309.40,"42,477.00",320.00,"13,142,385.10",554,-15.1,24.0,-4.72,8.0,-1.48,249.47,0.00,325.00,200.00,2023-01-30
184,RFPL,River Falls Power Limited,50.63,307.00,317.10,293.00,300.90,300.42,"23,274.00",304.90,"6,992,048.00",384,-4.0,24.1,-1.31,8.23,0.16,250.00,0.00,325.00,200.00,2023-01-31
183,RFPL,River Falls Power Limited,48.96,306.00,306.00,295.50,300.00,301.02,"14,970.00",300.90,"4,506,298.60",358,-0.9,10.5,-0.3,3.55,-0.34,250.64,0.00,325.00,200.00,2023-02-01
183,RFPL,River Falls Power Limited,44.56,294.00,310.00,289.00,292.00,297.80,"26,268.00",300.00,"7,822,713.70",322,-8.0,21.0,-2.67,7.27,-1.99,251.08,0.00,325.00,200.00,2023-02-02
184,RFPL,River Falls Power Limited,42.09,297.80,300.00,286.30,296.00,292.60,"27,801.00",292.00,"8,134,619.80",367,4.0,13.7,1.37,4.79,1.15,251.40,0.00,325.00,200.00,2023-02-05
185,RFPL,River Falls Power Limited,36.71,290.10,313.40,290.10,312.00,306.85,"41,216.00",294.50,"12,647,210.60",534,17.5,23.3,5.94,8.03,1.65,252.08,0.00,325.00,200.00,2023-02-07
183,RFPL,River Falls Power Limited,58.00,306.20,321.30,306.10,317.00,311.72,"24,879.00",311.70,"7,755,308.00",333,5.3,15.2,1.7,4.97,1.67,252.84,0.00,325.00,200.00,2023-02-09
179,RFPL,River Falls Power Limited,54.36,311.00,311.90,300.00,305.00,304.23,"26,240.00",317.00,"7,982,943.30",327,-12.0,11.9,-3.79,3.97,0.25,252.89,0.00,325.00,200.00,2023-02-12
182,RFPL,River Falls Power Limited,35.55,298.90,309.00,295.00,300.00,300.15,"17,202.00",305.00,"5,163,122.40",305,-5.00,14.0,-1.64,4.75,-0.05,252.76,0.00,325.00,200.00,2023-02-14
181,RFPL,River Falls Power Limited,27.62,295.00,301.00,290.00,290.00,294.36,"13,557.00",298.00,"3,990,659.40",196,-8.00,11.00,-2.68,3.79,-1.5,252.54,0.00,325.00,200.00,2023-02-16
183,RFPL,River Falls Power Limited,24.96,286.00,301.00,280.10,291.00,288.33,"4,973.00",290.00,"1,433,850.50",211,1.0,20.9,0.34,7.46,0.92,252.34,0.00,325.00,200.00,2023-02-20
193,RFPL,River Falls Power Limited,44.7,290.00,314.00,290.00,313.70,306.18,"37,914.00",291.00,"11,608,323.40",547,22.7,24.0,7.8,8.28,2.4,252.47,0.00,325.00,200.00,2023-02-22
185,RFPL,River Falls Power Limited,34.67,307.50,310.00,299.00,302.00,301.89,"21,366.00",313.70,"6,450,152.50",279,-11.7,11.0,-3.73,3.68,0.04,252.57,0.00,325.00,200.00,2023-02-23
184,RFPL,River Falls Power Limited,40.79,296.00,307.70,290.00,307.00,296.90,"8,039.00",302.00,"2,386,775.50",248,5.0,17.7,1.66,6.1,3.29,252.72,0.00,325.00,200.00,2023-02-26
186,RFPL,River Falls Power Limited,35.23,304.00,309.00,298.30,308.00,306.20,"16,517.00",304.00,"5,057,555.60",310,4.0,10.7,1.32,3.59,0.58,252.97,0.00,325.00,200.00,2023-02-28
181,RFPL,River Falls Power Limited,43.62,309.00,309.00,297.20,303.00,301.26,"20,894.00",308.00,"6,294,458.60",210,-5.00,11.80,-1.62,3.97,0.58,253.06,0.00,325.00,200.00,2023-03-01
180,RFPL,River Falls Power Limited,22.76,302.90,302.90,293.00,298.90,296.69,"7,780.00",303.00,"2,308,218.00",171,-4.1,9.9,-1.35,3.38,0.74,253.07,0.00,325.00,200.00,2023-03-02
182,RFPL,River Falls Power Limited,22.63,293.00,297.00,288.20,289.30,290.92,"3,806.00",298.90,"1,107,228.00",167,-9.6,8.8,-3.21,3.05,-0.56,252.91,0.00,325.00,200.00,2023-03-05
184,RFPL,River Falls Power Limited,24.01,283.70,299.60,283.70,294.90,294.55,"6,440.00",289.30,"1,896,881.00",110,5.6,15.9,1.94,5.6,0.12,252.94,0.00,325.00,200.00,2023-03-07
182,RFPL,River Falls Power Limited,37.71,300.70,310.00,295.10,310.00,303.10,"10,013.00",294.90,"3,034,939.60",296,15.1,14.9,5.12,5.05,2.23,253.06,0.00,325.00,200.00,2023-03-09
183,RFPL,River Falls Power Limited,39.6,304.00,310.00,298.10,303.90,302.06,"9,270.00",310.00,"2,800,088.00",222,-6.1,11.9,-1.97,3.99,0.61,253.14,0.00,325.00,200.00,2023-03-12
179,RFPL,River Falls Power Limited,42.98,294.10,303.90,294.10,303.00,298.32,"9,379.00",298.90,"2,797,972.00",208,4.1,9.8,1.37,3.33,1.54,253.27,0.00,325.00,200.00,2023-03-14
177,RFPL,River Falls Power Limited,22.39,297.00,298.00,292.30,295.20,294.43,"10,894.00",303.00,"3,207,481.60",156,-7.80,5.7,-2.57,1.95,0.26,253.40,0.00,325.00,200.00,2023-03-15
179,RFPL,River Falls Power Limited,29.94,289.30,307.00,289.30,296.10,297.47,"7,290.00",295.20,"2,168,585.00",178,0.9,17.7,0.3,6.12,-0.46,253.66,253.64,325.00,200.00,2023-03-16
