SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
179,RHGCL,Rapti Hydro & General Construction Limited,36.14,217.10,217.10,206.20,208.00,207.50,"2,910.00",212.90,"603,818.60",116,-4.9,10.9,-2.3,5.29,0.24,-,-,350.90,200.00,2022-12-07
179,RHGCL,Rapti Hydro & General Construction Limited,36.14,217.10,217.10,206.20,208.00,207.50,"2,910.00",212.90,"603,818.60",116,-4.9,10.9,-2.3,5.29,0.24,-,-,350.90,200.00,2022-12-09
182,RHGCL,Rapti Hydro & General Construction Limited,37.55,204.10,208.00,201.20,205.00,203.12,"9,442.00",208.00,"1,917,874.40",208,-3.0,6.8,-1.44,3.38,0.92,-,-,350.90,200.00,2022-12-11
180,RHGCL,Rapti Hydro & General Construction Limited,38.16,201.20,210.00,201.20,207.00,205.68,"4,140.00",205.00,"851,535.00",148,2.0,8.8,0.98,4.37,0.64,-,-,350.90,200.00,2022-12-12
178,RHGCL,Rapti Hydro & General Construction Limited,29.85,210.90,211.00,203.00,207.90,206.10,"1,130.00",207.00,"232,889.00",106,0.9,8.0,0.43,3.94,0.87,-,-,350.90,200.00,2022-12-13
179,RHGCL,Rapti Hydro & General Construction Limited,26.13,207.90,208.00,204.00,205.00,205.54,"5,389.00",207.90,"1,107,641.70",178,-2.9,4.0,-1.39,1.96,-0.26,-,-,350.90,200.00,2022-12-14
186,RHGCL,Rapti Hydro & General Construction Limited,28.48,202.00,205.00,202.00,205.00,204.26,"4,137.00",205.00,"845,035.90",195,0.0,3.0,0.0,1.49,0.36,-,-,350.90,200.00,2022-12-15
181,RHGCL,Rapti Hydro & General Construction Limited,38.97,201.00,202.50,197.20,200.00,199.69,"6,020.00",205.00,"1,202,132.00",221,-5.0,5.3,-2.44,2.69,0.16,-,-,350.90,197.20,2022-12-18
181,RHGCL,Rapti Hydro & General Construction Limited,30.72,198.00,200.00,194.10,200.00,197.27,"4,260.00",200.00,"840,369.00",187,0.0,5.9,0.0,3.04,1.37,-,-,350.90,194.10,2022-12-19
185,RHGCL,Rapti Hydro & General Construction Limited,30.72,196.00,204.00,196.00,200.80,200.41,"5,670.00",200.00,"1,136,353.00",174,0.8,8.0,0.4,4.08,0.19,-,-,350.90,194.10,2022-12-20
182,RHGCL,Rapti Hydro & General Construction Limited,38.09,196.90,200.30,193.20,198.00,196.93,"3,170.00",200.80,"624,268.00",122,-2.8,7.1,-1.39,3.67,0.54,-,-,350.90,193.20,2022-12-21
178,RHGCL,Rapti Hydro & General Construction Limited,30.94,198.50,199.80,191.60,199.80,195.66,"2,490.00",198.00,"487,196.00",141,1.8,8.2,0.91,4.28,2.07,-,-,350.90,191.60,2022-12-22
