SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
181,RIDI,Ridi Power Company Limited,28.77,507.90,507.90,493.20,494.10,498.23,"66,788.00",498.00,"33,275,505.90",361,-3.9,14.7,-0.78,2.98,-0.84,-,-,694.50,427.40,2022-12-07
181,RIDI,Ridi Power Company Limited,28.77,507.90,507.90,493.20,494.10,498.23,"66,788.00",498.00,"33,275,505.90",361,-3.9,14.7,-0.78,2.98,-0.84,-,-,694.50,427.40,2022-12-09
184,RIDI,Ridi Power Company Limited,30.19,500.00,500.00,483.00,484.20,485.89,"65,916.00",494.10,"32,028,038.70",462,-9.9,17.0,-2.0,3.52,-0.35,-,-,694.50,427.40,2022-12-11
182,RIDI,Ridi Power Company Limited,30.43,490.00,491.90,480.20,490.00,487.47,"71,118.00",484.20,"34,667,764.70",411,5.8,11.7,1.2,2.44,0.52,-,-,694.50,427.40,2022-12-12
180,RIDI,Ridi Power Company Limited,32.65,490.00,493.00,480.20,490.00,488.61,"49,287.00",490.00,"24,082,189.50",323,0.0,12.8,0.0,2.67,0.28,-,-,694.50,427.40,2022-12-13
181,RIDI,Ridi Power Company Limited,29.45,490.10,490.10,479.00,479.30,483.09,"52,314.00",490.00,"25,272,409.20",342,-10.7,11.1,-2.18,2.32,-0.79,-,-,694.50,427.40,2022-12-14
188,RIDI,Ridi Power Company Limited,25.15,472.10,483.00,468.30,469.00,472.69,"48,479.00",479.30,"22,915,553.50",382,-10.3,14.7,-2.15,3.14,-0.79,-,-,694.50,427.40,2022-12-15
183,RIDI,Ridi Power Company Limited,24.53,471.00,471.00,449.00,450.00,455.18,"119,323.00",469.00,"54,313,095.70",662,-19.0,22.0,-4.05,4.9,-1.15,-,-,694.50,427.40,2022-12-18
183,RIDI,Ridi Power Company Limited,25.46,450.00,459.00,442.00,452.00,451.30,"50,430.00",450.00,"22,759,040.90",344,2.0,17.0,0.44,3.85,0.15,-,-,694.50,427.40,2022-12-19
187,RIDI,Ridi Power Company Limited,25.46,459.90,461.00,454.00,458.00,457.76,"36,428.00",452.00,"16,675,265.00",221,6.0,7.0,1.33,1.54,0.05,-,-,694.50,427.40,2022-12-20
184,RIDI,Ridi Power Company Limited,25.18,467.10,467.10,442.00,445.00,449.41,"62,074.00",458.00,"27,896,478.80",410,-13.0,25.1,-2.84,5.68,-0.99,-,-,694.50,427.40,2022-12-21
180,RIDI,Ridi Power Company Limited,27.82,450.00,453.90,441.00,444.00,444.20,"37,757.00",445.00,"16,771,518.30",286,-1.0,12.9,-0.22,2.93,-0.04,-,-,694.50,427.40,2022-12-22
181,RIDI,Ridi Power Company Limited,31.74,452.00,478.00,452.00,477.00,465.95,"155,849.00",444.00,"72,617,407.60",673,33.0,26.0,7.43,5.75,2.32,-,-,694.50,427.40,2022-12-26
191,RIDI,Ridi Power Company Limited,47.06,485.00,495.00,479.00,480.60,485.55,"136,545.00",477.00,"66,299,103.00",817,3.6,16.00,0.75,3.34,-1.03,-,-,694.50,427.40,2022-12-27
188,RIDI,Ridi Power Company Limited,52.22,490.20,490.20,470.50,477.00,479.39,"167,904.00",480.60,"80,491,648.80",668,-3.6,19.7,-0.75,4.19,-0.5,-,-,694.50,427.40,2022-12-28
189,RIDI,Ridi Power Company Limited,52.22,485.90,499.80,473.00,497.00,493.13,"205,678.00",477.00,"101,427,013.70",661,20.0,26.8,4.19,5.67,0.78,-,-,694.50,427.40,2022-12-29
193,RIDI,Ridi Power Company Limited,51.9,506.90,510.00,490.00,495.00,501.69,"155,841.00",497.00,"78,184,178.50",799,-2.0,20.00,-0.4,4.08,-1.35,-,-,694.50,427.40,2023-01-01
185,RIDI,Ridi Power Company Limited,51.9,494.50,506.00,488.10,497.90,498.56,"119,911.00",495.00,"59,782,721.40",542,2.9,17.9,0.59,3.67,-0.13,-,-,694.50,427.40,2023-01-02
190,RIDI,Ridi Power Company Limited,52.5,500.00,505.00,489.00,489.00,497.07,"130,291.00",497.90,"64,763,747.70",608,-8.9,16.0,-1.79,3.27,-1.65,-,-,694.50,427.40,2023-01-03
