SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
190,RLI,Reliance Life Insurance Limited,26.25,341.70,341.70,323.00,323.00,329.02,"6,614.00",335.00,"2,176,161.90",172,-12.0,18.7,-3.58,5.79,-1.86,474.56,487.30,626.00,318.00,2022-12-15
185,RLI,Reliance Life Insurance Limited,28.8,317.00,322.00,314.00,314.00,316.36,"5,808.00",323.00,"1,837,438.70",136,-9.0,8.0,-2.79,2.55,-0.75,472.38,486.30,626.00,314.00,2022-12-18
185,RLI,Reliance Life Insurance Limited,30.31,310.00,330.40,310.00,322.50,319.47,"4,483.00",314.00,"1,432,205.90",108,8.5,20.4,2.71,6.58,0.94,470.41,485.43,626.00,310.00,2022-12-19
189,RLI,Reliance Life Insurance Limited,30.31,320.00,327.00,317.00,321.10,322.04,"2,890.00",322.50,"930,696.00",106,-1.4,10.0,-0.43,3.15,-0.29,468.48,484.50,626.00,310.00,2022-12-20
186,RLI,Reliance Life Insurance Limited,26.69,317.00,321.00,317.00,318.10,319.51,"2,223.00",321.10,"710,277.90",85,-3.0,4.0,-0.93,1.26,-0.44,466.42,483.60,626.00,310.00,2022-12-21
182,RLI,Reliance Life Insurance Limited,29.76,314.00,323.00,314.00,320.00,317.77,"2,106.00",318.10,"669,234.10",98,1.9,9.0,0.6,2.87,0.7,464.18,482.75,626.00,310.00,2022-12-22
183,RLI,Reliance Life Insurance Limited,39.93,320.00,330.90,320.00,330.00,324.98,"7,826.00",320.00,"2,543,270.50",154,10.0,10.9,3.13,3.41,1.52,462.21,481.81,626.00,310.00,2022-12-26
193,RLI,Reliance Life Insurance Limited,47.09,336.60,357.50,336.00,352.00,348.69,"11,511.00",330.00,"4,013,777.80",204,22.0,21.50,6.67,6.4,0.94,460.41,480.83,626.00,310.00,2022-12-27
190,RLI,Reliance Life Insurance Limited,53.31,352.00,373.50,340.10,364.00,358.31,"14,459.00",352.00,"5,180,844.50",192,12.0,33.4,3.41,9.82,1.56,458.80,479.83,626.00,310.00,2022-12-28
191,RLI,Reliance Life Insurance Limited,53.31,364.00,400.40,356.10,400.00,381.82,"21,509.00",364.00,"8,212,636.50",242,36.0,44.3,9.89,12.44,4.54,457.49,479.06,626.00,310.00,2022-12-29
195,RLI,Reliance Life Insurance Limited,56.35,408.00,426.00,395.00,420.90,417.36,"31,493.00",400.00,"13,143,889.30",374,20.9,31.00,5.22,7.85,0.84,456.17,478.29,626.00,310.00,2023-01-01
188,RLI,Reliance Life Insurance Limited,56.35,415.00,440.00,406.70,440.00,425.39,"13,195.00",420.90,"5,612,970.10",276,19.1,33.3,4.54,8.19,3.32,455.09,477.64,626.00,310.00,2023-01-02
192,RLI,Reliance Life Insurance Limited,53.91,432.30,443.00,426.10,432.00,430.99,"15,534.00",440.00,"6,694,991.50",239,-8.0,16.9,-1.82,3.97,0.23,453.91,476.91,626.00,310.00,2023-01-03
