SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
186,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,27.36,880.20,890.00,880.20,884.10,886.86,798.00,898.00,"707,714.00",36,-13.9,9.8,-1.55,1.11,-0.31,983.01,"1,013.24","1,931.70",502.00,2022-12-07
186,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,27.36,880.20,890.00,880.20,884.10,886.86,798.00,898.00,"707,714.00",36,-13.9,9.8,-1.55,1.11,-0.31,983.01,"1,013.24","1,931.70",502.00,2022-12-09
189,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,28.77,867.20,885.00,867.20,870.00,872.04,940.00,884.10,"819,716.00",40,-14.1,17.8,-1.59,2.05,-0.23,-,-,"1,931.70",502.00,2022-12-11
187,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,29.7,870.00,882.00,860.00,868.00,868.32,"1,112.00",870.00,"965,567.20",51,-2.0,22.0,-0.23,2.56,-0.04,983.71,"1,016.64","1,931.70",502.00,2022-12-12
185,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,31.11,880.00,883.90,870.00,870.10,877.78,320.00,868.00,"280,891.00",20,2.1,13.9,0.24,1.6,-0.88,983.88,"1,017.99","1,931.70",502.00,2022-12-13
186,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,26.21,885.00,887.50,870.00,874.00,873.48,515.00,870.10,"449,842.00",26,3.9,17.5,0.45,2.01,0.06,984.34,"1,019.30","1,931.70",502.00,2022-12-14
194,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,24.99,857.00,877.00,857.00,867.00,868.31,342.00,874.00,"296,960.80",24,-7.0,20.0,-0.8,2.33,-0.15,984.68,"1,020.36","1,931.70",502.00,2022-12-15
189,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,31.57,855.00,862.00,846.00,846.50,851.93,"1,128.00",867.00,"960,973.20",65,-20.5,16.0,-2.36,1.89,-0.64,984.90,"1,020.92","1,931.70",502.00,2022-12-18
189,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,40.26,830.30,880.00,830.30,880.00,857.20,430.00,846.50,"368,596.00",32,33.5,49.7,3.96,5.99,2.59,985.56,"1,021.26","1,931.70",502.00,2022-12-19
193,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,40.26,894.00,894.00,860.00,863.50,867.53,760.00,880.00,"659,320.00",39,-16.5,34.0,-1.88,3.95,-0.47,986.01,"1,021.05","1,931.70",502.00,2022-12-20
190,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,28.81,855.10,868.90,845.00,845.00,853.39,904.00,863.50,"771,468.80",46,-18.5,23.9,-2.14,2.83,-0.99,985.88,"1,020.23","1,931.70",502.00,2022-12-21
186,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,28.36,845.00,860.00,845.00,850.00,849.09,470.00,845.00,"399,071.50",36,5.0,15.0,0.59,1.78,0.11,985.97,"1,018.89","1,931.70",502.00,2022-12-22
187,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,40.88,867.00,891.00,860.00,888.00,877.19,"1,658.00",850.00,"1,454,384.50",58,38.0,31.0,4.47,3.6,1.22,986.37,"1,017.16","1,931.70",502.00,2022-12-26
197,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,40.18,905.00,910.00,888.00,888.00,898.14,"1,927.00",888.00,"1,730,709.40",84,0.0,22.00,0.0,2.48,-1.14,986.66,"1,014.77","1,931.70",502.00,2022-12-27
194,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,49.37,884.00,905.70,882.00,882.00,892.41,"1,006.00",888.00,"897,762.00",50,-6.0,23.7,-0.68,2.69,-1.18,986.27,"1,011.60","1,931.70",502.00,2022-12-28
195,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,49.37,880.00,900.00,880.00,900.00,894.60,"1,529.00",882.00,"1,367,848.00",53,18.0,20.0,2.04,2.27,0.6,986.13,"1,007.73","1,931.70",502.00,2022-12-29
199,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,56.35,918.00,950.00,882.00,897.00,921.20,"5,337.00",900.00,"4,916,458.70",134,-3.0,68.00,-0.33,7.71,-2.7,985.69,"1,002.96","1,931.70",502.00,2023-01-01
192,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,56.35,880.00,931.00,880.00,905.00,912.87,"1,299.00",897.00,"1,185,822.50",70,8.0,51.0,0.89,5.8,-0.87,985.07,998.77,"1,931.70",502.00,2023-01-02
196,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,53.18,900.10,969.00,900.10,939.00,941.88,"5,799.00",905.00,"5,461,961.00",157,34.0,68.9,3.76,7.65,-0.31,984.93,995.47,"1,931.70",502.00,2023-01-03
195,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,61.53,939.00,990.00,936.00,980.00,956.47,"3,919.00",939.00,"3,748,395.50",117,41.0,54.0,4.37,5.77,2.4,985.10,993.25,"1,931.70",502.00,2023-01-04
194,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,63.8,999.00,"1,047.00",982.00,"1,015.00","1,005.33","9,149.00",980.00,"9,197,792.50",198,35.0,65.0,3.57,6.62,0.95,985.60,991.63,"1,931.70",502.00,2023-01-05
196,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,65.0,"1,015.00","1,045.00",990.00,990.00,"1,011.89","5,637.00","1,015.00","5,704,033.00",128,-25.00,55.00,-2.46,5.56,-2.21,-,-,"1,931.70",502.00,2023-01-08
194,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,56.33,990.00,"1,024.00",972.00,"1,005.00","1,006.76","4,294.00",990.00,"4,323,028.00",163,15.0,52.0,1.52,5.35,-0.18,986.92,987.63,"1,931.70",502.00,2023-01-09
191,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,48.32,"1,010.00","1,024.00",953.00,980.00,"1,004.65","4,604.00","1,005.00","4,625,415.70",163,-25.0,71.0,-2.49,7.45,-2.52,987.74,986.04,"1,931.70",502.00,2023-01-10
188,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,48.35,998.00,"1,010.00",956.00,979.30,974.53,"3,696.00",980.00,"3,601,846.00",125,-0.7,54.0,-0.07,5.65,0.49,988.07,984.43,"1,931.70",502.00,2023-01-12
189,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,42.95,998.00,998.00,935.00,978.00,963.53,"3,656.00",979.30,"3,522,654.00",105,-1.3,63.0,-0.13,6.74,1.48,988.36,983.22,"1,931.70",502.00,2023-01-17
186,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,46.91,961.00,997.00,950.00,969.00,964.41,"3,598.00",978.00,"3,469,933.00",137,-9.0,47.0,-0.92,4.95,0.47,988.72,982.07,"1,931.70",502.00,2023-01-18
185,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,43.83,969.00,969.00,936.00,950.00,951.50,"2,831.00",969.00,"2,693,708.90",109,-19.0,33.0,-1.96,3.53,-0.16,988.70,980.45,"1,931.70",502.00,2023-01-19
192,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,40.24,950.00,984.90,932.00,947.00,949.54,"1,516.00",950.00,"1,439,507.00",92,-3.0,52.9,-0.32,5.68,-0.27,988.57,979.02,"1,931.70",502.00,2023-01-23
185,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,37.11,930.00,950.00,930.00,940.00,939.31,"1,510.00",947.00,"1,418,362.00",66,-7.0,20.0,-0.74,2.15,0.07,988.30,977.62,"1,931.70",502.00,2023-01-24
193,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,37.25,950.00,965.00,945.00,958.90,955.29,"3,109.00",940.00,"2,970,010.20",91,18.9,20.0,2.01,2.12,0.38,988.23,976.36,"1,931.70",502.00,2023-01-25
187,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,44.93,958.00,999.60,958.00,977.00,976.86,"4,136.00",958.90,"4,040,313.50",136,18.1,41.6,1.89,4.34,0.01,988.29,975.31,"1,931.70",502.00,2023-01-26
196,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,49.77,957.50,977.00,945.00,945.00,953.50,"1,593.00",977.00,"1,518,927.20",84,-32.0,32.0,-3.28,3.39,-0.9,988.42,974.34,"1,931.70",502.00,2023-01-29
189,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,40.73,935.10,951.60,930.00,930.10,936.99,"3,372.00",945.00,"3,159,545.00",113,-14.9,21.6,-1.58,2.32,-0.74,988.24,973.36,"1,931.70",502.00,2023-01-30
193,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,39.72,947.00,948.00,912.00,928.00,924.57,"1,225.00",930.10,"1,132,603.00",74,-2.1,36.0,-0.23,3.95,0.37,987.68,972.63,"1,931.70",502.00,2023-01-31
192,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,33.47,946.50,946.50,915.00,929.00,920.69,765.00,928.00,"704,329.00",67,1.0,31.5,0.11,3.44,0.89,987.35,971.99,"1,931.70",502.00,2023-02-01
192,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,34.2,925.00,944.80,904.00,911.00,917.88,"3,295.00",929.00,"3,024,429.50",73,-18.0,40.8,-1.94,4.51,-0.76,986.07,971.24,"1,931.70",502.00,2023-02-02
193,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,30.9,910.00,920.00,892.80,900.10,907.03,"1,025.00",911.00,"929,706.00",66,-10.9,27.2,-1.2,3.05,-0.77,983.81,970.48,"1,931.70",502.00,2023-02-05
194,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,34.67,890.20,968.00,890.20,968.00,932.82,"4,747.00",905.00,"4,428,091.00",148,63.0,77.8,6.96,8.74,3.63,977.04,968.72,"1,931.70",502.00,2023-02-07
192,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,55.35,920.00,940.00,915.00,935.00,927.54,"1,638.00",935.60,"1,519,308.00",56,-0.6,25.0,-0.06,2.73,0.8,970.69,967.34,"1,931.70",502.00,2023-02-09
188,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,46.6,917.00,931.00,900.10,917.00,916.50,"1,537.00",935.00,"1,408,659.50",70,-18.0,30.9,-1.93,3.43,0.05,967.50,966.63,"1,931.70",502.00,2023-02-12
191,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,34.36,901.20,909.00,885.00,887.00,898.75,"3,129.00",917.00,"2,812,201.90",88,-30.00,24.0,-3.27,2.71,-1.33,964.26,965.84,"1,931.70",502.00,2023-02-14
190,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,35.07,882.00,910.00,880.00,882.00,885.28,"1,336.00",899.00,"1,182,735.50",53,-17.00,30.00,-1.89,3.41,-0.37,959.00,964.64,"1,931.70",502.00,2023-02-16
192,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,33.42,885.00,885.00,860.00,875.00,868.23,"1,479.00",882.00,"1,284,118.80",65,-7.0,25.0,-0.79,2.91,0.77,956.38,963.94,"1,931.70",502.00,2023-02-20
202,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,43.27,892.00,908.00,860.00,870.00,875.07,"3,787.00",875.00,"3,313,903.50",97,-5.0,48.0,-0.57,5.58,-0.58,954.32,963.11,"1,931.70",502.00,2023-02-22
194,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,32.75,853.00,853.00,783.00,783.00,788.82,"6,605.00",870.00,"5,210,174.80",163,-87.0,70.0,-10.0,8.94,-0.74,951.51,961.85,"1,931.70",502.00,2023-02-23
193,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,34.84,767.40,830.00,705.10,788.00,750.78,"4,165.00",783.00,"3,127,001.60",168,5.0,124.9,0.64,17.71,4.72,948.79,960.69,"1,931.70",502.00,2023-02-26
195,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,31.8,760.00,776.00,744.80,750.30,754.00,"2,201.00",775.00,"1,659,550.90",83,-24.7,31.2,-3.19,4.19,-0.49,942.26,958.37,"1,931.70",502.00,2023-02-28
