SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
189,SADBL,Shangrila Development Bank Limited,26.97,302.30,307.90,297.00,297.30,299.24,"11,083.00",302.30,"3,316,444.40",65,-5.0,10.9,-1.65,3.67,-0.65,302.66,321.20,454.90,245.00,2022-12-07
189,SADBL,Shangrila Development Bank Limited,26.97,302.30,307.90,297.00,297.30,299.24,"11,083.00",302.30,"3,316,444.40",65,-5.0,10.9,-1.65,3.67,-0.65,302.66,321.20,454.90,245.00,2022-12-09
192,SADBL,Shangrila Development Bank Limited,28.39,294.20,300.00,294.20,298.90,296.71,"8,524.00",297.30,"2,529,153.50",51,1.6,5.8,0.54,1.97,0.73,-,-,454.90,245.00,2022-12-11
190,SADBL,Shangrila Development Bank Limited,27.63,299.90,305.00,293.50,303.00,297.25,"14,741.00",298.90,"4,381,698.20",65,4.1,11.5,1.37,3.92,1.9,302.72,320.10,454.90,245.00,2022-12-12
188,SADBL,Shangrila Development Bank Limited,32.09,304.80,305.00,298.00,304.30,300.87,"5,995.00",303.00,"1,803,716.00",38,1.3,7.0,0.43,2.35,1.13,302.89,319.62,454.90,245.00,2022-12-13
189,SADBL,Shangrila Development Bank Limited,32.49,299.10,303.00,299.00,300.00,300.27,"6,422.00",304.30,"1,928,332.60",41,-4.3,4.0,-1.41,1.34,-0.09,303.11,319.02,454.90,245.00,2022-12-14
197,SADBL,Shangrila Development Bank Limited,31.67,298.00,298.00,294.00,297.90,295.35,"7,350.00",300.00,"2,170,858.50",41,-2.1,4.0,-0.7,1.36,0.85,303.21,318.34,454.90,245.00,2022-12-15
192,SADBL,Shangrila Development Bank Limited,24.7,293.00,295.00,287.20,288.00,290.41,"10,279.00",297.90,"2,985,165.90",69,-9.9,7.8,-3.32,2.72,-0.84,303.33,317.62,454.90,245.00,2022-12-18
192,SADBL,Shangrila Development Bank Limited,24.73,287.00,299.00,287.00,294.00,292.49,"5,412.00",288.00,"1,582,977.00",43,6.0,12.0,2.08,4.18,0.51,303.63,316.96,454.90,245.00,2022-12-19
196,SADBL,Shangrila Development Bank Limited,24.73,298.20,298.20,292.10,296.00,294.94,"11,011.00",294.00,"3,247,589.40",54,2.0,6.1,0.68,2.09,0.36,303.89,316.41,454.90,245.00,2022-12-20
