SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
191,SAEF,Sanima Equity Fund,47.13,9.75,9.75,9.68,9.72,9.73,"25,925.00",9.84,"252,143.50",13,-0.12,0.07,-1.22,0.72,-0.06,11.67,12.12,14.94,9.46,2022-12-07
191,SAEF,Sanima Equity Fund,47.13,9.75,9.75,9.68,9.72,9.73,"25,925.00",9.84,"252,143.50",13,-0.12,0.07,-1.22,0.72,-0.06,11.67,12.12,14.94,9.46,2022-12-09
193,SAEF,Sanima Equity Fund,48.54,9.65,9.80,9.64,9.71,9.71,"65,650.00",9.72,"637,285.80",18,-0.01,0.16,-0.1,1.66,0.03,-,-,14.94,9.46,2022-12-11
191,SAEF,Sanima Equity Fund,41.1,9.71,9.71,9.65,9.65,9.66,"36,460.00",9.71,"352,329.00",9,-0.06,0.06,-0.62,0.62,-0.14,11.62,12.08,14.94,9.46,2022-12-12
189,SAEF,Sanima Equity Fund,46.61,9.65,9.65,9.65,9.65,9.65,"5,000.00",9.65,"48,250.00",1,0.0,0.0,0.0,0.0,0.0,11.60,12.06,14.94,9.46,2022-12-13
190,SAEF,Sanima Equity Fund,29.55,9.65,9.80,9.61,9.62,9.64,"39,100.00",9.65,"376,809.00",13,-0.03,0.19,-0.31,1.98,-0.18,11.58,12.04,14.94,9.46,2022-12-14
198,SAEF,Sanima Equity Fund,32.21,9.70,9.70,9.62,9.62,9.65,"55,586.00",9.62,"536,519.32",11,0.0,0.08,0.0,0.83,-0.33,11.56,12.02,14.94,9.46,2022-12-15
193,SAEF,Sanima Equity Fund,37.19,9.60,9.79,9.60,9.60,9.61,"16,850.00",9.62,"161,892.50",7,-0.02,0.19,-0.21,1.98,-0.08,11.54,12.00,14.94,9.46,2022-12-18
193,SAEF,Sanima Equity Fund,24.84,9.58,9.59,9.58,9.59,9.58,"3,500.00",9.60,"33,545.00",4,-0.01,0.01,-0.1,0.1,0.06,11.52,11.98,14.94,9.46,2022-12-19
197,SAEF,Sanima Equity Fund,24.84,9.61,9.65,9.61,9.62,9.62,"13,781.00",9.59,"132,526.41",7,0.03,0.04,0.31,0.42,0.04,11.50,11.96,14.94,9.46,2022-12-20
194,SAEF,Sanima Equity Fund,32.47,9.53,9.62,9.53,9.62,9.59,"9,474.00",9.62,"90,818.22",3,0.0,0.09,0.0,0.94,0.35,11.48,11.94,14.94,9.46,2022-12-21
191,SAEF,Sanima Equity Fund,37.17,9.80,9.99,9.80,9.99,9.81,"9,600.00",9.62,"94,154.00",6,0.37,0.19,3.85,1.94,1.82,11.46,11.92,14.94,9.46,2022-12-26
201,SAEF,Sanima Equity Fund,43.16,9.80,10.00,9.62,9.89,9.89,"38,130.00",9.99,"377,141.48",21,-0.1,0.38,-1.0,3.95,-0.01,11.44,11.90,14.94,9.46,2022-12-27
198,SAEF,Sanima Equity Fund,48.87,9.81,9.89,9.81,9.85,9.88,"18,764.00",9.89,"185,401.40",6,-0.04,0.08,-0.4,0.82,-0.31,11.42,11.87,14.94,9.46,2022-12-28
199,SAEF,Sanima Equity Fund,48.87,9.67,10.18,9.67,9.98,9.97,"15,283.00",9.85,"152,321.68",8,0.13,0.51,1.32,5.27,0.13,11.40,11.86,14.94,9.46,2022-12-29
203,SAEF,Sanima Equity Fund,46.86,10.17,10.20,10.00,10.11,10.17,"140,862.00",9.98,"1,432,337.50",22,0.13,0.20,1.3,2.0,-0.58,11.39,11.84,14.94,9.46,2023-01-01
196,SAEF,Sanima Equity Fund,46.86,9.96,10.11,9.95,10.04,10.00,"111,100.00",10.11,"1,111,265.00",16,-0.07,0.16,-0.69,1.61,0.37,11.37,11.82,14.94,9.46,2023-01-02
200,SAEF,Sanima Equity Fund,50.49,10.08,10.18,10.00,10.18,10.12,"46,574.00",10.04,"471,174.28",30,0.14,0.18,1.39,1.8,0.62,11.35,11.80,14.94,9.46,2023-01-03
