SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
198,SBD87,8.5% Sanima Debenture 2087,30.47,752.00,752.00,752.00,752.00,752.00,25.00,740.20,"18,800.00",1,11.8,0.0,1.59,0.0,0.0,-,-,995.00,732.60,2022-12-11
194,SBD87,8.5% Sanima Debenture 2087,45.01,745.30,745.30,745.30,745.30,745.30,25.00,752.00,"18,632.50",1,-6.7,0.0,-0.89,0.0,0.0,893.37,-,995.00,732.60,2022-12-13
203,SBD87,8.5% Sanima Debenture 2087,35.82,743.20,743.20,743.00,743.00,743.08,125.00,745.30,"92,885.40",4,-2.3,0.2,-0.31,0.03,-0.01,891.35,-,995.00,732.60,2022-12-15
198,SBD87,8.5% Sanima Debenture 2087,38.59,739.30,739.30,739.30,739.30,739.30,25.00,743.00,"18,482.50",1,-3.7,0.0,-0.5,0.0,0.0,889.32,-,995.00,732.60,2022-12-19
206,SBD87,8.5% Sanima Debenture 2087,39.13,750.00,765.00,750.00,765.00,753.46,130.00,739.30,"97,950.00",3,25.7,15.00,3.48,2.0,1.51,887.50,-,995.00,732.60,2022-12-27
204,SBD87,8.5% Sanima Debenture 2087,54.74,780.30,780.30,780.30,780.30,780.30,10.00,765.00,"7,803.00",1,15.3,0.0,2.0,0.0,0.0,885.79,-,995.00,732.60,2022-12-29
201,SBD87,8.5% Sanima Debenture 2087,54.3,770.00,770.00,760.00,760.00,765.00,400.00,780.30,"306,000.00",2,-20.3,10.0,-2.6,1.32,-0.66,883.93,0.00,950.90,732.60,2023-01-23
202,SBD87,8.5% Sanima Debenture 2087,62.69,750.00,750.00,750.00,750.00,750.00,100.00,760.00,"75,000.00",2,-10.0,0.0,-1.32,0.0,0.0,881.99,0.00,932.00,732.60,2023-01-25
197,SBD87,8.5% Sanima Debenture 2087,60.01,750.00,765.00,750.00,765.00,762.00,50.00,750.00,"38,100.00",3,15.0,15.0,2.0,2.0,0.39,880.20,0.00,932.00,732.60,2023-01-26
205,SBD87,8.5% Sanima Debenture 2087,44.29,765.00,765.00,765.00,765.00,765.00,110.00,765.00,"84,150.00",4,0.0,0.0,0.0,0.0,0.0,878.41,0.00,932.00,732.60,2023-01-29
198,SBD87,8.5% Sanima Debenture 2087,42.42,765.00,765.00,760.00,760.00,761.00,250.00,765.00,"190,250.00",3,-5.0,5.0,-0.65,0.66,-0.13,876.55,0.00,932.00,732.60,2023-01-30
202,SBD87,8.5% Sanima Debenture 2087,48.87,750.10,750.10,750.10,750.10,750.10,100.00,760.00,"75,010.00",1,-9.9,0.0,-1.3,0.0,0.0,874.55,0.00,887.00,732.60,2023-02-26
200,SBD87,8.5% Sanima Debenture 2087,49.46,770.00,785.00,770.00,785.00,778.75,160.00,765.00,"124,600.00",5,20.0,15.0,2.61,1.95,0.8,871.19,912.25,887.00,732.60,2023-03-05
