SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
196,SBI,Nepal SBI Bank Limited,31.09,289.90,290.00,281.50,286.00,283.62,"6,612.00",286.00,"1,875,294.10",35,0.0,8.5,0.0,3.02,0.83,283.37,298.10,422.00,251.00,2022-12-07
196,SBI,Nepal SBI Bank Limited,31.09,289.90,290.00,281.50,286.00,283.62,"6,612.00",286.00,"1,875,294.10",35,0.0,8.5,0.0,3.02,0.83,283.37,298.10,422.00,251.00,2022-12-09
199,SBI,Nepal SBI Bank Limited,32.5,282.10,284.00,277.20,281.00,279.04,"9,412.00",286.00,"2,626,319.00",50,-5.0,6.8,-1.75,2.45,0.7,-,-,422.00,251.00,2022-12-11
196,SBI,Nepal SBI Bank Limited,33.64,278.50,283.50,275.50,283.50,277.32,"14,425.00",281.00,"4,000,269.00",111,2.5,8.0,0.89,2.9,2.18,283.22,297.25,422.00,251.00,2022-12-12
195,SBI,Nepal SBI Bank Limited,37.28,282.00,282.00,277.00,279.00,278.08,"3,600.00",283.50,"1,001,099.10",41,-4.5,5.0,-1.59,1.81,0.33,283.18,296.82,422.00,251.00,2022-12-13
195,SBI,Nepal SBI Bank Limited,29.55,279.00,279.00,274.00,279.00,275.66,"2,204.00",279.00,"607,556.20",23,0.0,5.0,0.0,1.82,1.2,283.22,296.35,422.00,251.00,2022-12-14
204,SBI,Nepal SBI Bank Limited,22.39,275.10,279.00,275.10,278.90,275.99,"4,127.00",279.00,"1,139,005.30",18,-0.1,3.9,-0.04,1.42,1.04,283.23,295.87,422.00,251.00,2022-12-15
198,SBI,Nepal SBI Bank Limited,32.37,275.00,278.00,269.90,278.00,274.54,"6,626.00",278.90,"1,819,107.60",49,-0.9,8.1,-0.32,3.0,1.24,283.27,295.45,422.00,251.00,2022-12-18
199,SBI,Nepal SBI Bank Limited,35.26,280.00,280.00,270.00,272.90,271.35,"17,304.00",278.00,"4,695,390.10",85,-5.1,10.0,-1.83,3.7,0.57,283.27,295.01,422.00,251.00,2022-12-19
202,SBI,Nepal SBI Bank Limited,35.26,271.00,274.00,270.00,272.50,270.68,"14,077.00",272.90,"3,810,370.70",62,-0.4,4.0,-0.15,1.48,0.67,283.23,294.59,422.00,251.00,2022-12-20
199,SBI,Nepal SBI Bank Limited,38.51,273.00,283.00,271.00,279.40,276.48,"4,595.00",272.50,"1,270,447.50",41,6.9,12.0,2.53,4.43,1.04,283.15,294.22,422.00,251.00,2022-12-21
194,SBI,Nepal SBI Bank Limited,37.68,278.00,279.90,275.30,279.50,277.55,"12,591.00",279.40,"3,494,628.00",60,0.1,4.6,0.04,1.67,0.7,283.06,293.85,422.00,251.00,2022-12-22
196,SBI,Nepal SBI Bank Limited,42.3,283.00,287.90,279.00,287.50,284.55,"9,629.00",279.50,"2,739,966.00",50,8.0,8.9,2.86,3.19,1.02,283.04,293.52,422.00,251.00,2022-12-26
207,SBI,Nepal SBI Bank Limited,44.95,287.60,300.00,287.60,296.40,294.62,"59,094.00",287.50,"17,410,415.00",201,8.9,12.40,3.1,4.31,0.6,283.10,293.27,422.00,251.00,2022-12-27
203,SBI,Nepal SBI Bank Limited,49.7,285.00,288.00,282.00,287.30,285.29,"11,295.00",287.77,"3,222,360.60",59,-0.47,6.0,-0.16,2.13,0.7,283.02,292.97,422.00,251.00,2022-12-28
205,SBI,Nepal SBI Bank Limited,49.7,290.50,292.00,280.20,292.00,289.68,"26,096.00",287.30,"7,559,477.50",101,4.7,11.8,1.64,4.21,0.79,283.00,292.68,422.00,251.00,2022-12-29
208,SBI,Nepal SBI Bank Limited,56.35,286.20,312.00,286.20,297.50,301.71,"46,884.00",292.00,"14,145,320.60",89,5.5,25.80,1.88,9.01,-1.41,282.98,292.45,422.00,251.00,2023-01-01
201,SBI,Nepal SBI Bank Limited,56.35,302.90,306.00,295.00,301.50,302.49,"50,746.00",297.50,"15,350,194.90",129,4.0,11.0,1.34,3.73,-0.33,283.01,292.23,422.00,251.00,2023-01-02
205,SBI,Nepal SBI Bank Limited,53.41,301.50,302.00,298.00,299.00,299.85,"14,027.00",301.50,"4,206,019.50",86,-2.5,4.0,-0.83,1.34,-0.28,283.09,292.00,422.00,251.00,2023-01-03
204,SBI,Nepal SBI Bank Limited,55.81,296.10,308.40,295.10,305.00,303.88,"36,837.00",299.00,"11,194,144.00",126,6.0,13.3,2.01,4.51,0.37,283.26,291.80,422.00,251.00,2023-01-04
203,SBI,Nepal SBI Bank Limited,57.62,305.00,308.00,300.10,305.00,304.00,"291,154.00",305.00,"88,510,931.50",93,0.0,7.9,0.0,2.63,0.33,283.47,291.66,422.00,251.00,2023-01-05
205,SBI,Nepal SBI Bank Limited,58.82,300.70,311.00,300.70,304.50,306.29,"44,768.00",305.00,"13,711,896.60",228,-0.50,10.30,-0.16,3.43,-0.59,-,-,422.00,251.00,2023-01-08
203,SBI,Nepal SBI Bank Limited,54.14,305.00,312.00,301.00,312.00,306.32,"45,566.00",304.50,"13,958,003.80",172,7.5,11.0,2.46,3.65,1.82,284.03,291.28,422.00,251.00,2023-01-09
200,SBI,Nepal SBI Bank Limited,58.23,317.90,328.40,312.00,325.00,319.92,"142,916.00",312.00,"45,721,173.70",253,13.0,16.4,4.17,5.26,1.56,284.47,291.25,422.00,251.00,2023-01-10
197,SBI,Nepal SBI Bank Limited,58.26,330.00,330.00,312.00,319.30,316.33,"55,089.00",325.00,"17,426,240.20",135,-5.7,18.0,-1.75,5.77,0.93,284.70,291.19,422.00,251.00,2023-01-12
198,SBI,Nepal SBI Bank Limited,51.42,314.00,323.00,308.00,318.50,316.79,"33,634.00",319.30,"10,654,803.90",108,-0.8,15.0,-0.25,4.87,0.54,284.99,291.16,422.00,251.00,2023-01-17
195,SBI,Nepal SBI Bank Limited,52.03,316.00,322.00,313.10,318.70,314.67,"70,555.00",318.50,"22,201,740.30",98,0.2,8.9,0.06,2.84,1.26,285.29,291.10,422.00,251.00,2023-01-18
194,SBI,Nepal SBI Bank Limited,51.66,314.10,326.40,314.10,326.40,319.37,"40,382.00",318.70,"12,896,979.80",144,7.7,12.3,2.42,3.92,2.15,285.66,291.00,422.00,251.00,2023-01-19
