SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
205,SBIBD86,10% Nepal SBI Bank Debenture 2086,48.55,899.70,899.70,899.70,899.70,899.70,10.00,918.00,"8,997.00",1,-18.3,0.0,-1.99,0.0,0.0,"1,016.98",-,"1,024.50",898.00,2023-01-04
204,SBIBD86,10% Nepal SBI Bank Debenture 2086,54.09,881.80,881.80,881.80,881.80,881.80,170.00,899.70,"149,906.00",6,-17.9,0.0,-1.99,0.0,0.0,"1,015.62",-,"1,010.00",881.80,2023-01-09
196,SBIBD86,10% Nepal SBI Bank Debenture 2086,53.42,880.00,880.00,875.00,875.00,878.33,60.00,881.80,"52,700.00",4,-6.8,5.0,-0.77,0.57,-0.38,"1,014.24",0.00,"1,000.00",875.00,2023-01-18
204,SBIBD86,10% Nepal SBI Bank Debenture 2086,49.37,858.00,858.00,858.00,858.00,858.00,85.00,875.00,"72,930.00",1,-17.0,0.0,-1.94,0.0,0.0,"1,012.77",0.00,"1,000.00",858.00,2023-01-25
202,SBIBD86,10% Nepal SBI Bank Debenture 2086,43.53,851.00,851.00,851.00,851.00,851.00,200.00,858.00,"170,200.00",1,-7.0,0.0,-0.82,0.0,0.0,"1,011.23",0.00,980.00,851.00,2023-02-01
202,SBIBD86,10% Nepal SBI Bank Debenture 2086,48.43,845.00,845.00,845.00,845.00,845.00,25.00,851.00,"21,125.00",1,-6.0,0.0,-0.71,0.0,0.0,"1,009.57",0.00,980.00,845.00,2023-02-02
200,SBIBD86,10% Nepal SBI Bank Debenture 2086,41.86,831.20,831.20,831.20,831.20,831.20,25.00,840.00,"20,780.00",1,-8.80,0.00,-1.05,0.0,0.0,"1,005.99",0.00,960.00,831.20,2023-02-16
204,SBIBD86,10% Nepal SBI Bank Debenture 2086,47.26,825.10,845.00,825.00,845.00,838.44,800.00,831.20,"670,752.60",5,13.8,20.0,1.66,2.42,0.78,"1,004.33",0.00,960.00,825.00,2023-02-26
203,SBIBD86,10% Nepal SBI Bank Debenture 2086,44.04,860.00,860.00,860.00,860.00,860.00,25.00,845.00,"21,500.00",1,15.0,0.0,1.78,0.0,0.0,"1,002.78",0.00,960.00,825.00,2023-03-09
200,SBIBD86,10% Nepal SBI Bank Debenture 2086,50.23,860.00,860.00,860.00,860.00,860.00,"1,000.00",860.00,"860,000.00",2,0.0,0.0,0.0,0.0,0.0,"1,001.28",0.00,960.00,825.00,2023-03-19
204,SBIBD86,10% Nepal SBI Bank Debenture 2086,37.88,842.80,842.80,842.80,842.80,842.80,25.00,860.00,"21,070.00",1,-17.2,0.0,-2.0,0.0,0.0,999.47,0.00,960.00,825.00,2023-04-02
204,SBIBD86,10% Nepal SBI Bank Debenture 2086,43.74,859.60,859.60,859.60,859.60,859.60,25.00,842.80,"21,490.00",1,16.8,0.0,1.99,0.0,0.0,997.80,0.00,960.00,825.00,2023-04-18
209,SBIBD86,10% Nepal SBI Bank Debenture 2086,44.75,876.70,876.70,876.70,876.70,876.70,25.00,859.60,"21,917.50",1,17.10,0.00,1.99,0.0,0.0,996.44,0.00,960.00,825.00,2023-05-22
