SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
198,SBLD2082,10.5% SBL Debenture 2082,26.06,980.40,980.40,980.40,980.40,980.40,50.00,"1,000.40","49,020.00",1,-20.0,0.0,-2.0,0.0,0.0,"1,058.13",-,"1,100.00",980.40,2022-12-13
202,SBLD2082,10.5% SBL Debenture 2082,28.56,961.00,961.00,961.00,961.00,961.00,15.00,980.40,"14,415.00",1,-19.4,0.0,-1.98,0.0,0.0,"1,057.59",-,"1,100.00",961.00,2022-12-21
199,SBLD2082,10.5% SBL Debenture 2082,21.99,941.80,941.80,941.80,941.80,941.80,90.00,961.00,"84,762.00",1,-19.2,0.0,-2.0,0.0,0.0,"1,056.89",-,"1,100.00",941.80,2022-12-26
206,SBLD2082,10.5% SBL Debenture 2082,29.3,941.10,950.00,941.10,950.00,943.64,35.00,941.80,"33,027.50",2,8.2,8.9,0.87,0.95,0.67,"1,056.26",-,"1,100.00",941.10,2022-12-28
206,SBLD2082,10.5% SBL Debenture 2082,42.29,950.10,952.00,950.10,952.00,951.53,40.00,950.00,"38,061.00",2,2.0,1.9,0.21,0.2,0.05,"1,055.65",-,"1,100.00",941.10,2023-01-05
208,SBLD2082,10.5% SBL Debenture 2082,43.49,950.00,950.00,950.00,950.00,950.00,25.00,952.00,"23,750.00",1,-2.00,0.00,-0.21,0.0,0.0,-,-,"1,100.00",941.10,2023-01-08
202,SBLD2082,10.5% SBL Debenture 2082,53.79,955.00,955.00,955.00,955.00,955.00,25.00,950.00,"23,875.00",1,5.0,0.0,0.53,0.0,0.0,"1,054.31",-,"1,100.00",941.10,2023-01-10
196,SBLD2082,10.5% SBL Debenture 2082,53.82,936.00,936.00,936.00,936.00,936.00,15.00,955.00,"14,040.00",1,-19.0,0.0,-1.99,0.0,0.0,"1,053.33",0.00,"1,078.00",936.00,2023-01-19
200,SBLD2082,10.5% SBL Debenture 2082,44.85,920.00,920.00,920.00,920.00,920.00,27.00,936.00,"24,840.00",1,-16.0,0.0,-1.71,0.0,0.0,"1,052.05",0.00,"1,078.00",920.00,2023-01-26
209,SBLD2082,10.5% SBL Debenture 2082,44.49,920.00,920.00,920.00,920.00,920.00,50.00,920.00,"46,000.00",1,0.0,0.0,0.0,0.0,0.0,"1,050.38",0.00,"1,078.00",920.00,2023-01-29
204,SBLD2082,10.5% SBL Debenture 2082,46.58,938.40,938.40,938.40,938.40,938.40,105.00,920.00,"98,532.00",1,18.4,0.0,2.0,0.0,0.0,"1,049.05",0.00,"1,078.00",920.00,2023-01-31
