SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
201,SEF,Siddhartha Equity Fund,33.83,8.02,8.17,8.01,8.17,8.07,"1,200.00",8.02,"9,681.00",8,0.15,0.16,1.87,2.0,1.25,9.03,9.60,11.64,7.81,2022-12-07
201,SEF,Siddhartha Equity Fund,33.83,8.02,8.17,8.01,8.17,8.07,"1,200.00",8.02,"9,681.00",8,0.15,0.16,1.87,2.0,1.25,9.03,9.60,11.64,7.81,2022-12-09
204,SEF,Siddhartha Equity Fund,35.24,8.01,8.01,7.85,7.99,7.92,"12,475.00",8.17,"98,840.25",8,-0.18,0.16,-2.2,2.04,0.84,-,-,11.64,7.81,2022-12-11
203,SEF,Siddhartha Equity Fund,33.71,7.84,7.99,7.84,7.99,7.89,292.00,7.99,"2,304.28",2,0.0,0.15,0.0,1.91,1.23,8.99,9.56,11.64,7.81,2022-12-13
200,SEF,Siddhartha Equity Fund,42.35,7.84,7.84,7.84,7.84,7.84,500.00,7.99,"3,920.00",1,-0.15,0.0,-1.88,0.0,0.0,8.98,9.55,11.64,7.81,2022-12-14
208,SEF,Siddhartha Equity Fund,22.15,7.69,7.69,7.69,7.69,7.69,"1,000.00",7.84,"7,690.00",2,-0.15,0.0,-1.91,0.0,0.0,8.95,9.53,11.64,7.69,2022-12-15
204,SEF,Siddhartha Equity Fund,22.29,7.69,7.69,7.69,7.69,7.69,975.00,7.69,"7,497.75",1,0.0,0.0,0.0,0.0,0.0,8.93,9.52,11.64,7.69,2022-12-18
204,SEF,Siddhartha Equity Fund,32.51,7.70,7.77,7.70,7.76,7.76,"6,000.00",7.69,"46,535.00",4,0.07,0.07,0.91,0.91,0.05,8.91,9.50,11.64,7.69,2022-12-19
209,SEF,Siddhartha Equity Fund,32.51,7.80,7.95,7.80,7.95,7.82,"11,070.00",7.76,"86,521.50",6,0.19,0.15,2.45,1.92,1.69,8.89,9.49,11.64,7.69,2022-12-20
198,SEF,Siddhartha Equity Fund,46.98,7.99,7.99,7.99,7.99,7.99,100.00,7.95,799.00,1,0.04,0.0,0.5,0.0,0.0,8.88,9.47,11.64,7.69,2022-12-22
203,SEF,Siddhartha Equity Fund,38.48,7.90,8.53,7.90,8.53,8.04,"1,300.00",7.99,"10,457.00",7,0.54,0.63,6.76,7.97,5.7,8.86,9.46,11.64,7.69,2022-12-26
213,SEF,Siddhartha Equity Fund,42.21,8.60,8.60,8.60,8.60,8.60,100.00,8.53,860.00,1,0.07,0.00,0.82,0.0,0.0,8.85,9.45,11.64,7.69,2022-12-27
210,SEF,Siddhartha Equity Fund,55.3,8.45,8.75,8.14,8.62,8.40,"35,172.00",8.60,"295,577.08",17,0.02,0.61,0.23,7.49,2.51,8.84,9.43,11.64,7.69,2022-12-28
209,SEF,Siddhartha Equity Fund,55.3,8.79,8.79,8.79,8.79,8.79,100.00,8.62,879.00,1,0.17,0.0,1.97,0.0,0.0,8.83,9.42,11.64,7.69,2022-12-29
213,SEF,Siddhartha Equity Fund,39.68,8.62,8.62,8.21,8.30,8.35,"55,150.00",8.79,"460,497.00",21,-0.49,0.41,-5.57,4.99,-0.6,8.82,9.41,11.64,7.69,2023-01-01
205,SEF,Siddhartha Equity Fund,39.68,8.30,8.32,8.17,8.32,8.29,"13,300.00",8.30,"110,231.00",4,0.02,0.15,0.24,1.84,0.38,8.81,9.39,11.64,7.69,2023-01-02
209,SEF,Siddhartha Equity Fund,36.82,8.48,8.60,8.32,8.32,8.43,"5,600.00",8.32,"47,191.00",7,0.0,0.28,0.0,3.37,-1.29,8.79,9.38,11.64,7.69,2023-01-03
210,SEF,Siddhartha Equity Fund,37.95,8.48,8.60,8.48,8.60,8.59,"2,400.00",8.32,"20,611.00",6,0.28,0.12,3.37,1.42,0.14,8.79,9.37,11.64,7.69,2023-01-04
209,SEF,Siddhartha Equity Fund,60.61,8.43,8.59,8.43,8.43,8.47,"57,780.00",8.60,"489,139.00",16,-0.17,0.16,-1.98,1.9,-0.42,8.78,9.35,11.64,7.69,2023-01-05
211,SEF,Siddhartha Equity Fund,61.81,8.45,8.60,8.45,8.55,8.53,"28,850.00",8.43,"246,042.50",11,0.12,0.15,1.42,1.78,0.25,-,-,11.64,7.69,2023-01-08
209,SEF,Siddhartha Equity Fund,62.16,8.39,9.03,8.39,8.72,8.75,"65,400.00",8.55,"572,047.00",16,0.17,0.64,1.99,7.63,-0.31,8.76,9.33,11.64,7.69,2023-01-09
206,SEF,Siddhartha Equity Fund,57.94,8.89,8.95,8.73,8.90,8.83,"59,680.00",8.72,"526,893.02",19,0.18,0.22,2.06,2.52,0.8,8.76,9.32,11.64,7.69,2023-01-10
203,SEF,Siddhartha Equity Fund,57.97,9.00,9.00,8.70,8.70,8.86,"13,400.00",8.90,"118,785.00",7,-0.2,0.3,-2.25,3.45,-1.89,8.75,9.30,11.64,7.69,2023-01-12
203,SEF,Siddhartha Equity Fund,51.03,8.70,8.85,8.60,8.83,8.71,"12,480.00",8.70,"108,687.40",6,0.13,0.25,1.49,2.91,1.37,8.75,9.29,11.64,7.69,2023-01-17
200,SEF,Siddhartha Equity Fund,51.09,8.83,9.00,8.83,8.99,8.94,"4,800.00",8.83,"42,915.00",3,0.16,0.17,1.81,1.93,0.55,8.74,9.28,11.64,7.69,2023-01-18
199,SEF,Siddhartha Equity Fund,48.09,9.07,9.07,8.80,8.80,8.85,"14,400.00",8.99,"127,437.00",6,-0.19,0.27,-2.11,3.07,-0.57,8.73,9.27,11.64,7.69,2023-01-19
208,SEF,Siddhartha Equity Fund,42.19,8.97,9.32,8.82,8.82,8.97,"4,400.00",8.80,"39,487.00",8,0.02,0.5,0.23,5.67,-1.75,8.72,9.26,11.64,7.69,2023-01-23
199,SEF,Siddhartha Equity Fund,39.92,8.65,8.83,8.65,8.83,8.67,"11,344.00",8.82,"98,340.52",6,0.01,0.18,0.11,2.08,1.82,8.72,9.25,11.62,7.69,2023-01-24
210,SEF,Siddhartha Equity Fund,42.91,8.83,9.00,8.83,9.00,8.84,"6,020.00",8.83,"53,223.40",7,0.17,0.17,1.93,1.93,1.77,8.71,9.24,11.62,7.69,2023-01-25
