SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
204,SGHC,Swet-Ganga Hydropower & Construction Limited,34.42,250.00,256.00,246.00,251.70,250.10,"8,007.00",252.90,"2,002,578.60",169,-1.2,10.0,-0.47,4.07,0.63,-,-,357.00,202.10,2022-12-07
204,SGHC,Swet-Ganga Hydropower & Construction Limited,34.42,250.00,256.00,246.00,251.70,250.10,"8,007.00",252.90,"2,002,578.60",169,-1.2,10.0,-0.47,4.07,0.63,-,-,357.00,202.10,2022-12-09
207,SGHC,Swet-Ganga Hydropower & Construction Limited,35.83,247.00,251.00,240.10,240.10,243.10,"5,012.00",251.70,"1,218,402.00",178,-11.6,10.9,-4.61,4.54,-1.25,-,-,357.00,202.10,2022-12-11
203,SGHC,Swet-Ganga Hydropower & Construction Limited,24.94,235.30,255.00,235.30,250.00,246.89,"3,468.00",240.10,"856,229.00",173,9.9,19.7,4.12,8.37,1.24,-,-,357.00,202.10,2022-12-12
206,SGHC,Swet-Ganga Hydropower & Construction Limited,36.2,245.00,253.50,242.00,251.50,250.05,"2,825.00",250.00,"706,396.00",144,1.5,11.5,0.6,4.75,0.58,-,-,357.00,202.10,2022-12-13
203,SGHC,Swet-Ganga Hydropower & Construction Limited,34.82,246.50,262.00,246.50,260.30,256.35,"17,829.00",251.50,"4,570,416.50",265,8.8,15.5,3.5,6.29,1.52,-,-,357.00,202.10,2022-12-14
211,SGHC,Swet-Ganga Hydropower & Construction Limited,41.81,255.10,263.00,249.00,255.00,252.26,"6,274.00",260.30,"1,582,694.80",214,-5.3,14.0,-2.04,5.62,1.07,-,-,357.00,202.10,2022-12-15
207,SGHC,Swet-Ganga Hydropower & Construction Limited,41.74,250.00,255.30,249.10,255.20,251.18,"6,737.00",255.00,"1,692,195.90",233,0.2,6.2,0.08,2.49,1.58,-,-,357.00,202.10,2022-12-18
207,SGHC,Swet-Ganga Hydropower & Construction Limited,44.11,253.00,265.30,250.20,259.90,256.99,"15,619.00",255.20,"4,013,875.90",228,4.7,15.1,1.84,6.04,1.12,-,-,357.00,202.10,2022-12-19
212,SGHC,Swet-Ganga Hydropower & Construction Limited,44.11,254.90,264.90,254.90,257.00,258.72,"3,389.00",259.90,"876,801.90",199,-2.9,10.0,-1.12,3.92,-0.67,-,-,357.00,202.10,2022-12-20
207,SGHC,Swet-Ganga Hydropower & Construction Limited,33.33,252.00,262.40,251.90,261.10,257.67,"5,745.00",257.00,"1,480,310.50",195,4.1,10.5,1.6,4.17,1.31,-,-,357.00,202.10,2022-12-21
201,SGHC,Swet-Ganga Hydropower & Construction Limited,37.38,255.90,264.00,252.90,259.00,258.43,"10,270.00",261.10,"2,654,126.00",166,-2.1,11.1,-0.8,4.39,0.22,-,-,357.00,202.10,2022-12-22
206,SGHC,Swet-Ganga Hydropower & Construction Limited,38.29,264.00,269.00,255.20,269.00,265.15,"10,636.00",259.00,"2,820,133.60",249,10.0,13.8,3.86,5.41,1.43,-,-,357.00,202.10,2022-12-26
216,SGHC,Swet-Ganga Hydropower & Construction Limited,37.1,263.70,274.30,260.00,274.00,267.68,"22,795.00",269.00,"6,101,778.70",301,5.0,14.30,1.86,5.5,2.31,-,-,357.00,202.10,2022-12-27
213,SGHC,Swet-Ganga Hydropower & Construction Limited,44.24,268.60,275.00,263.20,274.50,268.44,"15,156.00",274.00,"4,068,450.40",207,0.5,11.8,0.18,4.48,2.21,-,-,357.00,202.10,2022-12-28
212,SGHC,Swet-Ganga Hydropower & Construction Limited,44.24,269.10,301.90,264.30,301.90,283.05,"17,270.00",274.50,"4,888,251.20",307,27.4,37.6,9.98,14.23,6.24,-,-,357.00,202.10,2022-12-29
216,SGHC,Swet-Ganga Hydropower & Construction Limited,51.34,307.00,312.10,288.00,303.80,296.96,"23,811.00",301.90,"7,070,959.00",343,1.9,24.10,0.63,8.37,2.25,-,-,357.00,202.10,2023-01-01
208,SGHC,Swet-Ganga Hydropower & Construction Limited,51.34,309.80,309.80,286.00,298.10,298.69,"14,403.00",303.80,"4,302,101.00",310,-5.7,23.8,-1.88,8.32,-0.2,-,-,357.00,202.10,2023-01-02
212,SGHC,Swet-Ganga Hydropower & Construction Limited,53.17,304.00,327.90,294.00,327.90,306.16,"30,377.00",298.10,"9,300,190.90",506,29.8,33.9,10.0,11.53,6.63,-,-,357.00,202.10,2023-01-03
213,SGHC,Swet-Ganga Hydropower & Construction Limited,61.21,334.40,335.50,306.10,335.50,323.73,"22,361.00",327.90,"7,238,916.00",539,7.6,29.4,2.32,9.6,3.51,-,-,357.00,202.10,2023-01-04
212,SGHC,Swet-Ganga Hydropower & Construction Limited,57.76,341.00,361.70,327.60,361.70,338.86,"33,104.00",335.50,"11,217,721.40",543,26.2,34.1,7.81,10.41,6.31,-,-,361.70,202.10,2023-01-05
214,SGHC,Swet-Ganga Hydropower & Construction Limited,58.96,354.50,358.00,341.00,354.00,351.08,"19,672.00",361.70,"6,906,352.30",431,-7.70,17.00,-2.13,4.99,0.83,-,-,361.70,202.10,2023-01-08
212,SGHC,Swet-Ganga Hydropower & Construction Limited,55.36,347.00,372.30,335.00,372.30,353.29,"33,028.00",354.00,"11,668,542.80",570,18.3,37.3,5.17,11.13,5.11,-,-,372.30,202.10,2023-01-09
209,SGHC,Swet-Ganga Hydropower & Construction Limited,53.41,372.00,380.00,340.00,370.00,365.47,"30,719.00",372.30,"11,226,934.30",598,-2.3,40.0,-0.62,11.76,1.22,-,-,380.00,202.10,2023-01-10
206,SGHC,Swet-Ganga Hydropower & Construction Limited,53.43,363.00,364.00,337.10,344.70,346.78,"40,329.00",370.00,"13,985,185.40",501,-25.3,26.9,-6.84,7.98,-0.6,-,-,380.00,202.10,2023-01-12
206,SGHC,Swet-Ganga Hydropower & Construction Limited,48.39,337.90,362.00,324.00,359.80,349.33,"36,293.00",344.70,"12,678,159.60",649,15.1,38.0,4.38,11.73,2.91,0.00,0.00,380.00,202.10,2023-01-17
203,SGHC,Swet-Ganga Hydropower & Construction Limited,50.98,366.90,374.00,356.00,367.20,364.19,"40,165.00",359.80,"14,627,694.20",602,7.4,18.0,2.06,5.06,0.82,0.00,0.00,380.00,202.10,2023-01-18
202,SGHC,Swet-Ganga Hydropower & Construction Limited,49.38,367.20,390.60,361.00,389.60,380.95,"57,900.00",367.20,"22,057,139.60",962,22.4,29.6,6.1,8.2,2.22,0.00,0.00,390.60,202.10,2023-01-19
