SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
212,SGIC,Sanima GIC Insurance Limited,0.0,374.80,404.20,374.80,404.20,403.49,"1,330.00",367.50,"536,641.00",90,36.7,29.4,9.99,7.84,0.18,0.00,0.00,404.20,374.80,2023-01-23
203,SGIC,Sanima GIC Insurance Limited,48.22,412.20,444.60,412.20,444.60,443.78,"1,740.00",404.20,"772,175.00",69,40.4,32.4,10.0,7.86,0.18,0.00,0.00,444.60,374.80,2023-01-24
214,SGIC,Sanima GIC Insurance Limited,57.87,436.10,489.00,436.10,489.00,488.85,"44,755.00",444.60,"21,878,498.00",328,44.4,52.9,9.99,12.13,0.03,0.00,0.00,489.00,374.80,2023-01-25
207,SGIC,Sanima GIC Insurance Limited,65.55,498.70,537.90,492.00,495.00,500.69,"63,167.00",489.00,"31,627,247.00",802,6.0,45.9,1.23,9.33,-1.15,0.00,0.00,537.90,374.80,2023-01-26
219,SGIC,Sanima GIC Insurance Limited,64.5,485.10,514.00,476.00,498.00,493.69,"23,218.00",495.00,"11,462,529.50",425,3.0,38.0,0.61,7.98,0.87,0.00,0.00,537.90,374.80,2023-01-29
208,SGIC,Sanima GIC Insurance Limited,60.72,507.90,507.90,473.00,477.00,484.63,"14,178.00",498.00,"6,871,107.70",322,-21.0,34.9,-4.22,7.38,-1.6,0.00,0.00,537.90,374.80,2023-01-30
211,SGIC,Sanima GIC Insurance Limited,52.44,467.50,492.50,459.00,469.90,472.86,"16,773.00",477.00,"7,931,206.20",282,-7.1,33.5,-1.49,7.3,-0.63,0.00,0.00,537.90,374.80,2023-01-31
212,SGIC,Sanima GIC Insurance Limited,41.47,475.00,493.60,467.50,493.00,487.02,"28,218.00",469.90,"13,742,595.70",400,23.1,26.1,4.92,5.58,1.21,0.00,0.00,537.90,374.80,2023-02-01
210,SGIC,Sanima GIC Insurance Limited,48.82,500.00,502.80,484.00,488.00,496.44,"32,515.00",493.00,"16,141,878.80",388,-5.0,18.8,-1.01,3.88,-1.73,0.00,0.00,537.90,374.80,2023-02-02
211,SGIC,Sanima GIC Insurance Limited,42.43,487.00,495.00,479.00,485.00,485.24,"11,668.00",488.00,"5,661,837.10",245,-3.0,16.0,-0.61,3.34,-0.05,0.00,0.00,537.90,374.80,2023-02-05
212,SGIC,Sanima GIC Insurance Limited,43.21,494.00,513.80,488.00,499.90,496.48,"20,657.00",484.90,"10,255,740.90",375,15.0,25.8,3.09,5.29,0.68,0.00,0.00,537.90,374.80,2023-02-07
209,SGIC,Sanima GIC Insurance Limited,48.51,495.00,500.00,490.00,496.00,495.45,"5,463.00",503.90,"2,706,662.90",157,-7.9,10.0,-1.57,2.04,0.11,0.00,0.00,537.90,374.80,2023-02-09
206,SGIC,Sanima GIC Insurance Limited,36.29,500.00,500.00,475.90,485.00,485.61,"14,627.00",496.00,"7,103,010.20",239,-11.0,24.1,-2.22,5.06,-0.13,0.00,0.00,537.90,374.80,2023-02-12
208,SGIC,Sanima GIC Insurance Limited,30.52,481.00,485.00,471.40,479.20,478.41,"9,992.00",485.00,"4,780,320.00",203,-5.80,13.6,-1.2,2.89,0.16,0.00,0.00,537.90,374.80,2023-02-14
207,SGIC,Sanima GIC Insurance Limited,32.11,465.00,470.00,461.10,463.00,466.33,"9,279.00",473.00,"4,327,035.80",207,-10.00,8.90,-2.11,1.93,-0.72,0.00,0.00,537.90,374.80,2023-02-16
210,SGIC,Sanima GIC Insurance Limited,31.63,455.00,471.80,446.10,455.00,452.73,"19,162.00",463.00,"8,675,259.80",356,-8.0,25.7,-1.73,5.76,0.5,0.00,0.00,537.90,374.80,2023-02-20
221,SGIC,Sanima GIC Insurance Limited,31.05,446.50,479.00,446.50,474.90,470.17,"7,523.00",455.00,"3,537,106.50",233,19.9,32.5,4.37,7.28,1.0,0.00,0.00,537.90,374.80,2023-02-22
212,SGIC,Sanima GIC Insurance Limited,28.5,468.00,470.00,451.00,465.00,463.15,"10,270.00",474.90,"4,756,579.70",161,-9.9,19.0,-2.08,4.21,0.4,0.00,0.00,537.90,374.80,2023-02-23
213,SGIC,Sanima GIC Insurance Limited,35.06,455.70,471.00,438.00,471.00,454.83,"6,881.00",465.00,"3,129,676.70",197,6.0,33.0,1.29,7.53,3.43,0.00,0.00,537.90,374.80,2023-02-26
212,SGIC,Sanima GIC Insurance Limited,28.01,460.10,472.00,460.00,463.00,465.17,"2,253.00",466.00,"1,048,032.50",100,-3.0,12.0,-0.64,2.61,-0.47,0.00,0.00,537.90,374.80,2023-02-28
208,SGIC,Sanima GIC Insurance Limited,34.41,458.00,467.00,454.00,454.00,459.24,"5,801.00",463.00,"2,664,022.90",131,-9.00,13.00,-1.94,2.86,-1.15,0.00,0.00,537.90,374.80,2023-03-01
206,SGIC,Sanima GIC Insurance Limited,23.19,446.10,454.00,446.10,453.90,449.94,"4,848.00",454.00,"2,181,328.50",102,-0.1,7.9,-0.02,1.77,0.87,0.00,0.00,537.90,374.80,2023-03-02
208,SGIC,Sanima GIC Insurance Limited,26.82,445.30,459.10,445.30,459.00,450.03,"5,120.00",453.90,"2,304,151.50",136,5.1,13.8,1.12,3.1,1.95,0.00,0.00,537.90,374.80,2023-03-05
211,SGIC,Sanima GIC Insurance Limited,35.23,450.00,461.00,442.00,459.00,454.85,"4,195.00",459.00,"1,908,109.00",109,0.0,19.0,0.0,4.3,0.9,0.00,0.00,537.90,374.80,2023-03-07
211,SGIC,Sanima GIC Insurance Limited,45.48,468.10,468.10,452.10,468.00,462.87,"7,278.00",459.00,"3,368,778.50",152,9.0,16.0,1.96,3.54,1.1,0.00,0.00,537.90,374.80,2023-03-09
210,SGIC,Sanima GIC Insurance Limited,38.77,471.00,475.00,455.10,456.00,462.44,"6,134.00",468.00,"2,836,584.00",120,-12.0,19.9,-2.56,4.37,-1.41,0.00,0.00,537.90,374.80,2023-03-12
206,SGIC,Sanima GIC Insurance Limited,33.65,450.00,467.00,450.00,455.00,459.28,"2,543.00",455.00,"1,167,952.00",118,0.0,17.0,0.0,3.78,-0.94,0.00,0.00,537.90,374.80,2023-03-14
204,SGIC,Sanima GIC Insurance Limited,33.64,448.00,462.00,448.00,457.20,457.29,"5,079.00",455.00,"2,322,596.50",119,2.20,14.0,0.48,3.13,-0.02,0.00,0.00,537.90,374.80,2023-03-15
208,SGIC,Sanima GIC Insurance Limited,42.41,450.00,462.00,450.00,458.00,457.35,"4,615.00",457.20,"2,110,671.90",107,0.8,12.0,0.17,2.67,0.14,0.00,0.00,537.90,374.80,2023-03-16
210,SGIC,Sanima GIC Insurance Limited,35.56,451.00,457.50,451.00,454.00,454.05,"2,447.00",458.00,"1,111,053.00",130,-4.0,6.5,-0.87,1.44,-0.01,0.00,0.00,537.90,374.80,2023-03-19
209,SGIC,Sanima GIC Insurance Limited,42.76,450.20,463.00,450.20,463.00,457.96,"3,560.00",454.00,"1,630,337.60",132,9.0,12.8,1.98,2.84,1.09,0.00,0.00,537.90,374.80,2023-03-20
217,SGIC,Sanima GIC Insurance Limited,39.01,456.00,466.30,455.00,456.00,458.45,"5,825.00",463.00,"2,670,456.50",108,-7.0,11.3,-1.51,2.48,-0.54,0.00,0.00,537.90,374.80,2023-03-22
212,SGIC,Sanima GIC Insurance Limited,39.01,450.10,459.00,449.00,451.00,451.01,"6,485.00",456.00,"2,924,820.00",105,-5.0,10.0,-1.1,2.23,0.0,-,-,537.90,374.80,2023-03-23
209,SGIC,Sanima GIC Insurance Limited,36.76,442.00,455.00,442.00,451.00,451.68,"4,466.00",449.00,"2,017,218.10",98,2.0,13.0,0.45,2.94,-0.15,0.00,0.00,537.90,374.80,2023-03-28
