SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
207,SHIVM,Shivam Cements Limited,37.68,586.00,586.00,550.00,551.80,564.13,"245,607.00",580.00,"138,554,314.90","1,837",-28.2,36.0,-4.86,6.55,-2.23,690.34,770.29,"1,671.80",550.00,2022-12-07
207,SHIVM,Shivam Cements Limited,37.68,586.00,586.00,550.00,551.80,564.13,"245,607.00",580.00,"138,554,314.90","1,837",-28.2,36.0,-4.86,6.55,-2.23,690.34,770.29,"1,671.80",550.00,2022-12-09
210,SHIVM,Shivam Cements Limited,39.09,552.00,559.00,529.00,529.30,537.12,"203,620.00",551.80,"109,367,926.10","1,745",-22.5,30.0,-4.08,5.67,-1.48,-,-,"1,671.80",529.00,2022-12-11
206,SHIVM,Shivam Cements Limited,35.33,532.20,553.90,529.00,553.90,537.17,"115,751.00",529.30,"62,177,415.30",909,24.6,24.9,4.65,4.71,3.02,687.76,763.04,"1,671.80",529.00,2022-12-12
209,SHIVM,Shivam Cements Limited,38.15,554.00,554.00,542.00,546.00,548.66,"50,514.00",553.90,"27,714,902.00",395,-7.9,12.0,-1.43,2.21,-0.49,686.66,759.60,"1,671.80",529.00,2022-12-13
206,SHIVM,Shivam Cements Limited,28.94,547.00,552.00,543.00,546.00,547.72,"40,012.00",546.00,"21,915,561.40",364,0.0,9.0,0.0,1.66,-0.32,685.65,756.19,"1,671.80",529.00,2022-12-14
214,SHIVM,Shivam Cements Limited,31.8,536.00,536.00,516.00,520.00,523.91,"177,795.00",546.00,"93,149,375.40","1,364",-26.0,20.0,-4.76,3.88,-0.75,684.24,752.58,"1,671.80",516.00,2022-12-15
210,SHIVM,Shivam Cements Limited,37.16,530.40,530.40,509.60,513.60,515.84,"65,694.00",520.00,"33,887,715.90",524,-6.4,20.8,-1.23,4.08,-0.44,682.83,749.03,"1,671.80",509.60,2022-12-18
210,SHIVM,Shivam Cements Limited,26.25,513.00,523.10,510.00,518.00,518.13,"27,393.00",513.60,"14,193,226.80",305,4.4,13.1,0.86,2.57,-0.03,681.55,745.72,"1,671.80",509.60,2022-12-19
215,SHIVM,Shivam Cements Limited,26.25,518.00,525.00,512.00,518.00,518.68,"52,735.00",518.00,"27,352,349.30",415,0.0,13.0,0.0,2.54,-0.13,680.13,742.64,"1,671.80",509.60,2022-12-20
210,SHIVM,Shivam Cements Limited,29.44,512.59,518.00,501.80,503.10,507.93,"75,950.00",518.00,"38,576,996.00",745,-14.9,16.2,-2.88,3.23,-0.96,678.34,739.61,"1,671.80",501.80,2022-12-21
205,SHIVM,Shivam Cements Limited,32.04,505.00,505.00,490.00,490.60,494.28,"80,916.00",503.10,"39,995,485.00",818,-12.5,15.0,-2.48,3.06,-0.75,676.68,736.52,"1,671.80",490.00,2022-12-22
209,SHIVM,Shivam Cements Limited,31.45,500.00,520.10,498.00,520.00,511.49,"90,792.00",490.60,"46,439,245.80",809,29.4,22.1,5.99,4.44,1.64,675.24,733.41,"1,671.80",490.00,2022-12-26
219,SHIVM,Shivam Cements Limited,38.47,530.00,545.00,528.00,533.00,536.10,"156,839.00",520.00,"84,080,986.10","1,194",13.0,17.00,2.5,3.22,-0.58,673.81,730.50,"1,671.80",490.00,2022-12-27
216,SHIVM,Shivam Cements Limited,48.66,533.00,538.50,522.60,526.00,529.93,"89,609.00",533.00,"47,486,400.90",643,-7.0,15.9,-1.31,3.04,-0.75,671.74,727.59,"1,671.80",490.00,2022-12-28
215,SHIVM,Shivam Cements Limited,48.66,521.00,555.90,521.00,553.00,541.73,"113,778.00",526.00,"61,636,632.50",765,27.0,34.9,5.13,6.7,2.04,669.95,724.83,"1,671.80",490.00,2022-12-29
219,SHIVM,Shivam Cements Limited,52.79,564.00,572.00,544.00,550.00,558.54,"158,261.00",553.00,"88,395,768.70","1,217",-3.0,28.00,-0.54,5.15,-1.55,667.62,722.10,"1,671.80",490.00,2023-01-01
211,SHIVM,Shivam Cements Limited,52.79,550.00,560.00,542.00,557.00,553.48,"62,782.00",550.00,"34,748,478.60",529,7.0,18.0,1.27,3.32,0.63,665.37,719.34,"1,671.80",490.00,2023-01-02
215,SHIVM,Shivam Cements Limited,50.18,559.90,572.00,551.10,562.00,559.16,"169,743.00",557.00,"94,912,814.90","1,022",5.0,20.9,0.9,3.79,0.51,663.53,716.57,"1,671.80",490.00,2023-01-03
216,SHIVM,Shivam Cements Limited,58.26,562.00,576.00,554.10,569.00,567.81,"144,752.00",562.00,"82,192,256.10",854,7.0,21.9,1.25,3.95,0.21,661.65,714.03,"1,671.80",490.00,2023-01-04
