SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
208,SHL,Soaltee Hotel Limited,34.84,218.00,219.00,216.00,216.00,216.70,"13,400.00",216.70,"2,903,718.00",46,-0.7,3.0,-0.32,1.39,-0.32,209.04,212.84,252.60,186.70,2022-12-07
208,SHL,Soaltee Hotel Limited,34.84,218.00,219.00,216.00,216.00,216.70,"13,400.00",216.70,"2,903,718.00",46,-0.7,3.0,-0.32,1.39,-0.32,209.04,212.84,252.60,186.70,2022-12-09
211,SHL,Soaltee Hotel Limited,36.25,215.00,216.80,213.00,215.00,214.71,"25,656.00",216.00,"5,508,500.30",49,-1.0,3.8,-0.46,1.78,0.14,-,-,252.60,186.70,2022-12-11
207,SHL,Soaltee Hotel Limited,33.0,217.00,217.00,214.00,216.90,215.29,"18,262.00",215.00,"3,931,652.20",44,1.9,3.0,0.88,1.4,0.74,209.29,212.61,252.60,186.70,2022-12-12
210,SHL,Soaltee Hotel Limited,33.31,216.00,218.00,215.00,218.00,217.19,"13,589.00",216.90,"2,951,444.50",49,1.1,3.0,0.51,1.4,0.37,209.47,212.51,252.60,186.70,2022-12-13
207,SHL,Soaltee Hotel Limited,35.46,218.10,222.20,218.00,221.00,220.08,"31,896.00",218.00,"7,019,634.30",77,3.0,4.2,1.38,1.93,0.42,209.71,212.45,252.60,186.70,2022-12-14
215,SHL,Soaltee Hotel Limited,42.07,219.00,221.00,218.00,220.10,219.55,"19,521.00",221.00,"4,285,817.60",73,-0.9,3.0,-0.41,1.38,0.25,209.90,212.36,252.60,186.70,2022-12-15
211,SHL,Soaltee Hotel Limited,39.68,220.00,221.00,217.00,218.00,218.44,"37,964.00",220.10,"8,292,802.60",90,-2.1,4.0,-0.95,1.84,-0.2,210.10,212.26,252.60,186.70,2022-12-18
211,SHL,Soaltee Hotel Limited,36.75,219.00,220.10,218.00,219.00,219.61,"27,947.00",218.00,"6,137,479.30",89,1.0,2.1,0.46,0.96,-0.28,210.35,212.19,252.60,186.70,2022-12-19
216,SHL,Soaltee Hotel Limited,36.75,219.10,228.00,219.10,225.80,224.78,"68,695.00",219.00,"15,441,494.40",150,6.8,8.9,3.11,4.06,0.45,210.64,212.20,252.60,186.70,2022-12-20
211,SHL,Soaltee Hotel Limited,45.32,227.00,230.50,225.20,226.00,226.70,"145,753.00",225.80,"33,042,721.20",379,0.2,5.3,0.09,2.35,-0.31,210.83,212.21,252.60,186.70,2022-12-21
206,SHL,Soaltee Hotel Limited,45.59,211.00,211.00,200.10,205.00,205.04,"45,923.00",215.24,"9,415,875.80",134,-10.24,10.9,-4.76,5.45,-0.02,210.90,212.09,252.60,186.70,2022-12-22
210,SHL,Soaltee Hotel Limited,28.88,208.00,212.10,203.90,207.50,206.14,"67,409.00",205.00,"13,895,935.70",126,2.5,8.2,1.22,4.02,0.65,211.01,211.94,252.60,186.70,2022-12-26
220,SHL,Soaltee Hotel Limited,32.18,209.00,219.00,207.00,213.50,211.86,"46,844.00",207.50,"9,924,430.40",144,6.0,12.00,2.89,5.8,0.77,211.09,211.86,252.60,186.70,2022-12-27
217,SHL,Soaltee Hotel Limited,32.6,212.00,215.00,210.70,210.70,212.67,"27,621.00",213.50,"5,874,120.00",62,-2.8,4.3,-1.31,2.04,-0.93,211.07,211.78,252.60,186.70,2022-12-28
216,SHL,Soaltee Hotel Limited,32.6,208.00,220.00,208.00,216.50,217.26,"35,944.00",210.70,"7,809,131.30",89,5.8,12.0,2.75,5.77,-0.35,211.11,211.74,252.60,186.70,2022-12-29
220,SHL,Soaltee Hotel Limited,51.18,217.00,218.90,213.00,214.00,215.32,"39,627.00",216.50,"8,532,327.80",91,-2.5,5.90,-1.15,2.77,-0.61,211.10,211.66,252.60,186.70,2023-01-01
212,SHL,Soaltee Hotel Limited,51.18,214.00,216.80,212.20,214.70,214.76,"16,700.00",214.00,"3,586,554.80",62,0.7,4.6,0.33,2.17,-0.03,211.12,211.54,252.60,186.70,2023-01-02
216,SHL,Soaltee Hotel Limited,49.27,218.80,227.00,215.20,220.30,222.85,"84,182.00",214.70,"18,760,003.40",202,5.6,11.8,2.61,5.48,-1.16,211.22,211.45,252.60,186.70,2023-01-03
217,SHL,Soaltee Hotel Limited,58.68,221.00,223.90,215.30,223.00,220.51,"27,977.00",220.30,"6,169,118.10",89,2.7,8.6,1.23,3.99,1.12,211.35,211.43,252.60,186.70,2023-01-04
216,SHL,Soaltee Hotel Limited,62.34,225.00,234.90,221.00,233.00,226.75,"98,676.00",223.00,"22,374,873.20",244,10.0,13.9,4.48,6.29,2.68,211.59,211.45,252.60,186.70,2023-01-05
218,SHL,Soaltee Hotel Limited,63.54,230.00,239.50,228.00,237.70,234.40,"85,874.00",233.00,"20,129,139.90",250,4.70,11.50,2.02,5.04,1.39,-,-,252.60,186.70,2023-01-08
216,SHL,Soaltee Hotel Limited,60.25,239.50,239.50,231.50,235.00,234.97,"50,277.00",237.70,"11,813,700.50",164,-2.7,8.0,-1.14,3.46,0.01,212.25,211.55,252.60,186.70,2023-01-09
213,SHL,Soaltee Hotel Limited,58.19,239.70,239.70,227.10,227.10,234.15,"115,889.00",235.00,"27,135,407.20",274,-7.9,12.6,-3.36,5.55,-3.1,212.48,211.58,252.60,186.70,2023-01-10
210,SHL,Soaltee Hotel Limited,58.22,231.60,231.60,219.00,222.00,223.42,"61,729.00",227.10,"13,791,570.40",190,-5.1,12.6,-2.25,5.75,-0.64,212.64,211.56,252.60,186.70,2023-01-12
210,SHL,Soaltee Hotel Limited,43.36,217.60,230.80,217.60,229.90,226.78,"45,224.00",222.00,"10,255,732.20",151,7.9,13.2,3.56,6.07,1.36,212.86,211.62,252.60,186.70,2023-01-17
207,SHL,Soaltee Hotel Limited,42.05,234.00,235.50,225.40,228.50,231.43,"62,701.00",229.90,"14,510,580.00",163,-1.4,10.1,-0.61,4.48,-1.28,213.08,211.67,252.60,186.70,2023-01-18
206,SHL,Soaltee Hotel Limited,42.87,230.00,231.90,226.10,227.00,228.34,"22,499.00",228.50,"5,137,491.80",71,-1.5,5.8,-0.66,2.57,-0.59,213.29,211.67,252.60,186.70,2023-01-19
216,SHL,Soaltee Hotel Limited,41.15,231.00,231.00,224.00,224.20,227.76,"32,811.00",227.00,"7,472,876.00",92,-2.8,7.0,-1.23,3.13,-1.59,213.41,211.65,252.60,186.70,2023-01-23
207,SHL,Soaltee Hotel Limited,48.29,220.10,229.50,220.10,229.50,225.25,"21,270.00",224.20,"4,791,072.20",65,5.3,9.4,2.36,4.27,1.85,213.56,211.65,252.60,186.70,2023-01-24
218,SHL,Soaltee Hotel Limited,38.53,226.00,234.50,226.00,231.50,232.35,"46,413.00",229.50,"10,784,093.10",122,2.0,8.5,0.87,3.76,-0.37,213.74,211.66,252.60,186.70,2023-01-25
211,SHL,Soaltee Hotel Limited,54.6,235.50,235.50,230.30,233.00,233.22,"36,977.00",231.50,"8,623,769.80",104,1.5,5.2,0.65,2.26,-0.09,213.94,211.69,252.60,186.70,2023-01-26
223,SHL,Soaltee Hotel Limited,47.07,230.00,235.00,225.40,233.90,232.07,"29,133.00",233.00,"6,760,837.90",102,0.9,9.6,0.39,4.26,0.78,214.16,211.78,252.60,186.70,2023-01-29
212,SHL,Soaltee Hotel Limited,47.9,235.00,235.90,226.00,226.00,230.10,"38,767.00",233.90,"8,920,341.90",112,-7.9,9.9,-3.38,4.38,-1.81,214.29,211.85,252.60,186.70,2023-01-30
215,SHL,Soaltee Hotel Limited,38.24,225.30,227.00,221.70,223.00,223.36,"48,001.00",226.00,"10,721,665.50",83,-3.0,5.3,-1.33,2.39,-0.16,214.33,211.91,252.60,186.70,2023-01-31
216,SHL,Soaltee Hotel Limited,37.84,223.00,230.80,221.50,229.90,229.33,"29,472.00",223.00,"6,758,815.70",106,6.9,9.3,3.09,4.2,0.25,214.48,211.97,252.60,186.70,2023-02-01
214,SHL,Soaltee Hotel Limited,37.92,225.60,229.60,223.00,224.00,225.34,"14,396.00",229.90,"3,244,007.70",44,-5.9,6.6,-2.57,2.96,-0.6,214.58,212.01,252.60,186.70,2023-02-02
215,SHL,Soaltee Hotel Limited,38.6,224.00,231.80,224.00,227.00,226.20,"26,776.00",224.00,"6,056,845.00",50,3.0,7.8,1.34,3.48,0.35,214.65,212.05,252.60,186.70,2023-02-05
216,SHL,Soaltee Hotel Limited,46.31,228.00,234.60,228.00,234.00,232.14,"58,890.00",228.90,"13,670,734.30",198,5.1,6.6,2.23,2.89,0.79,214.58,212.14,252.60,186.70,2023-02-07
213,SHL,Soaltee Hotel Limited,58.09,232.00,234.00,229.00,232.40,230.38,"30,918.00",232.00,"7,122,801.40",55,0.4,5.0,0.17,2.18,0.87,214.60,212.29,252.60,186.70,2023-02-09
210,SHL,Soaltee Hotel Limited,47.22,229.00,233.90,224.30,229.00,228.88,"46,338.00",232.40,"10,605,620.00",117,-3.4,9.6,-1.46,4.28,0.05,214.60,212.36,252.60,186.70,2023-02-12
212,SHL,Soaltee Hotel Limited,30.26,226.30,230.00,226.30,227.00,227.95,"14,868.00",229.00,"3,389,131.00",56,-2.00,3.7,-0.87,1.63,-0.42,214.66,212.41,252.60,186.70,2023-02-14
