SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
210,SICL,Shikhar Insurance Company Limited,36.6,795.00,795.00,770.00,777.00,779.42,"4,920.00",780.00,"3,834,728.90",89,-3.0,25.0,-0.38,3.25,-0.31,784.41,898.32,"2,157.00",690.10,2022-12-07
210,SICL,Shikhar Insurance Company Limited,36.6,795.00,795.00,770.00,777.00,779.42,"4,920.00",780.00,"3,834,728.90",89,-3.0,25.0,-0.38,3.25,-0.31,784.41,898.32,"2,157.00",690.10,2022-12-09
213,SICL,Shikhar Insurance Company Limited,38.02,772.00,775.00,745.00,755.00,759.81,"9,741.00",777.00,"7,401,294.40",159,-22.0,30.0,-2.83,4.03,-0.64,-,-,"2,157.00",690.10,2022-12-11
209,SICL,Shikhar Insurance Company Limited,33.12,741.00,765.00,741.00,765.00,758.31,"2,921.00",755.00,"2,215,026.60",59,10.0,24.0,1.32,3.24,0.87,784.26,891.13,"2,157.00",690.10,2022-12-12
212,SICL,Shikhar Insurance Company Limited,30.35,765.00,777.70,764.00,768.10,769.60,"2,431.00",765.00,"1,870,901.20",44,3.1,13.7,0.41,1.79,-0.2,784.32,887.65,"2,157.00",690.10,2022-12-13
209,SICL,Shikhar Insurance Company Limited,27.13,780.00,780.00,760.00,770.00,764.30,"3,257.00",768.10,"2,489,320.60",80,1.9,20.0,0.25,2.63,0.74,784.61,884.18,"2,157.00",690.10,2022-12-14
217,SICL,Shikhar Insurance Company Limited,27.32,770.00,770.00,759.00,759.00,761.18,"2,038.00",770.00,"1,551,276.90",53,-11.0,11.0,-1.43,1.45,-0.29,784.72,880.63,"2,157.00",690.10,2022-12-15
213,SICL,Shikhar Insurance Company Limited,30.65,774.10,789.00,755.00,765.00,760.82,"9,989.00",759.00,"7,599,873.40",167,6.0,34.0,0.79,4.5,0.55,784.97,877.13,"2,157.00",690.10,2022-12-18
213,SICL,Shikhar Insurance Company Limited,30.92,758.00,763.00,749.70,753.20,755.54,"11,344.00",765.00,"8,570,837.90",149,-11.8,13.3,-1.54,1.77,-0.31,785.31,873.64,"2,157.00",690.10,2022-12-19
219,SICL,Shikhar Insurance Company Limited,30.92,763.80,765.00,755.00,763.10,762.54,"7,732.00",753.20,"5,895,946.60",98,9.9,10.0,1.31,1.32,0.07,785.69,870.32,"2,157.00",690.10,2022-12-20
214,SICL,Shikhar Insurance Company Limited,30.45,763.00,767.90,758.00,758.00,764.07,"5,855.00",763.10,"4,473,629.60",98,-5.1,9.9,-0.67,1.31,-0.8,785.68,867.14,"2,157.00",690.10,2022-12-21
209,SICL,Shikhar Insurance Company Limited,37.75,765.00,765.00,755.00,758.00,757.39,"9,286.00",758.00,"7,033,142.90",96,0.0,10.0,0.0,1.32,0.08,785.66,864.04,"2,157.00",690.10,2022-12-22
213,SICL,Shikhar Insurance Company Limited,29.2,773.10,790.00,769.00,789.00,780.37,"16,105.00",758.00,"12,567,795.60",198,31.0,21.0,4.09,2.73,1.09,786.05,861.07,"2,157.00",690.10,2022-12-26
