SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
214,SIL,Siddhartha Insurance Limited,23.29,508.90,508.90,493.00,498.70,497.25,782.00,499.00,"388,852.00",23,-0.3,15.9,-0.06,3.23,0.29,767.31,814.16,"1,111.00",493.00,2022-12-07
214,SIL,Siddhartha Insurance Limited,23.29,508.90,508.90,493.00,498.70,497.25,782.00,499.00,"388,852.00",23,-0.3,15.9,-0.06,3.23,0.29,767.31,814.16,"1,111.00",493.00,2022-12-09
217,SIL,Siddhartha Insurance Limited,24.7,493.60,497.00,484.00,485.00,487.34,"3,497.00",498.70,"1,704,230.30",48,-13.7,13.0,-2.75,2.69,-0.48,-,-,"1,111.00",484.00,2022-12-11
213,SIL,Siddhartha Insurance Limited,32.51,480.00,488.00,475.50,479.10,480.56,"4,579.00",485.00,"2,200,506.20",40,-5.9,12.5,-1.22,2.63,-0.31,759.19,809.71,"1,111.00",475.50,2022-12-12
216,SIL,Siddhartha Insurance Limited,37.01,470.00,498.30,470.00,485.00,486.33,375.00,479.10,"182,372.00",14,5.9,28.3,1.23,6.02,-0.27,755.27,807.36,"1,111.00",470.00,2022-12-13
212,SIL,Siddhartha Insurance Limited,29.76,485.00,493.00,485.00,493.00,487.35,415.00,485.00,"202,251.30",10,8.0,8.0,1.65,1.65,1.15,751.38,805.01,"1,111.00",470.00,2022-12-14
221,SIL,Siddhartha Insurance Limited,30.95,483.30,493.00,483.30,493.00,490.76,"2,430.00",493.00,"1,192,538.50",26,0.0,9.7,0.0,2.01,0.46,747.22,802.37,"1,111.00",470.00,2022-12-15
217,SIL,Siddhartha Insurance Limited,39.96,483.20,492.00,476.10,476.10,481.60,"7,211.00",493.00,"3,472,849.40",39,-16.9,15.9,-3.43,3.34,-1.16,742.96,799.59,"1,111.00",470.00,2022-12-18
217,SIL,Siddhartha Insurance Limited,34.7,472.00,485.60,472.00,481.00,480.76,"1,052.00",476.10,"505,763.00",12,4.9,13.6,1.03,2.88,0.05,738.72,796.76,"1,111.00",470.00,2022-12-19
223,SIL,Siddhartha Insurance Limited,34.7,489.00,489.00,482.00,485.80,485.28,"2,220.00",481.00,"1,077,312.30",33,4.8,7.0,1.0,1.45,0.11,734.29,793.97,"1,111.00",470.00,2022-12-20
218,SIL,Siddhartha Insurance Limited,37.72,489.00,489.90,479.00,482.50,481.60,"2,099.00",485.80,"1,010,876.30",24,-3.3,10.9,-0.68,2.28,0.19,729.97,791.04,"1,111.00",470.00,2022-12-21
213,SIL,Siddhartha Insurance Limited,35.8,486.00,486.90,482.10,483.10,484.80,"5,380.00",482.50,"2,608,216.80",44,0.6,4.8,0.12,1.0,-0.35,725.54,788.42,"1,111.00",470.00,2022-12-22
217,SIL,Siddhartha Insurance Limited,43.64,492.00,519.00,491.00,514.00,509.56,"8,296.00",483.10,"4,227,304.50",77,30.9,28.0,6.4,5.7,0.86,721.27,786.00,"1,111.00",470.00,2022-12-26
227,SIL,Siddhartha Insurance Limited,48.22,524.20,565.40,519.40,565.40,535.83,"14,634.00",514.00,"7,841,274.10",146,51.4,46.00,10.0,8.86,5.23,717.64,783.91,"1,111.00",470.00,2022-12-27
223,SIL,Siddhartha Insurance Limited,59.47,570.00,588.00,550.00,583.00,570.09,"13,746.00",565.40,"7,836,412.90",104,17.6,38.0,3.11,6.91,2.21,714.08,781.83,"1,111.00",470.00,2022-12-28
223,SIL,Siddhartha Insurance Limited,59.47,578.00,641.00,565.00,640.00,601.71,"8,600.00",583.00,"5,174,696.50",112,57.0,76.0,9.78,13.45,5.98,711.20,780.03,"1,111.00",470.00,2022-12-29
227,SIL,Siddhartha Insurance Limited,59.07,652.80,657.90,637.00,644.90,646.97,"14,913.00",640.00,"9,648,231.70",166,4.9,20.90,0.77,3.28,-0.32,708.40,778.29,"1,111.00",470.00,2023-01-01
219,SIL,Siddhartha Insurance Limited,59.07,580.00,632.80,573.00,612.00,603.77,"9,318.00",591.65,"5,625,896.50",93,20.35,59.8,3.44,10.44,1.35,705.22,776.43,"1,111.00",470.00,2023-01-02
223,SIL,Siddhartha Insurance Limited,53.12,624.00,624.00,602.00,605.00,609.76,"4,102.00",612.00,"2,501,242.90",56,-7.0,22.0,-1.14,3.65,-0.79,701.97,774.60,"1,111.00",470.00,2023-01-03
224,SIL,Siddhartha Insurance Limited,50.7,595.00,655.00,595.00,654.00,627.11,"11,154.00",605.00,"6,994,744.90",82,49.0,60.0,8.1,10.08,4.11,699.12,773.03,"1,111.00",470.00,2023-01-04
223,SIL,Siddhartha Insurance Limited,57.13,654.00,681.00,631.00,680.90,653.34,"14,464.00",654.00,"9,449,910.80",121,26.9,50.0,4.11,7.92,4.05,696.67,771.65,"1,111.00",470.00,2023-01-05
225,SIL,Siddhartha Insurance Limited,58.33,680.00,722.90,660.00,710.00,694.75,"9,310.00",680.90,"6,468,133.20",80,29.10,62.90,4.27,9.53,2.15,-,-,"1,111.00",470.00,2023-01-08
223,SIL,Siddhartha Insurance Limited,62.66,700.00,717.80,691.00,710.00,700.59,"14,964.00",710.00,"10,483,585.20",129,0.0,26.8,0.0,3.88,1.33,692.05,769.46,"1,111.00",470.00,2023-01-09
220,SIL,Siddhartha Insurance Limited,53.71,700.00,700.00,667.50,684.00,686.27,"8,555.00",710.00,"5,871,041.20",114,-26.0,32.5,-3.66,4.87,-0.33,689.54,768.48,"1,111.00",470.00,2023-01-10
217,SIL,Siddhartha Insurance Limited,53.74,690.00,690.00,639.00,648.00,660.95,"13,381.00",684.00,"8,844,216.60",120,-36.0,51.0,-5.26,7.98,-2.0,687.15,767.47,"1,111.00",470.00,2023-01-12
