SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
229,SJLIC,Suryajyoti Life Insurance Company Limited,0.0,379.00,408.70,379.00,408.70,407.37,"1,965.00",371.59,"800,489.60",86,37.11,29.7,9.99,7.84,0.32,0.00,0.00,408.70,379.00,2023-01-25
222,SJLIC,Suryajyoti Life Insurance Company Limited,46.11,416.80,449.50,416.80,449.50,444.81,"1,160.00",408.70,"515,974.00",65,40.8,32.7,9.98,7.85,1.04,0.00,0.00,449.50,379.00,2023-01-26
234,SJLIC,Suryajyoti Life Insurance Company Limited,60.29,458.40,494.40,458.40,494.40,492.65,"1,815.00",449.50,"894,162.10",112,44.9,36.0,9.99,7.85,0.35,0.00,0.00,494.40,379.00,2023-01-29
223,SJLIC,Suryajyoti Life Insurance Company Limited,57.87,504.20,543.80,504.20,519.80,530.63,"332,697.00",494.40,"176,540,086.60","2,351",25.4,39.6,5.14,7.85,-2.08,0.00,0.00,543.80,379.00,2023-01-30
226,SJLIC,Suryajyoti Life Insurance Company Limited,58.63,525.00,525.00,502.00,509.10,508.34,"132,067.00",519.80,"67,135,356.60",920,-10.7,23.0,-2.06,4.58,0.15,0.00,0.00,543.80,379.00,2023-01-31
228,SJLIC,Suryajyoti Life Insurance Company Limited,56.66,503.50,512.90,500.20,505.00,505.27,"38,506.00",509.10,"19,455,974.10",386,-4.1,12.7,-0.81,2.54,-0.05,0.00,0.00,543.80,379.00,2023-02-01
224,SJLIC,Suryajyoti Life Insurance Company Limited,50.37,512.00,512.00,490.20,495.00,496.39,"53,653.00",505.00,"26,632,738.30",545,-10.0,21.8,-1.98,4.45,-0.28,0.00,0.00,543.80,379.00,2023-02-02
225,SJLIC,Suryajyoti Life Insurance Company Limited,35.16,500.00,503.00,490.00,490.30,495.61,"45,585.00",495.00,"22,592,256.70",379,-4.7,13.0,-0.95,2.65,-1.08,0.00,0.00,543.80,379.00,2023-02-05
227,SJLIC,Suryajyoti Life Insurance Company Limited,31.14,480.00,509.40,480.00,507.00,498.38,"50,596.00",483.00,"25,216,231.80",502,24.0,29.4,4.97,6.13,1.7,0.00,0.00,543.80,379.00,2023-02-07
223,SJLIC,Suryajyoti Life Insurance Company Limited,43.94,500.00,509.00,500.00,506.00,503.15,"27,221.00",503.80,"13,696,291.40",291,2.2,9.0,0.44,1.8,0.56,0.00,0.00,543.80,379.00,2023-02-09
221,SJLIC,Suryajyoti Life Insurance Company Limited,37.79,495.90,504.00,487.00,491.30,493.98,"40,248.00",506.00,"19,881,638.00",329,-14.7,17.0,-2.91,3.49,-0.55,0.00,0.00,543.80,379.00,2023-02-12
223,SJLIC,Suryajyoti Life Insurance Company Limited,31.95,490.00,495.00,487.00,488.10,489.80,"36,181.00",491.30,"17,721,487.80",328,-3.20,8.0,-0.65,1.64,-0.35,0.00,0.00,543.80,379.00,2023-02-14
