SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
219,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,41.04,"1,200.00","1,200.00","1,170.00","1,200.00","1,184.50",315.00,"1,190.20","373,118.50",11,9.8,30.0,0.82,2.56,1.29,"1,417.77","1,394.48","1,760.00",951.60,2022-12-07
219,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,41.04,"1,200.00","1,200.00","1,170.00","1,200.00","1,184.50",315.00,"1,190.20","373,118.50",11,9.8,30.0,0.82,2.56,1.29,"1,417.77","1,394.48","1,760.00",951.60,2022-12-09
223,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,42.45,"1,176.50","1,192.00","1,170.00","1,192.00","1,176.38",247.00,"1,200.00","290,566.10",11,-8.0,22.0,-0.67,1.88,1.31,-,-,"1,760.00",951.60,2022-12-11
218,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,34.47,"1,192.00","1,213.30","1,192.00","1,213.30","1,201.96",110.00,"1,192.00","132,216.00",4,21.3,21.3,1.79,1.79,0.93,"1,412.73","1,394.06","1,760.00",951.60,2022-12-12
221,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,40.56,"1,213.30","1,222.40","1,200.00","1,222.40","1,208.41",63.00,"1,213.30","76,129.90",5,9.1,22.4,0.75,1.87,1.14,"1,410.18","1,394.02","1,760.00",951.60,2022-12-13
217,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,43.36,"1,200.00","1,200.00","1,198.10","1,198.10","1,198.54",130.00,"1,222.40","155,810.00",3,-24.3,1.9,-1.99,0.16,-0.04,"1,407.43","1,393.57","1,760.00",990.00,2022-12-14
226,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,28.2,"1,195.00","1,195.00","1,183.00","1,195.00","1,186.22",163.00,"1,198.10","193,354.00",5,-3.1,12.0,-0.26,1.01,0.73,"1,403.51","1,393.11","1,760.00",990.00,2022-12-15
222,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,44.12,"1,175.10","1,209.00","1,155.00","1,209.00","1,178.48",485.00,"1,195.00","571,564.00",13,14.0,54.0,1.17,4.68,2.52,"1,399.99","1,392.77","1,760.00",990.00,2022-12-18
222,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,29.16,"1,184.90","1,190.00","1,162.30","1,185.50","1,184.54",221.00,"1,209.00","261,783.70",7,-23.5,27.7,-1.94,2.38,0.08,"1,396.54","1,392.36","1,760.00",990.00,2022-12-19
228,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,29.16,"1,161.80","1,175.00","1,161.80","1,175.00","1,165.08",42.00,"1,185.50","48,933.30",3,-10.5,13.2,-0.89,1.14,0.84,"1,393.00","1,392.00","1,760.00",990.00,2022-12-20
223,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,29.36,"1,153.00","1,153.00","1,130.00","1,152.00","1,140.39",303.00,"1,175.00","345,537.00",14,-23.0,23.0,-1.96,2.04,1.01,"1,388.94","1,391.57","1,760.00",992.00,2022-12-21
218,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,31.89,"1,129.20","1,172.90","1,089.00","1,172.90","1,118.39",483.00,"1,152.00","540,180.70",21,20.9,83.9,1.81,7.7,4.65,"1,385.73","1,391.22","1,760.00","1,023.00",2022-12-22
222,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,33.25,"1,193.00","1,200.00","1,170.00","1,176.00","1,192.30",240.00,"1,172.90","286,153.00",9,3.1,30.0,0.26,2.56,-1.39,"1,382.92","1,390.61","1,760.00","1,059.00",2022-12-26
232,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,39.49,"1,176.80","1,222.00","1,176.60","1,222.00","1,201.12","1,110.00","1,176.00","1,333,237.80",33,46.0,45.40,3.91,3.86,1.71,"1,379.85","1,390.35","1,760.00","1,059.00",2022-12-27
228,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,51.44,"1,197.60","1,197.60","1,173.00","1,174.00","1,180.20",410.00,"1,222.00","483,884.00",9,-48.0,24.6,-3.93,2.1,-0.53,"1,375.95","1,389.90","1,760.00","1,059.00",2022-12-28
228,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,51.44,"1,174.10","1,190.00","1,174.10","1,190.00","1,183.21",518.00,"1,174.00","612,904.00",13,16.0,15.9,1.36,1.35,0.57,"1,372.50","1,389.53","1,760.00","1,065.00",2022-12-29
232,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,50.51,"1,213.00","1,309.00","1,190.00","1,200.10","1,230.24",225.00,"1,190.00","276,803.20",16,10.1,119.00,0.85,10.0,-2.51,"1,368.62","1,389.37","1,760.00","1,089.00",2023-01-01
224,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,50.51,"1,215.00","1,239.00","1,201.00","1,225.00","1,225.01",716.00,"1,200.10","877,104.00",12,24.9,38.0,2.07,3.16,0.0,"1,365.47","1,389.35","1,760.00","1,089.00",2023-01-02
228,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,47.01,"1,249.50","1,260.00","1,225.00","1,248.00","1,243.09","1,320.00","1,225.00","1,640,877.50",27,23.0,35.0,1.88,2.86,0.39,"1,362.41","1,389.11","1,760.00","1,089.00",2023-01-03
229,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,61.53,"1,255.00","1,350.00","1,255.00","1,350.00","1,302.58","1,465.00","1,248.00","1,908,279.10",45,102.0,95.0,8.17,7.57,3.51,"1,360.59","1,389.67","1,760.00","1,089.00",2023-01-04
229,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,59.26,"1,377.00","1,402.00","1,299.00","1,398.90","1,348.96",590.00,"1,350.00","795,885.40",25,48.9,103.0,3.62,7.93,3.57,"1,359.08","1,390.62","1,760.00","1,089.00",2023-01-05
230,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,60.46,"1,371.00","1,389.00","1,317.90","1,360.00","1,352.11","2,000.00","1,398.90","2,704,229.60",38,-38.90,71.10,-2.78,5.39,0.58,-,-,"1,760.00","1,089.00",2023-01-08
228,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,59.73,"1,355.00","1,360.00","1,335.10","1,336.00","1,341.93","1,284.00","1,360.00","1,723,040.70",19,-24.0,24.9,-1.76,1.87,-0.44,"1,355.26","1,391.66","1,760.00","1,089.00",2023-01-09
225,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,47.02,"1,355.00","1,362.70","1,274.00","1,347.00","1,322.94",811.00,"1,336.00","1,072,907.10",29,11.0,88.7,0.82,6.96,1.79,"1,353.41","1,392.06","1,760.00","1,089.00",2023-01-10
222,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,47.04,"1,360.00","1,373.90","1,270.00","1,366.90","1,322.57","2,362.00","1,347.00","3,123,907.60",43,19.9,103.9,1.48,8.18,3.24,"1,351.76","1,392.65","1,760.00","1,089.00",2023-01-12
222,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,48.47,"1,340.10","1,340.10","1,284.00","1,309.00","1,306.85",841.00,"1,366.90","1,099,057.50",24,-57.9,56.1,-4.24,4.37,0.16,"1,349.18","1,392.70","1,760.00","1,089.00",2023-01-17
219,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,43.0,"1,291.00","1,300.00","1,257.00","1,257.00","1,273.32","3,023.00","1,309.00","3,849,246.00",54,-52.0,43.0,-3.97,3.42,-1.3,"1,344.98","1,392.43","1,760.00","1,089.00",2023-01-18
