SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
225,SLI,Sanima Life Insurance Company Limited,31.39,339.00,339.00,326.00,328.20,329.24,"8,430.00",345.90,"2,775,525.70",305,-17.7,13.0,-5.12,3.99,-0.32,-,-,651.20,319.30,2022-12-11
220,SLI,Sanima Life Insurance Company Limited,33.11,322.00,339.60,322.00,329.00,327.77,"9,476.00",328.20,"3,105,991.20",270,0.8,17.6,0.24,5.47,0.37,481.59,493.62,651.20,319.30,2022-12-12
223,SLI,Sanima Life Insurance Company Limited,33.92,323.00,345.30,323.00,335.00,333.55,"4,219.00",329.00,"1,407,237.30",270,6.0,22.3,1.82,6.9,0.43,479.75,492.62,651.20,319.30,2022-12-13
219,SLI,Sanima Life Insurance Company Limited,36.52,330.00,342.00,329.00,337.90,333.04,"4,001.00",335.00,"1,332,502.70",221,2.9,13.0,0.87,3.95,1.44,478.02,491.61,651.20,319.30,2022-12-14
228,SLI,Sanima Life Insurance Company Limited,26.65,333.00,341.00,327.10,327.10,330.85,"4,435.00",337.90,"1,467,332.30",203,-10.8,13.9,-3.2,4.25,-1.15,476.08,490.57,651.20,319.30,2022-12-15
224,SLI,Sanima Life Insurance Company Limited,36.49,321.00,333.50,317.20,320.00,319.66,"2,610.00",327.10,"834,318.40",186,-7.1,16.3,-2.17,5.14,0.11,473.78,489.51,651.20,317.20,2022-12-18
224,SLI,Sanima Life Insurance Company Limited,33.61,313.70,348.00,313.70,320.00,320.26,"4,203.00",320.00,"1,346,065.60",215,0.0,34.3,0.0,10.93,-0.08,471.64,488.36,651.20,313.70,2022-12-19
230,SLI,Sanima Life Insurance Company Limited,33.61,317.00,328.00,316.00,321.10,323.11,"2,792.00",320.00,"902,113.40",187,1.1,12.0,0.34,3.8,-0.62,469.52,487.08,651.20,313.70,2022-12-20
225,SLI,Sanima Life Insurance Company Limited,31.29,318.00,324.00,317.00,317.30,319.39,"6,586.00",321.10,"2,103,524.20",185,-3.8,7.0,-1.18,2.21,-0.66,467.48,485.68,651.20,313.70,2022-12-21
220,SLI,Sanima Life Insurance Company Limited,37.81,317.00,322.30,311.50,316.10,316.45,"3,556.00",317.30,"1,125,284.90",183,-1.2,10.8,-0.38,3.47,-0.11,465.46,484.33,651.20,311.50,2022-12-22
224,SLI,Sanima Life Insurance Company Limited,36.12,316.00,327.50,315.00,327.00,321.55,"7,831.00",316.10,"2,518,070.00",282,10.9,12.5,3.45,3.97,1.67,463.35,482.95,651.20,311.50,2022-12-26
234,SLI,Sanima Life Insurance Company Limited,46.48,333.00,349.90,331.00,340.00,338.88,"13,925.00",327.00,"4,718,968.30",332,13.0,18.90,3.98,5.71,0.33,461.41,481.68,651.20,311.50,2022-12-27
230,SLI,Sanima Life Insurance Company Limited,54.71,340.00,365.00,335.00,357.00,350.86,"17,710.00",340.00,"6,213,801.20",317,17.0,30.0,5.0,8.96,1.72,459.63,480.49,651.20,311.50,2022-12-28
230,SLI,Sanima Life Insurance Company Limited,54.71,350.00,392.70,344.10,392.70,378.70,"25,501.00",357.00,"9,657,146.50",422,35.7,48.6,10.0,14.12,3.57,458.10,479.48,651.20,311.50,2022-12-29
234,SLI,Sanima Life Insurance Company Limited,56.35,394.00,430.00,390.00,415.00,418.98,"40,033.00",392.70,"16,773,151.50",608,22.3,40.00,5.68,10.26,-0.96,456.78,478.62,651.20,311.50,2023-01-01
226,SLI,Sanima Life Insurance Company Limited,56.35,412.00,436.00,405.00,430.00,424.06,"22,169.00",415.00,"9,400,960.90",525,15.0,31.0,3.61,7.65,1.38,455.35,477.99,651.20,311.50,2023-01-02
230,SLI,Sanima Life Insurance Company Limited,55.09,436.00,441.00,423.00,428.00,430.95,"16,098.00",430.00,"6,937,399.10",407,-2.0,18.0,-0.47,4.26,-0.69,453.96,477.43,651.20,311.50,2023-01-03
231,SLI,Sanima Life Insurance Company Limited,56.87,430.00,437.50,418.00,435.00,425.08,"23,281.00",428.00,"9,896,306.70",490,7.0,19.5,1.64,4.67,2.28,452.73,476.94,651.20,311.50,2023-01-04
231,SLI,Sanima Life Insurance Company Limited,50.78,436.00,440.10,423.00,430.00,431.27,"24,474.00",435.00,"10,554,789.50",433,-5.0,17.1,-1.15,4.04,-0.29,451.42,476.40,651.20,311.50,2023-01-05
232,SLI,Sanima Life Insurance Company Limited,51.98,430.00,472.10,429.90,458.00,456.07,"49,213.00",430.00,"22,444,568.80",708,28.00,42.20,6.51,9.82,0.42,-,-,651.20,311.50,2023-01-08
230,SLI,Sanima Life Insurance Company Limited,55.85,448.90,485.50,448.90,485.50,470.04,"34,802.00",458.00,"16,358,393.70",566,27.5,36.6,6.0,8.15,3.18,449.73,475.52,651.20,311.50,2023-01-09
227,SLI,Sanima Life Insurance Company Limited,52.31,485.00,498.70,439.00,467.00,478.07,"34,001.00",485.50,"16,254,976.60",569,-18.5,59.7,-3.81,13.6,-2.37,448.83,475.10,651.20,311.50,2023-01-10
224,SLI,Sanima Life Insurance Company Limited,52.34,465.00,481.00,435.10,439.00,449.93,"30,110.00",467.00,"13,547,285.50",572,-28.0,45.9,-6.0,10.55,-2.49,447.68,474.61,651.20,311.50,2023-01-12
224,SLI,Sanima Life Insurance Company Limited,49.34,431.00,455.90,430.10,451.00,445.93,"16,581.00",439.00,"7,393,969.40",591,12.0,25.8,2.73,6.0,1.12,446.66,474.17,651.20,311.50,2023-01-17
221,SLI,Sanima Life Insurance Company Limited,46.0,448.00,463.00,444.00,449.90,453.48,"24,875.00",451.00,"11,280,266.20",438,-1.1,19.0,-0.24,4.28,-0.8,445.71,473.78,651.20,311.50,2023-01-18
220,SLI,Sanima Life Insurance Company Limited,45.14,441.10,457.00,435.20,438.30,440.12,"17,216.00",449.90,"7,577,040.50",416,-11.6,21.8,-2.58,5.01,-0.41,444.69,473.33,651.20,311.50,2023-01-19
230,SLI,Sanima Life Insurance Company Limited,41.37,447.00,447.00,431.00,431.00,438.09,"22,022.00",438.30,"9,647,705.20",517,-7.3,16.0,-1.67,3.71,-1.65,443.55,472.84,651.20,311.50,2023-01-23
221,SLI,Sanima Life Insurance Company Limited,43.51,422.40,432.00,422.40,430.00,426.53,"11,121.00",431.00,"4,743,405.70",395,-1.0,9.6,-0.23,2.27,0.81,442.47,472.41,651.20,311.50,2023-01-24
234,SLI,Sanima Life Insurance Company Limited,39.42,428.00,454.00,428.00,448.90,446.77,"17,388.00",430.00,"7,768,506.20",493,18.9,26.0,4.4,6.07,0.47,441.67,472.13,651.20,311.50,2023-01-25
227,SLI,Sanima Life Insurance Company Limited,44.83,457.80,465.00,445.20,453.10,454.91,"17,338.00",448.90,"7,887,197.70",450,4.2,19.8,0.94,4.45,-0.4,440.94,471.87,651.20,311.50,2023-01-26
239,SLI,Sanima Life Insurance Company Limited,45.14,453.10,464.00,442.00,452.00,452.62,"13,927.00",453.10,"6,303,574.50",494,-1.1,22.0,-0.24,4.98,-0.14,440.29,471.58,651.20,311.50,2023-01-29
228,SLI,Sanima Life Insurance Company Limited,44.53,443.10,455.00,433.00,433.30,439.97,"24,733.00",452.00,"10,881,756.90",396,-18.7,22.0,-4.14,5.08,-1.54,439.58,471.24,651.20,311.50,2023-01-30
231,SLI,Sanima Life Insurance Company Limited,44.81,425.30,440.00,425.30,430.10,431.07,"14,712.00",433.30,"6,341,857.70",385,-3.2,14.7,-0.74,3.46,-0.22,438.87,470.99,651.20,311.50,2023-01-31
233,SLI,Sanima Life Insurance Company Limited,40.33,422.10,436.50,422.10,436.50,429.05,"11,556.00",430.10,"4,958,106.00",399,6.4,14.4,1.49,3.41,1.71,438.22,470.76,651.20,311.50,2023-02-01
229,SLI,Sanima Life Insurance Company Limited,40.69,427.80,433.00,422.00,425.00,425.69,"14,291.00",436.50,"6,083,555.50",325,-11.5,11.0,-2.63,2.61,-0.16,437.54,470.46,651.20,311.50,2023-02-02
230,SLI,Sanima Life Insurance Company Limited,31.98,424.00,430.00,414.20,424.00,419.71,"9,074.00",425.00,"3,808,416.40",385,-1.0,15.8,-0.24,3.81,1.01,436.78,470.19,651.20,311.50,2023-02-05
232,SLI,Sanima Life Insurance Company Limited,30.04,425.00,444.00,420.00,444.00,434.28,"14,540.00",423.00,"6,314,481.40",516,21.0,24.0,4.96,5.71,2.19,434.52,469.98,651.20,311.50,2023-02-07
228,SLI,Sanima Life Insurance Company Limited,50.67,430.30,446.80,421.70,437.00,436.46,"9,238.00",439.00,"4,032,024.40",251,-2.0,25.1,-0.46,5.95,0.12,432.27,469.95,651.20,311.50,2023-02-09
226,SLI,Sanima Life Insurance Company Limited,45.31,428.30,430.00,417.80,418.00,423.33,"16,128.00",437.00,"6,827,442.00",349,-19.0,12.2,-4.35,2.92,-1.27,431.06,469.78,651.20,311.50,2023-02-12
228,SLI,Sanima Life Insurance Company Limited,34.1,415.00,425.00,410.00,418.10,416.51,"9,934.00",418.00,"4,137,658.60",272,0.10,15.0,0.02,3.66,0.38,429.83,469.65,651.20,311.50,2023-02-14
228,SLI,Sanima Life Insurance Company Limited,33.81,407.20,415.00,405.00,410.00,409.74,"8,828.00",415.50,"3,617,188.50",249,-5.50,10.00,-1.32,2.47,0.06,427.30,469.36,651.20,311.50,2023-02-16
230,SLI,Sanima Life Insurance Company Limited,34.22,410.00,410.00,402.10,402.30,404.87,"6,741.00",410.00,"2,729,207.30",321,-7.7,7.9,-1.88,1.96,-0.64,425.72,469.01,651.20,311.50,2023-02-20
240,SLI,Sanima Life Insurance Company Limited,36.15,397.10,415.00,397.10,413.00,409.45,"4,401.00",402.30,"1,802,007.10",309,10.7,17.9,2.66,4.51,0.86,424.00,468.60,651.20,311.50,2023-02-22
232,SLI,Sanima Life Insurance Company Limited,35.76,405.00,413.00,396.90,410.00,405.94,"9,272.00",413.00,"3,763,872.00",276,-3.0,16.1,-0.73,4.06,0.99,422.49,467.90,651.20,311.50,2023-02-23
234,SLI,Sanima Life Insurance Company Limited,44.11,401.80,410.00,393.80,410.00,399.50,"14,274.00",410.00,"5,702,503.10",337,0.0,16.2,0.0,4.11,2.56,420.99,467.30,651.20,311.50,2023-02-26
232,SLI,Sanima Life Insurance Company Limited,36.22,400.00,411.30,396.00,409.70,405.85,"4,773.00",408.00,"1,937,112.00",251,1.7,15.3,0.42,3.86,0.94,417.83,466.14,651.20,311.50,2023-02-28
227,SLI,Sanima Life Insurance Company Limited,37.08,405.00,414.00,399.00,407.00,402.39,"3,855.00",409.70,"1,551,223.10",179,-2.70,15.00,-0.66,3.76,1.13,416.31,465.48,651.20,311.50,2023-03-01
226,SLI,Sanima Life Insurance Company Limited,32.73,398.90,400.00,395.30,399.90,397.83,"7,308.00",407.00,"2,907,348.60",170,-7.1,4.7,-1.74,1.19,0.52,414.85,464.76,651.20,311.50,2023-03-02
228,SLI,Sanima Life Insurance Company Limited,36.53,399.00,408.90,389.00,396.00,391.80,"15,809.00",399.90,"6,193,972.60",220,-3.9,19.9,-0.98,5.12,1.06,413.50,464.01,651.20,311.50,2023-03-05
230,SLI,Sanima Life Insurance Company Limited,30.35,396.00,405.00,388.10,396.80,397.57,"2,460.00",396.00,"978,018.00",139,0.8,16.9,0.2,4.35,-0.19,412.16,463.28,651.20,311.50,2023-03-07
230,SLI,Sanima Life Insurance Company Limited,45.49,399.00,412.00,396.00,412.00,404.66,"7,471.00",396.80,"3,023,184.50",290,15.2,16.0,3.83,4.04,1.78,410.85,462.64,651.20,311.50,2023-03-09
229,SLI,Sanima Life Insurance Company Limited,42.67,412.00,412.00,405.00,408.00,409.48,"7,499.00",412.00,"3,070,683.50",243,-4.0,7.0,-0.97,1.73,-0.36,409.59,461.91,651.20,311.50,2023-03-12
224,SLI,Sanima Life Insurance Company Limited,36.13,395.00,400.00,395.00,398.00,396.70,"2,616.00",400.80,"1,037,774.20",157,-2.8,5.0,-0.7,1.27,0.33,407.25,460.18,651.20,311.50,2023-03-14
222,SLI,Sanima Life Insurance Company Limited,29.89,392.30,402.90,392.30,399.00,396.17,"2,929.00",398.00,"1,160,376.90",167,1.00,10.6,0.25,2.7,0.71,406.18,459.30,651.20,311.50,2023-03-15
226,SLI,Sanima Life Insurance Company Limited,38.24,391.90,405.00,391.90,402.00,398.71,"4,702.00",399.00,"1,874,755.50",176,3.0,13.1,0.75,3.34,0.82,405.31,458.39,651.20,311.50,2023-03-16
228,SLI,Sanima Life Insurance Company Limited,42.17,394.00,405.00,388.10,403.00,400.12,"5,157.00",402.00,"2,063,403.00",251,1.0,16.9,0.25,4.35,0.72,404.35,457.45,651.20,311.50,2023-03-19
227,SLI,Sanima Life Insurance Company Limited,43.36,398.10,405.00,393.00,402.00,401.12,"4,191.00",403.00,"1,681,089.00",230,-1.0,12.0,-0.25,3.05,0.22,403.49,456.52,651.20,311.50,2023-03-20
235,SLI,Sanima Life Insurance Company Limited,35.0,402.00,405.00,393.00,396.80,396.01,"3,407.00",402.00,"1,349,205.00",208,-5.2,12.0,-1.29,3.05,0.2,402.58,455.65,651.20,311.50,2023-03-22
