SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
227,SMB,Support Laghubitta Bittiya Sanstha Limited,53.4,"1,222.10","1,222.10","1,177.00","1,200.40","1,196.96",238.00,"1,247.00","284,876.00",10,-46.6,45.1,-3.74,3.83,0.29,-,-,"2,412.00","1,145.00",2022-12-11
225,SMB,Support Laghubitta Bittiya Sanstha Limited,34.34,"1,199.00","1,199.00","1,180.00","1,180.00","1,190.59",404.00,"1,200.40","481,000.00",12,-20.4,19.0,-1.7,1.61,-0.9,"1,290.06","1,402.62","2,412.00","1,145.00",2022-12-13
221,SMB,Support Laghubitta Bittiya Sanstha Limited,39.62,"1,200.00","1,270.90","1,200.00","1,221.00","1,234.97",60.00,"1,180.00","74,098.00",6,41.0,70.9,3.47,5.91,-1.14,"1,289.78","1,399.41","2,412.00","1,145.00",2022-12-14
230,SMB,Support Laghubitta Bittiya Sanstha Limited,43.48,"1,201.00","1,225.00","1,162.10","1,225.00","1,190.57",200.00,"1,221.00","238,114.10",10,4.0,62.9,0.33,5.41,2.81,"1,289.02","1,395.94","2,412.00","1,145.00",2022-12-15
226,SMB,Support Laghubitta Bittiya Sanstha Limited,29.83,"1,205.00","1,205.00","1,201.00","1,201.00","1,201.67",60.00,"1,225.00","72,100.00",2,-24.0,4.0,-1.96,0.33,-0.06,"1,288.24","1,392.50","2,127.00","1,145.00",2022-12-18
226,SMB,Support Laghubitta Bittiya Sanstha Limited,37.18,"1,200.00","1,200.00","1,177.00","1,177.00","1,196.75",99.00,"1,201.00","118,478.00",4,-24.0,23.0,-2.0,1.95,-1.68,"1,287.67","1,388.93","2,127.00","1,145.00",2022-12-19
232,SMB,Support Laghubitta Bittiya Sanstha Limited,37.18,"1,180.20","1,180.20","1,180.00","1,180.00","1,180.12",24.00,"1,177.00","28,322.80",2,3.0,0.2,0.25,0.02,-0.01,"1,286.93","1,385.54","2,127.00","1,145.00",2022-12-20
227,SMB,Support Laghubitta Bittiya Sanstha Limited,23.49,"1,170.10","1,192.90","1,170.10","1,192.90","1,172.17",110.00,"1,180.00","128,939.00",2,12.9,22.8,1.09,1.95,1.74,"1,286.66","1,382.39","2,127.00","1,145.00",2022-12-21
222,SMB,Support Laghubitta Bittiya Sanstha Limited,27.06,"1,190.00","1,190.00","1,190.00","1,190.00","1,190.00",10.00,"1,192.90","11,900.00",1,-2.9,0.0,-0.24,0.0,0.0,"1,286.74","1,379.03","2,127.00","1,145.00",2022-12-22
226,SMB,Support Laghubitta Bittiya Sanstha Limited,19.67,"1,167.00","1,213.80","1,167.00","1,189.70","1,203.09",426.00,"1,190.00","512,516.20",11,-0.3,46.8,-0.03,4.01,-1.13,"1,286.43","1,375.84","2,127.00","1,145.00",2022-12-26
236,SMB,Support Laghubitta Bittiya Sanstha Limited,47.93,"1,213.40","1,226.90","1,167.00","1,209.90","1,203.42",579.00,"1,189.70","696,782.70",17,20.2,59.90,1.7,5.13,0.54,"1,285.72","1,372.87","2,127.00","1,145.00",2022-12-27
232,SMB,Support Laghubitta Bittiya Sanstha Limited,35.4,"1,190.00","1,190.00","1,190.00","1,190.00","1,190.00",14.00,"1,209.90","16,660.00",1,-19.9,0.0,-1.64,0.0,0.0,"1,284.82","1,369.81","2,127.00","1,145.00",2022-12-28
232,SMB,Support Laghubitta Bittiya Sanstha Limited,35.4,"1,190.00","1,203.90","1,190.00","1,203.90","1,200.43",120.00,"1,190.00","144,052.00",6,13.9,13.9,1.17,1.17,0.29,"1,284.25","1,367.00","2,127.00","1,145.00",2022-12-29
236,SMB,Support Laghubitta Bittiya Sanstha Limited,54.06,"1,225.00","1,249.00","1,203.00","1,233.00","1,221.55",337.00,"1,203.90","411,664.00",15,29.1,46.00,2.42,3.82,0.93,"1,283.73","1,364.32","2,127.00","1,145.00",2023-01-01
228,SMB,Support Laghubitta Bittiya Sanstha Limited,54.06,"1,233.00","1,257.00","1,208.40","1,250.00","1,238.74",628.00,"1,233.00","777,927.00",19,17.0,48.6,1.38,4.02,0.9,"1,283.15","1,361.55","2,127.00","1,145.00",2023-01-02
232,SMB,Support Laghubitta Bittiya Sanstha Limited,54.15,"1,235.00","1,260.00","1,235.00","1,258.00","1,252.58",171.00,"1,250.00","214,191.90",15,8.0,25.0,0.64,2.02,0.43,"1,282.20","1,358.65","2,127.00","1,145.00",2023-01-03
233,SMB,Support Laghubitta Bittiya Sanstha Limited,54.85,"1,280.00","1,378.00","1,261.00","1,378.00","1,298.32",507.00,"1,258.00","658,246.50",26,120.0,117.0,9.54,9.28,5.78,"1,282.25","1,356.30","2,127.00","1,145.00",2023-01-04
233,SMB,Support Laghubitta Bittiya Sanstha Limited,61.97,"1,350.50","1,484.00","1,350.50","1,393.80","1,410.14",502.00,"1,378.00","707,888.60",20,15.8,133.5,1.15,9.89,-1.17,"1,282.54","1,354.05","2,127.00","1,145.00",2023-01-05
234,SMB,Support Laghubitta Bittiya Sanstha Limited,63.17,"1,421.60","1,456.50","1,393.40","1,456.50","1,423.57","1,007.00","1,393.80","1,433,536.00",24,62.70,63.10,4.5,4.53,2.26,-,-,"2,127.00","1,145.00",2023-01-08
232,SMB,Support Laghubitta Bittiya Sanstha Limited,65.48,"1,427.40","1,500.00","1,379.00","1,500.00","1,437.87","1,573.00","1,456.50","2,261,772.70",38,43.5,121.0,2.99,8.77,4.14,"1,285.34","1,350.26","2,127.00","1,145.00",2023-01-09
229,SMB,Support Laghubitta Bittiya Sanstha Limited,48.95,"1,480.00","1,480.00","1,415.00","1,430.00","1,433.93",274.00,"1,500.00","392,898.10",18,-70.0,65.0,-4.67,4.59,-0.28,"1,286.59","1,348.21","2,127.00","1,145.00",2023-01-10
226,SMB,Support Laghubitta Bittiya Sanstha Limited,48.98,"1,420.00","1,443.30","1,370.00","1,388.00","1,399.00",345.00,"1,430.00","482,656.20",17,-42.0,73.3,-2.94,5.35,-0.79,"1,287.77","1,346.12","2,127.00","1,145.00",2023-01-12
226,SMB,Support Laghubitta Bittiya Sanstha Limited,45.56,"1,360.30","1,360.30","1,285.00","1,345.00","1,307.99","1,522.00","1,388.00","1,990,755.00",45,-43.0,75.3,-3.1,5.86,2.75,"1,288.68","1,343.98","2,114.00","1,145.00",2023-01-17
223,SMB,Support Laghubitta Bittiya Sanstha Limited,48.13,"1,320.00","1,345.00","1,319.00","1,319.30","1,328.55",476.00,"1,345.00","632,389.90",19,-25.7,26.0,-1.91,1.97,-0.7,"1,289.59","1,342.07","2,114.00","1,145.00",2023-01-18
222,SMB,Support Laghubitta Bittiya Sanstha Limited,42.71,"1,345.00","1,345.00","1,319.00","1,330.00","1,327.85",270.00,"1,319.30","358,520.00",8,10.7,26.0,0.81,1.97,0.16,"1,290.13","1,340.19","2,114.00","1,145.00",2023-01-19
232,SMB,Support Laghubitta Bittiya Sanstha Limited,39.25,"1,320.00","1,320.00","1,290.00","1,290.00","1,302.57",145.00,"1,330.00","188,872.00",9,-40.0,30.0,-3.01,2.33,-0.97,"1,290.34","1,338.06","2,114.00","1,145.00",2023-01-23
223,SMB,Support Laghubitta Bittiya Sanstha Limited,37.28,"1,265.00","1,315.00","1,265.00","1,315.00","1,285.76",271.00,"1,290.00","348,441.00",8,25.0,50.0,1.94,3.95,2.22,"1,290.84","1,336.09","2,114.00","1,145.00",2023-01-24
236,SMB,Support Laghubitta Bittiya Sanstha Limited,39.8,"1,315.00","1,394.10","1,290.20","1,339.00","1,312.53",197.00,"1,315.00","258,569.00",8,24.0,103.9,1.83,8.05,1.98,"1,291.34","1,334.25","2,114.00","1,145.00",2023-01-25
229,SMB,Support Laghubitta Bittiya Sanstha Limited,44.4,"1,312.50","1,315.00","1,289.00","1,289.00","1,295.19",203.00,"1,339.00","262,923.00",9,-50.0,26.0,-3.73,2.02,-0.48,"1,291.09","1,332.32","2,114.00","1,145.00",2023-01-26
241,SMB,Support Laghubitta Bittiya Sanstha Limited,37.62,"1,265.00","1,265.00","1,264.00","1,264.00","1,264.64",56.00,"1,289.00","70,820.00",3,-25.0,1.0,-1.94,0.08,-0.05,"1,290.66","1,330.25","2,114.00","1,145.00",2023-01-29
230,SMB,Support Laghubitta Bittiya Sanstha Limited,33.43,"1,250.00","1,260.00","1,230.80","1,235.00","1,239.08",309.00,"1,264.00","382,875.10",12,-29.0,29.2,-2.29,2.37,-0.33,"1,290.12","1,327.66","2,114.00","1,145.00",2023-01-30
233,SMB,Support Laghubitta Bittiya Sanstha Limited,38.91,"1,250.00","1,251.40","1,202.90","1,251.40","1,226.66",151.00,"1,235.00","185,225.10",7,16.4,48.5,1.33,4.03,1.98,"1,289.54","1,325.17","2,114.00","1,145.00",2023-01-31
235,SMB,Support Laghubitta Bittiya Sanstha Limited,33.56,"1,231.00","1,231.00","1,200.00","1,225.00","1,209.59",220.00,"1,251.40","266,109.00",13,-26.4,31.0,-2.11,2.58,1.26,"1,288.96","1,322.71","2,114.00","1,145.00",2023-02-01
231,SMB,Support Laghubitta Bittiya Sanstha Limited,37.58,"1,248.00","1,248.00","1,154.00","1,154.00","1,196.21",203.00,"1,225.00","242,831.00",11,-71.0,94.0,-5.8,8.15,-3.66,"1,287.32","1,320.01","2,114.00","1,145.00",2023-02-02
