SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
231,SMH,Supermai Hydropower  Limited,51.74,438.70,473.10,438.70,473.10,472.34,"1,120.00",430.10,"529,026.00",112,43.0,34.4,10.0,7.84,0.16,0.00,0.00,473.10,391.00,2023-03-28
231,SMH,Supermai Hydropower  Limited,51.88,480.00,520.40,480.00,520.40,519.98,"2,500.00",473.10,"1,299,954.00",250,47.3,40.4,10.0,8.42,0.08,0.00,0.00,520.40,391.00,2023-03-29
227,SMH,Supermai Hydropower  Limited,50.46,530.80,572.40,530.80,572.40,572.02,"5,950.00",520.40,"3,403,512.00",595,52.0,41.6,9.99,7.84,0.07,0.00,0.00,572.40,391.00,2023-03-30
233,SMH,Supermai Hydropower  Limited,49.04,580.00,629.60,579.00,585.00,616.50,"37,769.00",572.40,"23,284,501.00","2,425",12.6,50.6,2.2,8.74,-5.38,0.00,0.00,629.60,391.00,2023-04-02
233,SMH,Supermai Hydropower  Limited,49.54,575.00,576.00,550.20,560.10,559.42,"26,213.00",585.00,"14,664,131.20","2,154",-24.9,25.8,-4.26,4.69,0.12,0.00,0.00,629.60,391.00,2023-04-03
235,SMH,Supermai Hydropower  Limited,41.48,549.00,611.00,548.90,577.00,569.73,"8,930.00",560.10,"5,087,702.00",786,16.9,62.1,3.02,11.31,1.26,0.00,0.00,629.60,391.00,2023-04-04
234,SMH,Supermai Hydropower  Limited,38.47,572.00,601.50,570.00,598.90,590.72,"8,391.00",577.00,"4,956,748.80",544,21.9,31.5,3.8,5.53,1.37,0.00,0.00,629.60,391.00,2023-04-05
241,SMH,Supermai Hydropower  Limited,33.74,590.10,599.00,583.00,586.90,588.82,"5,259.00",598.90,"3,096,594.00",343,-12.0,16.0,-2.0,2.74,-0.33,0.00,0.00,629.60,391.00,2023-04-06
239,SMH,Supermai Hydropower  Limited,33.77,578.00,580.00,560.00,560.00,570.55,"11,750.00",586.90,"6,703,907.00",372,-26.9,20.0,-4.58,3.57,-1.88,0.00,0.00,629.60,391.00,2023-04-09
231,SMH,Supermai Hydropower  Limited,29.63,560.00,577.00,560.00,570.00,567.72,"3,660.00",560.00,"2,077,840.00",238,10.0,17.0,1.79,3.04,0.4,0.00,0.00,629.60,391.00,2023-04-10
233,SMH,Supermai Hydropower  Limited,30.56,560.20,580.00,560.20,579.90,572.59,"2,983.00",570.00,"1,708,036.00",257,9.90,19.80,1.74,3.53,1.26,0.00,0.00,629.60,391.00,2023-04-11
238,SMH,Supermai Hydropower  Limited,35.13,570.10,599.00,570.10,588.00,588.62,"4,623.00",579.90,"2,721,195.00",236,8.10,28.90,1.4,5.07,-0.11,0.00,0.00,629.60,391.00,2023-04-12
240,SMH,Supermai Hydropower  Limited,33.34,588.00,588.50,570.10,570.10,580.63,"5,773.00",588.00,"3,351,953.30",211,-17.9,18.40,-3.04,3.23,-1.85,0.00,0.00,629.60,391.00,2023-04-13
235,SMH,Supermai Hydropower  Limited,33.34,570.10,587.50,569.90,574.00,573.89,"5,025.00",570.10,"2,883,801.50",213,3.9,17.6,0.68,3.09,0.02,0.00,0.00,629.60,391.00,2023-04-16
236,SMH,Supermai Hydropower  Limited,30.97,585.00,586.50,560.00,569.80,564.31,"6,700.00",575.00,"3,780,847.00",161,-5.2,26.5,-0.9,4.73,0.96,0.00,0.00,629.60,391.00,2023-04-18
240,SMH,Supermai Hydropower  Limited,33.87,568.00,570.90,560.00,563.00,565.17,"1,830.00",569.80,"1,034,255.00",98,-6.8,10.9,-1.19,1.95,-0.38,0.00,0.00,629.60,391.00,2023-04-19
236,SMH,Supermai Hydropower  Limited,33.87,552.10,571.00,552.10,569.90,562.04,"8,395.00",563.00,"4,718,324.90",126,6.9,18.90,1.23,3.42,1.38,0.00,0.00,629.60,391.00,2023-04-20
235,SMH,Supermai Hydropower  Limited,32.76,559.10,568.90,550.10,568.90,556.83,"7,820.00",569.90,"4,354,383.00",210,-1.0,18.8,-0.18,3.42,2.12,0.00,0.00,629.60,391.00,2023-04-23
239,SMH,Supermai Hydropower  Limited,26.63,557.60,566.00,550.20,560.10,557.59,"2,552.00",568.90,"1,422,976.20",136,-8.8,15.8,-1.55,2.87,0.45,0.00,0.00,629.60,391.00,2023-04-24
233,SMH,Supermai Hydropower  Limited,32.07,552.00,569.80,542.30,569.80,551.38,"4,498.00",560.10,"2,480,087.80",161,9.7,27.5,1.73,5.07,3.23,0.00,0.00,629.60,391.00,2023-04-25
234,SMH,Supermai Hydropower  Limited,28.87,578.50,578.50,555.00,560.10,563.44,"6,570.00",569.80,"3,701,788.00",151,-9.7,23.5,-1.7,4.23,-0.6,0.00,0.00,629.60,391.00,2023-04-26
