SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
233,SMHL,Super Madi Hydropower Limited,37.01,299.00,328.90,299.00,328.90,328.21,"6,650.00",299.00,"2,182,579.00",639,29.9,29.9,10.0,10.0,0.21,0.00,0.00,328.90,299.00,2023-03-05
235,SMHL,Super Madi Hydropower Limited,47.5,335.40,361.70,335.40,361.70,361.30,"14,850.00",328.90,"5,365,374.10","1,191",32.8,26.3,9.97,7.84,0.11,0.00,0.00,361.70,299.00,2023-03-07
235,SMHL,Super Madi Hydropower Limited,49.32,368.90,391.00,355.00,381.00,373.11,"68,817.00",361.70,"25,676,086.00","4,972",19.3,36.0,5.34,10.14,2.07,0.00,0.00,391.00,299.00,2023-03-09
234,SMHL,Super Madi Hydropower Limited,46.37,381.00,382.00,363.10,364.20,368.92,"63,702.00",381.00,"23,500,715.00","3,095",-16.8,18.9,-4.41,5.21,-1.3,0.00,0.00,391.00,299.00,2023-03-12
229,SMHL,Super Madi Hydropower Limited,39.87,349.00,389.40,349.00,387.00,377.86,"45,140.00",354.00,"17,056,519.10","1,800",33.0,40.4,9.32,11.58,2.36,0.00,0.00,391.00,299.00,2023-03-14
227,SMHL,Super Madi Hydropower Limited,33.17,379.30,388.10,375.70,387.20,381.81,"33,952.00",387.00,"12,963,109.00","1,137",0.20,12.4,0.05,3.3,1.39,0.00,0.00,391.00,299.00,2023-03-15
231,SMHL,Super Madi Hydropower Limited,43.74,379.50,406.80,379.50,401.00,399.09,"46,216.00",387.20,"18,444,246.00","1,610",13.8,27.3,3.56,7.19,0.48,0.00,0.00,406.80,299.00,2023-03-16
233,SMHL,Super Madi Hydropower Limited,41.33,403.00,406.50,389.00,399.00,396.61,"31,720.00",401.00,"12,580,589.40","1,502",-2.0,17.5,-0.5,4.5,0.6,0.00,0.00,406.80,299.00,2023-03-19
232,SMHL,Super Madi Hydropower Limited,33.96,395.00,405.20,392.10,401.00,399.00,"26,018.00",399.00,"10,381,215.50","1,295",2.0,13.1,0.5,3.34,0.5,0.00,0.00,406.80,299.00,2023-03-20
240,SMHL,Super Madi Hydropower Limited,35.11,409.00,425.40,403.00,403.10,410.94,"39,330.00",401.00,"16,162,128.10","1,472",2.1,22.4,0.52,5.56,-1.94,0.00,0.00,425.40,299.00,2023-03-22
