SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
242,SMJC,Sagarmatha Jalbidhyut Company Limited,38.57,334.00,367.40,330.00,340.00,354.23,"92,899.00",334.00,"32,907,560.20","7,947",6.0,37.40,1.8,11.33,-4.19,0.00,0.00,367.40,330.00,2023-04-13
237,SMJC,Sagarmatha Jalbidhyut Company Limited,38.57,345.00,346.00,313.60,317.00,320.88,"84,870.00",340.00,"27,233,165.90","6,718",-23.0,32.4,-6.76,10.33,-1.22,0.00,0.00,367.40,313.60,2023-04-16
238,SMJC,Sagarmatha Jalbidhyut Company Limited,27.8,305.00,311.00,299.00,307.20,305.23,"45,046.00",308.20,"13,749,289.50","2,080",-1.0,12.0,-0.32,4.01,0.64,0.00,0.00,367.40,299.00,2023-04-18
242,SMJC,Sagarmatha Jalbidhyut Company Limited,33.11,306.00,314.00,303.10,311.00,309.82,"28,467.00",307.20,"8,819,532.00","1,727",3.8,10.9,1.24,3.6,0.38,0.00,0.00,367.40,299.00,2023-04-19
238,SMJC,Sagarmatha Jalbidhyut Company Limited,33.11,317.20,317.20,305.00,305.00,308.08,"23,322.00",311.00,"7,185,060.40","1,290",-6.0,12.20,-1.93,4.0,-1.01,0.00,0.00,367.40,299.00,2023-04-20
237,SMJC,Sagarmatha Jalbidhyut Company Limited,34.46,300.00,302.80,292.30,294.90,297.13,"32,757.00",305.00,"9,733,101.70","1,807",-10.1,10.5,-3.31,3.59,-0.76,0.00,0.00,367.40,292.30,2023-04-23
241,SMJC,Sagarmatha Jalbidhyut Company Limited,31.53,291.00,297.00,286.10,286.50,289.63,"30,945.00",294.90,"8,962,716.80","1,707",-8.4,10.9,-2.85,3.81,-1.09,0.00,0.00,367.40,286.10,2023-04-24
235,SMJC,Sagarmatha Jalbidhyut Company Limited,36.94,280.80,297.90,274.70,296.80,284.07,"47,220.00",286.50,"13,413,954.80","1,704",10.3,23.2,3.6,8.45,4.29,0.00,0.00,367.40,274.70,2023-04-25
236,SMJC,Sagarmatha Jalbidhyut Company Limited,32.32,291.00,295.50,285.00,287.80,288.10,"20,429.00",296.80,"5,885,550.20",986,-9.0,10.5,-3.03,3.68,-0.1,0.00,0.00,367.40,274.70,2023-04-26
241,SMJC,Sagarmatha Jalbidhyut Company Limited,32.91,287.00,290.00,278.60,283.80,283.26,"21,190.00",287.80,"6,002,280.20",969,-4.00,11.4,-1.39,4.09,0.19,0.00,0.00,367.40,274.70,2023-04-27
243,SMJC,Sagarmatha Jalbidhyut Company Limited,33.43,282.00,283.00,274.10,274.10,278.35,"27,513.00",283.80,"7,658,187.70",978,-9.7,8.9,-3.42,3.25,-1.55,0.00,0.00,367.40,274.10,2023-04-30
241,SMJC,Sagarmatha Jalbidhyut Company Limited,29.92,279.50,281.00,264.00,266.90,268.43,"16,688.00",274.10,"4,479,530.00",926,-7.2,17.0,-2.63,6.44,-0.57,0.00,0.00,367.40,264.00,2023-05-02
237,SMJC,Sagarmatha Jalbidhyut Company Limited,30.88,262.10,267.00,256.10,257.10,258.67,"28,671.00",266.90,"7,416,302.70",730,-9.8,10.9,-3.67,4.26,-0.61,0.00,0.00,367.40,256.10,2023-05-03
247,SMJC,Sagarmatha Jalbidhyut Company Limited,32.79,253.00,264.80,253.00,263.00,259.32,"21,956.00",257.10,"5,693,706.00",682,5.9,11.8,2.29,4.66,1.4,0.00,0.00,367.40,253.00,2023-05-04
235,SMJC,Sagarmatha Jalbidhyut Company Limited,31.23,258.00,263.00,251.00,252.00,254.68,"24,149.00",263.00,"6,150,181.40",787,-11.0,12.0,-4.18,4.78,-1.06,0.00,0.00,367.40,251.00,2023-05-07
243,SMJC,Sagarmatha Jalbidhyut Company Limited,31.22,240.30,254.00,238.20,251.00,247.66,"18,494.00",244.90,"4,580,272.40",686,6.1,15.8,2.49,6.63,1.33,0.00,0.00,367.40,238.20,2023-05-09
238,SMJC,Sagarmatha Jalbidhyut Company Limited,26.98,250.90,251.90,243.20,245.50,246.71,"16,126.00",251.00,"3,978,480.00",423,-5.5,8.7,-2.19,3.58,-0.49,0.00,0.00,367.40,238.20,2023-05-10
233,SMJC,Sagarmatha Jalbidhyut Company Limited,30.13,245.00,251.00,242.30,245.00,246.25,"12,747.00",245.50,"3,138,907.00",490,-0.5,8.7,-0.2,3.59,-0.51,0.00,0.00,367.40,238.20,2023-05-11
236,SMJC,Sagarmatha Jalbidhyut Company Limited,33.83,245.00,248.00,240.30,240.30,244.92,"15,690.00",245.00,"3,842,857.00",480,-4.7,7.7,-1.92,3.2,-1.92,0.00,0.00,367.40,238.20,2023-05-14
239,SMJC,Sagarmatha Jalbidhyut Company Limited,30.06,237.10,245.80,233.20,240.00,238.56,"19,225.00",240.30,"4,586,239.90",592,-0.3,12.6,-0.12,5.4,0.6,0.00,0.00,367.40,233.20,2023-05-15
242,SMJC,Sagarmatha Jalbidhyut Company Limited,34.86,235.60,244.90,235.60,244.90,240.36,"18,675.00",240.00,"4,488,718.70",555,4.9,9.3,2.04,3.95,1.85,0.00,0.00,367.40,233.20,2023-05-16
237,SMJC,Sagarmatha Jalbidhyut Company Limited,43.7,253.00,267.00,248.00,264.90,259.33,"21,462.00",253.00,"5,565,734.80",761,11.9,19.0,4.7,7.66,2.1,0.00,0.00,367.40,233.20,2023-05-18
245,SMJC,Sagarmatha Jalbidhyut Company Limited,45.83,260.00,269.40,255.30,256.10,262.11,"38,296.00",264.90,"10,037,695.50",695,-8.80,14.10,-3.32,5.52,-2.35,0.00,0.00,367.40,233.20,2023-05-21
244,SMJC,Sagarmatha Jalbidhyut Company Limited,45.83,252.00,263.00,251.00,258.00,256.95,"19,748.00",256.10,"5,074,194.60",662,1.90,12.00,0.74,4.78,0.41,0.00,0.00,367.40,233.20,2023-05-22
243,SMJC,Sagarmatha Jalbidhyut Company Limited,43.09,258.00,276.40,257.00,271.00,269.73,"37,038.00",258.00,"9,990,109.50",804,13.00,19.40,5.04,7.55,0.47,0.00,0.00,367.40,233.20,2023-05-23
242,SMJC,Sagarmatha Jalbidhyut Company Limited,49.09,271.00,275.50,263.40,275.50,269.38,"28,270.00",271.00,"7,615,340.60",748,4.50,12.10,1.66,4.59,2.22,0.00,0.00,367.40,233.20,2023-05-24
